eval/episode_success_easy,eval/episode_reward_ctrl,_timestamp,eval/episode_success_any,eval/episode_success_hard,training/alpha_loss,render,training/sps,training/log_alpha,step,eval/episode_dist,eval/episode_reward_near,training/critic_loss,eval/episode_reward,_step,training/entropy,eval/episode_success,eval/episode_reward_survive,training/actor_loss,eval/episode_reward_dist,_runtime
,,1774123463.8637133,,,,"{'_type': 'html-file', 'sha256': '4c9444239fc513d89bf2ff5972cdd73152f067e277908a9fe204061f88decfba', 'path': 'media/html/render_0_4c9444239fc513d89bf2.html', 'size': 950069}",,,,,,,,0.0,,,,,,30.176832253
,,1774123496.3708987,,,,"{'path': 'media/html/render_1_979d8a01690a084e3568.html', 'size': 949865, '_type': 'html-file', 'sha256': '979d8a01690a084e356855793af7b771fed703055c6594159f47f27d7c61015b'}",,,,,,,,1.0,,,,,,62.683946726
0.0,0.0,1774123496.5233397,1.0,0.0,0.0,,15834.539390069462,0.0,1333248.0,339.01751708984375,0.0,0.019489064812660217,14.8369140625,1333248.0,0.0,14.8369140625,0.0,0.2460835725069046,-339.01751708984375,68.551483718
0.0,0.0,1774123502.2372925,0.990234375,0.0,0.0,,50896.58096895087,0.0,1587200.0,192.58529663085938,0.0,0.013741007074713707,76.9892578125,1587200.0,0.0,76.9892578125,0.0,-0.25957584381103516,-192.58529663085938,74.278210842
0.0,0.0,1774123507.964522,0.5615234375,0.0,0.0,,50722.518501459985,0.0,1841152.0,148.87921142578125,0.0,0.019844556227326393,44.9580078125,1841152.0,0.0,44.9580078125,0.0,-0.4955103397369385,-148.87921142578125,80.010069582
0.0,0.0,1774123513.696435,0.7060546875,0.0,0.0,,50676.1031022674,0.0,2095104.0,134.721435546875,0.0,0.035111989825963974,146.9736328125,2095104.0,0.0,146.9736328125,0.0,-0.8369952440261841,-134.721435546875,85.734446333
0.0,0.0,1774123534.3139749,0.849609375,0.0,0.0,"{'path': 'media/html/render_2349056_4cdb26b51f77ffa5248f.html', 'size': 840277, '_type': 'html-file', 'sha256': '4cdb26b51f77ffa5248fd54a01340f01012c16ab9f88c96d9c4f10defafb5567'}",50762.67014783794,0.0,2349056.0,160.47805786132812,0.0,0.03554146736860275,85.66796875,2349056.0,0.0,85.66796875,0.0,-0.9565775990486145,-160.47805786132812,100.627037753
0.0,0.0,1774123534.4678478,0.73828125,0.0,0.0,,50903.80993459578,0.0,2603008.0,106.69732666015625,0.0,0.04196391627192497,282.6044921875,2603008.0,0.0,282.6044921875,0.0,-0.7661281824111938,-106.69732666015625,106.474450218
0.0,0.0,1774123540.1606908,0.8984375,0.0,0.0,,51094.57953301033,0.0,2856960.0,110.18064880371094,0.0,0.05352313444018364,449.822265625,2856960.0,0.0,449.822265625,0.0,-0.6353574991226196,-110.18064880371094,112.20672953
0.0,0.0,1774123545.8931284,0.7861328125,0.0,0.0,,50677.34479102858,0.0,3110912.0,92.08028411865234,0.0,0.07674361020326614,460.412109375,3110912.0,0.0,460.412109375,0.0,-0.6363940834999084,-92.08028411865234,117.92364956
0.0,0.0,1774123551.6099262,0.78125,0.0,0.0,,50815.00120712547,0.0,3364864.0,86.40711975097656,0.0,0.12226712703704834,444.5791015625,3364864.0,0.0,444.5791015625,0.0,-0.7570536136627197,-86.40711975097656,123.62479074
0.0,0.0,1774123572.3315117,0.7861328125,0.0,0.0,"{'path': 'media/html/render_3618816_c3ff5090d3ddcc88401c.html', 'size': 845229, '_type': 'html-file', 'sha256': 'c3ff5090d3ddcc88401c585f6e473cf8ea4a45d46789ad746271831edccafad5'}",50995.4442143673,0.0,3618816.0,86.2441177368164,0.0,0.18399515748023987,434.453125,3618816.0,0.0,434.453125,0.0,-1.1663658618927002,-86.2441177368164,138.644669629
0.0,0.0,1774123572.4847455,0.775390625,0.0,0.0,,51203.23861210074,0.0,3872768.0,89.61293029785156,0.0,0.24663157761096954,459.234375,3872768.0,0.0,459.234375,0.0,-1.9512120485305786,-89.61293029785156,144.508286103
0.0,0.0,1774123578.1943834,0.8076171875,0.0,0.0,,50944.1590738649,0.0,4126720.0,92.61874389648438,0.0,0.319412499666214,460.1982421875,4126720.0,0.0,460.1982421875,0.0,-2.983802556991577,-92.61874389648438,150.23085874
0.0,0.0,1774123583.917349,0.8740234375,0.0,0.0,,50758.95931846872,0.0,4380672.0,86.77459716796875,0.0,0.42375093698501587,502.0146484375,4380672.0,0.0,502.0146484375,0.0,-4.32134485244751,-86.77459716796875,155.931906314
0.0,0.0,1774123589.6182187,0.9248046875,0.0,0.0,,50987.76695029694,0.0,4634624.0,83.16372680664062,0.0,0.5842776894569397,530.7333984375,4634624.0,0.0,530.7333984375,0.0,-5.553948402404785,-83.16372680664062,161.655522304
0.0,0.0,1774123610.0316968,0.923828125,0.0,0.0,"{'path': 'media/html/render_4888576_3f01a7ba436fd821b0df.html', 'size': 898841, '_type': 'html-file', 'sha256': '3f01a7ba436fd821b0df9e8109e718cf3bab40491230ac65eeed62e9bf505097'}",50739.78244873953,0.0,4888576.0,83.56475067138672,0.0,0.6825770735740662,545.40625,4888576.0,0.0,545.40625,0.0,-6.5709309577941895,-83.56475067138672,176.344743465
