training/alpha_loss,eval/episode_success,eval/episode_reward_dist,eval/episode_reward_near,step,eval/episode_success_hard,eval/episode_success_any,render,training/log_alpha,training/entropy,training/sps,training/critic_loss,_runtime,eval/episode_success_easy,_step,eval/episode_reward,eval/episode_reward_ctrl,eval/episode_dist,training/actor_loss,eval/episode_reward_survive,_timestamp
0.0,936.5693359375,-33.17019271850586,0.0,5904384.0,0.0,0.9814453125,,0.0,0.0,51549.18239691101,2.4554176330566406,195.462595865,0.0,5904384.0,936.5693359375,0.0,33.17019271850586,-18.669973373413086,0.0,1774110959.9856377
0.0,927.7744140625,-31.910140991210938,0.0,6158336.0,0.0,0.9892578125,"{'path': 'media/html/render_6158336_a30ad1635136fccf257f.html', 'size': 886565, '_type': 'html-file', 'sha256': 'a30ad1635136fccf257f785f80ee20c713ad557c387a4aac30ffaa29d757a4fa'}",0.0,0.0,51477.519851081546,2.5539591312408447,210.295614845,0.0,6158336.0,927.7744140625,0.0,31.910140991210938,-20.343196868896484,0.0,1774110980.473894
0.0,938.1962890625,-31.13582992553711,0.0,6412288.0,0.0,0.98828125,,0.0,0.0,51521.79679924519,2.6402199268341064,216.14622264,0.0,6412288.0,938.1962890625,0.0,31.13582992553711,-20.82594871520996,0.0,1774110980.6477041
0.0,938.62890625,-31.575069427490234,0.0,6666240.0,0.0,0.9931640625,,0.0,0.0,51302.420739213034,2.637326955795288,221.815306133,0.0,6666240.0,938.62890625,0.0,31.575069427490234,-21.42693328857422,0.0,1774110986.323971
0.0,925.6181640625,-32.71643829345703,0.0,6920192.0,0.0,0.9794921875,,0.0,0.0,51304.08621440962,2.7945218086242676,227.493670656,0.0,6920192.0,925.6181640625,0.0,32.71643829345703,-22.707481384277344,0.0,1774110991.9930944
0.0,934.052734375,-30.15398597717285,0.0,7174144.0,0.0,0.9921875,,0.0,0.0,51230.98630634695,2.821917772293091,233.165414969,0.0,7174144.0,934.052734375,0.0,30.15398597717285,-24.081554412841797,0.0,1774110997.671385
0.0,931.6630859375,-30.308555603027344,0.0,7428096.0,0.0,0.994140625,"{'path': 'media/html/render_7428096_309e832d338af3bba6af.html', 'size': 840633, '_type': 'html-file', 'sha256': '309e832d338af3bba6af89e1d5bf90f2321396500aeb417c949b90ffd0f78a77'}",0.0,0.0,51275.58542750592,2.8396294116973877,247.969857129,0.0,7428096.0,931.6630859375,0.0,30.308555603027344,-24.22265625,0.0,1774111018.1481106
0.0,941.2509765625,-30.287458419799805,0.0,7682048.0,0.0,0.998046875,,0.0,0.0,51349.42171720666,2.8892083168029785,253.839017698,0.0,7682048.0,941.2509765625,0.0,30.287458419799805,-25.487445831298828,0.0,1774111018.3410065
0.0,930.01953125,-30.037216186523438,0.0,7936000.0,0.0,0.9912109375,,0.0,0.0,51288.08581579619,2.983839988708496,259.505953041,0.0,7936000.0,930.01953125,0.0,30.037216186523438,-26.31246566772461,0.0,1774111024.0167432
0.0,936.3408203125,-31.221351623535156,0.0,8189952.0,0.0,0.9990234375,,0.0,0.0,51346.926553754565,2.9935407638549805,265.180382527,0.0,8189952.0,936.3408203125,0.0,31.221351623535156,-26.709880828857422,0.0,1774111029.6836972
