eval/episode_reward_survive,eval/episode_reward_dist,_step,eval/episode_dist,eval/episode_success_hard,eval/episode_success_any,training/alpha_loss,step,training/entropy,render,training/actor_loss,_runtime,training/critic_loss,eval/episode_reward_near,_timestamp,eval/episode_reward_ctrl,training/sps,training/log_alpha,eval/episode_success,eval/episode_success_easy,eval/episode_reward
,,0.0,,,,,,,"{'_type': 'html-file', 'sha256': '2cfe7f216e8714331677ea2334edbec2c3b93ba6594cf78955404ab7614ee7db', 'path': 'media/html/render_0_2cfe7f216e8714331677.html', 'size': 949989}",,29.400340517,,,1774115554.2452931,,,,,,
,,1.0,,,,,,,"{'size': 947021, '_type': 'html-file', 'sha256': 'd042831d98dc2f3aca970f6c89fe5ad52b8298a53ed15238dac759427834bcd5', 'path': 'media/html/render_1_d042831d98dc2f3aca97.html'}",,60.578725502,,,1774115585.4237723,,,,,,
0.0,-227.72402954101562,1333248.0,227.72402954101562,0.0,1.0,0.0,1333248.0,0.0,,-0.10087404400110245,66.482287732,0.01880227029323578,0.0,1774115585.589707,0.0,16802.56302413859,0.0,31.8857421875,0.0,31.8857421875
0.0,-185.12892150878906,1587200.0,185.12892150878906,0.0,0.9931640625,0.0,1587200.0,0.0,,-0.5569528937339783,72.223381676,0.014836886897683144,0.0,1774115591.3265197,0.0,50682.7558888414,0.0,62.6845703125,0.0,62.6845703125
0.0,-183.60922241210938,1841152.0,183.60922241210938,0.0,0.9931640625,0.0,1841152.0,0.0,,-0.8684601783752441,77.971832623,0.019985796883702278,0.0,1774115597.067997,0.0,50573.97259063154,0.0,55.2255859375,0.0,55.2255859375
0.0,-160.56719970703125,2095104.0,160.56719970703125,0.0,0.9990234375,0.0,2095104.0,0.0,,-0.940309464931488,83.723893012,0.027631817385554314,0.0,1774115602.8164375,0.0,50513.8177517424,0.0,75.0810546875,0.0,75.0810546875
0.0,-164.2716064453125,2349056.0,164.2716064453125,0.0,0.9921875,0.0,2349056.0,0.0,"{'_type': 'html-file', 'sha256': '3c3c6ed420bb7aab3474a63125b61373f97f780c3a602c370bbd806b7f332408', 'path': 'media/html/render_2349056_3c3c6ed420bb7aab3474.html', 'size': 941837}",-0.9102090001106262,98.728778783,0.036995064467191696,0.0,1774115623.5737817,0.0,50492.62106548509,0.0,101.197265625,0.0,101.197265625
0.0,-169.477294921875,2603008.0,169.477294921875,0.0,0.9794921875,0.0,2603008.0,0.0,,-0.806668758392334,104.586708526,0.04864082485437393,0.0,1774115623.7254465,0.0,50873.85181351838,0.0,73.8330078125,0.0,73.8330078125
0.0,-181.38218688964844,2856960.0,181.38218688964844,0.0,0.9990234375,0.0,2856960.0,0.0,,-0.7529435157775879,110.337456335,0.07086176425218582,0.0,1774115629.4313204,0.0,50970.382650107786,0.0,55.9921875,0.0,55.9921875
0.0,-146.982177734375,3110912.0,146.982177734375,0.0,0.9638671875,0.0,3110912.0,0.0,,-0.6880801916122437,116.06617378,0.10301406681537628,0.0,1774115635.182174,0.0,50483.51760545273,0.0,117.470703125,0.0,117.470703125
0.0,-167.11697387695312,3364864.0,167.11697387695312,0.0,0.994140625,0.0,3364864.0,0.0,,-0.6381303071975708,121.789225243,0.13879361748695374,0.0,1774115640.9106863,0.0,50691.63703015256,0.0,87.494140625,0.0,87.494140625
0.0,-136.01739501953125,3618816.0,136.01739501953125,0.0,0.9921875,0.0,3618816.0,0.0,"{'size': 941233, '_type': 'html-file', 'sha256': 'fa8da9899af9faa93b147118967b7cae7f975b18f4c6cb4f547f246a68b24823', 'path': 'media/html/render_3618816_fa8da9899af9faa93b14.html'}",-0.5135563611984253,136.697171096,0.16717225313186646,0.0,1774115661.5421631,0.0,50789.66618247732,0.0,146.4306640625,0.0,146.4306640625
0.0,-138.88546752929688,3872768.0,138.88546752929688,0.0,0.978515625,0.0,3872768.0,0.0,,-0.36618366837501526,142.597386115,0.21561646461486816,0.0,1774115661.7111883,0.0,51043.91922907741,0.0,148.935546875,0.0,148.935546875
0.0,-125.59916687011719,4126720.0,125.59916687011719,0.0,0.9599609375,0.0,4126720.0,0.0,,-0.15432071685791016,148.33239245,0.24192360043525696,0.0,1774115667.4416063,0.0,50747.47708604087,0.0,222.6591796875,0.0,222.6591796875
0.0,-135.47340393066406,4380672.0,135.47340393066406,0.0,0.9853515625,0.0,4380672.0,0.0,,-0.010438427329063416,154.039891314,0.2698279917240143,0.0,1774115673.1767309,0.0,50642.511402354095,0.0,248.3427734375,0.0,248.3427734375
0.0,-128.36572265625,4634624.0,128.36572265625,0.0,0.9677734375,0.0,4634624.0,0.0,,0.1371498852968216,159.774041919,0.30153805017471313,0.0,1774115678.8842778,0.0,50931.96700557336,0.0,197.64453125,0.0,197.64453125
0.0,-112.09720611572266,4888576.0,112.09720611572266,0.0,0.9013671875,0.0,4888576.0,0.0,"{'_type': 'html-file', 'sha256': 'cd538ad159985a867ee41f26cb13278240c927bf47c96d47430fd274912e9e0c', 'path': 'media/html/render_4888576_cd538ad159985a867ee4.html', 'size': 896153}",0.21089471876621246,175.171971006,0.3279203176498413,0.0,1774115700.016994,0.0,50659.781156601915,0.0,355.400390625,0.0,355.400390625
