step,success_rate
253952.0,0.03515625
507904.0,0.03125
761856.0,0.05078125
1015808.0,0.01953125
1269760.0,0.03125
1523712.0,0.03125
1777664.0,0.046875
2031616.0,0.01953125
2285568.0,0.01171875
2539520.0,0.05078125
2793472.0,0.0234375
3047424.0,0.0390625
3301376.0,0.05078125
3555328.0,0.03125
3809280.0,0.015625
4063232.0,0.046875
4317184.0,0.05078125
4571136.0,0.01953125
4825088.0,0.046875
5079040.0,0.03125
5332992.0,0.0390625
5586944.0,0.015625
5840896.0,0.015625
6094848.0,0.02734375
6348800.0,0.0234375
6602752.0,0.05078125
6856704.0,0.02734375
7110656.0,0.03515625
7364608.0,0.01171875
7618560.0,0.03125
7872512.0,0.01171875
8126464.0,0.0234375
8380416.0,0.0390625
8634368.0,0.03125
8888320.0,0.0078125
9142272.0,0.0234375
9396224.0,0.02734375
9650176.0,0.01171875
9904128.0,0.015625
10158080.0,0.04296875
10412032.0,0.01953125
10665984.0,0.04296875
10919936.0,0.0234375
11173888.0,0.0234375
11427840.0,0.03125
11681792.0,0.015625
11935744.0,0.015625
12189696.0,0.01953125
12443648.0,0.03515625
12697600.0,0.01953125
12951552.0,0.02734375
13205504.0,0.0390625
13459456.0,0.02734375
13713408.0,0.03515625
13967360.0,0.02734375
14221312.0,0.02734375
14475264.0,0.046875
14729216.0,0.05078125
14983168.0,0.02734375
15237120.0,0.03125
15491072.0,0.046875
15745024.0,0.046875
15998976.0,0.01953125
16252928.0,0.0390625
16506880.0,0.03125
16760832.0,0.03125
17014784.0,0.02734375
17268736.0,0.0234375
17522688.0,0.046875
17776640.0,0.02734375
18030592.0,0.03125
18284544.0,0.0390625
18538496.0,0.01953125
18792448.0,0.0234375
19046400.0,0.01953125
19300352.0,0.0234375
19554304.0,0.046875
19808256.0,0.04296875
20062208.0,0.01953125
20316160.0,0.04296875
20570112.0,0.02734375
20824064.0,0.0234375
21078016.0,0.015625
21331968.0,0.015625
21585920.0,0.0234375
21839872.0,0.015625
22093824.0,0.015625
22347776.0,0.015625
22601728.0,0.02734375
22855680.0,0.0234375
23109632.0,0.01171875
23363584.0,0.01953125
23617536.0,0.015625
23871488.0,0.03125
24125440.0,0.04296875
24379392.0,0.015625
24633344.0,0.01171875
24887296.0,0.01171875
25141248.0,0.03125
25395200.0,0.0234375
25649152.0,0.02734375
25903104.0,0.0234375
26157056.0,0.0234375
26411008.0,0.0234375
26664960.0,0.01953125
26918912.0,0.03125
27172864.0,0.03125
27426816.0,0.0390625
27680768.0,0.01953125
27934720.0,0.0234375
28188672.0,0.0078125
28442624.0,0.0078125
28696576.0,0.02734375
28950528.0,0.015625
29204480.0,0.015625
29458432.0,0.02734375
29712384.0,0.0390625
29966336.0,0.03125
30220288.0,0.02734375
30474240.0,0.015625
30728192.0,0.05078125
30982144.0,0.01171875
31236096.0,0.02734375
31490048.0,0.01171875
31744000.0,0.02734375
31997952.0,0.0234375
32251904.0,0.03125
32505856.0,0.02734375
32759808.0,0.02734375
33013760.0,0.0234375
33267712.0,0.02734375
33521664.0,0.02734375
33775616.0,0.01953125
34029568.0,0.01953125
34283520.0,0.0390625
34537472.0,0.0390625
34791424.0,0.0234375
35045376.0,0.04296875
35299328.0,0.015625
35553280.0,0.01953125
35807232.0,0.01171875
36061184.0,0.01953125
36315136.0,0.03125
36569088.0,0.05078125
36823040.0,0.0234375
37076992.0,0.03125
37330944.0,0.02734375
37584896.0,0.01953125
37838848.0,0.0234375
38092800.0,0.02734375
38346752.0,0.03515625
38600704.0,0.03515625
38854656.0,0.0234375
39108608.0,0.05078125
39362560.0,0.03515625
39616512.0,0.015625
39870464.0,0.02734375
40124416.0,0.046875
40378368.0,0.015625
40632320.0,0.0390625
40886272.0,0.02734375
41140224.0,0.04296875
41394176.0,0.0234375
41648128.0,0.04296875
41902080.0,0.03125
42156032.0,0.03125
42409984.0,0.03515625
42663936.0,0.015625
42917888.0,0.03515625
43171840.0,0.03515625
43425792.0,0.046875
43679744.0,0.03125
43933696.0,0.03515625
44187648.0,0.0234375
44441600.0,0.01171875
44695552.0,0.0234375
44949504.0,0.02734375
45203456.0,0.0390625
45457408.0,0.01171875
45711360.0,0.02734375
45965312.0,0.0234375
46219264.0,0.0390625
46473216.0,0.0234375
46727168.0,0.046875
46981120.0,0.02734375
47235072.0,0.01171875
47489024.0,0.01171875
47742976.0,0.02734375
47996928.0,0.02734375
48250880.0,0.03125
48504832.0,0.03515625
48758784.0,0.03125
49012736.0,0.01953125
49266688.0,0.03125
49520640.0,0.01171875
49774592.0,0.03125
50028544.0,0.03125
