training/alpha_loss,_runtime,training/entropy,training/critic_loss,eval/episode_dist,training/log_alpha,training/actor_loss,training/sps,_step,eval/episode_reward_near,eval/episode_reward_ctrl,step,render,eval/episode_success,eval/episode_reward_survive,eval/episode_success_easy,eval/episode_success_hard,eval/episode_reward,_timestamp,eval/episode_success_any,eval/episode_reward_dist
,44.464615178,,,,,,,0.0,,,,"{'sha256': 'bfb8411f77c50513639562182583d4dad4ee86c0e5a57e3746c54667159d386d', 'path': 'media/html/render_0_bfb8411f77c505136395.html', 'size': 4108361.0, '_type': 'html-file'}",,,,,,1773998748.384261,,
,101.865564347,,,,,,,1.0,,,,"{'path': 'media/html/render_1_801cdd0c9c8b8e46bb7e.html', 'size': 4107645.0, '_type': 'html-file', 'sha256': '801cdd0c9c8b8e46bb7e6306b4a6fadb4865f18c058257c7892396bbfd72239c'}",,,,,,1773998805.7852921,,
1.9182876348495483,113.070835367,0.0,1.0602171421051025,2176.12890625,0.0,-69.81959533691406,10399.444370120445,1333248.0,0.0,-1576.1318359375,1333248.0,,0.3876953125,648.017578125,22.1220703125,0.0,0.3876953125,1773998805.9660053,0.0029296875,0.0
0.009153607301414013,124.351813937,0.0,0.5264371633529663,2712.649169921875,0.0,-75.82595825195312,31822.737357284917,1587200.0,0.0,-1753.813720703125,1587200.0,,0.8193359375,784.494140625,32.142578125,0.0,0.8193359375,1773998816.9899695,0.0048828125,0.0
0.0006685451371595263,135.839613598,0.0,0.22722871601581573,2674.0654296875,0.0,-61.896690368652344,30834.768327649785,1841152.0,0.0,-1817.287109375,1841152.0,,0.7451171875,793.341796875,37.0322265625,0.0,0.7451171875,1773998828.271013,0.0029296875,0.0
0.00014819893112871796,147.480230315,0.0,0.12762781977653503,2892.08935546875,0.0,-49.832454681396484,30033.773432427457,2095104.0,0.0,-1829.840087890625,2095104.0,,0.0,842.869140625,18.4267578125,0.0,0.0,1773998839.758898,0.0,0.0
0.00015325240383390337,178.530623031,0.0,0.09672375023365021,3017.639404296875,0.0,-42.95161819458008,29592.21243500817,2349056.0,0.0,-1839.963134765625,2349056.0,"{'path': 'media/html/render_2349056_e1c117cd267607307eff.html', 'size': 4028069.0, '_type': 'html-file', 'sha256': 'e1c117cd267607307effff7a66c63674eb3260418271c1df182285aec2011d37'}",0.0,878.23046875,10.1884765625,0.0,0.0,1773998882.4503014,0.0,0.0
9.514628618489951e-05,190.437776709,0.0,0.08520367741584778,2951.083984375,0.0,-40.9449577331543,29632.30302295692,2603008.0,0.0,-1885.345947265625,2603008.0,,0.0,863.9931640625,14.4873046875,0.0,0.0,1773998882.6428616,0.0,0.0
6.549492536578327e-05,202.099989736,0.0,0.0814754068851471,2969.957763671875,0.0,-38.269954681396484,29351.345088014335,2856960.0,0.0,-2045.6439208984375,2856960.0,,0.6787109375,894.650390625,24.7294921875,0.0,0.6787109375,1773998894.3569045,0.0009765625,0.0
3.7569174310192466e-05,213.825013803,0.0,0.07859111577272415,2667.2685546875,0.0,-35.90018081665039,29365.824196525016,3110912.0,0.0,-1716.3203125,3110912.0,,0.0,780.1728515625,13.4482421875,0.0,0.0,1773998906.0189698,0.0,0.0
