eval/episode_success,eval/episode_reward_survive,_step,training/entropy,training/actor_loss,training/critic_loss,training/alpha_loss,training/sps,_timestamp,eval/episode_reward_dist,eval/episode_reward_near,eval/episode_success_any,eval/episode_dist,render,eval/episode_reward,_runtime,training/log_alpha,eval/episode_reward_ctrl,eval/episode_success_hard,eval/episode_success_easy,step
,,0.0,,,,,,1773992146.3739426,,,,,"{'path': 'media/html/render_0_6ade70e363cb925fb890.html', 'size': 4192173.0, '_type': 'html-file', 'sha256': '6ade70e363cb925fb890041a53abe184c9fe516d86dd57eaafb7c8e870debad3'}",,44.542485138,,,,,
,,1.0,,,,,,1773992203.9758983,,,,,"{'_type': 'html-file', 'sha256': 'abb0cd0aa6b9676115dbb55dae3a9105d3e58786ebc317e5be44afbacfa1a049', 'path': 'media/html/render_1_abb0cd0aa6b9676115db.html', 'size': 4175381.0}",,102.144318187,,,,,
0.4560546875,300.873046875,1333248.0,0.0,-61.39924621582031,4.212638854980469,1.8089507818222046,10110.882523495622,1773992204.1508129,0.0,0.0,0.00390625,1028.88720703125,,0.4560546875,114.492494614,0.0,-731.6708984375,0.0,12.515625,1333248.0
1.05859375,749.3388671875,1587200.0,0.0,-47.85452651977539,1.7726494073867798,0.0053629036992788315,27828.410438163115,1773992216.3232574,0.0,0.0,0.00390625,2464.16015625,,1.05859375,126.698770107,0.0,-1789.823486328125,0.0,43.82421875,1587200.0
0.556640625,754.685546875,1841152.0,0.0,-29.167348861694336,0.4788845479488373,0.0011780555360019207,27727.960629307356,1773992228.5296645,0.0,0.0,0.00390625,2604.298095703125,,0.556640625,138.895482279,0.0,-1683.8359375,0.0,26.8505859375,1841152.0
0.13671875,797.7822265625,2095104.0,0.0,-20.410736083984375,0.20952264964580536,0.0004034498706459999,27722.88288757434,1773992240.726358,0.0,0.0,0.0029296875,2778.7861328125,,0.13671875,151.175151731,0.0,-1709.261962890625,0.0,19.646484375,2095104.0
1.7294921875,874.783203125,2349056.0,0.0,-15.51317024230957,0.14587853848934174,0.00020812114235013723,27552.606512512546,1773992284.7700133,0.0,0.0,0.00390625,2958.24560546875,"{'size': 4200169.0, '_type': 'html-file', 'sha256': '606f967d5e50d599412fda2e7d3ddc2c7d280bd182ec31a85ec88b1ee7ee59aa', 'path': 'media/html/render_2349056_606f967d5e50d599412f.html'}",1.7294921875,182.938440651,0.0,-1957.160888671875,0.0,25.3173828125,2349056.0
0.0,844.48046875,2603008.0,0.0,-14.943466186523438,0.12061596661806107,0.00015950620581861585,27683.84806359734,1773992284.9508736,0.0,0.0,0.0,2932.98876953125,,0.0,195.3187231,0.0,-1765.142333984375,0.0,9.341796875,2603008.0
0.560546875,779.15234375,2856960.0,0.0,-15.704275131225586,0.10588693618774414,7.042721699690446e-05,27798.860299850297,1773992297.1495893,0.0,0.0,0.001953125,2610.1708984375,,0.560546875,207.40097854,0.0,-1651.87158203125,0.0,34.8779296875,2856960.0
0.7705078125,767.955078125,3110912.0,0.0,-17.115161895751953,0.09895918518304825,2.1814728825120255e-05,28016.54495914297,1773992309.2318769,0.0,0.0,0.0029296875,2560.64111328125,,0.7705078125,219.537012285,0.0,-1537.4202880859375,0.0,29.443359375,3110912.0
