eval/episode_success_easy,training/alpha_loss,training/critic_loss,training/entropy,eval/episode_reward,training/log_alpha,eval/episode_reward_survive,step,eval/episode_reward_near,eval/episode_success,eval/episode_success_hard,training/actor_loss,_timestamp,training/sps,eval/episode_reward_ctrl,eval/episode_dist,eval/episode_reward_dist,_step,eval/episode_success_any,_runtime,render
,,,,,,,,,,,,1774002034.1826808,,,,,0.0,,44.031167814,"{'size': 4149353.0, '_type': 'html-file', 'sha256': '1d93cfdc4892ae79a10b919ca9c9b5d7f58daf265c0ecb38c65d800b0fb122ec', 'path': 'media/html/render_0_1d93cfdc4892ae79a10b.html'}"
,,,,,,,,,,,,1774002093.1877854,,,,,1.0,,103.036132326,"{'size': 4067117.0, '_type': 'html-file', 'sha256': 'b5639d5de8aa971b6cdf382ea8b4421f6d5fe9868071bc00f290ef7884f42259', 'path': 'media/html/render_1_b5639d5de8aa971b6cdf.html'}"
13.2197265625,1.836215615272522,5.518257141113281,0.0,0.1630859375,0.0,552.779296875,1333248.0,0.0,0.1630859375,0.0,-63.42884063720703,1774002093.3742368,9771.661938985104,-1473.978759765625,1909.1361083984375,0.0,1333248.0,0.001953125,115.40602874,
23.8701171875,0.004588719457387924,2.5525786876678467,0.0,0.1220703125,0.0,541.541015625,1587200.0,0.0,0.1220703125,0.0,-54.921085357666016,1774002105.55654,27781.555370186124,-1317.22802734375,1794.299072265625,0.0,1587200.0,0.001953125,127.605777046,
23.810546875,0.001692053279839456,0.6958166360855103,0.0,0.1611328125,0.0,886.0791015625,1841152.0,0.0,0.1611328125,0.0,-35.04740524291992,1774002117.7568126,27732.267630761453,-1902.149169921875,3024.67822265625,0.0,1841152.0,0.001953125,139.810890397,
23.990234375,0.0005330626736395061,0.2499896138906479,0.0,0.013671875,0.0,824.982421875,2095104.0,0.0,0.013671875,0.0,-23.457496643066406,1774002129.9619105,27682.51198405174,-1761.0931396484375,2795.31591796875,0.0,2095104.0,0.0009765625,152.038787541,
30.6533203125,0.00020406345720402896,0.1412738710641861,0.0,0.384765625,0.0,827.16796875,2349056.0,0.0,0.384765625,0.0,-18.888559341430664,1774002174.0316787,27695.566047144963,-1682.006591796875,2792.084228515625,0.0,2349056.0,0.0048828125,183.880194001,"{'size': 4091621.0, '_type': 'html-file', 'sha256': '0864430c9965701d7800a1a0244827ba56aad8556f472f38cfe7e33248427384', 'path': 'media/html/render_2349056_0864430c9965701d7800.html'}"
27.10546875,0.00018110535165760666,0.11325453966856003,0.0,0.0419921875,0.0,845.1376953125,2603008.0,0.0,0.0419921875,0.0,-17.47523307800293,1774002174.220441,27807.850804507383,-1774.950927734375,2863.720703125,0.0,2603008.0,0.001953125,196.234478093,
18.859375,5.4592659580521286e-05,0.0885564461350441,0.0,0.1689453125,0.0,823.927734375,2856960.0,0.0,0.1689453125,0.0,-17.860105514526367,1774002186.385322,27897.948127640186,-1811.64599609375,2870.927001953125,0.0,2856960.0,0.001953125,208.278844148,
14.90625,2.705983933992684e-05,0.0823686271905899,0.0,0.134765625,0.0,743.162109375,3110912.0,0.0,0.134765625,0.0,-19.37990379333496,1774002198.4297862,28116.58640481055,-1663.63330078125,2611.9501953125,0.0,3110912.0,0.001953125,220.361690763,
12.373046875,2.663383747858461e-05,0.0806293711066246,0.0,0.248046875,0.0,751.3330078125,3364864.0,0.0,0.248046875,0.0,-19.567218780517578,1774002210.5128677,28145.001538453285,-1592.3359375,2578.66845703125,0.0,3364864.0,0.001953125,232.384359941,
12.0498046875,7.407899829559028e-05,0.0728226751089096,0.0,0.0,0.0,778.705078125,3618816.0,0.0,0.0,0.0,-20.516916275024414,1774002254.2125108,28182.379809116872,-1654.6256103515625,2677.51416015625,0.0,3618816.0,0.0,264.06094865,"{'size': 4078961.0, '_type': 'html-file', 'sha256': 'fab2c8b4db4bae285114224d68b51a91d72349f090736292d2ba9d86a1090584', 'path': 'media/html/render_3618816_fab2c8b4db4bae285114.html'}"
19.228515625,2.4642088192194933e-06,0.0737278163433075,0.0,0.0,0.0,727.6845703125,3872768.0,0.0,0.0,0.0,-20.48579216003418,1774002254.4012024,28203.83997341962,-1603.310791015625,2471.740478515625,0.0,3872768.0,0.0,276.292985166,
10.009765625,1.1278450983809307e-05,0.07349137961864471,0.0,0.0,0.0,725.69140625,4126720.0,0.0,0.0,0.0,-20.512540817260742,1774002266.4432776,28137.710819023738,-1531.5758056640625,2487.15185546875,0.0,4126720.0,0.0,288.344790752,
15.3955078125,-4.578562220558524e-05,0.07417193800210953,0.0,0.0,0.0,732.40234375,4380672.0,0.0,0.0,0.0,-20.871339797973633,1774002278.4958,28229.698496753663,-1503.004638671875,2455.7509765625,0.0,4380672.0,0.0,300.334776939,
13.5859375,6.027995186741464e-05,0.06980668753385544,0.0,0.0,0.0,848.01953125,4634624.0,0.0,0.0,0.0,-21.49793815612793,1774002290.4858887,28286.994275980243,-1891.531494140625,2936.337646484375,0.0,4634624.0,0.0,312.381025539,
