training/log_alpha,eval/episode_success_easy,_step,training/entropy,eval/episode_dist,training/sps,eval/episode_reward_ctrl,eval/episode_success,_runtime,step,_timestamp,eval/episode_reward_dist,eval/episode_success_hard,render,eval/episode_reward_survive,eval/episode_reward_near,eval/episode_success_any,eval/episode_reward,training/actor_loss,training/alpha_loss,training/critic_loss
0.0,9.5810546875,10729472.0,0.0,2879.7314453125,28097.757849802947,-1836.6016845703125,0.0712890625,705.332374424,10729472.0,1773986216.3600316,0.0,0.0,,853.9384765625,0.0,0.001953125,0.0712890625,-21.456886291503906,-7.83371342549799e-06,0.062099140137434006
0.0,4.9013671875,10983424.0,0.0,2809.73876953125,28060.28495563327,-1688.454345703125,0.0,717.364278187,10983424.0,1773986228.468501,0.0,0.0,,807.1015625,0.0,0.0,0.0,-20.493370056152344,2.317136386409402e-05,0.061963021755218506
0.0,6.4501953125,11237376.0,0.0,3142.19921875,28151.92474903297,-1893.9930419921875,0.1943359375,749.134035103,11237376.0,1773986272.2707746,0.0,0.0,"{'sha256': '2dacb4525faf8847d997a0b0f18cad470d40b0344807b21dd824ef2ccd1db1ea', 'path': 'media/html/render_11237376_2dacb4525faf8847d997.html', 'size': 4196317.0, '_type': 'html-file'}",923.1455078125,0.0,0.0009765625,0.1943359375,-22.246164321899414,-7.340139291045489e-06,0.06658171117305756
0.0,19.458984375,11491328.0,0.0,2658.91845703125,28113.384972447795,-1716.02978515625,0.005859375,761.376684586,11491328.0,1773986272.4605913,0.0,0.0,,801.125,0.0,0.0009765625,0.005859375,-21.7658748626709,2.641850005602464e-05,0.06249589845538139
0.0,8.939453125,11745280.0,0.0,2871.45068359375,28110.218394171094,-1722.78955078125,0.0009765625,773.44983963,11745280.0,1773986284.5129588,0.0,0.0,,828.390625,0.0,0.0009765625,0.0009765625,-22.533470153808594,-7.889175321906805e-05,0.05907854065299034
0.0,13.2236328125,11999232.0,0.0,2643.92724609375,28148.688484805945,-1693.4334716796875,0.0,785.479218423,11999232.0,1773986296.5859113,0.0,0.0,,767.4736328125,0.0,0.0,0.0,-21.66412925720215,3.6214136343915015e-05,0.06735347956418991
0.0,20.4052734375,12253184.0,0.0,2849.500244140625,28151.796028223795,-1785.2646484375,1.099609375,797.539887697,12253184.0,1773986308.6153502,0.0,0.0,,851.4189453125,0.0,0.00390625,1.099609375,-22.161195755004883,1.6938132603172562e-06,0.06680174916982651
0.0,20.501953125,12507136.0,0.0,2896.6435546875,28199.200861454075,-1785.7586669921875,0.8447265625,829.651219554,12507136.0,1773986352.7879367,0.0,0.0,"{'sha256': '560e018b4716cb28cce3bb2e501b360e4301fedd8d312e674831e60175709f4e', 'path': 'media/html/render_12507136_560e018b4716cb28cce3.html', 'size': 4106381.0, '_type': 'html-file'}",837.25390625,0.0,0.0009765625,0.8447265625,-22.64406394958496,5.973439783701906e-06,0.06377188116312027
0.0,19.529296875,12761088.0,0.0,2472.364501953125,28078.112170639964,-1473.9766845703125,0.72265625,841.932402543,12761088.0,1773986352.9683483,0.0,0.0,,720.560546875,0.0,0.0009765625,0.72265625,-21.67926597595215,3.4138316550524905e-05,0.06982830911874771
0.0,15.6826171875,13015040.0,0.0,2849.95947265625,28107.57765142929,-1703.5185546875,1.85546875,853.976927492,13015040.0,1773986365.0685709,0.0,0.0,,812.9326171875,0.0,0.0029296875,1.85546875,-22.285961151123047,8.847547178447712e-06,0.0648527592420578
0.0,22.0068359375,13268992.0,0.0,2556.316162109375,28110.130855983174,-1628.087158203125,0.541015625,866.03193843,13268992.0,1773986377.1128662,0.0,0.0,,759.5595703125,0.0,0.0048828125,0.541015625,-21.85464859008789,6.340271283988841e-06,0.06295326352119446
