training/actor_loss,training/log_alpha,eval/episode_reward_ctrl,eval/episode_reward_survive,eval/episode_reward,eval/episode_success_easy,training/alpha_loss,render,eval/episode_success,eval/episode_reward_near,eval/episode_success_any,_runtime,eval/episode_success_hard,step,training/critic_loss,_step,training/entropy,eval/episode_reward_dist,training/sps,eval/episode_dist,_timestamp
-33.935791015625,0.0,-2140.1396484375,912.5634765625,0.57421875,21.4306640625,6.646198744419962e-05,,0.57421875,0.0,0.0029296875,225.528942714,0.0,3364864.0,0.10784308612346649,3364864.0,0.0,0.0,28947.909818894,3097.34814453125,1774005487.0522647
-33.09522247314453,0.0,-1824.7237548828125,823.2392578125,0.0,21.75,1.0640839718689676e-05,"{'size': 4144777.0, '_type': 'html-file', 'sha256': '687c5bac1b642ff3e452c77090766ae2f2a5be5defcd227ac58b7ebd5d6f9042', 'path': 'media/html/render_3618816_687c5bac1b642ff3e452.html'}",0.0,0.0,0.0,257.043653876,0.0,3618816.0,0.10301078110933304,3618816.0,0.0,0.0,28874.024018461125,2733.81640625,1774005530.3817291
-31.522130966186523,0.0,-2010.689697265625,853.3154296875,0.2900390625,9.4658203125,0.0001008683248073794,,0.2900390625,0.0,0.0009765625,269.100675236,0.0,3872768.0,0.10298111289739609,3872768.0,0.0,0.0,28746.239486529896,2898.86083984375,1774005530.558295
-31.603708267211914,0.0,-1927.681884765625,864.880859375,0.0,19.7080078125,-1.0000210750149563e-05,,0.0,0.0,0.0,281.044140155,0.0,4126720.0,0.10132324695587158,4126720.0,0.0,0.0,28664.586248375166,2972.9951171875,1774005542.4381812
-29.839649200439453,0.0,-1763.5291748046875,807.068359375,0.0810546875,13.7548828125,-3.862398807541467e-05,,0.0810546875,0.0,0.001953125,292.92832609,0.0,4380672.0,0.09694834798574448,4380672.0,0.0,0.0,28590.0373447524,2773.5546875,1774005554.3816736
-29.712759017944336,0.0,-1928.7867431640625,809.2197265625,0.0,12.5673828125,7.359268056461588e-05,,0.0,0.0,0.0,304.868449753,0.0,4634624.0,0.09717001765966415,4634624.0,0.0,0.0,28626.175767605586,2764.893310546875,1774005566.2655606
-29.242952346801758,0.0,-1862.555419921875,835.75390625,0.0,23.044921875,2.4932436645030975e-05,"{'size': 4123873.0, '_type': 'html-file', 'sha256': '8768a3b703691876c7e920871c7f02847c9bf2db757d35716c662763afca5417', 'path': 'media/html/render_4888576_8768a3b703691876c7e9.html'}",0.0,0.0,0.0,336.390706714,0.0,4888576.0,0.09422341734170914,4888576.0,0.0,0.0,28584.945830879024,2819.3486328125,1774005609.7286623
-28.228540420532227,0.0,-1838.028564453125,819.4931640625,0.5830078125,16.4736328125,-2.5292110876762308e-05,,0.5830078125,0.0,0.0009765625,348.612512684,0.0,5142528.0,0.09618174284696579,5142528.0,0.0,0.0,28497.556566820385,2755.306640625,1774005609.9109216
-26.784420013427734,0.0,-1689.969482421875,811.3671875,0.0185546875,21.0830078125,3.017619383172132e-05,,0.0185546875,0.0,0.0009765625,360.556469605,0.0,5396480.0,0.09179781377315521,5396480.0,0.0,0.0,28283.98674607536,2721.056640625,1774005621.9500372
-26.941383361816406,0.0,-1746.26904296875,800.806640625,0.0,12.505859375,-6.5614585764706135e-06,,0.0,0.0,0.0,372.546739425,0.0,5650432.0,0.09265521913766861,5650432.0,0.0,0.0,28454.9042302562,2686.02783203125,1774005633.894121
-26.700462341308594,0.0,-1434.680419921875,684.2373046875,0.376953125,13.3115234375,-2.95859881589422e-05,,0.376953125,0.0,0.0009765625,384.5329836,0.0,5904384.0,0.09406556934118271,5904384.0,0.0,0.0,28417.214753672022,2293.648193359375,1774005645.8842251
-25.477582931518555,0.0,-2005.6121826171875,840.197265625,0.0,12.462890625,3.263738835812546e-05,"{'size': 4023273.0, '_type': 'html-file', 'sha256': 'df1408e9cb067c66e19fe1d194a2f986f8887e5e7035220298b58e45433ecf5f', 'path': 'media/html/render_6158336_df1408e9cb067c66e19f.html'}",0.0,0.0,0.0,416.629601695,0.0,6158336.0,0.09349596500396729,6158336.0,0.0,0.0,28303.6825069841,2837.282958984375,1774005689.967704
-25.091243743896484,0.0,-1941.9356689453125,896.1884765625,1.2109375,25.669921875,1.9824079572572373e-05,,1.2109375,0.0,0.005859375,428.878240181,0.0,6412288.0,0.09130426496267319,6412288.0,0.0,0.0,28302.191175535132,3015.930908203125,1774005690.157921
-24.315319061279297,0.0,-1919.2587890625,894.845703125,0.4140625,21.05078125,5.500798943103291e-05,,0.4140625,0.0,0.001953125,440.94161553,0.0,6666240.0,0.0872088223695755,6666240.0,0.0,0.0,28092.32743123412,3034.55029296875,1774005702.2152393
-23.863080978393555,0.0,-1524.3245849609375,661.205078125,0.0,7.890625,2.319112581972149e-06,,0.0,0.0,0.0,453.003030531,0.0,6920192.0,0.07901805639266968,6920192.0,0.0,0.0,28186.2824146436,2321.40576171875,1774005714.2793002
