_step,eval/episode_reward_survive,training/entropy,training/log_alpha,training/critic_loss,eval/episode_success,eval/episode_reward_dist,eval/episode_reward_ctrl,training/alpha_loss,eval/episode_reward_near,step,eval/episode_success_any,render,eval/episode_success_hard,training/sps,eval/episode_reward,eval/episode_dist,eval/episode_success_easy,training/actor_loss,_timestamp,_runtime
0.0,,,,,,,,,,,,"{'path': 'media/html/render_0_42bc20e9f8f714ec484b.html', 'size': 4131137.0, '_type': 'html-file', 'sha256': '42bc20e9f8f714ec484b2d8f8e56d481c83b97a4aab7d2d6f9a4182621004bd0'}",,,,,,,1773982281.262718,44.072820003
1.0,,,,,,,,,,,,"{'path': 'media/html/render_1_ceb22017467d2e0d6646.html', 'size': 4051009.0, '_type': 'html-file', 'sha256': 'ceb22017467d2e0d6646b0ebab60e498e9efebd2b46c99a1778355d65b74b6d8'}",,,,,,,1773982338.227939,101.037928642
1333248.0,563.3291015625,0.0,0.0,1.4787532091140747,0.5234375,0.0,-1497.994873046875,1.7226829528808594,0.0,1333248.0,0.00390625,,0.0,10502.154936104635,0.5234375,1878.3037109375,28.0537109375,-82.67979431152344,1773982338.4048305,112.125712372
1587200.0,820.2890625,0.0,0.0,0.7683120369911194,2.4580078125,0.0,-2020.080810546875,0.005669607315212488,0.0,1587200.0,0.0068359375,,0.0,32291.098710847284,2.4580078125,2792.813720703125,38.5478515625,-87.56681060791016,1773982349.3150759,123.306447593
1841152.0,741.740234375,0.0,0.0,0.3819618821144104,0.0,0.0,-1706.350830078125,0.000948117405641824,0.0,1841152.0,0.0,,0.0,31216.91868730269,0.0,2656.24365234375,19.1357421875,-70.14032745361328,1773982360.4958766,134.731857047
2095104.0,781.978515625,0.0,0.0,0.20967614650726318,0.5986328125,0.0,-1718.39697265625,0.0003448983479756862,0.0,2095104.0,0.001953125,,0.0,30269.726167325487,0.5986328125,2688.279296875,19.724609375,-54.27623748779297,1773982371.9212341,146.322117094
2349056.0,773.7607421875,0.0,0.0,0.14514295756816864,1.0068359375,0.0,-1774.092529296875,0.0001827956730267033,0.0,2349056.0,0.0029296875,"{'path': 'media/html/render_2349056_cd94c056065abdf56bb3.html', 'size': 4087737.0, '_type': 'html-file', 'sha256': 'cd94c056065abdf56bb3c821baebc0bcadd4b81923c3c6d7144628bb8f541852'}",0.0,29784.77318656521,1.0068359375,2723.84326171875,19.0703125,-45.366546630859375,1773982414.5755737,177.385595673
2603008.0,730.21875,0.0,0.0,0.12135180085897446,0.1064453125,0.0,-1574.9180908203125,0.0001999365194933489,0.0,2603008.0,0.0009765625,,0.0,29484.631463327565,0.1064453125,2494.00634765625,11.1123046875,-39.48728942871094,1773982414.757726,189.256754016
2856960.0,799.0556640625,0.0,0.0,0.10622904449701309,0.6611328125,0.0,-1747.9932861328125,0.0001001468044705689,0.0,2856960.0,0.0029296875,,0.0,29458.476079159707,0.6611328125,2685.66015625,34.7919921875,-38.248233795166016,1773982426.445659,200.929414982
3110912.0,805.5673828125,0.0,0.0,0.10051750391721725,0.1982421875,0.0,-1746.797119140625,9.860579302767292e-05,0.0,3110912.0,0.0009765625,,0.0,29343.50823127817,0.1982421875,2697.396728515625,26.580078125,-34.587825775146484,1773982438.118893,212.668264798
3364864.0,840.1357421875,0.0,0.0,0.09937393665313721,0.0,0.0,-1927.8291015625,-5.236249762674561e-06,0.0,3364864.0,0.0,,0.0,29280.42522331731,0.0,2912.376953125,13.19921875,-33.821922302246094,1773982449.857716,224.426255516
