eval/episode_reward,eval/episode_success,eval/episode_reward_survive,_runtime,eval/episode_dist,training/sps,eval/episode_reward_near,eval/episode_success_any,eval/episode_reward_dist,training/actor_loss,training/log_alpha,_step,eval/episode_success_hard,eval/episode_reward_ctrl,training/critic_loss,training/entropy,step,_timestamp,eval/episode_success_easy,training/alpha_loss,render
,,,44.078060063,,,,,,,,0.0,,,,,,1773995434.1113856,,,"{'path': 'media/html/render_0_1b3d42a3a831669ff3d4.html', 'size': 4130693.0, '_type': 'html-file', 'sha256': '1b3d42a3a831669ff3d409ace3b9d48b99813d703f1921a6be8cc5975e081a72'}"
,,,102.765327956,,,,,,,,1.0,,,,,,1773995492.7988837,,,"{'sha256': 'bdd5dcc7ff48884ed471cb9c97de4ddbadb1bc0a4c83b3e503565cf15a983d96', 'path': 'media/html/render_1_bdd5dcc7ff48884ed471.html', 'size': 4135317.0, '_type': 'html-file'}"
0.0,0.0,625.9951171875,115.048495533,2125.8525390625,9817.75181880869,0.0,0.0,0.0,-54.57229232788086,0.0,1333248.0,0.0,-1677.549072265625,2.431706666946411,0.0,1333248.0,1773995492.992918,18.3623046875,1.7597583532333374,
0.4541015625,0.4541015625,728.4765625,127.146402532,2435.16943359375,28079.848688017104,0.0,0.001953125,0.0,-51.449337005615234,0.0,1587200.0,0.0,-1676.552978515625,1.1234002113342285,0.0,1587200.0,1773995505.0809991,29.982421875,0.005118579138070345,
0.0,0.0,830.3427734375,139.257448652,2885.956298828125,28056.21614987901,0.0,0.0,0.0,-37.618900299072266,0.0,1841152.0,0.0,-1852.9339599609375,0.42538848519325256,0.0,1841152.0,1773995517.1793687,12.904296875,0.0010930367279797792,
0.0,0.0,850.619140625,151.430709378,2880.697021484375,27983.289170913216,0.0,0.0,0.0,-29.2690486907959,0.0,2095104.0,0.0,-1787.3421630859375,0.2207358181476593,0.0,2095104.0,1773995529.2904503,19.021484375,0.0002555933897383511,
0.0,0.0,770.9384765625,183.128385635,2632.24951171875,27872.06701823552,0.0,0.0,0.0,-25.02904510498047,0.0,2349056.0,0.0,-1619.482177734375,0.14976008236408234,0.0,2349056.0,1773995573.1619208,17.576171875,0.0003125566872768104,"{'path': 'media/html/render_2349056_628d3002a4f53b78ee88.html', 'size': 4055685.0, '_type': 'html-file', 'sha256': '628d3002a4f53b78ee889be6e605efe5782dd3f44dc6f511fa4072eca3968c39'}"
0.2060546875,0.2060546875,788.6669921875,195.481192695,2680.27587890625,28007.55379353709,0.0,0.001953125,0.0,-23.21772003173828,0.0,2603008.0,0.0,-1860.5745849609375,0.11184987425804138,0.0,2603008.0,1773995573.3800225,17.6455078125,0.00023085488646756858,
0.912109375,0.912109375,761.21484375,207.476400728,2592.564208984375,27999.683435980256,0.0,0.0029296875,0.0,-23.304851531982422,0.0,2856960.0,0.0,-1677.18212890625,0.08721024543046951,0.0,2856960.0,1773995585.5142682,17.6103515625,0.0001565594138810411,
0.0,0.0,763.0419921875,219.549898061,2610.5810546875,28284.72129350184,0.0,0.0,0.0,-24.21430015563965,0.0,3110912.0,0.0,-1629.7900390625,0.08129097521305084,0.0,3110912.0,1773995597.5090442,23.734375,5.335535388439894e-05,
