eval/episode_reward,training/alpha_loss,eval/episode_reward_near,_step,_timestamp,training/actor_loss,training/critic_loss,eval/episode_reward_ctrl,step,eval/episode_reward_survive,render,training/log_alpha,eval/episode_success_hard,eval/episode_success_easy,training/sps,eval/episode_dist,eval/episode_reward_dist,_runtime,training/entropy,eval/episode_success,eval/episode_success_any
,,,0.0,1774293070.4970853,,,,,,"{'_type': 'html-file', 'sha256': '5eefd743c9963c08d098c50a0737fd02120de6e72b364829d173a3019c62e972', 'path': 'media/html/render_0_5eefd743c9963c08d098.html', 'size': 3617057.0}",,,,,,,67.05600934,,,
,,,1.0,1774293160.7880442,,,,,,"{'size': 3871497.0, '_type': 'html-file', 'sha256': 'ab3075661c3c9792cc153e378bba225893bf5325f1f38752b46a08fe2118845d', 'path': 'media/html/render_1_ab3075661c3c9792cc15.html'}",,,,,,,157.346787293,,,
0.125,0.0,0.0,1333248.0,1774293160.9927142,0.3065851628780365,0.0009093720000237226,-1350.735107421875,1333248.0,355.94140625,,0.0,0.0,1.4697265625,10594.397504829112,3093.706298828125,0.0,180.319064188,0.0,0.125,0.005859375
0.0,0.0,0.0,1587200.0,1774293183.7598712,0.2340167909860611,0.00022904857178218663,-2577.185546875,1587200.0,668.548828125,,0.0,0.0,0.0,29799.06375483204,4633.3388671875,0.0,203.175087935,0.0,0.0,0.0
0.0,0.0,0.0,1841152.0,1774293206.6158185,0.15872885286808014,0.0001958740467671305,-3004.04345703125,1841152.0,762.857421875,,0.0,0.0,2.505859375,29775.474601829384,6337.3359375,0.0,226.04413786,0.0,0.0,0.0
0.0,0.0,0.0,2095104.0,1774293229.4848845,0.08350054174661636,0.0004960643709637225,-3023.547119140625,2095104.0,757.3759765625,,0.0,0.0,0.0,29557.05945055573,6199.80029296875,0.0,248.929671634,0.0,0.0,0.0
0.46875,0.0,0.0,2349056.0,1774293301.2851052,0.026508701965212822,0.0010249543702229857,-2207.150634765625,2349056.0,564.0419921875,"{'size': 3713481.0, '_type': 'html-file', 'sha256': '6a02235186b33b56f95f2098e5965e5ae08ad2dfc96a968d193643a93951eee8', 'path': 'media/html/render_2349056_6a02235186b33b56f95f.html'}",0.0,0.0,5.7763671875,29631.401195663795,4403.0439453125,0.0,297.843734786,0.0,0.46875,0.001953125
0.0830078125,0.0,0.0,2603008.0,1774293301.4729326,-0.013156571425497532,0.00159884721506387,-2837.456787109375,2603008.0,717.0224609375,,0.0,0.0,3.4365234375,29543.948078187823,6285.6474609375,0.0,320.826593304,0.0,0.0830078125,0.0009765625
0.0048828125,0.0,0.0,2856960.0,1774293324.2674315,-0.05122385174036026,0.002742484211921692,-3473.99951171875,2856960.0,877.376953125,,0.0,0.0,1.7119140625,29456.672396891667,7345.5419921875,0.0,343.663687405,0.0,0.0048828125,0.0009765625
0.0,0.0,0.0,3110912.0,1774293347.1045365,-0.06740681082010269,0.003431380959227681,-2628.43017578125,3110912.0,678.845703125,,0.0,0.0,3.41015625,29633.76057104599,5820.416015625,0.0,366.421093857,0.0,0.0,0.0
