eval/episode_reward,eval/episode_reward_survive,training/alpha_loss,eval/episode_success,eval/episode_success_any,eval/episode_success_easy,eval/episode_reward_ctrl,training/actor_loss,step,_timestamp,eval/episode_reward_dist,_runtime,render,eval/episode_reward_near,training/sps,eval/episode_success_hard,training/log_alpha,eval/episode_dist,training/critic_loss,_step,training/entropy
,,,,,,,,,1774321690.7890484,,67.123058605,"{'sha256': '2141a2a8b4dab31a7c9f3512cfdb6eb12e4acc5e374d770ce986c16008910e1f', 'path': 'media/html/render_0_2141a2a8b4dab31a7c9f.html', 'size': 3764505.0, '_type': 'html-file'}",,,,,,,0.0,
,,,,,,,,,1774321781.4458292,,157.77978924,"{'_type': 'html-file', 'sha256': '5680ec590f05c967c0dcff1fb290a46617986187beb9bac33f80d83cf6c93bd4', 'path': 'media/html/render_1_5680ec590f05c967c0dc.html', 'size': 3625893.0}",,,,,,,1.0,
0.05078125,689.0615234375,0.0,0.05078125,0.0048828125,3.591796875,-2699.73828125,0.2706814408302307,1333248.0,1774321781.6509993,0.0,180.744428353,,0.0,10526.218473547358,0.0,0.0,6203.83544921875,0.0030978091526776552,1333248.0,0.0
0.1787109375,444.857421875,0.0,0.1787109375,0.0078125,3.4052734375,-1752.362548828125,0.11152840405702591,1587200.0,1774321804.4100432,0.0,203.576805193,,0.0,29820.13462355195,0.0,0.0,3577.9638671875,0.0016357721760869026,1587200.0,0.0
0.009765625,745.5146484375,0.0,0.009765625,0.001953125,3.1259765625,-2880.655029296875,-0.0024821606930345297,1841152.0,1774321827.2423377,0.0,226.367727369,,0.0,29878.576457939544,0.0,0.0,6675.1787109375,0.0037320731207728386,1841152.0,0.0
0.0927734375,579.751953125,0.0,0.0927734375,0.001953125,2.3251953125,-2251.267578125,-0.06132255494594574,2095104.0,1774321850.0332358,0.0,249.182161837,,0.0,29854.80272595742,0.0,0.0,4964.94140625,0.006602251436561346,2095104.0,0.0
0.0390625,486.0224609375,0.0,0.0390625,0.001953125,1.1279296875,-1927.922607421875,-0.08009927719831467,2349056.0,1774321921.964722,0.0,298.298654804,"{'path': 'media/html/render_2349056_cbf4772e2878cd5b243f.html', 'size': 3732821.0, '_type': 'html-file', 'sha256': 'cbf4772e2878cd5b243f6a05752f6ff0fe84076898a0785de9f43537869e5c74'}",0.0,29881.59568554456,0.0,0.0,4444.75,0.007896322757005692,2349056.0,0.0
0.0,601.9189453125,0.0,0.0,0.0,0.095703125,-2378.69921875,-0.10812398046255112,2603008.0,1774321922.1615484,0.0,321.202771984,,0.0,29837.7452931436,0.0,0.0,5409.81640625,0.009866924956440926,2603008.0,0.0
0.0439453125,507.23046875,0.0,0.0439453125,0.001953125,10.59765625,-1984.9798583984375,-0.10540416091680527,2856960.0,1774321944.8683183,0.0,343.963080173,,0.0,29783.932011944868,0.0,0.0,4237.384765625,0.01057355385273695,2856960.0,0.0
2.4697265625,659.8310546875,0.0,2.4697265625,0.017578125,10.3583984375,-2615.1123046875,-0.1063551977276802,3110912.0,1774321967.6284618,0.0,366.652139257,,0.0,29936.547768010394,0.0,0.0,5689.28564453125,0.012229567393660545,3110912.0,0.0
0.0380859375,585.048828125,0.0,0.0380859375,0.00390625,3.3564453125,-2310.072265625,-0.11236875504255295,3364864.0,1774321990.317651,0.0,389.406007234,,0.0,29834.263611573282,0.0,0.0,5184.9482421875,0.014703291468322277,3364864.0,0.0
0.8662109375,629.0625,0.0,0.8662109375,0.0048828125,6.4052734375,-2461.048095703125,-0.1165991798043251,3618816.0,1774322061.580848,0.0,437.914778086,"{'_type': 'html-file', 'sha256': 'd2e662fd19a92ae071761eabae809d486710d091b08e96cb5d817c2d29881244', 'path': 'media/html/render_3618816_d2e662fd19a92ae07176.html', 'size': 3617869.0}",0.0,29901.21540253887,0.0,0.0,5474.638671875,0.015444091521203518,3618816.0,0.0
0.03125,948.037109375,0.0,0.03125,0.001953125,3.2958984375,-3733.154541015625,-0.13715793192386627,3872768.0,1774322061.780005,0.0,460.956023788,,0.0,29945.465680277175,0.0,0.0,8065.640625,0.018026620149612427,3872768.0,0.0
3.51953125,527.5927734375,0.0,3.51953125,0.01171875,15.17578125,-2079.36083984375,-0.12612804770469666,4126720.0,1774322084.6215851,0.0,483.618372202,,0.0,29828.026864695028,0.0,0.0,4649.90625,0.01933269388973713,4126720.0,0.0
5.623046875,705.3671875,0.0,5.623046875,0.0166015625,30.162109375,-2771.748046875,-0.10365159809589386,4380672.0,1774322107.2838702,0.0,506.446463548,,0.0,29905.591806733093,0.0,0.0,5661.7744140625,0.020221928134560585,4380672.0,0.0
3.2314453125,619.8671875,0.0,3.2314453125,0.01171875,16.400390625,-2438.47705078125,-0.07338128983974457,4634624.0,1774322130.1119597,0.0,529.103643834,,0.0,29864.97403443975,0.0,0.0,4642.3330078125,0.021657021716237068,4634624.0,0.0
0.0,893.138671875,0.0,0.0,0.0,2.0341796875,-3526.15771484375,-0.08215895295143127,4888576.0,1774322201.947519,0.0,578.281613117,"{'_type': 'html-file', 'sha256': '5c07bd7bc4e3e9541e18f5ea90ef800112ad6d59891b7dabfcaa33059e627687', 'path': 'media/html/render_4888576_5c07bd7bc4e3e9541e18.html', 'size': 3668213.0}",0.0,29925.476786268813,0.0,0.0,7606.90625,0.02674083784222603,4888576.0,0.0
2.5830078125,721.423828125,0.0,2.5830078125,0.0087890625,10.6533203125,-2839.9462890625,-0.10041025280952454,5142528.0,1774322202.1592476,0.0,601.190867367,,0.0,29875.17322417352,0.0,0.0,6213.13671875,0.0334593839943409,5142528.0,0.0
7.0888671875,730.4521484375,0.0,7.0888671875,0.0205078125,33.9775390625,-2874.300048828125,-0.10651181638240814,5396480.0,1774322224.8562646,0.0,624.0249362,,0.0,29829.768546947405,0.0,0.0,6312.91748046875,0.04055311158299446,5396480.0,0.0
30.3056640625,657.958984375,0.0,30.3056640625,0.0634765625,87.662109375,-2586.16162109375,-0.0979522094130516,5650432.0,1774322247.6903777,0.0,646.663906752,,0.0,29836.716415952138,0.0,0.0,5131.5498046875,0.0424291267991066,5650432.0,0.0
14.3076171875,673.2021484375,0.0,14.3076171875,0.0302734375,30.671875,-2657.42041015625,-0.14015960693359375,5904384.0,1774322270.329323,0.0,669.46998289,,0.0,29975.100558678714,0.0,0.0,5808.57421875,0.056097209453582764,5904384.0,0.0
13.82421875,447.943359375,0.0,13.82421875,0.033203125,35.4326171875,-1759.856201171875,-0.14457902312278748,6158336.0,1774322342.3299873,0.0,718.663962403,"{'_type': 'html-file', 'sha256': '64c12670858957b29d0575b35dc62f98a22b0a1167ff5fbc9fbd9a767adf373f', 'path': 'media/html/render_6158336_64c12670858957b29d05.html', 'size': 3625181.0}",0.0,29947.749877084127,0.0,0.0,3683.86474609375,0.06567971408367157,6158336.0,0.0
6.140625,855.1943359375,0.0,6.140625,0.0166015625,21.9052734375,-3392.93896484375,-0.11993411928415298,6412288.0,1774322342.5502546,0.0,741.731003819,,0.0,29971.912286720457,0.0,0.0,7408.013671875,0.06728105247020721,6412288.0,0.0
25.853515625,678.5966796875,0.0,25.853515625,0.0478515625,73.865234375,-2687.24267578125,-0.1514316201210022,6666240.0,1774322365.3964431,0.0,764.397168749,,0.0,29803.80308354583,0.0,0.0,5421.94970703125,0.0755695104598999,6666240.0,0.0
9.9306640625,625.669921875,0.0,9.9306640625,0.025390625,42.23046875,-2460.312255859375,-0.07406266033649445,6920192.0,1774322388.062672,0.0,787.230351995,,0.0,29922.913537021726,0.0,0.0,5042.76416015625,0.08032701164484024,6920192.0,0.0
14.8818359375,577.595703125,0.0,14.8818359375,0.0341796875,32.255859375,-2243.759765625,-0.12460838258266449,7174144.0,1774322410.8958097,0.0,809.89634381,,0.0,29848.362500356587,0.0,0.0,4880.12255859375,0.09553993493318558,7174144.0,0.0
