eval/episode_success_easy,_step,eval/episode_reward_ctrl,step,eval/episode_reward,training/sps,eval/episode_success_any,_runtime,eval/episode_reward_dist,render,eval/episode_success_hard,training/actor_loss,_timestamp,eval/episode_success,training/log_alpha,training/critic_loss,training/entropy,eval/episode_reward_survive,eval/episode_reward_near,training/alpha_loss,eval/episode_dist
,0.0,,,,,,67.590058816,,"{'path': 'media/html/render_0_e0de9db10c1fa04abfc3.html', 'size': 3751169.0, '_type': 'html-file', 'sha256': 'e0de9db10c1fa04abfc3fad71365d18dea5daa925f79623f879d44c21dfb3a26'}",,,1774275932.1877255,,,,,,,,
,1.0,,,,,,158.210612984,,"{'_type': 'html-file', 'sha256': '762261fa2c87f51192c0c6704dd7a765ee6e7b8a068c1c383bd39b0c009b5b98', 'path': 'media/html/render_1_762261fa2c87f51192c0.html', 'size': 3787817.0}",,,1774276022.8082457,,,,,,,,
9.333984375,1333248.0,-1570.719482421875,1333248.0,0.7978515625,10565.21712926395,0.00390625,181.080814216,0.0,,0.0,-0.8727297782897949,1774276022.998633,0.7978515625,0.0,0.0034728473983705044,0.0,423.818359375,0.0,0.0,3539.16943359375
0.0,1587200.0,-2739.01904296875,1587200.0,0.0,30144.22334403117,0.0,203.822292322,0.0,,0.0,-0.5209513306617737,1774276045.6779668,0.0,0.0,0.0009652271983213723,0.0,817.12890625,0.0,0.0,6598.9423828125
10.126953125,1841152.0,-2611.01904296875,1841152.0,0.1728515625,30255.20329940907,0.0048828125,226.587769923,0.0,,0.0,-0.32311978936195374,1774276068.4193342,0.1728515625,0.0,0.0007388555677607656,0.0,818.8759765625,0.0,0.0,6924.22216796875
15.6025390625,2095104.0,-2356.9931640625,2095104.0,1.5908203125,29991.36623567476,0.0048828125,249.372374999,0.0,,0.0,-0.2091015726327896,1774276091.1847732,1.5908203125,0.0,0.0008907027659006417,0.0,678.4990234375,0.0,0.0,5608.7880859375
4.1591796875,2349056.0,-3202.16552734375,2349056.0,0.013671875,30056.901011822163,0.0009765625,298.150933735,0.0,"{'path': 'media/html/render_2349056_8a2d3bdfbb8cc73f3d58.html', 'size': 3600013.0, '_type': 'html-file', 'sha256': '8a2d3bdfbb8cc73f3d58cfafa58e70259b94044e27316eee0a0630939c81e538'}",0.0,-0.15857408940792084,1774276162.7486696,0.013671875,0.0,0.0018877764232456684,0.0,857.4873046875,0.0,0.0,7184.58935546875
14.86328125,2603008.0,-3294.440673828125,2603008.0,2.1025390625,30024.790158279397,0.013671875,320.980557478,0.0,,0.0,-0.1479724496603012,1774276162.9319177,2.1025390625,0.0,0.0033672810532152653,0.0,858.1943359375,0.0,0.0,7523.044921875
27.310546875,2856960.0,-3371.7890625,2856960.0,7.5029296875,30015.11107073347,0.025390625,343.69574341,0.0,,0.0,-0.14937888085842133,1774276185.5775952,7.5029296875,0.0,0.0040686242282390594,0.0,895.1357421875,0.0,0.0,7040.162109375
16.6484375,3110912.0,-3459.372802734375,3110912.0,4.4892578125,30135.298363340604,0.01953125,366.355556604,0.0,,0.0,-0.13729549944400787,1774276208.2927966,4.4892578125,0.0,0.004018733277916908,0.0,916.416015625,0.0,0.0,7619.4482421875
14.3486328125,3364864.0,-3437.98828125,3364864.0,2.671875,30008.52118805191,0.009765625,389.082097104,0.0,,0.0,-0.10645631700754166,1774276230.9526174,2.671875,0.0,0.0037938684690743685,0.0,893.0244140625,0.0,0.0,7520.54296875
4.654296875,3618816.0,-2725.701416015625,3618816.0,0.107421875,30066.202247473917,0.0029296875,437.965062059,0.0,"{'sha256': 'd663ee3fec2477033b5a6f3f174eadd5be017569f41e0bb7f8fd5e6b43d27097', 'path': 'media/html/render_3618816_d663ee3fec2477033b5a.html', 'size': 3728577.0, '_type': 'html-file'}",0.0,-0.09496774524450302,1774276302.5628178,0.107421875,0.0,0.005172443576157093,0.0,706.5400390625,0.0,0.0,6276.083984375
6.373046875,3872768.0,-2650.84521484375,3872768.0,0.03125,30149.109802741415,0.00390625,460.982586631,0.0,,0.0,-0.10722041875123978,1774276302.758482,0.03125,0.0,0.00792840775102377,0.0,683.0791015625,0.0,0.0,6107.55517578125
14.1015625,4126720.0,-3428.274658203125,4126720.0,2.4130859375,29938.52850624055,0.0126953125,483.627649397,0.0,,0.0,-0.1269206553697586,1774276325.5796146,2.4130859375,0.0,0.013760815374553204,0.0,862.00390625,0.0,0.0,7680.03955078125
10.94921875,4380672.0,-2447.522705078125,4380672.0,2.548828125,30024.41015332055,0.013671875,506.439738756,0.0,,0.0,-0.10157199949026108,1774276348.2245784,2.548828125,0.0,0.014030617661774158,0.0,628.4609375,0.0,0.0,5291.5908203125
19.06640625,4634624.0,-2774.205078125,4634624.0,2.5419921875,29975.01789121121,0.0078125,529.041556869,0.0,,0.0,-0.08491788059473038,1774276371.0362406,2.5419921875,0.0,0.013729730620980263,0.0,704.771484375,0.0,0.0,6090.63037109375
20.3828125,4888576.0,-3485.380859375,4888576.0,2.09765625,30183.7836619293,0.0078125,577.595139619,0.0,"{'_type': 'html-file', 'sha256': '93fec9dae01d9d9b15646b12a97380f87a07713de91304178a3fd1035760fd3c', 'path': 'media/html/render_4888576_93fec9dae01d9d9b1564.html', 'size': 3818121.0}",0.0,-0.08587890863418579,1774276442.1928608,2.09765625,0.0,0.01531180553138256,0.0,900.6474609375,0.0,0.0,7728.740234375
11.083984375,5142528.0,-2017.2119140625,5142528.0,0.7578125,29994.664228837748,0.0078125,600.448643827,0.0,,0.0,-0.08115440607070923,1774276442.3966832,0.7578125,0.0,0.016787629574537277,0.0,517.978515625,0.0,0.0,3944.034912109375
7.2783203125,5396480.0,-1590.348876953125,5396480.0,0.9453125,30011.623391324614,0.001953125,623.247236113,0.0,,0.0,-0.1046496257185936,1774276465.0458992,0.9453125,0.0,0.01992635987699032,0.0,404.4892578125,0.0,0.0,3310.955322265625
22.521484375,5650432.0,-3011.53564453125,5650432.0,6.828125,30027.999002366854,0.0224609375,645.857213161,0.0,,0.0,-0.12432929128408432,1774276487.8444257,6.828125,0.0,0.02671518363058567,0.0,767.97265625,0.0,0.0,6385.546875
15.8251953125,5904384.0,-2737.957763671875,5904384.0,3.50390625,30140.04205953844,0.01171875,668.64877429,0.0,,0.0,-0.1262301802635193,1774276510.4543324,3.50390625,0.0,0.033980533480644226,0.0,693.6640625,0.0,0.0,6212.1708984375
13.2021484375,6158336.0,-2445.164794921875,6158336.0,0.92578125,30083.53130768895,0.0029296875,717.701856428,0.0,"{'sha256': '3589ece171d06b1258fdf2807af2b2df8a5e9aa0710a534f394d0261160fb673', 'path': 'media/html/render_6158336_3589ece171d06b1258fd.html', 'size': 3679253.0, '_type': 'html-file'}",0.0,-0.14116469025611877,1774276582.2995868,0.92578125,0.0,0.04020586982369423,0.0,617.1533203125,0.0,0.0,5317.5361328125
17.2109375,6412288.0,-3048.04150390625,6412288.0,3.810546875,30099.666537826437,0.009765625,740.690341453,0.0,,0.0,-0.13740137219429016,1774276582.4906938,3.810546875,0.0,0.048231080174446106,0.0,768.8583984375,0.0,0.0,6571.4609375
0.912109375,6666240.0,-2827.41259765625,6666240.0,0.0,30017.99299257314,0.0,763.334220753,0.0,,0.0,-0.1314878910779953,1774276605.2874193,0.0,0.0,0.051077522337436676,0.0,717.6162109375,0.0,0.0,5942.978515625
1.0966796875,6920192.0,-2454.17431640625,6920192.0,0.0,30060.131145305473,0.0,786.138350809,0.0,,0.0,-0.0781494602560997,1774276627.9312801,0.0,0.0,0.04539372771978378,0.0,620.5947265625,0.0,0.0,4853.828125
3.5966796875,7174144.0,-1190.5921630859375,7174144.0,0.0068359375,30026.555741778226,0.001953125,808.773382847,0.0,,0.0,-0.1254248470067978,1774276650.7352655,0.0068359375,0.0,0.04984283447265625,0.0,301.9091796875,0.0,0.0,2567.137939453125
