eval/episode_reward_near,_step,eval/episode_dist,eval/episode_success,eval/episode_success_any,_runtime,training/actor_loss,eval/episode_reward,training/critic_loss,eval/episode_reward_survive,eval/episode_success_hard,training/entropy,_timestamp,eval/episode_reward_dist,eval/episode_reward_ctrl,training/alpha_loss,eval/episode_success_easy,training/sps,training/log_alpha,render,step
,0.0,,,,67.064494778,,,,,,,1774310246.0814438,,,,,,,"{'_type': 'html-file', 'sha256': 'c170ba14b54dd4b41bc85b01a10b17c3a7a7b41607af077514ee75a9559f7702', 'path': 'media/html/render_0_c170ba14b54dd4b41bc8.html', 'size': 3826109.0}",
,1.0,,,,157.616251892,,,,,,,1774310336.6332707,,,,,,,"{'size': 3821809.0, '_type': 'html-file', 'sha256': '5357aa5c3f0d9c6ef4c0656d837e513b334c6fd8e4ec36d4c5eef7471656a65f', 'path': 'media/html/render_1_5357aa5c3f0d9c6ef4c0.html'}",
0.0,1333248.0,1551.02685546875,0.2548828125,0.001953125,180.566535984,1.1212722063064575,0.2548828125,0.005322083830833435,187.0478515625,0.0,0.0,1774310336.8456514,0.0,-703.9573974609375,0.0,5.23046875,10548.595927160814,0.0,,1333248.0
0.0,1587200.0,2273.04736328125,0.0107421875,0.001953125,203.369468284,0.6639366745948792,0.0107421875,0.0021052551455795765,233.5732421875,0.0,0.0,1774310359.5829668,0.0,-915.470458984375,0.0,1.4521484375,29896.76223840309,0.0,,1587200.0
0.0,1841152.0,568.2662353515625,0.0,0.0,226.14583183,0.32180550694465637,0.0,0.0008744481601752341,80.0146484375,0.0,0.0,1774310382.385958,0.0,-307.0426025390625,0.0,0.9658203125,29959.18367403881,0.0,,1841152.0
0.0,2095104.0,306.4927978515625,0.0,0.0,248.93813548,0.13598354160785675,0.0,0.00035276784910820425,36.86328125,0.0,0.0,1774310405.1621401,0.0,-142.61053466796875,0.0,0.0,29907.858167565642,0.0,,2095104.0
0.0,2349056.0,773.6845703125,0.0,0.0,298.02462735,0.050184719264507294,0.0,0.0005614532274194062,108.072265625,0.0,0.0,1774310477.041651,0.0,-400.41632080078125,0.0,0.4052734375,29965.171072311234,0.0,"{'_type': 'html-file', 'sha256': '3363cfb32870bae1217747bf745ebfe67fb3f8005a34f67d9bea36f70688c417', 'path': 'media/html/render_2349056_3363cfb32870bae12177.html', 'size': 3840337.0}",2349056.0
0.0,2603008.0,4091.298828125,0.01953125,0.0009765625,320.910642519,0.003273704554885626,0.01953125,0.0010090613504871726,510.98046875,0.0,0.0,1774310477.2419639,0.0,-1958.319580078125,0.0,3.6484375,29890.060654364286,0.0,,2603008.0
0.0,2856960.0,2576.250244140625,0.27734375,0.01171875,343.667077654,-0.02981182001531124,0.27734375,0.001477058744058013,339.71484375,0.0,0.0,1774310499.927059,0.0,-1314.29150390625,0.0,4.6298828125,29835.84389008855,0.0,,2856960.0
0.0,3110912.0,2349.76806640625,0.29296875,0.0068359375,366.332347055,-0.049180254340171814,0.29296875,0.001796563039533794,346.8583984375,0.0,0.0,1774310522.6829097,0.0,-1313.27099609375,0.0,11.998046875,29927.001156787595,0.0,,3110912.0
0.0,3364864.0,1942.1575927734375,0.2177734375,0.005859375,389.083608193,-0.061335816979408264,0.2177734375,0.0017665186896920204,269.974609375,0.0,0.0,1774310545.3486333,0.0,-1010.801025390625,0.0,10.6806640625,29898.4884583871,0.0,,3364864.0
0.0,3618816.0,3788.001953125,3.28515625,0.029296875,437.56076329,-0.061454445123672485,3.28515625,0.0015535613056272268,492.490234375,0.0,0.0,1774310616.57779,0.0,-1885.259521484375,0.0,31.1240234375,29907.8774822315,0.0,"{'_type': 'html-file', 'sha256': '415ff4decc5ddfbd117a7ec59612dfa3312bd6dfd0ab1b1a4672bd3539cf9d81', 'path': 'media/html/render_3618816_415ff4decc5ddfbd117a.html', 'size': 3799925.0}",3618816.0
0.0,3872768.0,5811.361328125,0.138671875,0.005859375,460.58508868,-0.053869470953941345,0.138671875,0.00180376588832587,666.197265625,0.0,0.0,1774310616.7748804,0.0,-2599.718017578125,0.0,6.5107421875,30005.18126596034,0.0,,3872768.0
0.0,4126720.0,7800.77880859375,0.7294921875,0.00390625,483.221956279,-0.05474378913640976,0.7294921875,0.0026469603180885315,916.8935546875,0.0,0.0,1774310639.601463,0.0,-3613.05615234375,0.0,7.98828125,29863.486118038545,0.0,,4126720.0
0.0,4380672.0,6518.99609375,0.03515625,0.0009765625,506.040539881,-0.05802366882562637,0.03515625,0.003539623925462365,746.69140625,0.0,0.0,1774310662.2383986,0.0,-2938.44873046875,0.0,3.8818359375,29982.00321333094,0.0,,4380672.0
0.0,4634624.0,5896.9677734375,1.66796875,0.01953125,528.675966291,-0.06051427498459816,1.66796875,0.00425890414044261,788.5791015625,0.0,0.0,1774310685.056971,0.0,-3065.776123046875,0.0,39.7724609375,29886.619583892796,0.0,,4634624.0
0.0,4888576.0,5648.697265625,0.0078125,0.0009765625,577.521939714,-0.05603066459298134,0.0078125,0.004365798085927963,729.310546875,0.0,0.0,1774310756.5388503,0.0,-2898.04736328125,0.0,2.7470703125,29976.03776971245,0.0,"{'_type': 'html-file', 'sha256': 'e555652af84d4235baabdb91b1086c44b82f450a25ecff5ac80cdab74fc82453', 'path': 'media/html/render_4888576_e555652af84d4235baab.html', 'size': 3731769.0}",4888576.0
0.0,5142528.0,7722.1865234375,0.525390625,0.0078125,600.390597757,-0.07071693241596222,0.525390625,0.006246396340429783,881.3134765625,0.0,0.0,1774310756.732541,0.0,-3454.73095703125,0.0,10.845703125,29917.248876521735,0.0,,5142528.0
0.0,5396480.0,6314.9052734375,3.51171875,0.0263671875,623.200892388,-0.06605318933725357,3.51171875,0.0076576657593250275,725.4921875,0.0,0.0,1774310779.406943,0.0,-2865.8056640625,0.0,26.31640625,29891.481595548696,0.0,,5396480.0
0.0,5650432.0,4799.35986328125,0.0,0.0,645.847290222,-0.06369598954916,0.0,0.008723055012524128,627.8076171875,0.0,0.0,1774310802.2172904,0.0,-2473.240234375,0.0,6.978515625,29901.02989749592,0.0,,5650432.0
0.0,5904384.0,4005.567626953125,0.92578125,0.0087890625,668.656238462,-0.06129837781190872,0.92578125,0.010221348144114017,500.1064453125,0.0,0.0,1774310824.8636997,0.0,-1967.1229248046875,0.0,12.6943359375,29947.221946603368,0.0,,5904384.0
0.0,6158336.0,3716.7958984375,2.57421875,0.009765625,717.788887602,-0.05959351733326912,2.57421875,0.011046057567000389,514.263671875,0.0,0.0,1774310896.8058164,0.0,-2033.7764892578125,0.0,19.328125,29936.472885428208,0.0,"{'sha256': '82de93e33722a89856c58a230b11aa0cebcc4be7ca0dd5ba8e27a32e7c882537', 'path': 'media/html/render_6158336_82de93e33722a89856c5.html', 'size': 3788869.0, '_type': 'html-file'}",6158336.0
0.0,6412288.0,1995.8609619140625,1.609375,0.0263671875,740.845764904,-0.06187758222222328,1.609375,0.013130501843988895,241.001953125,0.0,0.0,1774310897.0168288,0.0,-940.3460693359375,0.0,18.8916015625,29945.640792505626,0.0,,6412288.0
0.0,6666240.0,3828.09619140625,0.974609375,0.0087890625,763.505923425,-0.05162416025996208,0.974609375,0.012123946100473404,498.94921875,0.0,0.0,1774310919.862185,0.0,-1966.363037109375,0.0,11.6669921875,29807.61047987999,0.0,,6666240.0
0.0,6920192.0,7614.8486328125,0.6357421875,0.0078125,786.321898845,-0.05792226642370224,0.6357421875,0.014207481406629086,877.484375,0.0,0.0,1774310942.5221517,0.0,-3482.98779296875,0.0,5.2958984375,29928.067383564106,0.0,,6920192.0
0.0,7174144.0,7040.9970703125,0.6806640625,0.001953125,808.978467398,-0.07057420909404755,0.6806640625,0.017751513049006462,789.5791015625,0.0,0.0,1774310965.3381827,0.0,-3122.73876953125,0.0,8.1298828125,29894.05456422171,0.0,,7174144.0
0.0,7428096.0,5307.1181640625,3.53515625,0.017578125,857.622723228,-0.06942906230688095,3.53515625,0.022002674639225006,630.009765625,0.0,0.0,1774311036.639649,0.0,-2442.22802734375,0.0,19.16015625,29936.75306599981,0.0,"{'_type': 'html-file', 'sha256': '6a07c6a3a2fb02fdfe2f651d20ce8ae0cc36c7c8db314bc5a935f6d8aac673fb', 'path': 'media/html/render_7428096_6a07c6a3a2fb02fdfe2f.html', 'size': 3720657.0}",7428096.0
0.0,7682048.0,5822.59130859375,3.2646484375,0.025390625,880.472584958,-0.09104719758033752,3.2646484375,0.024001123383641243,707.353515625,0.0,0.0,1774311036.835257,0.0,-2781.6611328125,0.0,16.9453125,29892.608211049774,0.0,,7682048.0
0.0,7936000.0,6996.66015625,3.4423828125,0.0126953125,903.291640597,-0.09714041650295258,3.4423828125,0.025506505742669106,815.0205078125,0.0,0.0,1774311059.489023,0.0,-3222.867431640625,0.0,13.66015625,29957.875934759868,0.0,,7936000.0
0.0,8189952.0,5891.34765625,7.6630859375,0.048828125,925.926908429,-0.08207382261753082,7.6630859375,0.027907930314540863,723.7587890625,0.0,0.0,1774311082.3079305,0.0,-2845.383544921875,0.0,53.4326171875,29896.215965289182,0.0,,8189952.0
0.0,8443904.0,5810.4345703125,6.3203125,0.013671875,948.730839698,-0.07388000190258026,6.3203125,0.029672330245375633,684.5595703125,0.0,0.0,1774311104.9431803,0.0,-2720.04150390625,0.0,21.005859375,29999.878311031956,0.0,,8443904.0
0.0,8697856.0,5622.181640625,14.0556640625,0.0478515625,997.768169795,-0.05643368884921074,14.0556640625,0.029859419912099838,713.6064453125,0.0,0.0,1774311176.785104,0.0,-2813.2177734375,0.0,64.119140625,29935.87636228161,0.0,"{'_type': 'html-file', 'sha256': 'c9ee2aa58e1d586ba31d37fd38adf1d386b453bd11c26e1713cae1f02b54b180', 'path': 'media/html/render_8697856_c9ee2aa58e1d586ba31d.html', 'size': 3696893.0}",8697856.0
0.0,8951808.0,6003.6748046875,5.583984375,0.0126953125,1020.796841415,-0.06804648786783218,5.583984375,0.03234553709626198,702.3818359375,0.0,0.0,1774311176.981573,0.0,-2793.41064453125,0.0,18.4404296875,29989.4933322732,0.0,,8951808.0
0.0,9205760.0,5379.0771484375,8.5673828125,0.025390625,1043.440637168,-0.07196240872144699,8.5673828125,0.03442353755235672,667.0361328125,0.0,0.0,1774311199.8133273,0.0,-2653.980712890625,0.0,25.4365234375,29852.44316255126,0.0,,9205760.0
0.0,9459712.0,4199.9228515625,7.533203125,0.033203125,1066.281183777,-0.04950336366891861,7.533203125,0.03252746909856796,522.9853515625,0.0,0.0,1774311222.4569871,0.0,-2061.979248046875,0.0,24.8916015625,29963.935301194615,0.0,,9459712.0
0.0,9713664.0,6074.337890625,7.0126953125,0.0263671875,1088.915144231,-0.049558769911527634,7.0126953125,0.03759431093931198,716.8515625,0.0,0.0,1774311245.2976327,0.0,-2852.271728515625,0.0,21.80859375,29816.515994587662,0.0,,9713664.0
0.0,9967616.0,5040.9072265625,0.4423828125,0.0009765625,1137.77414906,-0.02351696789264679,0.4423828125,0.037083499133586884,604.2587890625,0.0,0.0,1774311316.791167,0.0,-2395.39501953125,0.0,8.7822265625,29999.199837098,0.0,"{'_type': 'html-file', 'sha256': 'f657e62c94e91d619b38efeae4b1745cf13121941adb52db784e83ea0d86d04f', 'path': 'media/html/render_9967616_f657e62c94e91d619b38.html', 'size': 3697321.0}",9967616.0
0.0,10221568.0,6153.1796875,12.2236328125,0.0244140625,1160.678156253,-0.04693172499537468,12.2236328125,0.04353247582912445,715.4462890625,0.0,0.0,1774311316.9970012,0.0,-2819.306884765625,0.0,23.146484375,29981.506986904566,0.0,,10221568.0
0.0,10475520.0,4349.109375,15.1484375,0.037109375,1183.514622912,-0.05947530269622803,15.1484375,0.05124149098992348,543.92578125,0.0,0.0,1774311339.6946201,0.0,-2154.95458984375,0.0,40.0458984375,29792.638385615828,0.0,,10475520.0
0.0,10729472.0,2527.24560546875,8.314453125,0.0205078125,1206.16756057,-0.10994121432304382,8.314453125,0.056281883269548416,352.705078125,0.0,0.0,1774311362.5309293,0.0,-1398.581298828125,0.0,48.8310546875,29822.757948213573,0.0,,10729472.0
0.0,10983424.0,7635.71484375,0.0458984375,0.0009765625,1229.002564921,-0.14416126906871796,0.0458984375,0.06870940327644348,891.5361328125,0.0,0.0,1774311385.1838698,0.0,-3540.78466796875,0.0,0.265625,29906.07964568848,0.0,,10983424.0
0.0,11237376.0,5551.5498046875,3.6064453125,0.0146484375,1278.534336319,-0.13869896531105042,3.6064453125,0.06925936043262482,679.310546875,0.0,0.0,1774311457.5513227,0.0,-2689.40087890625,0.0,13.1240234375,29829.676654552037,0.0,"{'sha256': '7c3a554662d89d548b41d85e7ce187736ef0145a40024e437145918980f9e9fd', 'path': 'media/html/render_11237376_7c3a554662d89d548b41.html', 'size': 3671157.0, '_type': 'html-file'}",11237376.0
