eval/episode_reward_dist,eval/episode_reward_near,eval/episode_dist,training/alpha_loss,_timestamp,eval/episode_reward_ctrl,_runtime,training/sps,training/actor_loss,_step,training/critic_loss,eval/episode_success_hard,eval/episode_reward_survive,render,eval/episode_success_any,training/entropy,eval/episode_reward,eval/episode_success_easy,training/log_alpha,eval/episode_success,step
,,,,1774281639.9473858,,67.404672699,,,0.0,,,,"{'_type': 'html-file', 'sha256': 'b474663482729fe9482644abf5e84bd4e9d0a0550898755d48ab546337a70904', 'path': 'media/html/render_0_b474663482729fe94826.html', 'size': 3880749.0}",,,,,,,
,,,,1774281730.809152,,158.266329911,,,1.0,,,,"{'size': 3861417.0, '_type': 'html-file', 'sha256': '2c1463314b84ade434a73f9d7bcba9b8bf81f4bcfa2da838774ace69eb522077', 'path': 'media/html/render_1_2c1463314b84ade434a7.html'}",,,,,,,
0.0,0.0,2095.353515625,0.0,1774281731.0095768,-967.0286865234375,181.144781848,10477.010043078863,0.25251421332359314,1333248.0,0.005547001957893372,0.0,264.9541015625,,0.0,0.0,0.0,5.08984375,0.0,0.0,1333248.0
0.0,0.0,2621.989013671875,0.0,1774281753.6871238,-1379.0791015625,203.858086514,30156.61279306278,0.15898436307907104,1587200.0,0.0012375550577417016,0.0,371.0263671875,,0.0048828125,0.0,0.3681640625,8.421875,0.0,0.3681640625,1587200.0
0.0,0.0,4343.9052734375,0.0,1774281776.4003663,-1962.26708984375,226.574153404,30315.109209990766,0.07792939990758896,1841152.0,0.002048895927146077,0.0,510.53125,,0.0068359375,0.0,0.1318359375,10.228515625,0.0,0.1318359375,1841152.0
0.0,0.0,1807.0364990234375,0.0,1774281799.1163518,-911.7656860351562,249.308900361,30098.27506397868,0.036053743213415146,2095104.0,0.00294615444727242,0.0,244.404296875,,0.001953125,0.0,0.0234375,13.5390625,0.0,0.0234375,2095104.0
0.0,0.0,4254.7763671875,0.0,1774281870.774991,-1890.512451171875,298.232230549,30175.142129667467,0.009141321294009686,2349056.0,0.004730215296149254,0.0,497.7333984375,"{'path': 'media/html/render_2349056_1c0d16df14f3dab7457e.html', 'size': 3708901.0, '_type': 'html-file', 'sha256': '1c0d16df14f3dab7457ed2f8181f979359d9e48ffc9204a3ceb64d6a9c0665c4'}",0.009765625,0.0,1.6044921875,10.1513671875,0.0,1.6044921875,2349056.0
0.0,0.0,5473.1962890625,0.0,1774281870.974606,-2559.05712890625,321.065297906,30129.217224666,-0.02616989053785801,2603008.0,0.007294903043657541,0.0,664.271484375,,0.001953125,0.0,0.0341796875,5.916015625,0.0,0.0341796875,2603008.0
0.0,0.0,6422.01318359375,0.0,1774281893.6075592,-2784.789306640625,343.744797496,30053.680052218795,-0.03836667165160179,2856960.0,0.011299638077616692,0.0,729.955078125,,0.0009765625,0.0,0.001953125,0.9873046875,0.0,0.001953125,2856960.0
0.0,0.0,6272.703125,0.0,1774281916.2866237,-2795.103759765625,366.344172095,30214.350013881016,-0.06904108077287674,3110912.0,0.01554351206868887,0.0,739.6669921875,,0.0,0.0,0.0,3.5048828125,0.0,0.0,3110912.0
0.0,0.0,5594.1396484375,0.0,1774281938.8864627,-2624.18505859375,389.034285507,30140.02500241015,-0.07267322391271591,3364864.0,0.015509002842009068,0.0,686.1669921875,,0.0,0.0,0.0,0.0,0.0,0.0,3364864.0
0.0,0.0,6254.13037109375,0.0,1774282009.9435358,-2880.7451171875,437.400741858,30126.782559176474,-0.10152024030685425,3618816.0,0.02102104388177395,0.0,734.744140625,"{'size': 3708777.0, '_type': 'html-file', 'sha256': 'c2b6134a8119e0670bce4474fc428373a9adc92b7baf4bdd8f897db0f96dc34a', 'path': 'media/html/render_3618816_c2b6134a8119e0670bce.html'}",0.0,0.0,0.0,4.171875,0.0,0.0,3618816.0
