eval/episode_reward,training/actor_loss,render,eval/episode_success,_runtime,_step,training/critic_loss,step,eval/episode_reward_ctrl,training/alpha_loss,training/entropy,eval/episode_reward_dist,training/sps,eval/episode_success_hard,eval/episode_reward_survive,training/log_alpha,eval/episode_success_any,eval/episode_success_easy,eval/episode_dist,eval/episode_reward_near,_timestamp
,,"{'sha256': '154e7a274c40f176da6384b2d95596ca618f7176df21a8a09034f35d3632f8d3', 'path': 'media/html/render_0_154e7a274c40f176da63.html', 'size': 3842685.0, '_type': 'html-file'}",,67.147580558,0.0,,,,,,,,,,,,,,,1774315969.4043305
,,"{'path': 'media/html/render_1_f875ba22ae49ef9d86bf.html', 'size': 3763409.0, '_type': 'html-file', 'sha256': 'f875ba22ae49ef9d86bfca1fc4f52bfabfe1dbaa72456d36d33e6362363bdea1'}",,157.817621278,1.0,,,,,,,,,,,,,,,1774316060.0744646
0.0,0.02562648430466652,,0.0,180.75865306,1333248.0,0.003372092032805085,1333248.0,-2698.1083984375,0.0,0.0,0.0,10530.152047137904,0.0,733.8994140625,0.0,0.0,3.955078125,5891.4609375,0.0,1774316060.2661743
0.1552734375,0.00968373566865921,,0.1552734375,203.594631771,1587200.0,0.0018652451690286398,1587200.0,-2873.92529296875,0.0,0.0,0.0,29872.383167694257,0.0,737.2421875,0.0,0.005859375,2.740234375,6197.732421875,0.0,1774316083.0150266
0.3076171875,-0.03458140045404434,,0.3076171875,226.368338303,1841152.0,0.004220541566610336,1841152.0,-2044.1435546875,0.0,0.0,0.0,29879.762450432965,0.0,526.6552734375,0.0,0.0078125,3.8994140625,4709.189453125,0.0,1774316105.8509872
3.3505859375,-0.04446237534284592,,3.3505859375,249.171450351,2095104.0,0.0073651704005897045,2095104.0,-2535.6318359375,0.0,0.0,0.0,29904.611978640765,0.0,650.755859375,0.0,0.01171875,17.0859375,5302.697265625,0.0,1774316128.6246989
1.4794921875,-0.06216428801417351,"{'path': 'media/html/render_2349056_fba79797c713db5d1317.html', 'size': 3790517.0, '_type': 'html-file', 'sha256': 'fba79797c713db5d1317b6772f567a86ccf48e24049a994d50f1964f90071538'}",1.4794921875,298.173874738,2349056.0,0.011738852597773075,2349056.0,-1911.63623046875,0.0,0.0,0.0,29944.393162564244,0.0,497.791015625,0.0,0.00390625,20.138671875,4175.44677734375,0.0,1774316200.4307072
0.0380859375,-0.08863237500190735,,0.0380859375,321.078642229,2603008.0,0.014735663309693336,2603008.0,-1313.09765625,0.0,0.0,0.0,29845.53479923222,0.0,340.16015625,0.0,0.00390625,8.7841796875,2913.493408203125,0.0,1774316200.6283765
0.0,-0.11840084940195084,,0.0,343.870261213,2856960.0,0.01759307272732258,2856960.0,-2608.07666015625,0.0,0.0,0.0,29787.37696478815,0.0,679.6298828125,0.0,0.0,4.7802734375,5911.9384765625,0.0,1774316223.3349538
0.9033203125,-0.1321089267730713,,0.9033203125,366.564096863,3110912.0,0.01699311099946499,3110912.0,-3005.1513671875,0.0,0.0,0.0,29828.057770473202,0.0,757.671875,0.0,0.0029296875,4.4619140625,6681.017578125,0.0,1774316246.1265228
0.5166015625,-0.1474890261888504,,0.5166015625,389.344383353,3364864.0,0.017210738733410835,3364864.0,-2839.47314453125,0.0,0.0,0.0,29834.02629176497,0.0,727.4150390625,0.0,0.005859375,12.9404296875,6452.97021484375,0.0,1774316268.8204122
