training/actor_loss,eval/episode_reward_survive,training/sps,render,_runtime,eval/episode_success,training/entropy,training/log_alpha,eval/episode_reward_dist,eval/episode_dist,_timestamp,eval/episode_reward_ctrl,eval/episode_success_any,eval/episode_reward,eval/episode_reward_near,training/critic_loss,eval/episode_success_easy,step,eval/episode_success_hard,training/alpha_loss,_step
,,,"{'path': 'media/html/render_0_35d9c480ecedf009459f.html', 'size': 3698665.0, '_type': 'html-file', 'sha256': '35d9c480ecedf009459f2fb621fceb6b71e003b0f5ce2616d569f2e8c5b7776f'}",70.235974089,,,,,,1774534112.4349933,,,,,,,,,,0.0
,,,"{'sha256': '1d0dce01bc8e3af0466f5d4916704a6d8a3e9e375fc9ed43a109b5453680ab13', 'path': 'media/html/render_1_1d0dce01bc8e3af0466f.html', 'size': 3834597.0, '_type': 'html-file'}",160.626389566,,,,,,1774534202.8255765,,,,,,,,,,1.0
0.18952754139900208,560.16015625,10514.702115883234,,183.567121904,0.171875,0.0,0.0,0.0,4140.94384765625,1774534203.015416,-2033.04150390625,0.0078125,0.171875,0.0,0.0012874220265075564,10.6767578125,1333248.0,0.0,0.0,1333248.0
0.1145835742354393,607.4345703125,29877.70818673839,,206.437047708,0.0,0.0,0.0,0.0,5092.2431640625,1774534225.7655923,-2152.12109375,0.0,0.0,0.0,0.00010605048009892926,6.025390625,1587200.0,0.0,0.0,1587200.0
0.0697389543056488,334.119140625,29866.638800944413,,229.250522191,0.35546875,0.0,0.0,0.0,2494.235107421875,1774534248.635501,-1227.2265625,0.0185546875,0.35546875,0.0,5.4632426326861605e-05,6.9140625,1841152.0,0.0,0.0,1841152.0
0.04437974840402603,520.3115234375,29790.127835346564,,252.097217647,0.0,0.0,0.0,0.0,4786.7783203125,1774534271.4489093,-1974.695556640625,0.0,0.0,0.0,9.306501306127757e-05,0.9228515625,2095104.0,0.0,0.0,2095104.0
0.023925675079226494,610.4287109375,29887.92446397829,"{'path': 'media/html/render_2349056_ef1ac0fc992f99a9f8f4.html', 'size': 3750281.0, '_type': 'html-file', 'sha256': 'ef1ac0fc992f99a9f8f4685024d115e3b6a17b468fc2ebac78b345232cd83ce4'}",301.030124057,2.6591796875,0.0,0.0,0.0,5342.6982421875,1774534343.2293203,-2373.1474609375,0.0078125,2.6591796875,0.0,0.00038106110878288746,10.65234375,2349056.0,0.0,0.0,2349056.0
0.004628409631550312,902.75390625,29808.775829308113,,323.958507159,4.421875,0.0,0.0,0.0,7534.611328125,1774534343.4157534,-3512.04248046875,0.0107421875,4.421875,0.0,0.001037591602653265,19.9189453125,2603008.0,0.0,0.0,2603008.0
-0.013123765587806702,934.990234375,29718.347056499413,,346.794432637,0.3896484375,0.0,0.0,0.0,7892.7548828125,1774534366.1570048,-3683.395751953125,0.0087890625,0.3896484375,0.0,0.001791720394976437,18.9677734375,2856960.0,0.0,0.0,2856960.0
-0.032305557280778885,935.1611328125,29727.048309249392,,369.523315797,0.0419921875,0.0,0.0,0.0,7815.12109375,1774534388.9928384,-3714.282958984375,0.0029296875,0.0419921875,0.0,0.003130166092887521,2.5888671875,3110912.0,0.0,0.0,3110912.0
-0.046196866780519485,617.537109375,29770.727635875817,,392.325083995,0.0,0.0,0.0,0.0,4725.0546875,1774534411.7217293,-2449.4833984375,0.0,0.0,0.0,0.003683440387248993,0.0498046875,3364864.0,0.0,0.0,3364864.0
-0.052806030958890915,756.826171875,29746.27613415104,"{'sha256': '34640d163e3801a956c6437efdafec63f522957545e23f6c8f01f06326045253', 'path': 'media/html/render_3618816_34640d163e3801a956c6.html', 'size': 3651897.0, '_type': 'html-file'}",441.244771796,0.0,0.0,0.0,0.0,6144.79736328125,1774534483.4439607,-3008.163330078125,0.0,0.0,0.0,0.0046973079442977905,0.0,3618816.0,0.0,0.0,3618816.0
-0.029003117233514786,750.98828125,29867.99051348429,,464.349720846,0.0146484375,0.0,0.0,0.0,6165.34228515625,1774534483.6637573,-2989.62548828125,0.0009765625,0.0146484375,0.0,0.004466122016310692,0.9775390625,3872768.0,0.0,0.0,3872768.0
-0.02775498479604721,964.1494140625,29699.98093639079,,487.038635845,0.0,0.0,0.0,0.0,7953.5634765625,1774534506.5480986,-3806.87158203125,0.0,0.0,0.0,0.0067735170014202595,0.0,4126720.0,0.0,0.0,4126720.0
-0.015323754400014877,875.9150390625,29888.735459078125,,509.902582589,0.0,0.0,0.0,0.0,7423.798828125,1774534529.2370193,-3491.32373046875,0.0,0.0,0.0,0.008409498259425163,2.958984375,4380672.0,0.0,0.0,4380672.0
0.0025548578705638647,527.51171875,29778.40809125845,,532.598429373,0.0,0.0,0.0,0.0,4649.6689453125,1774534552.1008518,-2076.869140625,0.0,0.0,0.0,0.008596546947956085,1.65625,4634624.0,0.0,0.0,4634624.0
-0.0015411068452522159,727.576171875,29867.628704827905,"{'size': 3756049.0, '_type': 'html-file', 'sha256': '828e1ab0c68fd6f26c384306066e614263b528056cef5f2855c8feef74363efd', 'path': 'media/html/render_4888576_828e1ab0c68fd6f26c38.html'}",581.36179725,0.033203125,0.0,0.0,0.0,5976.62353515625,1774534623.560964,-2879.1142578125,0.001953125,0.033203125,0.0,0.011574997566640377,4.625,4888576.0,0.0,0.0,4888576.0
0.011938396841287613,754.8828125,29731.339020150703,,604.271596661,0.0,0.0,0.0,0.0,5816.9736328125,1774534623.7607074,-2988.121337890625,0.0,0.0,0.0,0.011000326834619045,0.0,5142528.0,0.0,0.0,5142528.0
0.006689561065286398,809.3095703125,29815.088818464403,,627.129540231,0.0,0.0,0.0,0.0,6778.59765625,1774534646.4699905,-3221.560302734375,0.0,0.0,0.0,0.010795391164720058,0.078125,5396480.0,0.0,0.0,5396480.0
-0.002529729623347521,713.822265625,29810.191555308127,,649.822544903,1.5283203125,0.0,0.0,0.0,6109.7001953125,1774534669.3274324,-2826.73681640625,0.0068359375,1.5283203125,0.0,0.011419975198805332,13.505859375,5650432.0,0.0,0.0,5650432.0
0.007704177871346474,813.9140625,29881.685383203778,,672.684457592,0.228515625,0.0,0.0,0.0,6938.87158203125,1774534692.0209136,-3244.37890625,0.005859375,0.228515625,0.0,0.009660046547651291,2.259765625,5904384.0,0.0,0.0,5904384.0
0.018569335341453552,703.0087890625,29800.88376559623,"{'size': 3595709.0, '_type': 'html-file', 'sha256': '81a1086656c70ef74281700de37985e03d7a2cc8e4bd0ca52246b66c0f825252', 'path': 'media/html/render_6158336_81a1086656c70ef74281.html'}",721.850666756,0.0,0.0,0.0,0.0,5618.1787109375,1774534764.0498528,-2778.81640625,0.0,0.0,0.0,0.00882573053240776,1.076171875,6158336.0,0.0,0.0,6158336.0
0.03263137862086296,840.484375,29896.982095889387,,744.941111106,0.0,0.0,0.0,0.0,7249.18310546875,1774534764.2449841,-3329.910888671875,0.0,0.0,0.0,0.009515316225588322,2.6416015625,6412288.0,0.0,0.0,6412288.0
0.04423290491104126,564.283203125,29704.817200256435,,767.637810881,0.0,0.0,0.0,0.0,4272.94287109375,1774534787.1394162,-2221.00634765625,0.0,0.0,0.0,0.011584370397031307,0.0,6666240.0,0.0,0.0,6666240.0
0.07678569108247757,744.904296875,29863.553100395697,,790.498069064,0.0,0.0,0.0,0.0,6195.97314453125,1774534809.8362293,-2960.44384765625,0.0,0.0,0.0,0.01198756042867899,0.0,6920192.0,0.0,0.0,6920192.0
0.09442686289548874,825.1025390625,29797.623244292547,,813.192366963,0.0,0.0,0.0,0.0,6727.04052734375,1774534832.6964598,-3285.01806640625,0.0,0.0,0.0,0.011233648285269737,0.0,7174144.0,0.0,0.0,7174144.0
0.11317085474729538,876.8828125,29874.97547328185,"{'path': 'media/html/render_7428096_f3b3b24b27ab00f51788.html', 'size': 3647297.0, '_type': 'html-file', 'sha256': 'f3b3b24b27ab00f51788439df452263b65cbe2a8a20c6c7497062964e6ee8c66'}",861.898467558,0.0,0.0,0.0,0.0,7194.0537109375,1774534904.0975823,-3498.2880859375,0.0,0.0,0.0,0.009843708947300911,0.0263671875,7428096.0,0.0,0.0,7428096.0
0.1121521145105362,930.572265625,29815.048759351597,,884.862199501,0.0,0.0,0.0,0.0,7921.8095703125,1774534904.319081,-3689.15625,0.0,0.0,0.0,0.00955934263765812,0.1650390625,7682048.0,0.0,0.0,7682048.0
0.11013896018266678,853.7861328125,29743.903792499477,,907.728678676,0.0,0.0,0.0,0.0,7185.64697265625,1774534927.059976,-3374.10400390625,0.0,0.0,0.0,0.011103390716016293,0.1884765625,7936000.0,0.0,0.0,7936000.0
0.10193362832069397,925.8544921875,29779.56616291299,,930.433934228,0.0205078125,0.0,0.0,0.0,8154.9052734375,1774534949.9270875,-3677.86328125,0.0009765625,0.0205078125,0.0,0.013112906366586685,1.0390625,8189952.0,0.0,0.0,8189952.0
0.08697665482759476,838.244140625,29831.21550912383,,953.290710779,0.0,0.0,0.0,0.0,7031.8154296875,1774534972.6323724,-3346.72265625,0.0,0.0,0.0,0.012365303933620453,0.5859375,8443904.0,0.0,0.0,8443904.0
0.08176663517951965,880.115234375,29796.838858175634,"{'size': 3802065.0, '_type': 'html-file', 'sha256': 'c8e2298dc96fa198319d2b6bf1f37533a6f80440bcf2dde7cec04c9c93fbfad9', 'path': 'media/html/render_8697856_c8e2298dc96fa198319d.html'}",1002.478381076,0.0,0.0,0.0,0.0,7577.150390625,1774535044.6775565,-3516.60009765625,0.0,0.0,0.0,0.012054366059601307,0.0,8697856.0,0.0,0.0,8697856.0
