training/critic_loss,eval/episode_success_hard,_step,render,training/entropy,eval/episode_reward,eval/episode_success_any,eval/episode_success_easy,eval/episode_dist,training/alpha_loss,eval/episode_reward_ctrl,eval/episode_reward_dist,training/log_alpha,eval/episode_reward_survive,training/actor_loss,step,_timestamp,_runtime,training/sps,eval/episode_reward_near,eval/episode_success
,,0.0,"{'_type': 'html-file', 'sha256': '5e9f1bd0ec3513f4f3f45e973ded15a750aa2d5a767f0ae63eb35bb1dcfd567d', 'path': 'media/html/render_0_5e9f1bd0ec3513f4f3f4.html', 'size': 3724717.0}",,,,,,,,,,,,,1774304522.3681474,67.015106699,,,
,,1.0,"{'path': 'media/html/render_1_dab390a036f493dc246e.html', 'size': 3770721.0, '_type': 'html-file', 'sha256': 'dab390a036f493dc246ef50c8399b13557d6f8ef14c8a8e94cf0a080efdcf3c3'}",,,,,,,,,,,,,1774304612.9716756,157.618347793,,,
0.0017979627009481192,0.0,1333248.0,,0.0,0.0,0.0,0.642578125,7122.3095703125,0.0,-3203.59521484375,0.0,0.0,882.4990234375,-0.22950343787670135,1333248.0,1774304613.1735475,180.575677572,10572.591118153823,0.0,0.0
0.000981625053100288,0.0,1587200.0,,0.0,0.70703125,0.0029296875,10.6611328125,4269.853515625,0.0,-1908.789306640625,0.0,0.0,568.6796875,-0.14215491712093353,1587200.0,1774304635.928462,203.404354022,29842.332223870522,0.0,0.70703125
0.0019096003379672766,0.0,1841152.0,,0.0,1.6640625,0.0048828125,8.591796875,2702.044677734375,0.0,-1171.73681640625,0.0,0.0,341.3623046875,-0.09820781648159027,1841152.0,1774304658.7570913,226.185851096,29885.563854925913,0.0,1.6640625
0.0031383985187858343,0.0,2095104.0,,0.0,0.3955078125,0.0009765625,11.7880859375,4578.990234375,0.0,-1948.5487060546875,0.0,0.0,521.388671875,-0.07424811273813248,2095104.0,1774304681.538633,248.993043036,29858.514354304993,0.0,0.3955078125
0.005371090956032276,0.0,2349056.0,"{'path': 'media/html/render_2349056_ea374fb36a68341175db.html', 'size': 3768109.0, '_type': 'html-file', 'sha256': 'ea374fb36a68341175db903e8f09682a7ba4bbcabf0aeb36fb95530e848f27f8'}",0.0,1.4091796875,0.0029296875,11.00390625,5819.2392578125,0.0,-2589.484375,0.0,0.0,663.8349609375,-0.08310393989086151,2349056.0,1774304753.3524687,297.999140112,29902.76416568474,0.0,1.4091796875
0.007027823477983475,0.0,2603008.0,,0.0,2.35546875,0.005859375,18.8544921875,4500.5087890625,0.0,-2053.55029296875,0.0,0.0,532.4951171875,-0.10203657299280167,2603008.0,1774304753.5486748,320.894704847,29847.801266537634,0.0,2.35546875
0.00831904448568821,0.0,2856960.0,,0.0,0.041015625,0.001953125,3.7021484375,7247.5498046875,0.0,-3409.856201171875,0.0,0.0,868.21875,-0.1188553050160408,2856960.0,1774304776.247565,343.670739662,29798.764470636514,0.0,0.041015625
0.010174501687288284,0.0,3110912.0,,0.0,2.2958984375,0.01171875,14.8154296875,3867.61669921875,0.0,-1698.60595703125,0.0,0.0,463.3134765625,-0.12775254249572754,3110912.0,1774304799.023412,366.34756515,29869.358262904512,0.0,2.2958984375
