eval/episode_reward,eval/episode_reward_dist,training/alpha_loss,eval/episode_success,eval/episode_reward_survive,_step,step,training/critic_loss,eval/episode_success_hard,eval/episode_success_easy,_runtime,render,training/log_alpha,training/entropy,eval/episode_reward_ctrl,_timestamp,eval/episode_reward_near,eval/episode_success_any,eval/episode_dist,training/sps,training/actor_loss
,,,,,0.0,,,,,67.404244865,"{'path': 'media/html/render_0_57aa80eb9ff68a0fdf2c.html', 'size': 3701673.0, '_type': 'html-file', 'sha256': '57aa80eb9ff68a0fdf2cce26693b541e7c36875ee5dbbceb998a85525bf6c7c6'}",,,,1774298802.8233142,,,,,
,,,,,1.0,,,,,157.707317059,"{'path': 'media/html/render_1_99388e856ff73afb1be5.html', 'size': 3696749.0, '_type': 'html-file', 'sha256': '99388e856ff73afb1be5c49515e7a13e905ccc012ac383e5a94440e78ffaf332'}",,,,1774298893.1264355,,,,,
0.0,0.0,0.0,0.0,562.8310546875,1333248.0,1333248.0,0.002984012942761183,0.0,0.1201171875,180.658356423,,0.0,0.0,-2022.6087646484375,1774298893.3299742,0.0,0.0,4573.81982421875,10617.6860621504,-0.21051481366157532
0.0,0.0,0.0,0.0,505.0224609375,1587200.0,1587200.0,0.0008403519750572741,0.0,20.1865234375,203.480129128,,0.0,0.0,-1777.565185546875,1774298916.0769968,0.0,0.0,3603.80322265625,29874.961228615313,-0.15919546782970428
0.037109375,0.0,0.0,0.037109375,613.669921875,1841152.0,1841152.0,0.000968294043559581,0.0,0.4150390625,226.279274155,,0.0,0.0,-2214.768310546875,1774298938.8987393,0.0,0.0009765625,5681.81591796875,29930.196700965622,-0.12364468723535538
0.3076171875,0.0,0.0,0.3076171875,647.4296875,2095104.0,2095104.0,0.0017396451439708471,0.0,5.8359375,249.104125017,,0.0,0.0,-2256.759765625,1774298961.6977775,0.0,0.025390625,5302.8701171875,29833.22494749471,-0.09991134703159332
0.5810546875,0.0,0.0,0.5810546875,720.1162109375,2349056.0,2349056.0,0.0029955022037029266,0.0,14.9736328125,297.964569612,"{'path': 'media/html/render_2349056_0c1ded597ea3e8ba50c3.html', 'size': 3726969.0, '_type': 'html-file', 'sha256': '0c1ded597ea3e8ba50c350833b726409a4d7879e3abddd28fde6000d3acfe39e'}",0.0,0.0,-2661.365234375,1774299033.383697,0.0,0.0126953125,6114.810546875,29870.04846693156,-0.09323098510503769
0.3134765625,0.0,0.0,0.3134765625,745.3427734375,2603008.0,2603008.0,0.003959573805332184,0.0,7.703125,320.851625743,,0.0,0.0,-2738.9619140625,1774299033.565443,0.0,0.0087890625,6450.708984375,29848.544006719196,-0.0741521492600441
0.158203125,0.0,0.0,0.158203125,658.04296875,2856960.0,2856960.0,0.005594170652329922,0.0,4.36328125,343.618527484,,0.0,0.0,-2445.69140625,1774299056.2703557,0.0,0.0068359375,5831.1181640625,29780.6885210279,-0.07483922690153122
2.7724609375,0.0,0.0,2.7724609375,650.3623046875,3110912.0,3110912.0,0.006843812298029661,0.0,19.4462890625,366.305759816,,0.0,0.0,-2453.41015625,1774299079.0370932,0.0,0.0205078125,4876.87109375,29913.064792793804,-0.07130739092826843
