step,success_rate
1333248,0.0
1587200,0.0
1841152,0.0
2095104,0.0
2349056,0.0
2603008,0.0
2856960,0.0
3110912,0.0
3364864,0.0
3618816,0.0
3872768,0.0
4126720,0.0
4380672,0.0
4634624,0.0
4888576,0.00390625
5142528,0.0078125
5396480,0.0
5650432,0.01171875
5904384,0.015625
6158336,0.01953125
6412288,0.01953125
6666240,0.01953125
6920192,0.01171875
7174144,0.01171875
7428096,0.01953125
7682048,0.0390625
7936000,0.01171875
8189952,0.0234375
8443904,0.01171875
8697856,0.01953125
8951808,0.015625
9205760,0.03515625
9459712,0.0234375
9713664,0.0390625
9967616,0.046875
10221568,0.046875
10475520,0.03125
10729472,0.015625
10983424,0.03515625
11237376,0.046875
11491328,0.02734375
11745280,0.03125
11999232,0.0234375
12253184,0.03125
12507136,0.0234375
12761088,0.02734375
13015040,0.04296875
13268992,0.03515625
13522944,0.04296875
13776896,0.046875
14030848,0.03515625
14284800,0.05078125
14538752,0.02734375
14792704,0.03125
15046656,0.03125
15300608,0.05859375
15554560,0.03515625
15808512,0.0390625
16062464,0.08203125
16316416,0.06640625
16570368,0.03125
16824320,0.046875
17078272,0.05078125
17332224,0.046875
17586176,0.05859375
17840128,0.0390625
18094080,0.06640625
18348032,0.05078125
18601984,0.0546875
18855936,0.0546875
19109888,0.0390625
19363840,0.0625
19617792,0.046875
19871744,0.08984375
20125696,0.08203125
20379648,0.0625
20633600,0.06640625
20887552,0.05859375
21141504,0.0703125
21395456,0.08984375
21649408,0.08203125
21903360,0.1015625
22157312,0.078125
22411264,0.09375
22665216,0.05859375
22919168,0.0859375
23173120,0.08984375
23427072,0.09375
23681024,0.0703125
23934976,0.08984375
24188928,0.05859375
24442880,0.09375
24696832,0.11328125
24950784,0.11328125
25204736,0.09375
25458688,0.0625
25712640,0.0625
25966592,0.109375
26220544,0.11328125
26474496,0.10546875
26728448,0.12890625
26982400,0.0625
27236352,0.109375
27490304,0.06640625
27744256,0.08203125
27998208,0.078125
28252160,0.09765625
28506112,0.078125
28760064,0.0546875
29014016,0.11328125
29267968,0.1171875
29521920,0.05078125
29775872,0.09375
30029824,0.046875
30283776,0.10546875
30537728,0.09765625
30791680,0.0703125
31045632,0.1015625
31299584,0.10546875
31553536,0.0703125
31807488,0.14453125
32061440,0.12890625
32315392,0.1171875
32569344,0.06640625
32823296,0.12109375
33077248,0.0390625
33331200,0.0703125
33585152,0.08203125
33839104,0.08984375
34093056,0.0703125
34347008,0.11328125
34600960,0.12890625
34854912,0.08984375
35108864,0.09765625
35362816,0.09375
35616768,0.09375
35870720,0.05859375
36124672,0.109375
36378624,0.1015625
36632576,0.07421875
36886528,0.12109375
37140480,0.05859375
37394432,0.09765625
37648384,0.125
37902336,0.10546875
38156288,0.1171875
38410240,0.1328125
38664192,0.078125
38918144,0.1171875
39172096,0.08984375
39426048,0.171875
39680000,0.14453125
39933952,0.078125
40187904,0.08984375
40441856,0.11328125
40695808,0.11328125
40949760,0.1796875
41203712,0.125
41457664,0.12109375
41711616,0.1328125
41965568,0.0625
42219520,0.140625
42473472,0.08984375
42727424,0.16015625
42981376,0.18359375
43235328,0.13671875
43489280,0.09765625
43743232,0.125
43997184,0.12890625
44251136,0.13671875
44505088,0.12109375
44759040,0.13671875
45012992,0.1640625
45266944,0.10546875
45520896,0.14453125
45774848,0.16796875
46028800,0.1328125
46282752,0.125
46536704,0.08984375
46790656,0.125
47044608,0.15234375
47298560,0.15625
47552512,0.16796875
47806464,0.09375
48060416,0.125
48314368,0.12109375
48568320,0.140625
48822272,0.18359375
49076224,0.08984375
49330176,0.12890625
49584128,0.12109375
49838080,0.1484375
50092032,0.171875
50345984,0.14453125
50599936,0.1640625
50853888,0.11328125
51107840,0.14453125
51361792,0.1328125
51615744,0.171875
51869696,0.18359375
