step,success_rate
253952,0.0078125
507904,0.0078125
761856,0.01171875
1015808,0.0078125
1269760,0.0078125
1523712,0.0
1777664,0.00390625
2031616,0.00390625
2285568,0.0078125
2539520,0.00390625
2793472,0.0
3047424,0.00390625
3301376,0.0
3555328,0.00390625
3809280,0.00390625
4063232,0.00390625
4317184,0.00390625
4571136,0.00390625
4825088,0.0078125
5079040,0.0
5332992,0.01171875
5586944,0.0078125
5840896,0.00390625
6094848,0.0
6348800,0.00390625
6602752,0.0
6856704,0.0
7110656,0.00390625
7364608,0.00390625
7618560,0.0078125
7872512,0.0078125
8126464,0.0078125
8380416,0.0
8634368,0.0078125
8888320,0.01171875
9142272,0.0
9396224,0.00390625
9650176,0.0
9904128,0.015625
10158080,0.0078125
10412032,0.0
10665984,0.0
10919936,0.01953125
11173888,0.00390625
11427840,0.00390625
11681792,0.00390625
11935744,0.00390625
12189696,0.0
12443648,0.0078125
12697600,0.00390625
12951552,0.00390625
13205504,0.0
13459456,0.0078125
13713408,0.00390625
13967360,0.0
14221312,0.00390625
14475264,0.0
14729216,0.0078125
14983168,0.00390625
15237120,0.0078125
15491072,0.0
15745024,0.0078125
15998976,0.00390625
16252928,0.01171875
16506880,0.00390625
16760832,0.01171875
17014784,0.0
17268736,0.00390625
17522688,0.00390625
17776640,0.0
18030592,0.01171875
18284544,0.0078125
18538496,0.0
18792448,0.0
19046400,0.0
19300352,0.00390625
19554304,0.00390625
19808256,0.01953125
20062208,0.00390625
20316160,0.01171875
20570112,0.0
20824064,0.0
21078016,0.00390625
21331968,0.00390625
21585920,0.0078125
21839872,0.0
22093824,0.0
22347776,0.00390625
22601728,0.0078125
22855680,0.0
23109632,0.00390625
23363584,0.00390625
23617536,0.01953125
23871488,0.00390625
24125440,0.01953125
24379392,0.00390625
24633344,0.00390625
24887296,0.0
25141248,0.0
25395200,0.0
25649152,0.01171875
25903104,0.00390625
26157056,0.01171875
26411008,0.00390625
26664960,0.00390625
26918912,0.0
27172864,0.0
27426816,0.0
27680768,0.0078125
27934720,0.0078125
28188672,0.0
28442624,0.0
28696576,0.0
28950528,0.0
29204480,0.00390625
29458432,0.00390625
29712384,0.00390625
29966336,0.0
30220288,0.0
30474240,0.0
30728192,0.0
30982144,0.00390625
31236096,0.00390625
31490048,0.0
31744000,0.0
31997952,0.0
32251904,0.00390625
32505856,0.0
32759808,0.00390625
33013760,0.00390625
33267712,0.00390625
33521664,0.0
33775616,0.0
34029568,0.0
34283520,0.0
34537472,0.0
34791424,0.0
35045376,0.0
35299328,0.0
35553280,0.0
35807232,0.0
36061184,0.0
36315136,0.0
36569088,0.0
36823040,0.0
37076992,0.0
37330944,0.0
37584896,0.0
37838848,0.0
38092800,0.0
38346752,0.0
38600704,0.0
38854656,0.0
39108608,0.0
39362560,0.0
39616512,0.0
39870464,0.0
40124416,0.0
40378368,0.0
40632320,0.00390625
40886272,0.0
41140224,0.0
41394176,0.00390625
41648128,0.0
41902080,0.00390625
42156032,0.0
42409984,0.0078125
42663936,0.0
42917888,0.0
43171840,0.0
43425792,0.0
43679744,0.0
43933696,0.0
44187648,0.00390625
44441600,0.00390625
44695552,0.0
44949504,0.00390625
45203456,0.0
45457408,0.00390625
45711360,0.0
45965312,0.00390625
46219264,0.0
46473216,0.0
46727168,0.0
46981120,0.0
47235072,0.0
47489024,0.00390625
47742976,0.00390625
47996928,0.0
48250880,0.0
48504832,0.00390625
48758784,0.0078125
49012736,0.0
49266688,0.0
49520640,0.0
49774592,0.0078125
50028544,0.0
