training/alpha_loss,training/entropy,eval/episode_reward_survive,render,_runtime,eval/episode_reward_dist,training/actor_loss,eval/episode_reward_near,eval/episode_reward,_timestamp,eval/episode_dist,eval/episode_success,_step,eval/episode_success_hard,eval/episode_reward_ctrl,eval/episode_success_any,training/log_alpha,step,training/sps,training/critic_loss,eval/episode_success_easy
,,,"{'path': 'media/html/render_0_c4a2bd288af2e36474db.html', 'size': 4728145.0, '_type': 'html-file', 'sha256': 'c4a2bd288af2e36474dbcf98870572eeedcfddb9e312866735afe298252f013d'}",59.286932152,,,,,1773983624.1691687,,,0.0,,,,,,,,
,,,"{'path': 'media/html/render_1_f556bae22da378de18a9.html', 'size': 4737241.0, '_type': 'html-file', 'sha256': 'f556bae22da378de18a9c4e9fb1c3858b2bc5347dc570cdc72e44d645eee762c'}",134.783390457,,,,,1773983699.66563,,,1.0,,,,,,,,
5.335536956787109,0.0,0.0,,150.330229084,0.0,-47.96323776245117,0.0,0.0,1773983699.858059,110.7293930053711,0.0,793600.0,0.0,0.0,0.0,0.0,793600.0,8093.6585995921805,27.672470092773438,9.185546875
0.059805117547512054,0.0,0.0,,165.60504405,0.0,-18.501392364501953,0.0,0.0,1773983715.211904,89.70851135253906,0.0,1047552.0,0.0,0.0,0.0,0.0,1047552.0,22301.353880371116,1.6498814821243286,8.990234375
0.0007228718604892492,0.0,0.0,,180.93850864,0.0,-14.016079902648926,0.0,0.0,1773983730.4867609,197.88900756835938,0.0,1301504.0,0.0,0.0,0.0,0.0,1301504.0,22456.11955543898,0.4426325857639313,15.62890625
0.000404608144890517,0.0,0.0,,196.25470473,0.0,-6.676261901855469,0.0,0.02734375,1773983745.8202486,245.41326904296875,0.02734375,1555456.0,0.0,0.0,0.001953125,0.0,1555456.0,22333.662616840556,0.06475065648555756,17.916015625
0.00014847064448986202,0.0,0.0,"{'path': 'media/html/render_1809408_44741a54b641f1a643cf.html', 'size': 4731093.0, '_type': 'html-file', 'sha256': '44741a54b641f1a643cfbb933c124fc4488753b1aee8bec2c6a0aded7e68a54a'}",237.705342767,0.0,-2.6042022705078125,0.0,0.0,1773983802.5876274,199.26516723632812,0.0,1809408.0,0.0,0.0,0.0,0.0,1809408.0,22380.546514431735,0.017423834651708603,14.599609375
9.326895087724552e-05,0.0,0.0,,253.250495941,0.0,-1.2660722732543945,0.0,0.0,1773983802.7911818,310.74267578125,0.0,2063360.0,0.0,0.0,0.0,0.0,2063360.0,22306.908450968218,0.005739850457757711,23.890625
5.4699914471711963e-05,0.0,0.0,,268.567162867,0.0,-0.880375325679779,0.0,0.0,1773983818.1322942,258.1049499511719,0.0,2317312.0,0.0,0.0,0.0,0.0,2317312.0,22339.954365624966,0.002455471083521843,19.23046875
4.965983680449426e-05,0.0,0.0,,283.88993051,0.0,-0.37993496656417847,0.0,0.005859375,1773983833.4484324,283.5567626953125,0.005859375,2571264.0,0.0,0.0,0.001953125,0.0,2571264.0,22374.913853804086,0.0009449407225474715,23.810546875
-0.0004822920891456306,0.0,0.0,,299.225854828,0.0,-0.1961677223443985,0.0,0.0078125,1773983848.7716641,158.80462646484375,0.0078125,2825216.0,0.0,0.0,0.001953125,0.0,2825216.0,22366.15198692508,0.0009685492841526866,11.32421875
-3.15959332510829e-05,0.0,0.0,"{'sha256': '324d60baac945808c319588043eb1c78d16136e023f56332fe0e93888ee77f86', 'path': 'media/html/render_3079168_324d60baac945808c319.html', 'size': 4756745.0, '_type': 'html-file'}",340.904683559,0.0,-0.95196133852005,0.0,0.013671875,1773983905.786933,186.903076171875,0.013671875,3079168.0,0.0,0.0,0.00390625,0.0,3079168.0,22341.179214239164,0.0025160834193229675,17.212890625
7.642365380888805e-05,0.0,0.0,,356.473601114,0.0,-0.4944446086883545,0.0,0.0,1773983905.999223,373.7700500488281,0.0,3333120.0,0.0,0.0,0.0,0.0,3333120.0,22373.31027946497,0.0012156793382018805,24.482421875
2.6265108317602426e-05,0.0,0.0,,371.793036278,0.0,-0.16874292492866516,0.0,0.05078125,1773983921.3552675,379.19500732421875,0.05078125,3587072.0,0.0,0.0,0.005859375,0.0,3587072.0,22303.02561175961,0.00042188388761132956,30.326171875
2.9887619348301087e-06,0.0,0.0,,387.133120532,0.0,-0.04558048024773598,0.0,0.01171875,1773983936.6746542,280.0125427246094,0.01171875,3841024.0,0.0,0.0,0.001953125,0.0,3841024.0,22365.206628673073,0.00021693856979254633,27.84765625
-2.6744241949927527e-06,0.0,0.0,,402.452410444,0.0,-0.10981134325265884,0.0,0.0,1773983952.0147398,138.29489135742188,0.0,4094976.0,0.0,0.0,0.0,0.0,4094976.0,22329.762500928962,0.00027460179990157485,11.572265625
-0.00015732989413663745,0.0,0.0,"{'path': 'media/html/render_4348928_ab927ea38434ba14447d.html', 'size': 4743645.0, '_type': 'html-file', 'sha256': 'ab927ea38434ba14447d31074d7e5161f1c91ccd30b833a5cba1fd9fd196d79f'}",443.688216995,0.0,-0.207278311252594,0.0,0.01171875,1773984008.5704854,202.17340087890625,0.01171875,4348928.0,0.0,0.0,0.001953125,0.0,4348928.0,22368.73909853774,0.0006305268034338951,12.26171875
2.4938442948041484e-05,0.0,0.0,,459.257260947,0.0,-0.37612515687942505,0.0,0.0,1773984008.7810354,141.95745849609375,0.0,4602880.0,0.0,0.0,0.0,0.0,4602880.0,22320.645853715043,0.0008391298470087349,10.69140625
2.080110971292015e-05,0.0,0.0,,474.59355492,0.0,-0.19790755212306976,0.0,0.0,1773984024.138506,274.351806640625,0.0,4856832.0,0.0,0.0,0.0,0.0,4856832.0,22298.39440975858,0.00045203001354821026,31.7734375
7.532168183388421e-06,0.0,0.0,,490.147671868,0.0,-0.08229430019855499,0.0,0.0,1773984039.4753728,288.753173828125,0.0,5110784.0,0.0,0.0,0.0,0.0,5110784.0,22329.505038212075,0.0002106780157191679,31.07421875
-0.00024302126257680357,0.0,0.0,,505.69631601,0.0,-0.4165293574333191,0.0,0.0,1773984055.0293624,318.426025390625,0.0,5364736.0,0.0,0.0,0.0,0.0,5364736.0,21921.64467936706,0.0015723049873486161,38.5703125
2.451364889566321e-05,0.0,0.0,"{'sha256': '471acc8e3cbaa004a51ce3ad949e7f6c4664c322661aec09fcffe9a199747fd0', 'path': 'media/html/render_5618688_471acc8e3cbaa004a51c.html', 'size': 4756057.0, '_type': 'html-file'}",547.636573388,0.0,-0.3014162480831146,0.0,0.0,1773984112.5188305,283.1324157714844,0.0,5618688.0,0.0,0.0,0.0,0.0,5618688.0,21924.796966386606,0.0009076119749806821,37.40625
1.204528507514624e-05,0.0,0.0,,563.412332128,0.0,-0.15478257834911346,0.0,0.0,1773984112.7135108,215.09518432617188,0.0,5872640.0,0.0,0.0,0.0,0.0,5872640.0,21923.19544075733,0.0003990436962340027,28.69140625
3.1697900340077467e-06,0.0,0.0,,578.949125133,0.0,-0.07542717456817627,0.0,0.0,1773984128.293953,187.5272674560547,0.0,6126592.0,0.0,0.0,0.0,0.0,6126592.0,21876.79614530365,0.00017593718075659126,10.73046875
-1.970658740901854e-05,0.0,0.0,,594.484206198,0.0,-0.10028497874736786,0.0,0.0,1773984143.8307636,181.40504455566406,0.0,6380544.0,0.0,0.0,0.0,0.0,6380544.0,21955.658314619748,0.0003555894363671541,15.603515625
1.0806345017044805e-05,0.0,0.0,,610.004350871,0.0,-0.20084330439567566,0.0,0.05078125,1773984159.3658795,250.63665771484375,0.05078125,6634496.0,0.0,0.0,0.00390625,0.0,6634496.0,21948.222468263688,0.0003143921203445643,20.552734375
-2.7623664209386334e-06,0.0,0.0,"{'_type': 'html-file', 'sha256': '923835657856306b4286061eeb0ab9eb331feacae52913b0a2aeccf7b1d4dbe3', 'path': 'media/html/render_6888448_923835657856306b4286.html', 'size': 4766161.0}",651.891171829,0.0,-0.15494965016841888,0.0,0.0,1773984216.7734404,260.62054443359375,0.0,6888448.0,0.0,0.0,0.0,0.0,6888448.0,21981.439072270383,0.0004194149805698544,36.958984375
9.54751067183679e-06,0.0,0.0,,667.653333737,0.0,-0.12682336568832397,0.0,0.00390625,1773984216.9800632,332.2562561035156,0.00390625,7142400.0,0.0,0.0,0.001953125,0.0,7142400.0,21957.280428986964,0.0002342622319702059,26.44921875
4.978407559974585e-06,0.0,0.0,,683.17776261,0.0,-0.08763119578361511,0.0,0.0,1773984232.5351286,277.5963134765625,0.0,7396352.0,0.0,0.0,0.0,0.0,7396352.0,21918.80632114905,0.0001838359603425488,25.064453125
2.046302824965096e-06,0.0,0.0,,698.689814407,0.0,-0.05329503118991852,0.0,0.0,1773984248.0595028,209.16868591308594,0.0,7650304.0,0.0,0.0,0.0,0.0,7650304.0,21975.889870483086,0.00011956421803915873,13.349609375
3.1683725865150336e-06,0.0,0.0,,714.222042905,0.0,-0.0347917415201664,0.0,0.0,1773984263.5715356,204.9132080078125,0.0,7904256.0,0.0,0.0,0.0,0.0,7904256.0,21998.92948456671,7.746675692033023e-05,15.560546875
-1.8481601728126407e-05,0.0,0.0,"{'_type': 'html-file', 'sha256': 'cc9f4d99138830abcf149d954bed98b53206c2843a08648d4005db5909db799b', 'path': 'media/html/render_8158208_cc9f4d99138830abcf14.html', 'size': 4767093.0}",756.463911689,0.0,-0.11450034379959106,0.0,0.009765625,1773984321.3461947,216.11672973632812,0.009765625,8158208.0,0.0,0.0,0.001953125,0.0,8158208.0,21953.06134877894,0.00032276404090225697,17.53515625
3.6280748645367566e-06,0.0,0.0,,772.223375882,0.0,-0.14802658557891846,0.0,0.0,1773984321.5429075,257.9433288574219,0.0,8412160.0,0.0,0.0,0.0,0.0,8412160.0,21926.136037645985,0.0002842983230948448,28.310546875
4.98576673635398e-06,0.0,0.0,,787.768520854,0.0,-0.09224284440279007,0.0,0.1171875,1773984337.105236,320.8411865234375,0.1171875,8666112.0,0.0,0.0,0.0078125,0.0,8666112.0,21901.96092696279,0.00030189359677024186,42.275390625
-3.931432956960634e-08,0.0,0.0,,803.297503242,0.0,-0.06183074414730072,0.0,0.05078125,1773984352.6501117,188.7738037109375,0.05078125,8920064.0,0.0,0.0,0.0078125,0.0,8920064.0,21942.215852475565,0.00046458939323201776,16.412109375
5.53784138901392e-06,0.0,0.0,,818.838815365,0.0,-0.07410358637571335,0.0,0.0,1773984368.1792002,240.3363037109375,0.0,9174016.0,0.0,0.0,0.0,0.0,9174016.0,21960.946004662273,0.00025277872919104993,28.103515625
-3.2851803553057835e-06,0.0,0.0,"{'path': 'media/html/render_9427968_e868931c4f7a5494413e.html', 'size': 4750761.0, '_type': 'html-file', 'sha256': 'e868931c4f7a5494413e33df1459844b6087fe2f4ebd1061fbb024e500cdd56b'}",860.411159027,0.0,-0.06666388362646103,0.0,0.0,1773984425.293447,136.30694580078125,0.0,9427968.0,0.0,0.0,0.0,0.0,9427968.0,21941.878205127676,0.0003653528983704746,10.392578125
-4.689926754508633e-06,0.0,0.0,,876.186884598,0.0,-0.10169752687215805,0.0,0.267578125,1773984425.4892592,147.1719970703125,0.267578125,9681920.0,0.0,0.0,0.01953125,0.0,9681920.0,21961.276088760056,0.0006329866591840982,15.17578125
-8.543223884771578e-06,0.0,0.0,,891.724339716,0.0,-0.1310519129037857,0.0,0.08203125,1773984441.0686626,171.10218811035156,0.08203125,9935872.0,0.0,0.0,0.005859375,0.0,9935872.0,21883.703477627936,0.0012026028707623482,13.517578125
-1.4441949133470189e-05,0.0,0.0,,907.260105546,0.0,-0.1639910638332367,0.0,0.0,1773984456.6061761,217.5745391845703,0.0,10189824.0,0.0,0.0,0.0,0.0,10189824.0,21946.308223118653,0.0015835983213037252,20.279296875
9.098370355786756e-06,0.0,0.0,,922.780550242,0.0,-0.18462854623794556,0.0,0.017578125,1773984472.1417735,214.24868774414062,0.017578125,10443776.0,0.0,0.0,0.001953125,0.0,10443776.0,21951.171140415878,0.0026322780176997185,13.7421875
