eval/episode_success_hard,eval/episode_dist,training/log_alpha,eval/episode_success_easy,training/sps,training/entropy,eval/episode_success,eval/episode_reward_survive,step,_runtime,training/actor_loss,_step,eval/episode_reward,training/alpha_loss,training/critic_loss,render,eval/episode_reward_dist,eval/episode_reward_near,_timestamp,eval/episode_reward_ctrl,eval/episode_success_any
,,,,,,,,,59.314291716,,0.0,,,,"{'size': 4765949.0, '_type': 'html-file', 'sha256': 'd71dc2892ecd5b95acb26d24bad1fa802c9eb7ea053743e4972d5eaf293cd312', 'path': 'media/html/render_0_d71dc2892ecd5b95acb2.html'}",,,1773996455.7381132,,
,,,,,,,,,135.304732824,,1.0,,,,"{'sha256': '7f2ac995bdc42d49e4dc2246f5550d6a613ef3e44e61adc3399f1adeb8d8f340', 'path': 'media/html/render_1_7f2ac995bdc42d49e4dc.html', 'size': 4728757.0, '_type': 'html-file'}",,,1773996531.728685,,
0.0,180.78408813476562,0.0,14.140625,7993.458466636827,0.0,0.005859375,0.0,793600.0,150.920414918,-50.38568878173828,793600.0,0.005859375,4.84804630279541,24.171964645385742,,0.0,0.0,1773996531.9468608,0.0,0.001953125
0.0,212.1914520263672,0.0,17.75390625,22206.588337053363,0.0,0.0,0.0,1047552.0,166.25619196,-46.356422424316406,1047552.0,0.0,0.013714451342821121,3.3409581184387207,,0.0,0.0,1773996547.3440318,0.0,0.0
0.0,260.2818603515625,0.0,22.330078125,22327.70296541932,0.0,0.0,0.0,1301504.0,181.655585476,-33.5833854675293,1301504.0,0.0,0.0016670667100697756,1.3271632194519043,,0.0,0.0,1773996562.679669,0.0,0.0
0.0,226.43930053710938,0.0,19.123046875,22199.309143635684,0.0,0.013671875,0.0,1555456.0,197.019414217,-16.286972045898438,1555456.0,0.013671875,0.0008043145062401891,0.3485959470272064,,0.0,0.0,1773996578.079115,0.0,0.001953125
0.0,267.1024169921875,0.0,18.01171875,22279.85246875346,0.0,0.0234375,0.0,1809408.0,238.368018719,-9.268707275390625,1809408.0,0.0234375,0.00039432174526154995,0.16112108528614044,"{'sha256': '81be22be684d3419bdbd5f706b00533aa8783bcc14e12d296657eef9bc1dc7c9', 'path': 'media/html/render_1809408_81be22be684d3419bdbd.html', 'size': 4772737.0, '_type': 'html-file'}",0.0,0.0,1773996634.7919495,0.0,0.005859375
0.0,251.1920166015625,0.0,18.37890625,22199.85140117152,0.0,0.00390625,0.0,2063360.0,253.949176038,-6.175174713134766,2063360.0,0.00390625,0.00030968006467446685,0.08100619912147522,,0.0,0.0,1773996634.9908566,0.0,0.001953125
0.0,176.95599365234375,0.0,15.798828125,22253.653793346522,0.0,0.017578125,0.0,2317312.0,269.329723074,-2.731637954711914,2317312.0,0.017578125,0.000329316797433421,0.029428379610180855,,0.0,0.0,1773996650.371997,0.0,0.001953125
0.0,209.86810302734375,0.0,20.427734375,22240.868025368345,0.0,0.0,0.0,2571264.0,284.718250646,-0.9469465017318726,2571264.0,0.0,0.00012118326412746683,0.008142453618347645,,0.0,0.0,1773996665.7531812,0.0,0.0
0.0,304.4341735839844,0.0,28.458984375,22239.37368756557,0.0,0.0,0.0,2825216.0,300.108867298,-0.282766729593277,2825216.0,0.0,5.639530354528688e-05,0.002163388766348362,,0.0,0.0,1773996681.1416552,0.0,0.0
0.0,287.80279541015625,0.0,15.4765625,22224.37874522317,0.0,0.0,0.0,3079168.0,341.858779229,-0.17528671026229858,3079168.0,0.0,-3.604081575758755e-05,0.001339824520982802,"{'path': 'media/html/render_3079168_1180add8d2b66e8bbf40.html', 'size': 4756649.0, '_type': 'html-file', 'sha256': '1180add8d2b66e8bbf401db88526ad7e19ef91e4165eb6ca73d274957d683060'}",0.0,0.0,1773996738.2827492,0.0,0.0
0.0,299.4347839355469,0.0,35.708984375,22247.998846193233,0.0,0.013671875,0.0,3333120.0,357.483261622,-0.6833563446998596,3333120.0,0.013671875,-7.549600559286773e-05,0.0066746920347213745,,0.0,0.0,1773996738.483476,0.0,0.001953125
0.0,180.72177124023438,0.0,19.53515625,22168.126767120095,0.0,0.0,0.0,3587072.0,372.85865395,-0.771873950958252,3587072.0,0.0,0.00010304199531674385,0.006901079323142767,,0.0,0.0,1773996753.9066458,0.0,0.0
0.0,199.25262451171875,0.0,24.2578125,22257.531086735427,0.0,0.01953125,0.0,3841024.0,388.261728561,-0.3932439088821411,3841024.0,0.01953125,1.797162985894829e-05,0.0031772360671311617,,0.0,0.0,1773996769.2820508,0.0,0.00390625
0.0,190.90634155273438,0.0,22.865234375,22198.298727570724,0.0,0.21484375,0.0,4094976.0,403.629315437,-0.22142930328845978,4094976.0,0.21484375,2.855016282410361e-05,0.0015344750136137009,,0.0,0.0,1773996784.6852043,0.0,0.01171875
0.0,193.2704620361328,0.0,11.1796875,22265.94552448495,0.0,0.041015625,0.0,4348928.0,445.094705409,-0.08528847247362137,4348928.0,0.041015625,-6.3664392655482516e-06,0.0009741811663843691,"{'_type': 'html-file', 'sha256': 'f8f776e434c994118ea56a8f4f3e57e9078c367aab6cb45e15895f372a5053c7', 'path': 'media/html/render_4348928_f8f776e434c994118ea5.html', 'size': 4733085.0}",0.0,0.0,1773996841.5185568,0.0,0.009765625
0.0,198.59182739257812,0.0,18.564453125,22198.7137087521,0.0,0.0,0.0,4602880.0,460.697833576,-0.31555286049842834,4602880.0,0.0,-8.701973456481937e-06,0.0025427998043596745,,0.0,0.0,1773996841.7163277,0.0,0.0
0.0,227.47647094726562,0.0,24.44921875,22198.72064836864,0.0,0.39453125,0.0,4856832.0,476.093536573,-0.26561444997787476,4856832.0,0.39453125,6.190742624312406e-06,0.002863755915313959,,0.0,0.0,1773996857.1212869,0.0,0.017578125
0.0,159.0577392578125,0.0,19.75,22218.113453206013,0.0,0.37109375,0.0,5110784.0,491.691885377,-0.2601519823074341,5110784.0,0.37109375,6.470861080742907e-06,0.0033758049830794334,,0.0,0.0,1773996872.5169373,0.0,0.021484375
0.0,163.8678741455078,0.0,14.83203125,21827.816029349124,0.0,0.333984375,0.0,5364736.0,507.295200075,-0.1937521994113922,5364736.0,0.333984375,8.117210199998226e-06,0.0032313403207808733,,0.0,0.0,1773996888.1152015,0.0,0.021484375
0.0,161.83450317382812,0.0,21.552734375,21815.75202865243,0.0,0.447265625,0.0,5618688.0,548.487087679,-0.23652835190296173,5618688.0,0.447265625,-1.4864142031001393e-05,0.006054447498172522,"{'sha256': '75cdaf04d6eb61b9f7560bfa4274d440541eb18285bb9f9c4e46b3df4d1fb66c', 'path': 'media/html/render_5618688_75cdaf04d6eb61b9f756.html', 'size': 4752881.0, '_type': 'html-file'}",0.0,0.0,1773996944.9110029,0.0,0.029296875
0.0,150.48753356933594,0.0,18.734375,21820.548760538077,0.0,0.001953125,0.0,5872640.0,564.306409234,-0.29893025755882263,5872640.0,0.001953125,1.3824094821757171e-05,0.006487541366368532,,0.0,0.0,1773996945.098771,0.0,0.001953125
0.0,144.4345703125,0.0,13.791015625,21772.72600071985,0.0,0.140625,0.0,6126592.0,579.89516557,-0.18895123898983002,6126592.0,0.140625,-4.2988181121472735e-06,0.005443757399916649,,0.0,0.0,1773996960.7298067,0.0,0.01171875
0.0,124.9700698852539,0.0,16.142578125,21848.906050157813,0.0,0.4375,0.0,6380544.0,595.486480731,-0.217784583568573,6380544.0,0.4375,1.1552006981219165e-05,0.005255185533314943,,0.0,0.0,1773996976.3185015,0.0,0.02734375
0.0,124.56221008300781,0.0,17.958984375,21834.34871620243,0.0,0.197265625,0.0,6634496.0,611.071080626,-0.1569216102361679,6634496.0,0.197265625,-1.9099220480711665e-06,0.005493036936968565,,0.0,0.0,1773996991.90974,0.0,0.009765625
0.0,106.37608337402344,0.0,17.109375,21862.327726497235,0.0,0.181640625,0.0,6888448.0,653.081622726,-0.21193726360797882,6888448.0,0.181640625,8.29933924251236e-07,0.006892536301165819,"{'sha256': '803c4c43415464721a8da8b3936d6703a3be74037aebcc95761e02a7ac845a5f', 'path': 'media/html/render_6888448_803c4c43415464721a8d.html', 'size': 4762493.0, '_type': 'html-file'}",0.0,0.0,1773997049.505569,0.0,0.0078125
0.0,115.79645538330078,0.0,20.5703125,21835.423404395897,0.0,1.1640625,0.0,7142400.0,668.871882512,-0.24303041398525238,7142400.0,1.1640625,-1.8290313619218068e-06,0.009487533941864967,,0.0,0.0,1773997049.7019439,0.0,0.02734375
0.0,111.81690979003906,0.0,16.421875,21852.24412102538,0.0,0.634765625,0.0,7396352.0,684.453929385,-0.22965802252292633,7396352.0,0.634765625,-7.68918880567071e-07,0.011411436833441257,,0.0,0.0,1773997065.295166,0.0,0.021484375
0.0,100.30522155761719,0.0,14.587890625,21850.24124576453,0.0,0.0390625,0.0,7650304.0,700.023610229,-0.3118390142917633,7650304.0,0.0390625,2.9365112368395785e-06,0.013734936714172363,,0.0,0.0,1773997080.8773186,0.0,0.005859375
0.0,91.89054107666016,0.0,9.537109375,21883.833863545133,0.0,0.13671875,0.0,7904256.0,715.621378204,-0.2735544741153717,7904256.0,0.13671875,-2.54216615758196e-07,0.013635276816785336,,0.0,0.0,1773997096.4468498,0.0,0.009765625
0.0,98.64270782470703,0.0,15.080078125,21829.121359247576,0.0,0.6640625,0.0,8158208.0,756.8905955,-0.29558613896369934,8158208.0,0.6640625,-1.0443037012919376e-07,0.01836632564663887,"{'sha256': 'a30550f6a4989fc4716796ef8fd386629afd3e85c76d1e866bed4aa9b92c0bd1', 'path': 'media/html/render_8158208_a30550f6a4989fc47167.html', 'size': 4788081.0, '_type': 'html-file'}",0.0,0.0,1773997153.314412,0.0,0.021484375
0.0,88.15119171142578,0.0,13.576171875,21811.84755467435,0.0,1.16796875,0.0,8412160.0,772.714533667,-0.2918979525566101,8412160.0,1.16796875,-8.825681106827687e-06,0.02157462388277054,,0.0,0.0,1773997153.5136037,0.0,0.02734375
0.0,102.2874755859375,0.0,11.82421875,21789.58216196254,0.0,0.58203125,0.0,8666112.0,788.305360811,-0.26598531007766724,8666112.0,0.58203125,1.4967245988373179e-05,0.020166821777820587,,0.0,0.0,1773997169.137965,0.0,0.015625
0.0,111.38571166992188,0.0,14.234375,21845.05555908764,0.0,0.6328125,0.0,8920064.0,803.89151328,-0.3175394535064697,8920064.0,0.6328125,-9.151922881756036e-07,0.02170502208173275,,0.0,0.0,1773997184.7281823,0.0,0.029296875
0.0,88.91807556152344,0.0,11.193359375,21842.950976683627,0.0,0.708984375,0.0,9174016.0,819.487165564,-0.37486574053764343,9174016.0,0.708984375,2.0097775177418953e-06,0.02531464397907257,,0.0,0.0,1773997200.314926,0.0,0.021484375
0.0,98.01715087890625,0.0,10.615234375,21842.160407155276,0.0,0.533203125,0.0,9427968.0,861.752833937,-0.33128130435943604,9427968.0,0.533203125,-5.727488314732909e-06,0.02495245635509491,"{'path': 'media/html/render_9427968_a73509059f7dd959ed11.html', 'size': 4746445.0, '_type': 'html-file', 'sha256': 'a73509059f7dd959ed11767dbfab154e9abfa65355c8f562aa0d33f47086b251'}",0.0,0.0,1773997258.1767788,0.0,0.017578125
0.0,119.46297454833984,0.0,19.0859375,21848.710647504053,0.0,1.388671875,0.0,9681920.0,877.605672834,-0.3184121549129486,9681920.0,1.388671875,1.1795703358075116e-05,0.02352411113679409,,0.0,0.0,1773997258.3960948,0.0,0.041015625
0.0,116.36198425292969,0.0,16.29296875,21780.12578055025,0.0,0.66796875,0.0,9935872.0,893.195946798,-0.32719552516937256,9935872.0,0.66796875,3.3738388083293103e-06,0.023797255009412766,,0.0,0.0,1773997274.0290453,0.0,0.021484375
0.0,111.37710571289062,0.0,13.3515625,21838.610044758665,0.0,0.705078125,0.0,10189824.0,908.785675436,-0.3355169892311096,10189824.0,0.705078125,-1.6279321926049306e-06,0.02641395293176174,,0.0,0.0,1773997289.6192834,0.0,0.01953125
0.0,91.79727172851562,0.0,14.3828125,21849.958864507356,0.0,1.3046875,0.0,10443776.0,924.367717276,-0.36752066016197205,10443776.0,1.3046875,-1.4605195246986113e-05,0.029646769165992737,,0.0,0.0,1773997305.2090054,0.0,0.037109375
