_step,eval/episode_reward_survive,training/entropy,eval/episode_success_hard,eval/episode_success,eval/episode_reward_dist,training/actor_loss,_runtime,eval/episode_reward_near,eval/episode_reward_ctrl,training/alpha_loss,render,eval/episode_success_any,eval/episode_success_easy,training/sps,eval/episode_dist,eval/episode_reward,step,_timestamp,training/log_alpha,training/critic_loss
4856832.0,0.0,0.0,0.0,0.0,0.0,-0.004775745328515768,475.555848185,0.0,0.0,-8.490891545420709e-09,,0.0,20.1875,22228.667047567866,246.6044921875,0.0,4856832.0,1773992571.5697453,0.0,7.765428745187819e-05
5110784.0,0.0,0.0,0.0,0.005859375,0.0,-0.005371074192225933,491.147898662,0.0,0.0,-1.5315627654999275e-09,,0.001953125,16.07421875,22240.193737457354,193.63107299804688,0.005859375,5110784.0,1773992586.9539723,0.0,7.158306834753603e-05
5364736.0,0.0,0.0,0.0,0.0078125,0.0,-0.005668324418365955,506.744103266,0.0,0.0,2.6510029726978246e-09,,0.001953125,19.771484375,21850.411126259252,252.60406494140625,0.0078125,5364736.0,1773992602.5462008,0.0,8.424398401984945e-05
5618688.0,0.0,0.0,0.0,0.0,0.0,-0.003902960103005171,548.433214383,0.0,0.0,6.841764932374872e-10,"{'path': 'media/html/render_5618688_297c2f00375c79dd49f3.html', 'size': 4698261.0, '_type': 'html-file', 'sha256': '297c2f00375c79dd49f3a2f1bafdf81074f279b40dc37f29abc6a0db37ee57b4'}",0.0,17.6796875,21837.935301928013,217.09146118164062,0.0,5618688.0,1773992659.8319159,0.0,5.2589919505408034e-05
5872640.0,0.0,0.0,0.0,0.0,0.0,-0.005585576873272657,564.267186188,0.0,0.0,-2.7222255560843678e-09,,0.0,17.525390625,21852.219015571744,210.30630493164062,0.0,5872640.0,1773992660.0455923,0.0,7.643146818736568e-05
6126592.0,0.0,0.0,0.0,0.00390625,0.0,-0.005371119361370802,579.83901958,0.0,0.0,7.783999556032484e-10,,0.001953125,20.158203125,21803.50542200419,219.96337890625,0.00390625,6126592.0,1773992675.6653414,0.0,6.616651080548763e-05
6380544.0,0.0,0.0,0.0,0.005859375,0.0,-0.006684010848402977,595.431091228,0.0,0.0,2.9570990101035477e-10,,0.001953125,15.662109375,21881.138338303514,217.80123901367188,0.005859375,6380544.0,1773992691.237263,0.0,9.047647472470999e-05
6634496.0,0.0,0.0,0.0,0.02734375,0.0,-0.007195233833044767,611.012346416,0.0,0.0,1.5735639458114292e-09,,0.005859375,18.392578125,21846.49423731668,200.24334716796875,0.02734375,6634496.0,1773992706.8293266,0.0,8.082635758910328e-05
6888448.0,0.0,0.0,0.0,0.0,0.0,-0.006335901096463203,653.127205094,0.0,0.0,1.7527070905742903e-09,"{'path': 'media/html/render_6888448_12c8d8b6da12ccefa4c7.html', 'size': 4720349.0, '_type': 'html-file', 'sha256': '12c8d8b6da12ccefa4c736d3033c5fb9aafb35258cfa65fa4268347f9a466cc4'}",0.0,15.185546875,21864.531193342504,212.22491455078125,0.0,6888448.0,1773992764.5259352,0.0,6.761997065041214e-05
7142400.0,0.0,0.0,0.0,0.001953125,0.0,-0.006082396022975445,668.945947036,0.0,0.0,1.0677527750857507e-09,,0.001953125,16.4140625,21847.294082783243,200.2504425048828,0.001953125,7142400.0,1773992764.7307124,0.0,7.533750613220036e-05
7396352.0,0.0,0.0,0.0,0.0,0.0,-0.005672009661793709,684.539944588,0.0,0.0,1.343260919162148e-10,,0.0,19.302734375,21815.820838552256,195.61378479003906,0.0,7396352.0,1773992780.3441017,0.0,6.040556763764471e-05
7650304.0,0.0,0.0,0.0,0.0078125,0.0,-0.0057152751833200455,700.118068595,0.0,0.0,3.4112754287995983e-10,,0.00390625,15.8671875,21850.02251170912,202.2330780029297,0.0078125,7650304.0,1773992795.938175,0.0,7.970215665409341e-05
7904256.0,0.0,0.0,0.0,0.0,0.0,-0.005447701551020145,715.709312606,0.0,0.0,3.1727243055001964e-10,,0.0,14.361328125,21878.406177893074,191.2792510986328,0.0,7904256.0,1773992811.516259,0.0,7.063779776217416e-05
8158208.0,0.0,0.0,0.0,0.0234375,0.0,-0.005731002893298864,757.147403693,0.0,0.0,4.934966324476875e-10,"{'path': 'media/html/render_8158208_698f930031039d766185.html', 'size': 4711721.0, '_type': 'html-file', 'sha256': '698f930031039d7661859e170a81f7689dcb6ee338971de10e27f302679466ba'}",0.0078125,17.232421875,21847.806283497117,221.9271697998047,0.0234375,8158208.0,1773992868.5460923,0.0,7.143158291000873e-05
