render,eval/episode_success,eval/episode_success_easy,eval/episode_reward,eval/episode_reward_near,eval/episode_reward_survive,_step,eval/episode_success_any,_runtime,eval/episode_reward_dist,eval/episode_success_hard,training/log_alpha,eval/episode_reward_ctrl,training/alpha_loss,_timestamp,training/critic_loss,training/sps,eval/episode_dist,step,training/actor_loss,training/entropy
,0.0,14.8515625,0.0,0.0,0.0,6126592.0,0.0,573.298062629,0.0,0.0,0.0,0.0,-9.744579074322246e-06,1774018361.8809521,0.0003681629605125636,21941.775150175697,208.36697387695312,6126592.0,-0.15012571215629578,0.0
,0.0,16.1796875,0.0,0.0,0.0,6380544.0,0.0,588.806932478,0.0,0.0,0.0,0.0,4.675170202972367e-06,1774018377.3930175,0.00032403136719949543,22000.061785705384,192.74356079101562,6380544.0,-0.1730288714170456,0.0
,0.126953125,23.341796875,0.126953125,0.0,0.0,6634496.0,0.0078125,604.305156058,0.0,0.0,0.0,0.0,2.824214789143298e-06,1774018392.901804,0.00023666562628932297,22011.260665476835,198.82269287109375,6634496.0,-0.11838698387145996,0.0
"{'path': 'media/html/render_6888448_bf1876ced1eb00d1437a.html', 'size': 4758385.0, '_type': 'html-file', 'sha256': 'bf1876ced1eb00d1437a8ec1ad8bfba4eda96d6e99620a2782ddf1a49e5f8573'}",0.0,14.337890625,0.0,0.0,0.0,6888448.0,0.0,645.777244071,0.0,0.0,0.0,0.0,-3.6048542824573815e-05,1774018449.8727171,0.0006302516558207572,22030.254734526334,204.3445281982422,6888448.0,-0.23362363874912262,0.0
,0.0,14.212890625,0.0,0.0,0.0,7142400.0,0.0,661.510686509,0.0,0.0,0.0,0.0,8.671001523907762e-06,1774018450.0902119,0.0008460720418952405,22011.957988822123,167.3627166748047,7142400.0,-0.32842954993247986,0.0
,0.005859375,20.865234375,0.005859375,0.0,0.0,7396352.0,0.001953125,677.013892784,0.0,0.0,0.0,0.0,1.8278004063176923e-05,1774018465.6056135,0.00047404877841472626,22007.487788990973,215.60812377929688,7396352.0,-0.2508065104484558,0.0
,0.0,11.970703125,0.0,0.0,0.0,7650304.0,0.0,692.506242776,0.0,0.0,0.0,0.0,-6.205324552865932e-06,1774018481.1088252,0.00033917208202183247,22021.773873388185,186.38092041015625,7650304.0,-0.157436341047287,0.0
,0.0,18.755859375,0.0,0.0,0.0,7904256.0,0.0,708.019399118,0.0,0.0,0.0,0.0,2.533851102271001e-06,1774018496.6011798,0.0007917736074887216,22050.074466001097,214.95269775390625,7904256.0,-0.16337081789970398,0.0
"{'_type': 'html-file', 'sha256': 'c526e3eb5dc3b68643cffe4eaa379f6024d97388110dcd5bab15973838b81fe7', 'path': 'media/html/render_8158208_c526e3eb5dc3b68643cf.html', 'size': 4735385.0}",0.0,13.23046875,0.0,0.0,0.0,8158208.0,0.0,749.591210333,0.0,0.0,0.0,0.0,1.763506770657841e-05,1774018553.686654,0.000444245059043169,21997.776856302182,193.2519073486328,8158208.0,-0.07688025385141373,0.0
,0.0,12.27734375,0.0,0.0,0.0,8412160.0,0.0,765.351476807,0.0,0.0,0.0,0.0,1.3012315321248025e-05,1774018553.903102,0.00012213063018862158,21975.617833924454,228.95440673828125,8412160.0,-0.0157682653516531,0.0
,0.0,5.30078125,0.0,0.0,0.0,8666112.0,0.0,780.869220264,0.0,0.0,0.0,0.0,-1.4101933629717678e-05,1774018569.4465926,0.0004561344103422016,21940.459476631317,175.97222900390625,8666112.0,-0.010820621624588966,0.0
,0.0,13.177734375,0.0,0.0,0.0,8920064.0,0.0,796.378000281,0.0,0.0,0.0,0.0,-9.20342642984906e-07,1774018584.9642656,0.0003002823796123266,22001.29236388683,203.93235778808594,8920064.0,-0.045242514461278915,0.0
,0.0,15.9375,0.0,0.0,0.0,9174016.0,0.0,811.890687239,0.0,0.0,0.0,0.0,3.9250498957699165e-06,1774018600.4728978,0.00011727942182915285,22001.91224934539,208.91726684570312,9174016.0,-0.02926236018538475,0.0
"{'size': 4768289.0, '_type': 'html-file', 'sha256': '76a04809a4f902b78c81a6eb8a4c4061c2ceda951dca509c453d28c1291c0ae9', 'path': 'media/html/render_9427968_76a04809a4f902b78c81.html'}",0.0,9.5625,0.0,0.0,0.0,9427968.0,0.0,852.955328218,0.0,0.0,0.0,0.0,3.7455074561876245e-06,1774018657.0507922,0.00016689936455804855,22001.92588358237,145.6997833251953,9427968.0,-0.006950909271836281,0.0
,0.0,10.197265625,0.0,0.0,0.0,9681920.0,0.0,868.712202842,0.0,0.0,0.0,0.0,1.3075404012852232e-06,1774018657.2489614,0.00012967026850674301,22012.018034385557,122.31584930419922,9681920.0,0.003545983461663127,0.0
,0.09375,14.529296875,0.09375,0.0,0.0,9935872.0,0.0078125,884.227966912,0.0,0.0,0.0,0.0,-4.6906101488275453e-05,1774018672.8071249,0.00030783418333157897,21928.821894286568,178.295166015625,9935872.0,-0.02926589734852314,0.0
,0.0,6.533203125,0.0,0.0,0.0,10189824.0,0.0,899.753820237,0.0,0.0,0.0,0.0,-6.042058885213919e-05,1774018688.3228421,0.0005252668051980436,22000.063603296894,115.47642517089844,10189824.0,-0.22440451383590698,0.0
,0.0,19.66015625,0.0,0.0,0.0,10443776.0,0.0,915.256899536,0.0,0.0,0.0,0.0,-1.5707071725046262e-05,1774018703.8482442,0.0005423809634521604,21983.76280504184,223.841064453125,10443776.0,-0.25829237699508667,0.0
"{'path': 'media/html/render_10697728_973f907b637534789be3.html', 'size': 4766365.0, '_type': 'html-file', 'sha256': '973f907b637534789be320fd09428cf7f27d2258a08908bc393ccc91000c0687'}",0.0,16.634765625,0.0,0.0,0.0,10697728.0,0.0,956.367155582,0.0,0.0,0.0,0.0,-8.092764005596109e-07,1774018760.4625854,0.0006083500338718295,22014.72360886477,215.93516540527344,10697728.0,-0.28459516167640686,0.0
,0.0,10.189453125,0.0,0.0,0.0,10951680.0,0.0,972.076836235,0.0,0.0,0.0,0.0,2.677564771147445e-05,1774018760.6606436,0.00041556896758265793,22054.064702119507,190.74960327148438,10951680.0,-0.18285129964351654,0.0
,0.0,15.375,0.0,0.0,0.0,11205632.0,0.0,987.566959563,0.0,0.0,0.0,0.0,9.791116099222563e-06,1774018776.1718585,0.00019268275354988873,22012.35511442519,190.91824340820312,11205632.0,-0.054331716150045395,0.0
,0.0,10.166015625,0.0,0.0,0.0,11459584.0,0.0,1003.0561183,0.0,0.0,0.0,0.0,1.344220345345093e-05,1774018791.6617794,0.000155023459228687,22051.303797881355,135.83038330078125,11459584.0,-0.015416666865348816,0.0
,0.0,4.259765625,0.0,0.0,0.0,11713536.0,0.0,1018.541565256,0.0,0.0,0.0,0.0,1.6169929949683137e-05,1774018807.1509314,0.00041554225026629865,22043.215457536582,78.04659271240234,11713536.0,0.028797166422009468,0.0
"{'path': 'media/html/render_11967488_f5b147264fd24a05b199.html', 'size': 4758517.0, '_type': 'html-file', 'sha256': 'f5b147264fd24a05b199f1a9d5e6712097a0ad37da1425ae8126145511467f70'}",0.0,10.3359375,0.0,0.0,0.0,11967488.0,0.0,1060.409649718,0.0,0.0,0.0,0.0,3.5094757322440273e-07,1774018864.505093,0.00014638043649028987,22056.425282327542,180.26217651367188,11967488.0,0.02325865626335144,0.0
,0.0,13.478515625,0.0,0.0,0.0,12221440.0,0.0,1076.133518996,0.0,0.0,0.0,0.0,1.0003642501033028e-06,1774018864.7148657,3.5841479984810576e-05,22031.78763409033,146.24581909179688,12221440.0,0.009361324831843376,0.0
,0.0,12.146484375,0.0,0.0,0.0,12475392.0,0.0,1091.630122386,0.0,0.0,0.0,0.0,8.955049146663896e-09,1774018880.228381,9.801910346141085e-05,22017.689722591036,192.77752685546875,12475392.0,-0.00029054266633465886,0.0
,0.0,12.05078125,0.0,0.0,0.0,12729344.0,0.0,1107.12061214,0.0,0.0,0.0,0.0,7.467024687457524e-08,1774018895.725148,3.842179648927413e-05,22028.392211441085,178.62353515625,12729344.0,-0.0025035415310412645,0.0
,0.0,13.046875,0.0,0.0,0.0,12983296.0,0.0,1122.611113866,0.0,0.0,0.0,0.0,7.529603607281388e-09,1774018911.214976,5.044260251452215e-05,22051.433906008493,201.94515991210938,12983296.0,-0.0026672969106584787,0.0
"{'path': 'media/html/render_13237248_dfb14877ad0539454034.html', 'size': 4724357.0, '_type': 'html-file', 'sha256': 'dfb14877ad0539454034a0efb469509fdcd2724cd594b18f73e49576e864ffac'}",0.0078125,16.353515625,0.0078125,0.0,0.0,13237248.0,0.001953125,1163.9591389,0.0,0.0,0.0,0.0,2.0842398917864102e-09,1774018968.0545797,3.87692816730123e-05,22035.871546664494,216.2584228515625,13237248.0,-0.0026571685448288918,0.0
,0.00390625,17.919921875,0.00390625,0.0,0.0,13491200.0,0.001953125,1179.690900715,0.0,0.0,0.0,0.0,1.026961404804183e-09,1774018968.2635846,4.526775228441693e-05,22043.1999473522,203.25088500976562,13491200.0,-0.002926718909293413,0.0
,0.013671875,18.44140625,0.013671875,0.0,0.0,13745152.0,0.001953125,1195.190879947,0.0,0.0,0.0,0.0,8.457520239701921e-10,1774018983.7857995,4.2906391172437e-05,21985.760283085023,282.1439208984375,13745152.0,-0.002309307688847184,0.0
,0.0,17.84765625,0.0,0.0,0.0,13999104.0,0.0,1210.679452868,0.0,0.0,0.0,0.0,5.930703150802685e-10,1774018999.2857487,5.037448136135936e-05,22034.331697370973,246.9629669189453,13999104.0,-0.002806381555274129,0.0
,0.00390625,22.607421875,0.00390625,0.0,0.0,14253056.0,0.00390625,1226.171587782,0.0,0.0,0.0,0.0,4.389954788575068e-10,1774019014.773693,3.2842523069120944e-05,22041.147321430602,268.87237548828125,14253056.0,-0.002392647322267294,0.0
"{'path': 'media/html/render_14507008_b308c0e02512388ff251.html', 'size': 4728833.0, '_type': 'html-file', 'sha256': 'b308c0e02512388ff251787c66c2fbec668cd227fd829e8fe48cefce5c3851e9'}",0.0,22.57421875,0.0,0.0,0.0,14507008.0,0.0,1267.405474303,0.0,0.0,0.0,0.0,3.192972275467554e-10,1774019071.5008006,4.8291483835782856e-05,22041.0091250216,279.3154296875,14507008.0,-0.0028199171647429466,0.0
,0.0,18.15234375,0.0,0.0,0.0,14760960.0,0.0,1283.140185494,0.0,0.0,0.0,0.0,2.995652892412437e-10,1774019071.7012677,5.918898023082875e-05,22006.148765268514,286.94287109375,14760960.0,-0.0035866987891495228,0.0
,0.0,25.94921875,0.0,0.0,0.0,15014912.0,0.0,1298.628135104,0.0,0.0,0.0,0.0,2.824238065635143e-10,1774019087.2351427,4.179439565632492e-05,21971.2448639586,283.2726135253906,15014912.0,-0.0035185706801712513,0.0
,0.0,21.658203125,0.0,0.0,0.0,15268864.0,0.0,1314.132097416,0.0,0.0,0.0,0.0,2.6718904866385174e-10,1774019102.7228281,6.343909626593813e-05,22047.392597119044,267.30255126953125,15268864.0,-0.0033903438597917557,0.0
,0.009765625,19.845703125,0.009765625,0.0,0.0,15522816.0,0.001953125,1329.594732666,0.0,0.0,0.0,0.0,2.380934893686515e-10,1774019118.2269084,6.216300243977457e-05,22026.349629956327,265.7016906738281,15522816.0,-0.004896201658993959,0.0
"{'sha256': '099a89103f90e4f576544ec8f2644a6b05d6b8b656452f2cb15dc785b63db3cc', 'path': 'media/html/render_15776768_099a89103f90e4f57654.html', 'size': 4730137.0, '_type': 'html-file'}",0.0,23.51953125,0.0,0.0,0.0,15776768.0,0.0,1370.980395748,0.0,0.0,0.0,0.0,2.2557632151087859e-10,1774019175.07574,4.0805469325277954e-05,22086.603789052126,280.34527587890625,15776768.0,-0.003501109778881073,0.0
,0.017578125,20.392578125,0.017578125,0.0,0.0,16030720.0,0.001953125,1386.689235358,0.0,0.0,0.0,0.0,2.0983452475586972e-10,1774019175.28179,5.2900079026585445e-05,22037.531980547337,278.35394287109375,16030720.0,-0.003480725223198533,0.0
,0.0,24.771484375,0.0,0.0,0.0,16284672.0,0.0,1402.18041224,0.0,0.0,0.0,0.0,1.948172179133678e-10,1774019190.7839472,3.2935098715825006e-05,22027.356296503924,274.9935302734375,16284672.0,-0.003089219331741333,0.0
,0.005859375,23.55078125,0.005859375,0.0,0.0,16538624.0,0.001953125,1417.667993148,0.0,0.0,0.0,0.0,1.7610107816423692e-10,1774019206.2753255,3.6456887755775824e-05,22053.04828752892,275.23822021484375,16538624.0,-0.00226385029964149,0.0
,0.005859375,18.373046875,0.005859375,0.0,0.0,16792576.0,0.00390625,1433.170319569,0.0,0.0,0.0,0.0,1.6135957847662752e-10,1774019221.7627785,2.7268695703241974e-05,22041.652688071157,260.27392578125,16792576.0,-0.0027312051970511675,0.0
"{'_type': 'html-file', 'sha256': '90f812654529831b000f07e75b71d5bd1ba6ac6119570de5952dd7af51483217', 'path': 'media/html/render_17046528_90f812654529831b000f.html', 'size': 4727913.0}",0.001953125,19.09765625,0.001953125,0.0,0.0,17046528.0,0.001953125,1475.456777207,0.0,0.0,0.0,0.0,1.5301813982571133e-10,1774019279.5521283,4.623805216397159e-05,22022.89942060535,269.6416015625,17046528.0,-0.002948559820652008,0.0
,0.0,22.23046875,0.0,0.0,0.0,17300480.0,0.0,1491.205320048,0.0,0.0,0.0,0.0,1.4076151355624233e-10,1774019279.767839,3.4965651138918474e-05,22071.97919205489,261.5780029296875,17300480.0,-0.0033094368409365416,0.0
,0.0,17.693359375,0.0,0.0,0.0,17554432.0,0.0,1506.718312218,0.0,0.0,0.0,0.0,1.3519850516896526e-10,1774019295.3001854,2.9588631150545552e-05,21984.054553959464,279.20306396484375,17554432.0,-0.002638277830556035,0.0
,0.0,19.552734375,0.0,0.0,0.0,17808384.0,0.0,1522.243006384,0.0,0.0,0.0,0.0,1.2880489730360267e-10,1774019310.813137,3.2882675441214815e-05,22002.187209723572,263.6617126464844,17808384.0,-0.002789361635223031,0.0
,0.0078125,25.06640625,0.0078125,0.0,0.0,18062336.0,0.00390625,1537.726938898,0.0,0.0,0.0,0.0,1.222379975018839e-10,1774019326.3379118,1.9048367903451435e-05,21984.7968924989,256.19879150390625,18062336.0,-0.002322474494576454,0.0
"{'_type': 'html-file', 'sha256': '8d693079803ff18312f97202cb1fa90595beef67496386e8b62bee27960b31e1', 'path': 'media/html/render_18316288_8d693079803ff18312f9.html', 'size': 4719589.0}",0.001953125,18.283203125,0.001953125,0.0,0.0,18316288.0,0.001953125,1579.195762143,0.0,0.0,0.0,0.0,1.1573650371410338e-10,1774019383.2912097,3.825969542958774e-05,22049.544977979993,259.94793701171875,18316288.0,-0.002939715748652816,0.0
,0.0,18.275390625,0.0,0.0,0.0,18570240.0,0.0,1594.937562826,0.0,0.0,0.0,0.0,1.0877386491525698e-10,1774019383.502892,3.83865917683579e-05,22058.39350377063,241.75,18570240.0,-0.003054768545553088,0.0
,0.0,17.9140625,0.0,0.0,0.0,18824192.0,0.0,1610.452134402,0.0,0.0,0.0,0.0,1.0306658998482376e-10,1774019399.032437,3.030927837244235e-05,21965.61700647786,240.44862365722656,18824192.0,-0.002998938551172614,0.0
,0.0,20.638671875,0.0,0.0,0.0,19078144.0,0.0,1625.96381044,0.0,0.0,0.0,0.0,9.761413205522373e-11,1774019414.5469944,2.3187289116322063e-05,22002.301740701943,245.21835327148438,19078144.0,-0.002161054639145732,0.0
,0.0,21.08984375,0.0,0.0,0.0,19332096.0,0.0,1641.493367237,0.0,0.0,0.0,0.0,9.429005493055698e-11,1774019430.0586648,2.1721121811424382e-05,21993.03949167768,250.40451049804688,19332096.0,-0.002345544518902898,0.0
"{'path': 'media/html/render_19586048_33e35f0341f4d0dae1d2.html', 'size': 4715493.0, '_type': 'html-file', 'sha256': '33e35f0341f4d0dae1d24bbd743f5f82cd134df71e44a65597065e070392c8d2'}",0.0,18.787109375,0.0,0.0,0.0,19586048.0,0.0,1683.073845316,0.0,0.0,0.0,0.0,9.176014809098021e-11,1774019487.1693125,2.6363151846453547e-05,22021.475203798815,257.94598388671875,19586048.0,-0.0022148038260638714,0.0
,0.0,22.029296875,0.0,0.0,0.0,19840000.0,0.0,1698.821842996,0.0,0.0,0.0,0.0,8.927067418618151e-11,1774019487.3833728,2.5760920834727585e-05,21967.912023076835,258.54510498046875,19840000.0,-0.002188802929595113,0.0
,0.0,19.67578125,0.0,0.0,0.0,20093952.0,0.0,1714.332233031,0.0,0.0,0.0,0.0,8.680051122311738e-11,1774019502.9166644,2.734640656854026e-05,21975.065620423095,265.6413879394531,20093952.0,-0.0024039517156779766,0.0
,0.0,20.921875,0.0,0.0,0.0,20347904.0,0.0,1729.839270958,0.0,0.0,0.0,0.0,8.438146709144334e-11,1774019518.4271967,1.9263237845734693e-05,22006.538861301076,262.5325012207031,20347904.0,-0.001981379697099328,0.0
,0.0,20.181640625,0.0,0.0,0.0,20601856.0,0.0,1745.364489792,0.0,0.0,0.0,0.0,8.200028156490902e-11,1774019533.9341376,2.011171090998687e-05,22010.81900472508,266.50103759765625,20601856.0,-0.0017777179600670934,0.0
"{'sha256': '80e774e295297f5afc9b73dd2138ba39daae0efa395318a84ed1882638900ba3', 'path': 'media/html/render_20855808_80e774e295297f5afc9b.html', 'size': 4726689.0, '_type': 'html-file'}",0.0,21.880859375,0.0,0.0,0.0,20855808.0,0.0,1786.016785076,0.0,0.0,0.0,0.0,7.968111587208782e-11,1774019590.1122231,1.569639607623685e-05,21970.875052268788,269.19354248046875,20855808.0,-0.0015809200704097748,0.0
,0.0,21.185546875,0.0,0.0,0.0,21109760.0,0.0,1801.757151487,0.0,0.0,0.0,0.0,7.707998822548134e-11,1774019590.3190017,2.7329440854373388e-05,22022.569758131143,269.023681640625,21109760.0,-0.001826541731134057,0.0
,0.0,17.83984375,0.0,0.0,0.0,21363712.0,0.0,1817.25672599,0.0,0.0,0.0,0.0,7.497095999564607e-11,1774019605.852031,2.7940148356719874e-05,21966.775327400577,286.493408203125,21363712.0,-0.002425390062853694,0.0
,0.0,23.22265625,0.0,0.0,0.0,21617664.0,0.0,1832.772293903,0.0,0.0,0.0,0.0,7.29221336093211e-11,1774019621.351692,1.924958633026108e-05,22026.234393003942,281.81134033203125,21617664.0,-0.0019576747436076403,0.0
,0.017578125,23.455078125,0.017578125,0.0,0.0,21871616.0,0.001953125,1848.26913961,0.0,0.0,0.0,0.0,7.084688391501004e-11,1774019636.8673017,1.9612149117165245e-05,21986.952953247233,272.1045837402344,21871616.0,-0.0017447816208004951,0.0
"{'path': 'media/html/render_22125568_d7140b38d2a804d96c59.html', 'size': 4717145.0, '_type': 'html-file', 'sha256': 'd7140b38d2a804d96c596bd9585aac93e94813983943660b96818bb20d27e376'}",0.01953125,22.36328125,0.01953125,0.0,0.0,22125568.0,0.001953125,1889.894997523,0.0,0.0,0.0,0.0,6.881000630398759e-11,1774019693.9904003,1.6916017557377927e-05,22025.496996150618,274.96649169921875,22125568.0,-0.0015694514149799943,0.0
,0.0,21.791015625,0.0,0.0,0.0,22379520.0,0.0,1905.650923717,0.0,0.0,0.0,0.0,6.681218078785633e-11,1774019694.2138393,2.095143463520799e-05,22007.647391481147,276.2814636230469,22379520.0,-0.0017768273828551173,0.0
,0.0,22.35546875,0.0,0.0,0.0,22633472.0,0.0,1921.179377224,0.0,0.0,0.0,0.0,6.486388509641117e-11,1774019709.745792,2.3519918613601476e-05,21980.514615484066,266.0044860839844,22633472.0,-0.0018691845471039414,0.0
,0.001953125,20.80078125,0.001953125,0.0,0.0,22887424.0,0.001953125,1936.676243782,0.0,0.0,0.0,0.0,6.296901194913218e-11,1774019725.2744384,2.1068570276838727e-05,21971.961409535696,279.02020263671875,22887424.0,-0.001953774830326438,0.0
,0.013671875,22.4609375,0.013671875,0.0,0.0,23141376.0,0.001953125,1952.164998449,0.0,0.0,0.0,0.0,6.111492562022036e-11,1774019740.7712412,2.816189589793794e-05,22022.085299697483,280.1291809082031,23141376.0,-0.002186540514230728,0.0
"{'sha256': 'ece9cff7672fc4c18fc0b838aed7c655b9a368442bcee22a620b227af44672f3', 'path': 'media/html/render_23395328_ece9cff7672fc4c18fc0.html', 'size': 4720793.0, '_type': 'html-file'}",0.0,20.814453125,0.0,0.0,0.0,23395328.0,0.0,1993.847154818,0.0,0.0,0.0,0.0,5.931807128822797e-11,1774019797.9425838,1.654342486290261e-05,22038.960555120528,273.5489501953125,23395328.0,-0.0019524897215887904,0.0
,0.0,21.884765625,0.0,0.0,0.0,23649280.0,0.0,2009.600127314,0.0,0.0,0.0,0.0,5.7573407846733815e-11,1774019798.1529062,2.889049574150704e-05,22017.772555893087,274.906982421875,23649280.0,-0.002309393836185336,0.0
,0.0,21.216796875,0.0,0.0,0.0,23903232.0,0.0,2025.104862164,0.0,0.0,0.0,0.0,5.578434242314856e-11,1774019813.694772,2.93824850814417e-05,21947.282714415494,248.60797119140625,23903232.0,-0.002534138038754463,0.0
,0.0,17.744140625,0.0,0.0,0.0,24157184.0,0.0,2040.623210661,0.0,0.0,0.0,0.0,5.291119972716807e-11,1774019829.1997774,3.011099761351943e-05,22020.5874380643,207.94317626953125,24157184.0,-0.0025045534130185843,0.0
