training/critic_loss,training/alpha_loss,eval/episode_success_any,step,eval/episode_success_easy,_step,_runtime,eval/episode_reward_dist,training/actor_loss,render,eval/episode_reward_survive,training/entropy,_timestamp,eval/episode_reward_near,eval/episode_reward_ctrl,eval/episode_dist,eval/episode_reward,training/sps,training/log_alpha,eval/episode_success,eval/episode_success_hard
,,,,,0.0,59.118451361,,,"{'sha256': '46444a1d53ae820b89c9677267e16d8f02ee3ea7ca56a2bd18787fa861c17da3', 'path': 'media/html/render_0_46444a1d53ae820b89c9.html', 'size': 4760725.0, '_type': 'html-file'}",,,1774005019.5766444,,,,,,,,
,,,,,1.0,133.9643828,,,"{'size': 4701577.0, '_type': 'html-file', 'sha256': '39b7c4165eb6b0794bf344bec1ef755cf577a7884b8fc52900b94a5163be229d', 'path': 'media/html/render_1_39b7c4165eb6b0794bf3.html'}",,,1774005094.422667,,,,,,,,
34.958744049072266,5.163708209991455,0.0,793600.0,13.595703125,793600.0,149.503262126,0.0,-51.44670104980469,,0.0,0.0,1774005094.6054423,0.0,0.0,170.681884765625,0.0,8198.506928482298,0.0,0.0,0.0
3.767223834991455,0.026534732431173325,0.0,1047552.0,15.966796875,1047552.0,164.78106703,0.0,-56.119667053222656,,0.0,0.0,1774005109.9608932,0.0,0.0,183.7909393310547,0.0,22299.705742552924,0.0,0.0,0.0
1.4029510021209717,0.0011579926358535886,0.0,1301504.0,13.87890625,1301504.0,180.118137263,0.0,-37.17805099487305,,0.0,0.0,1774005125.2388635,0.0,0.0,226.8601837158203,0.0,22446.634559870145,0.0,0.0,0.0
0.6429892778396606,0.0011041066609323025,0.0,1555456.0,19.740234375,1555456.0,195.420054836,0.0,-20.063724517822266,,0.0,0.0,1774005140.5758274,0.0,0.0,264.3832092285156,0.0,22323.563044509854,0.0,0.0,0.0
0.24972902238368988,0.0006789012113586068,0.0,1809408.0,24.48828125,1809408.0,237.108094628,0.0,-11.657883644104004,"{'path': 'media/html/render_1809408_7f6a1e82c343236bdebb.html', 'size': 4747137.0, '_type': 'html-file', 'sha256': '7f6a1e82c343236bdebb111c8033011734caf6632e86f4b0282492c50c55be7f'}",0.0,0.0,1774005197.566291,0.0,0.0,286.73370361328125,0.0,22409.352094278205,0.0,0.0,0.0
0.06879442185163498,0.0003995632578153163,0.013671875,2063360.0,26.3828125,2063360.0,252.649465691,0.0,-5.100151538848877,,0.0,0.0,1774005197.7693934,0.0,0.0,315.4814758300781,0.158203125,22316.116737502027,0.0,0.158203125,0.0
0.02107185311615467,0.0001572246546857059,0.001953125,2317312.0,29.595703125,2317312.0,267.975376347,0.0,-2.1421902179718018,,0.0,0.0,1774005213.1072438,0.0,0.0,343.5328369140625,0.07421875,22344.844722285634,0.0,0.07421875,0.0
0.005593180190771818,7.423766510328278e-05,0.0,2571264.0,19.498046875,2571264.0,283.294389276,0.0,-0.7822938561439514,,0.0,0.0,1774005228.4323485,0.0,0.0,276.161865234375,0.0,22351.0771118032,0.0,0.0,0.0
0.0018179730977863073,3.370574995642528e-05,0.005859375,2825216.0,29.48828125,2825216.0,298.623092116,0.0,-0.2937221825122833,,0.0,0.0,1774005243.7521386,0.0,0.0,311.388427734375,0.056640625,22366.99550367806,0.0,0.056640625,0.0
0.0006407239125110209,1.773388430592604e-05,0.001953125,3079168.0,21.5078125,3079168.0,339.966417955,0.0,-0.07368562370538712,"{'sha256': '2788f931a8892a65b4cdbc645abc8434edbdc26eb82e6168b5e88096ee774c07', 'path': 'media/html/render_3079168_2788f931a8892a65b4cd.html', 'size': 4720653.0, '_type': 'html-file'}",0.0,0.0,1774005300.4246788,0.0,0.0,287.2841796875,0.009765625,22350.602949183216,0.0,0.009765625,0.0
0.00039618334267288446,-2.601739834062755e-05,0.0,3333120.0,13.77734375,3333120.0,355.546234372,0.0,-0.11117105931043625,,0.0,0.0,1774005300.6405637,0.0,0.0,164.0791778564453,0.0,22357.00842344424,0.0,0.0,0.0
