eval/episode_dist,_step,eval/episode_success_easy,eval/episode_success_hard,training/sps,training/critic_loss,render,eval/episode_reward_survive,training/alpha_loss,eval/episode_reward_ctrl,training/entropy,eval/episode_success_any,_timestamp,step,_runtime,training/log_alpha,eval/episode_success,training/actor_loss,eval/episode_reward_near,eval/episode_reward_dist,eval/episode_reward
,0.0,,,,,"{'_type': 'html-file', 'sha256': 'bea7fc23d5b065a5b9ca30fc15fe11c09ca8adafe9cf5f573d38b1ceb60b9c1a', 'path': 'media/html/render_0_bea7fc23d5b065a5b9ca.html', 'size': 4778909.0}",,,,,,1774009285.6514206,,58.827748578,,,,,,
,1.0,,,,,"{'path': 'media/html/render_1_ed32f63caa000bba23de.html', 'size': 4704065.0, '_type': 'html-file', 'sha256': 'ed32f63caa000bba23deaff58c22bb2ea081296e889374123acbcfe1877b9c5c'}",,,,,,1774009361.2717936,,134.448041225,,,,,,
239.29226684570312,793600.0,21.400390625,0.0,8012.557877740131,33.48490905761719,,0.0,5.004469871520996,0.0,0.0,0.005859375,1774009361.46084,793600.0,150.011013984,0.0,0.03515625,-52.03752899169922,0.0,0.0,0.03515625
190.881103515625,1047552.0,17.208984375,0.0,22272.136301259514,4.0336833000183105,,0.0,0.01018590945750475,0.0,0.0,0.0,1774009376.8342943,1047552.0,165.310185706,0.0,0.0,-50.6934928894043,0.0,0.0,0.0
99.75301361083984,1301504.0,7.02734375,0.0,22413.525785135906,0.8143113255500793,,0.0,0.0013975887559354305,0.0,0.0,0.0,1774009392.133394,1301504.0,180.6641446,0.0,0.0,-29.216106414794922,0.0,0.0,0.0
182.91854858398438,1555456.0,15.880859375,0.0,22295.11465240541,0.39672166109085083,,0.0,0.0006190082058310509,0.0,0.0,0.0,1774009407.4874387,1555456.0,195.980177496,0.0,0.0,-16.882789611816406,0.0,0.0,0.0
231.5026092529297,1809408.0,16.78515625,0.0,22385.304586042304,0.14809854328632355,"{'path': 'media/html/render_1809408_5405daee0f3e222c89fa.html', 'size': 4742693.0, '_type': 'html-file', 'sha256': '5405daee0f3e222c89fae6e3bf78cc6b483409aea579a00ba49e1c7dafbc92a1'}",0.0,0.0006681563099846244,0.0,0.0,0.0,1774009464.0485592,1809408.0,237.224822231,0.0,0.0,-10.288994789123535,0.0,0.0,0.0
300.3599853515625,2063360.0,25.140625,0.0,22276.16259514042,0.056744400411844254,,0.0,0.00036143194301985204,0.0,0.0,0.0,1774009464.2400172,2063360.0,252.77776372,0.0,0.0,-5.064834117889404,0.0,0.0,0.0
306.0279541015625,2317312.0,24.12109375,0.0,22311.910070981136,0.020012803375720978,,0.0,0.00016576603229623288,0.0,0.0,0.0,1774009479.600987,2317312.0,268.11913234,0.0,0.0,-2.515554904937744,0.0,0.0,0.0
301.95001220703125,2571264.0,23.58203125,0.0,22325.99524333374,0.0053312149830162525,,0.0,7.916821778053418e-05,0.0,0.0,0.0,1774009494.9417872,2571264.0,283.464718816,0.0,0.0,-1.0698158740997314,0.0,0.0,0.0
297.9778137207031,2825216.0,18.42578125,0.0,22322.42573592673,0.0014262042241171002,,0.0,5.996303298161365e-05,0.0,0.0,0.0,1774009510.2877767,2825216.0,298.81706546,0.0,0.0,-0.4194088280200958,0.0,0.0,0.0
294.28515625,3079168.0,21.201171875,0.0,22308.88612175275,0.0010469998233020306,"{'size': 4743313.0, '_type': 'html-file', 'sha256': '2d3f78f116eb4a2a76b67922e3821f5b396add072f907a0afbaf13240f5fbbb1', 'path': 'media/html/render_3079168_2d3f78f116eb4a2a76b6.html'}",0.0,-5.0459297199267894e-05,0.0,0.0,0.0,1774009567.2623446,3079168.0,340.438570987,0.0,0.0,-0.3195951282978058,0.0,0.0,0.0
506.4188537597656,3333120.0,42.96484375,0.0,22330.58501706044,0.0012577853631228209,,0.0,3.401460708118975e-05,0.0,0.0,0.001953125,1774009567.4651384,3333120.0,356.023721728,0.0,0.001953125,-0.5408957600593567,0.0,0.0,0.001953125
248.5914306640625,3587072.0,20.318359375,0.0,22256.33073916546,0.0007883874350227416,,0.0,8.552635335945524e-06,0.0,0.0,0.0,1774009582.846926,3587072.0,371.354915574,0.0,0.0,-0.3235078454017639,0.0,0.0,0.0
230.19839477539062,3841024.0,15.263671875,0.0,22346.621902478688,0.0004731716471724212,,0.0,2.212149411207065e-05,0.0,0.0,0.0,1774009598.1780775,3841024.0,386.715555853,0.0,0.0,-0.17287582159042358,0.0,0.0,0.0
238.26466369628906,4094976.0,21.380859375,0.0,22295.15711926024,0.00047016420285217464,,0.0,-8.921204425860196e-06,0.0,0.0,0.0,1774009613.5386944,4094976.0,402.048882071,0.0,0.0,-0.10420104116201401,0.0,0.0,0.0
