eval/episode_reward,eval/episode_success_any,eval/episode_reward_survive,training/sps,training/actor_loss,eval/episode_reward_near,_runtime,_timestamp,training/log_alpha,_step,eval/episode_success_hard,eval/episode_reward_ctrl,training/entropy,eval/episode_reward_dist,render,eval/episode_success_easy,training/alpha_loss,eval/episode_success,step,eval/episode_dist,training/critic_loss
,,,,,,59.129935451,1773987898.9944918,,0.0,,,,,"{'sha256': '2e8eb4554d4f08bfcec912800e0dc3e49b94a69cb1d2f72d8e5c205ac484cb75', 'path': 'media/html/render_0_2e8eb4554d4f08bfcec9.html', 'size': 4761425.0, '_type': 'html-file'}",,,,,,
,,,,,,135.333864765,1773987975.198422,,1.0,,,,,"{'sha256': 'd98445755606e71070ac4eb312e3698d2e347a0c9cd5250acf790874b2d5422c', 'path': 'media/html/render_1_d98445755606e71070ac.html', 'size': 4750641.0, '_type': 'html-file'}",,,,,,
0.0,0.0,0.0,7920.07890848769,-64.90306854248047,0.0,150.880428583,1773987975.396106,0.0,793600.0,0.0,0.0,0.0,0.0,,15.287109375,5.046935558319092,0.0,793600.0,182.8790283203125,35.747249603271484
0.0,0.0,0.0,22303.693440439172,-44.314823150634766,0.0,166.167227409,1773987990.7445855,0.0,1047552.0,0.0,0.0,0.0,0.0,,9.984375,0.027243373915553093,0.0,1047552.0,135.60403442382812,2.976064443588257
0.0,0.0,0.0,22430.07126097756,-29.974712371826172,0.0,181.496911719,1773988006.0312827,0.0,1301504.0,0.0,0.0,0.0,0.0,,19.1484375,0.0013815612765029073,0.0,1301504.0,231.84112548828125,0.9875995516777039
0.0,0.0,0.0,22336.852079259144,-12.230260848999023,0.0,196.798921824,1773988021.3609238,0.0,1555456.0,0.0,0.0,0.0,0.0,,11.796875,0.0007274256786331534,0.0,1555456.0,175.6019744873047,0.23411931097507477
0.015625,0.00390625,0.0,22402.21548417608,-4.705803871154785,0.0,238.262868921,1773988078.1274621,0.0,1809408.0,0.0,0.0,0.0,0.0,"{'path': 'media/html/render_1809408_6c60a14455db54b782fe.html', 'size': 4772501.0, '_type': 'html-file', 'sha256': '6c60a14455db54b782feaa3283f7b25e71ea2878aa1edca0928610041b372db3'}",14.41015625,0.00025745463790372014,0.015625,1809408.0,173.3532257080078,0.05930441617965698
0.013671875,0.001953125,0.0,22329.190941737383,-2.1955373287200928,0.0,253.79434871,1773988078.3254817,0.0,2063360.0,0.0,0.0,0.0,0.0,,24.9453125,0.00017351728456560522,0.013671875,2063360.0,308.5791015625,0.02588440477848053
0.0,0.0,0.0,22349.00238854736,-0.8134616613388062,0.0,269.110475322,1773988093.658453,0.0,2317312.0,0.0,0.0,0.0,0.0,,29.447265625,0.00012951603275723755,0.0,2317312.0,291.13421630859375,0.008135213516652584
0.0,0.0,0.0,22367.058441220277,-0.21309326589107513,0.0,284.438675821,1773988108.974395,0.0,2571264.0,0.0,0.0,0.0,0.0,,32.083984375,4.859923865296878e-05,0.0,2571264.0,327.0789794921875,0.0020214938558638096
