eval/episode_reward_survive,training/critic_loss,training/actor_loss,render,training/alpha_loss,_timestamp,_step,eval/episode_dist,eval/episode_success_easy,eval/episode_success,eval/episode_reward_ctrl,eval/episode_success_hard,step,training/log_alpha,eval/episode_success_any,training/entropy,eval/episode_reward_dist,eval/episode_reward_near,eval/episode_reward,_runtime,training/sps
,,,"{'path': 'media/html/render_0_4a7b07aad65d09fb8c34.html', 'size': 4772929.0, '_type': 'html-file', 'sha256': '4a7b07aad65d09fb8c341d5a48dcef24de08c35766fb353247b80ed3ced9cd65'}",,1774000736.9554298,0.0,,,,,,,,,,,,,58.607298569,
,,,"{'sha256': '582e4f34e62a2a42384e25e9a8293e02e6a92b28b8f9aab3f0991f66aa6feaab', 'path': 'media/html/render_1_582e4f34e62a2a42384e.html', 'size': 4696057.0, '_type': 'html-file'}",,1774000812.3158822,1.0,,,,,,,,,,,,,133.967722293,
0.0,34.04401779174805,-72.90666198730469,,5.012666702270508,1774000812.507819,793600.0,177.51974487304688,16.51953125,0.044921875,0.0,0.0,793600.0,0.0,0.00390625,0.0,0.0,0.0,0.044921875,149.560825333,8195.989845500922
0.0,8.468398094177246,-75.52816772460938,,0.014611616730690002,1774000827.9084213,1047552.0,130.07003784179688,11.044921875,0.0,0.0,0.0,1047552.0,0.0,0.0,0.0,0.0,0.0,0.0,164.902874045,22223.765735739813
0.0,1.6561623811721802,-32.708168029785156,,0.0015517218271270394,1774000843.250517,1301504.0,329.0460205078125,31.283203125,0.0,0.0,0.0,1301504.0,0.0,0.0,0.0,0.0,0.0,0.0,180.298321886,22333.24070185903
0.0,0.44213375449180603,-15.381081581115723,,0.00087011355208233,1774000858.6459901,1555456.0,224.51950073242188,15.732421875,0.0,0.0,0.0,1555456.0,0.0,0.0,0.0,0.0,0.0,0.0,195.658227837,22219.289287895517
0.0,0.1503119319677353,-6.546095371246338,"{'size': 4759029.0, '_type': 'html-file', 'sha256': '8011bacf43be7e57f43b22a39cc608486dd5313250aca02ec82f6aad91ddab2e', 'path': 'media/html/render_1809408_8011bacf43be7e57f43b.html'}",0.0005189829389564693,1774000915.376478,1809408.0,217.36639404296875,18.662109375,0.0,0.0,0.0,1809408.0,0.0,0.0,0.0,0.0,0.0,0.0,237.028264159,22304.117509060306
0.0,0.03271312266588211,-2.7275166511535645,,0.00028799838037230074,1774000915.5766113,2063360.0,397.1446533203125,29.74609375,0.0,0.0,0.0,2063360.0,0.0,0.0,0.0,0.0,0.0,0.0,252.624140326,22218.81096724321
0.0,0.006447805091738701,-0.7201288938522339,,9.451514051761478e-05,1774000930.971871,2317312.0,308.75860595703125,34.44921875,0.021484375,0.0,0.0,2317312.0,0.0,0.001953125,0.0,0.0,0.0,0.021484375,268.00187455,22241.142488973936
0.0,0.0012981854379177094,-0.16141462326049805,,3.714317426783964e-05,1774000946.349396,2571264.0,216.89108276367188,18.451171875,0.0,0.0,0.0,2571264.0,0.0,0.0,0.0,0.0,0.0,0.0,283.380536208,22259.474891904385
0.0,0.00037667853757739067,-0.08195430040359497,,2.1458996343426406e-05,1774000961.7280767,2825216.0,274.62115478515625,15.248046875,0.001953125,0.0,0.0,2825216.0,0.0,0.001953125,0.0,0.0,0.0,0.001953125,298.772998662,22261.908033852
0.0,0.0001487705740146339,-0.01829404942691326,"{'_type': 'html-file', 'sha256': '49e439851abc9cb145c14686af52519550cd16dfed4141889f81a3294b09dcdc', 'path': 'media/html/render_3079168_49e439851abc9cb145c1.html', 'size': 4743745.0}",6.26584642304806e-06,1774001018.3614504,3079168.0,183.3011474609375,20.400390625,0.1015625,0.0,0.0,3079168.0,0.0,0.01171875,0.0,0.0,0.0,0.1015625,340.013286661,22238.434372902524
0.0,8.318626350956038e-05,-0.01439225859940052,,6.363397005770821e-06,1774001018.5645614,3333120.0,141.92425537109375,9.2578125,0.0,0.0,0.0,3333120.0,0.0,0.0,0.0,0.0,0.0,0.0,355.644435432,22268.45456944365
0.0,6.768127786926925e-05,-0.0019268165342509747,,1.0668751201592386e-05,1774001033.9920886,3587072.0,236.98524475097656,17.861328125,0.01171875,0.0,0.0,3587072.0,0.0,0.001953125,0.0,0.0,0.0,0.01171875,371.024475353,22169.86348824882
0.0,9.495131962466985e-05,-0.0019037004094570875,,5.450539788398601e-07,1774001049.3720965,3841024.0,226.77320861816406,17.9609375,0.021484375,0.0,0.0,3841024.0,0.0,0.001953125,0.0,0.0,0.0,0.021484375,386.424301711,22254.351680854004
0.0,6.150430272100493e-05,-0.0036726235412061214,,2.1588025589380777e-08,1774001064.77191,4094976.0,101.89361572265625,6.62109375,0.0,0.0,0.0,4094976.0,0.0,0.0,0.0,0.0,0.0,0.0,401.804269176,22225.357682981517
