_step,eval/episode_success_easy,eval/episode_reward_survive,eval/episode_success_any,_timestamp,eval/episode_reward_ctrl,training/critic_loss,training/log_alpha,training/entropy,eval/episode_reward_near,step,eval/episode_success_hard,eval/episode_dist,eval/episode_success,_runtime,training/sps,eval/episode_reward_dist,render,eval/episode_reward,training/actor_loss,training/alpha_loss
0.0,,,,1774331939.5051353,,,,,,,,,,60.153177036,,,"{'size': 4758013.0, '_type': 'html-file', 'sha256': 'b2f1963f89b00e3cbd02d0fef7562cbe9e95da0dbb01c3e48dc6f07947a4650b', 'path': 'media/html/render_0_b2f1963f89b00e3cbd02.html'}",,,
1.0,,,,1774332005.6069992,,,,,,,,,,126.25498942,,,"{'path': 'media/html/render_1_3a7e5e84f91e4ce6dc6b.html', 'size': 4763641.0, '_type': 'html-file', 'sha256': '3a7e5e84f91e4ce6dc6be31af69a7a104aad1a4eef6ca8579abab9859fd77cd8'}",,,
793600.0,4.236328125,0.0,0.0,1774332005.805473,0.0,0.13020426034927368,0.0,0.0,0.0,793600.0,0.0,57.89551544189453,0.0,137.848065332,11177.618314357913,0.0,,0.0,0.41430747509002686,0.0
1047552.0,4.130859375,0.0,0.0,1774332017.1995282,0.0,0.0005763989756815135,0.0,0.0,0.0,1047552.0,0.0,54.64514923095703,0.0,149.201995257,34144.997176403034,0.0,,0.0,0.03079541213810444,0.0
1301504.0,4.564453125,0.0,0.0,1774332028.5535605,0.0,2.230832433269825e-05,0.0,0.0,0.0,1301504.0,0.0,50.51357650756836,0.0,160.54417003,34266.96222585232,0.0,,0.0,0.004429544787853956,0.0
1555456.0,4.568359375,0.0,0.0,1774332039.8957686,0.0,1.0672193866412272e-06,0.0,0.0,0.0,1555456.0,0.0,50.98105239868164,0.0,171.880157152,34322.50509303955,0.0,,0.0,0.003110744059085846,0.0
1809408.0,3.748046875,0.0,0.0,1774332090.1782398,0.0,6.53228937608219e-08,0.0,0.0,0.0,1809408.0,0.0,51.67706298828125,0.0,210.82619242,34341.86730337619,0.0,"{'path': 'media/html/render_1809408_46eb5cc72860f1e31c23.html', 'size': 4763917.0, '_type': 'html-file', 'sha256': '46eb5cc72860f1e31c23de28de2f6808b8641863ac8946d543c55e443dd6478c'}",0.0,0.0007148398435674608,0.0
2063360.0,4.890625,0.0,0.0,1774332090.3636878,0.0,5.651439494158694e-08,0.0,0.0,0.0,2063360.0,0.0,50.347984313964844,0.0,222.393237545,34365.82444465165,0.0,,0.0,0.00021298523643054068,0.0
2317312.0,3.701171875,0.0,0.0,1774332101.744853,0.0,4.493621030832173e-09,0.0,0.0,0.0,2317312.0,0.0,52.29694747924805,0.0,233.745551833,34163.20406723425,0.0,,0.0,7.444572838721797e-05,0.0
2571264.0,3.978515625,0.0,0.0,1774332113.0970018,0.0,2.534933596365363e-09,0.0,0.0,0.0,2571264.0,0.0,51.69355392456055,0.0,245.094845823,34290.61512480165,0.0,,0.0,2.1919020582572557e-05,0.0
2825216.0,3.779296875,0.0,0.0,1774332124.4457524,0.0,8.111076255090666e-10,0.0,0.0,0.0,2825216.0,0.0,51.02964782714844,0.0,256.445065673,34288.959319392,0.0,,0.0,4.015616650576703e-05,0.0
3079168.0,4.65625,0.0,0.0,1774332173.243714,0.0,4.819483701012928e-10,0.0,0.0,0.0,3079168.0,0.0,50.04064178466797,0.0,293.891688183,34289.61941464731,0.0,"{'path': 'media/html/render_3079168_46eb5cc72860f1e31c23.html', 'size': 4763917.0, '_type': 'html-file', 'sha256': '46eb5cc72860f1e31c23de28de2f6808b8641863ac8946d543c55e443dd6478c'}",0.0,7.556274795206264e-06,0.0
3333120.0,3.841796875,0.0,0.0,1774332173.4292018,0.0,1.0601457212100485e-10,0.0,0.0,0.0,3333120.0,0.0,51.77220916748047,0.0,305.447167382,34261.05106819087,0.0,,0.0,5.244151452643564e-06,0.0
3587072.0,4.37109375,0.0,0.0,1774332184.7985492,0.0,1.0690656693235212e-10,0.0,0.0,0.0,3587072.0,0.0,50.68522644042969,0.0,316.793617004,34217.898555667685,0.0,,0.0,5.224465439823689e-06,0.0
3841024.0,4.220703125,0.0,0.0,1774332196.1452582,0.0,9.616171747772739e-11,0.0,0.0,0.0,3841024.0,0.0,50.35713195800781,0.0,328.145247287,34283.54153805064,0.0,,0.0,4.815913143829675e-06,0.0
4094976.0,4.3359375,0.0,0.0,1774332207.496609,0.0,1.3280630761780543e-10,0.0,0.0,0.0,4094976.0,0.0,51.02589416503906,0.0,339.484249101,34300.8526558229,0.0,,0.0,3.7514187170017976e-06,0.0
4348928.0,4.73828125,0.0,0.0,1774332255.7110443,0.0,1.0404382216888663e-10,0.0,0.0,0.0,4348928.0,0.0,50.0045166015625,0.0,376.359017151,34319.85979800697,0.0,"{'path': 'media/html/render_4348928_46eb5cc72860f1e31c23.html', 'size': 4763917.0, '_type': 'html-file', 'sha256': '46eb5cc72860f1e31c23de28de2f6808b8641863ac8946d543c55e443dd6478c'}",0.0,1.0023776667367201e-05,0.0
4602880.0,3.826171875,0.0,0.0,1774332255.906902,0.0,1.124379478412152e-09,0.0,0.0,0.0,4602880.0,0.0,52.56900405883789,0.0,387.929729112,34341.226231498236,0.0,,0.0,2.4534278054488823e-05,0.0
4856832.0,4.162109375,0.0,0.0,1774332267.2811582,0.0,1.1931124144215488e-10,0.0,0.0,0.0,4856832.0,0.0,50.523956298828125,0.0,399.273673997,34187.34372458983,0.0,,0.0,1.750176124915015e-05,0.0
5110784.0,4.34375,0.0,0.0,1774332278.6251316,0.0,6.468851149188382e-11,0.0,0.0,0.0,5110784.0,0.0,50.47209548950195,0.0,410.828797421,34310.85536032761,0.0,,0.0,3.894250767189078e-06,0.0
5364736.0,4.248046875,0.0,0.0,1774332290.1803036,0.0,6.408634040111494e-11,0.0,0.0,0.0,5364736.0,0.0,51.795711517333984,0.0,422.381681685,33349.20579493357,0.0,,0.0,2.3993623017304344e-06,0.0
5618688.0,4.138671875,0.0,0.0,1774332339.3935404,0.0,5.150921356111837e-11,0.0,0.0,0.0,5618688.0,0.0,51.56488800048828,0.0,460.041530382,33368.812723302246,0.0,"{'path': 'media/html/render_5618688_46eb5cc72860f1e31c23.html', 'size': 4763917.0, '_type': 'html-file', 'sha256': '46eb5cc72860f1e31c23de28de2f6808b8641863ac8946d543c55e443dd6478c'}",0.0,2.044287839453318e-06,0.0
5872640.0,4.474609375,0.0,0.0,1774332339.5822325,0.0,3.579870774816918e-11,0.0,0.0,0.0,5872640.0,0.0,49.85712432861328,0.0,471.81555111,33354.76364326878,0.0,,0.0,3.476929578027921e-06,0.0
6126592.0,4.767578125,0.0,0.0,1774332351.1671836,0.0,3.5756557437149894e-11,0.0,0.0,0.0,6126592.0,0.0,49.748844146728516,0.0,483.38238342,33249.6256097861,0.0,,0.0,4.1102957766270265e-06,0.0
6380544.0,3.69140625,0.0,0.0,1774332362.7339358,0.0,3.443110033196639e-11,0.0,0.0,0.0,6380544.0,0.0,52.39219665527344,0.0,494.943778227,33313.124879038216,0.0,,0.0,3.580343445719336e-06,0.0
6634496.0,4.61328125,0.0,0.0,1774332374.2953203,0.0,3.267697917808121e-11,0.0,0.0,0.0,6634496.0,0.0,49.9051399230957,0.0,506.49840621,33339.90404322188,0.0,,0.0,2.0660829704866046e-06,0.0
6888448.0,3.7890625,0.0,0.0,1774332423.7129989,0.0,3.290064054528585e-11,0.0,0.0,0.0,6888448.0,0.0,52.873130798339844,0.0,544.360993686,33350.660347789955,0.0,"{'path': 'media/html/render_6888448_46eb5cc72860f1e31c23.html', 'size': 4763917.0, '_type': 'html-file', 'sha256': '46eb5cc72860f1e31c23de28de2f6808b8641863ac8946d543c55e443dd6478c'}",0.0,3.046091251235339e-06,0.0
7142400.0,4.3359375,0.0,0.0,1774332423.9074512,0.0,3.2680413930563645e-11,0.0,0.0,0.0,7142400.0,0.0,51.177513122558594,0.0,556.129976374,33360.06527142091,0.0,,0.0,2.862922656277078e-06,0.0
7396352.0,5.0625,0.0,0.0,1774332435.4816294,0.0,3.2838613772678826e-11,0.0,0.0,0.0,7396352.0,0.0,49.118568420410156,0.0,567.684047416,33279.55798951522,0.0,,0.0,3.192721806044574e-06,0.0
7650304.0,4.322265625,0.0,0.0,1774332447.0354269,0.0,3.2606146949110126e-11,0.0,0.0,0.0,7650304.0,0.0,50.843902587890625,0.0,579.237373176,33363.4842788465,0.0,,0.0,2.853200385288801e-06,0.0
7904256.0,3.9765625,0.0,0.0,1774332458.588918,0.0,3.3176548314139964e-11,0.0,0.0,0.0,7904256.0,0.0,51.399139404296875,0.0,590.791537203,33348.76621706312,0.0,,0.0,3.414087359487894e-06,0.0
8158208.0,4.177734375,0.0,0.0,1774332507.34822,0.0,3.245822360886663e-11,0.0,0.0,0.0,8158208.0,0.0,52.44890594482422,0.0,627.996190031,33383.35911084679,0.0,"{'path': 'media/html/render_8158208_46eb5cc72860f1e31c23.html', 'size': 4763917.0, '_type': 'html-file', 'sha256': '46eb5cc72860f1e31c23de28de2f6808b8641863ac8946d543c55e443dd6478c'}",0.0,2.7930304895562585e-06,0.0
8412160.0,3.9296875,0.0,0.0,1774332507.5414598,0.0,3.2915701414504284e-11,0.0,0.0,0.0,8412160.0,0.0,51.72135925292969,0.0,639.740326311,33324.98677853088,0.0,,0.0,3.0176252039382234e-06,0.0
