_timestamp,training/actor_loss,eval/episode_success_hard,training/log_alpha,eval/episode_reward_survive,eval/episode_success_any,render,_step,eval/episode_success_easy,eval/episode_reward_dist,training/sps,_runtime,eval/episode_reward_near,training/alpha_loss,eval/episode_reward_ctrl,training/critic_loss,eval/episode_success,eval/episode_dist,eval/episode_reward,training/entropy,step
1774349250.699265,,,,,,"{'_type': 'html-file', 'sha256': '2565fdc6886da1845bb33a6498e943de2778dcab4309e995658cc2cc2d982a8c', 'path': 'media/html/render_0_2565fdc6886da1845bb3.html', 'size': 4735413.0}",0.0,,,,60.082563536,,,,,,,,,
1774349317.710852,,,,,,"{'path': 'media/html/render_1_c08acfce82a901397fff.html', 'size': 4750521.0, '_type': 'html-file', 'sha256': 'c08acfce82a901397fff0d23a2f1993e323cb8f035b6ee7a9ee42f29ee802f66'}",1.0,,,,127.094171834,,,,,,,,,
1774349317.89477,1.0704971551895142,0.0,0.0,0.0,0.0,,793600.0,4.416015625,0.0,11210.194992089626,138.646381438,0.0,0.0,0.0,0.2247922569513321,0.0,50.82061767578125,0.0,0.0,793600.0
1774349329.2626371,-0.027180878445506096,0.0,0.0,0.0,0.0,,1047552.0,4.3984375,0.0,34237.35198339716,149.995034666,0.0,0.0,0.0,0.001570622087456286,0.0,51.51757049560547,0.0,0.0,1047552.0
1774349340.6112905,0.009477491490542889,0.0,0.0,0.0,0.0,,1301504.0,4.220703125,0.0,34286.74520552954,161.350150705,0.0,0.0,0.0,2.3282829715753905e-05,0.0,55.30828857421875,0.0,0.0,1301504.0
1774349351.9664996,0.0029370845295488834,0.0,0.0,0.0,0.0,,1555456.0,4.578125,0.0,34255.9307425199,172.691838738,0.0,0.0,0.0,2.289601752636372e-06,0.0,49.28837585449219,0.0,0.0,1555456.0
1774349400.5254056,0.001446797396056354,0.0,0.0,0.0,0.0,"{'size': 4792085.0, '_type': 'html-file', 'sha256': '225b398e1720854a4942b87956c8aab6b9c3d4451f4a7d835e2b06066372619d', 'path': 'media/html/render_1809408_225b398e1720854a4942.html'}",1809408.0,4.4296875,0.0,34286.282772183404,209.908678165,0.0,0.0,0.0,7.342066510318546e-07,0.0,50.516090393066406,0.0,0.0,1809408.0
1774349400.742919,0.00029835375607945025,0.0,0.0,0.0,0.0,,2063360.0,4.23828125,0.0,34237.94406092701,221.509409862,0.0,0.0,0.0,2.4032404510876404e-08,0.0,50.49010467529297,0.0,0.0,2063360.0
1774349412.1257029,3.712886609719135e-05,0.0,0.0,0.0,0.0,,2317312.0,4.134765625,0.0,34140.570224174124,232.849456246,0.0,0.0,0.0,4.922205789625878e-07,0.0,51.38746643066406,0.0,0.0,2317312.0
1774349423.4657662,0.00010723002924351022,0.0,0.0,0.0,0.0,,2571264.0,4.470703125,0.0,34292.139711045085,244.191897033,0.0,0.0,0.0,1.4943777841835981e-06,0.0,50.34247589111328,0.0,0.0,2571264.0
