training/critic_loss,_step,eval/episode_reward_near,training/log_alpha,eval/episode_success,training/actor_loss,training/sps,training/alpha_loss,_timestamp,eval/episode_reward,eval/episode_dist,eval/episode_reward_survive,eval/episode_reward_dist,eval/episode_success_easy,step,_runtime,eval/episode_success_any,eval/episode_success_hard,training/entropy,eval/episode_reward_ctrl,render
,0.0,,,,,,,1774335401.1288655,,,,,,,60.325818872,,,,,"{'path': 'media/html/render_0_0b98180d8837d01ec99e.html', 'size': 4732949.0, '_type': 'html-file', 'sha256': '0b98180d8837d01ec99e7c22ea37f36d444d5b95a2a6a6dfd3a4d4d9fde97fd1'}"
,1.0,,,,,,,1774335467.7375731,,,,,,,126.934548063,,,,,"{'size': 4769125.0, '_type': 'html-file', 'sha256': 'd8b4c50e9d3ec80af7eb28a16040d3f43d5846517743187de83bd65a69c7811c', 'path': 'media/html/render_1_d8b4c50e9d3ec80af7eb.html'}"
0.5002835988998413,793600.0,0.0,0.0,0.0,1.6953186988830566,11036.758837553818,0.0,1774335467.9177666,0.0,51.237701416015625,0.0,0.0,3.994140625,793600.0,138.50255259,0.0,0.0,0.0,0.0,
0.003153238445520401,1047552.0,0.0,0.0,0.0,0.13224634528160095,34150.060302586666,0.0,1774335479.305033,0.0,47.493125915527344,0.0,0.0,4.22265625,1047552.0,149.861888943,0.0,0.0,0.0,0.0,
4.6004162868484855e-05,1301504.0,0.0,0.0,0.0,0.007550591602921486,34236.59705922248,0.0,1774335490.6644776,0.0,47.56571960449219,0.0,0.0,3.921875,1301504.0,161.221101102,0.0,0.0,0.0,0.0,
1.4573611224477645e-06,1555456.0,0.0,0.0,0.0,0.0014886707067489624,34254.46114909741,0.0,1774335502.0237033,0.0,48.27914810180664,0.0,0.0,4.06640625,1555456.0,172.572946962,0.0,0.0,0.0,0.0,
2.081005767706756e-08,1809408.0,0.0,0.0,0.0,0.00032694253604859114,34252.697583127,0.0,1774335550.3944302,0.0,48.30136489868164,0.0,0.0,3.55078125,1809408.0,209.591370835,0.0,0.0,0.0,0.0,"{'path': 'media/html/render_1809408_7198552da2b597f5b07b.html', 'size': 4726717.0, '_type': 'html-file', 'sha256': '7198552da2b597f5b07bac29b8b9610dd0352cc59368cdcfb2ca7f8c875ab702'}"
1.0980373277291733e-09,2063360.0,0.0,0.0,0.0,4.50307343271561e-05,34271.28638888103,0.0,1774335550.595253,0.0,47.7881965637207,0.0,0.0,3.669921875,2063360.0,221.165151565,0.0,0.0,0.0,0.0,
8.272845741785773e-10,2317312.0,0.0,0.0,0.0,6.125668733147904e-06,34174.28554431409,0.0,1774335561.9677467,0.0,47.71824645996094,0.0,0.0,4.275390625,2317312.0,232.507493755,0.0,0.0,0.0,0.0,
3.7592517987405927e-10,2571264.0,0.0,0.0,0.0,2.694870090635959e-06,34320.78870131287,0.0,1774335573.3099456,0.0,47.03501892089844,0.0,0.0,4.265625,2571264.0,243.841644285,0.0,0.0,0.0,0.0,
