_step,eval/episode_reward_survive,render,training/actor_loss,training/critic_loss,_timestamp,training/entropy,eval/episode_success_easy,eval/episode_reward,training/log_alpha,_runtime,eval/episode_success_any,eval/episode_dist,eval/episode_success,eval/episode_success_hard,step,training/alpha_loss,eval/episode_reward_ctrl,eval/episode_reward_dist,eval/episode_reward_near,training/sps
0.0,,"{'_type': 'html-file', 'sha256': 'e44676227c3883583a69119329b98537443b7768078999aaed9a7e1a4527baab', 'path': 'media/html/render_0_e44676227c3883583a69.html', 'size': 4723289.0}",,,1774325016.9205534,,,,,59.818359035,,,,,,,,,,
1.0,,"{'path': 'media/html/render_1_70ff973dabed4cf6dedf.html', 'size': 4738897.0, '_type': 'html-file', 'sha256': '70ff973dabed4cf6dedf6dad9c159580cf76792aa0f98884c4101418cc8cf13c'}",,,1774325083.2242413,,,,,126.122032474,,,,,,,,,,
793600.0,0.0,,3.864927053451538,0.7050411701202393,1774325083.4078252,0.0,10.47265625,0.0,0.0,137.675160746,0.0,129.52645874023438,0.0,0.0,793600.0,0.0,0.0,0.0,0.0,11096.143933612977
1047552.0,0.0,,2.139477491378784,0.025853527709841728,1774325094.7768915,0.0,11.890625,0.0,0.0,149.01544431,0.0,128.6759033203125,0.0,0.0,1047552.0,0.0,0.0,0.0,0.0,34263.26627337403
1301504.0,0.0,,0.42890164256095886,0.0022166366688907146,1774325106.11724,0.0,10.029296875,0.0,0.0,160.367969963,0.0,129.0933837890625,0.0,0.0,1301504.0,0.0,0.0,0.0,0.0,34318.24207812721
1555456.0,0.0,,0.0745721310377121,0.00014415588520932943,1774325117.4698358,0.0,8.912109375,0.0,0.0,171.712511122,0.0,131.2235107421875,0.0,0.0,1555456.0,0.0,0.0,0.0,0.0,34293.24818470511
1809408.0,0.0,"{'path': 'media/html/render_1809408_70ff973dabed4cf6dedf.html', 'size': 4738897.0, '_type': 'html-file', 'sha256': '70ff973dabed4cf6dedf6dad9c159580cf76792aa0f98884c4101418cc8cf13c'}",0.020066604018211365,1.6698733816156164e-05,1774325165.753002,0.0,9.857421875,0.0,0.0,208.650759695,0.0,131.77476501464844,0.0,0.0,1809408.0,0.0,0.0,0.0,0.0,34307.576464725425
2063360.0,0.0,,0.0066764927469193935,5.234814580035163e-06,1774325165.93695,0.0,10.43359375,0.0,0.0,220.204511189,0.0,128.98348999023438,0.0,0.0,2063360.0,0.0,0.0,0.0,0.0,34334.66852212908
2317312.0,0.0,,0.0037859308067709208,3.756828846235294e-06,1774325177.3062227,0.0,9.2109375,0.0,0.0,231.529803535,0.0,132.44949340820312,0.0,0.0,2317312.0,0.0,0.0,0.0,0.0,34226.66839354413
2571264.0,0.0,,0.0016731062205508351,2.9500265554815996e-06,1774325188.631684,0.0,9.98828125,0.0,0.0,242.869332991,0.0,129.67108154296875,0.0,0.0,2571264.0,0.0,0.0,0.0,0.0,34408.065050331985
2825216.0,0.0,,0.0005440858658403158,3.512074329137249e-07,1774325199.971111,0.0,10.701171875,0.0,0.0,254.207038218,0.0,130.50839233398438,0.0,0.0,2825216.0,0.0,0.0,0.0,0.0,34328.210674899194
3079168.0,0.0,"{'path': 'media/html/render_3079168_70ff973dabed4cf6dedf.html', 'size': 4738897.0, '_type': 'html-file', 'sha256': '70ff973dabed4cf6dedf6dad9c159580cf76792aa0f98884c4101418cc8cf13c'}",0.0002699558390304446,9.856112228590064e-07,1774325249.1939917,0.0,11.234375,0.0,0.0,292.09175552,0.0,126.5869369506836,0.0,0.0,3079168.0,0.0,0.0,0.0,0.0,34349.04362706166
3333120.0,0.0,,0.00014739985635969788,8.987054798126337e-07,1774325249.3872197,0.0,9.48828125,0.0,0.0,303.657442015,0.0,132.89669799804688,0.0,0.0,3333120.0,0.0,0.0,0.0,0.0,34293.992359615346
3587072.0,0.0,,4.2471529013710096e-05,2.6311665806133533e-06,1774325260.759248,0.0,10.90234375,0.0,0.0,315.001177163,0.0,127.06973266601562,0.0,0.0,3587072.0,0.0,0.0,0.0,0.0,34195.421645446804
3841024.0,0.0,,6.072367978049442e-05,9.392084052706196e-07,1774325272.1029623,0.0,11.32421875,0.0,0.0,326.358436894,0.0,129.95782470703125,0.0,0.0,3841024.0,0.0,0.0,0.0,0.0,34292.86506867318
4094976.0,0.0,,8.364531822735444e-05,9.043733371072449e-07,1774325283.4602113,0.0,10.775390625,0.0,0.0,337.704000016,0.0,128.81564331054688,0.0,0.0,4094976.0,0.0,0.0,0.0,0.0,34271.768266564286
4348928.0,0.0,"{'path': 'media/html/render_4348928_70ff973dabed4cf6dedf.html', 'size': 4738897.0, '_type': 'html-file', 'sha256': '70ff973dabed4cf6dedf6dad9c159580cf76792aa0f98884c4101418cc8cf13c'}",4.1149440221488476e-05,1.7497582120995503e-06,1774325331.5855975,0.0,11.951171875,0.0,0.0,374.483336374,0.0,127.98613739013672,0.0,0.0,4348928.0,0.0,0.0,0.0,0.0,34288.549808186945
4602880.0,0.0,,4.491955405683257e-05,5.984124840097138e-08,1774325331.7862241,0.0,11.130859375,0.0,0.0,386.075664061,0.0,126.83776092529297,0.0,0.0,4602880.0,0.0,0.0,0.0,0.0,34310.995724750894
4856832.0,0.0,,6.358284008456394e-05,5.465096819534665e-08,1774325343.1774478,0.0,10.466796875,0.0,0.0,397.421309477,0.0,128.98809814453125,0.0,0.0,4856832.0,0.0,0.0,0.0,0.0,34117.0931989634
5110784.0,0.0,,4.3108801037305966e-05,1.7569612964507542e-06,1774325354.5231626,0.0,10.521484375,0.0,0.0,408.984273421,0.0,129.38101196289062,0.0,0.0,5110784.0,0.0,0.0,0.0,0.0,34305.51020939384
5364736.0,0.0,,2.7836305889650248e-05,4.408652642950983e-08,1774325366.0860615,0.0,11.1328125,0.0,0.0,420.538067194,0.0,130.15145874023438,0.0,0.0,5364736.0,0.0,0.0,0.0,0.0,33320.51347215902
5618688.0,0.0,"{'_type': 'html-file', 'sha256': '70ff973dabed4cf6dedf6dad9c159580cf76792aa0f98884c4101418cc8cf13c', 'path': 'media/html/render_5618688_70ff973dabed4cf6dedf.html', 'size': 4738897.0}",2.8546342946356162e-05,1.0519311643975016e-08,1774325415.2672334,0.0,10.869140625,0.0,0.0,458.16503371,0.0,129.04931640625,0.0,0.0,5618688.0,0.0,0.0,0.0,0.0,33373.43180657399
5872640.0,0.0,,1.026625068334397e-05,1.4282020011080476e-10,1774325415.4664867,0.0,10.87890625,0.0,0.0,469.929935504,0.0,126.81175994873047,0.0,0.0,5872640.0,0.0,0.0,0.0,0.0,33324.593713274844
6126592.0,0.0,,6.329050847853068e-06,3.41380049229123e-11,1774325427.0316975,0.0,10.1640625,0.0,0.0,481.480327582,0.0,131.06007385253906,0.0,0.0,6126592.0,0.0,0.0,0.0,0.0,33332.73528876271
6380544.0,0.0,,6.655182005488314e-06,3.3942178928603184e-11,1774325438.5822113,0.0,10.8359375,0.0,0.0,493.026997303,0.0,128.5135955810547,0.0,0.0,6380544.0,0.0,0.0,0.0,0.0,33387.50394623203
