eval/episode_success_easy,eval/episode_reward_survive,eval/episode_dist,eval/episode_reward,training/alpha_loss,training/log_alpha,eval/episode_success,training/sps,eval/episode_reward_dist,eval/episode_success_any,training/actor_loss,_step,eval/episode_reward_ctrl,step,_runtime,training/entropy,render,eval/episode_success_hard,eval/episode_reward_near,training/critic_loss,_timestamp
,,,,,,,,,,,0.0,,,59.778739038,,"{'path': 'media/html/render_0_197e4c43fa785bbe5e1e.html', 'size': 4715949.0, '_type': 'html-file', 'sha256': '197e4c43fa785bbe5e1e84341cebdce746f99d9a125882b3c276d895848e97c4'}",,,,1774328475.3639972
,,,,,,,,,,,1.0,,,126.369357095,,"{'path': 'media/html/render_1_ec0111adf3ca1e1f4184.html', 'size': 4725901.0, '_type': 'html-file', 'sha256': 'ec0111adf3ca1e1f4184558964618b8ddb75085801e46beb84aec234d59f59e3'}",,,,1774328541.9546547
4.71484375,0.0,54.95441818237305,0.0,0.0,0.0,0.0,11092.19840419668,0.0,0.0,-0.7425834536552429,793600.0,0.0,793600.0,137.919152039,0.0,,0.0,0.0,0.2974083423614502,1774328542.1429763
10.533203125,0.0,137.4503936767578,0.0,0.0,0.0,0.0,34255.23889422619,0.0,0.0,-0.0592685341835022,1047552.0,0.0,1047552.0,149.241472508,0.0,,0.0,0.0,0.0009241483057849109,1774328553.5041327
9.06640625,0.0,108.30445098876953,0.0,0.0,0.0,0.0,34399.60862406008,0.0,0.0,-0.028704987838864326,1301504.0,0.0,1301504.0,160.565989437,0.0,,0.0,0.0,0.00013508203846868128,1774328564.8263886
3.5625,0.0,52.10264587402344,0.0,0.0,0.0,0.0,34400.24632257288,0.0,0.0,-0.011031074449419975,1555456.0,0.0,1555456.0,171.892531149,0.0,,0.0,0.0,7.436521991621703e-05,1774328576.1508746
10.58984375,0.0,123.43197631835938,0.0,0.0,0.0,0.0,34366.99756477594,0.0,0.0,-0.0033670570701360703,1809408.0,0.0,1809408.0,208.743471263,0.0,"{'path': 'media/html/render_1809408_7aabfe03516ba81dc33a.html', 'size': 4677817.0, '_type': 'html-file', 'sha256': '7aabfe03516ba81dc33ae5e44b361d5587b590193ac6720324d2b9eca05c98d9'}",0.0,0.0,6.641065556323156e-05,1774328624.3287868
9.66796875,0.0,123.34323120117188,0.0,0.0,0.0,0.0,34395.03877295485,0.0,0.0,0.00014273323176894337,2063360.0,0.0,2063360.0,220.333339463,0.0,,0.0,0.0,6.270379526540637e-05,1774328624.5436742
11.5234375,0.0,119.84307098388672,0.0,0.0,0.0,0.0,34169.683282837315,0.0,0.0,0.00016737644909881055,2317312.0,0.0,2317312.0,231.65939237,0.0,,0.0,0.0,6.123310595285147e-05,1774328635.9183233
10.935546875,0.0,119.87672424316406,0.0,0.0,0.0,0.0,34381.62726463532,0.0,0.0,0.0008869507582858205,2571264.0,0.0,2571264.0,242.990643861,0.0,,0.0,0.0,2.2524060113937594e-05,1774328647.2443643
11.052734375,0.0,119.67655181884766,0.0,0.0,0.0,0.0,34344.29451427326,0.0,0.0,0.0010376665741205215,2825216.0,0.0,2825216.0,254.330562728,0.0,,0.0,0.0,4.029663614346646e-05,1774328658.5755155
10.607421875,0.0,121.58358764648438,0.0,0.0,0.0,0.0,34319.69613930121,0.0,0.0,0.0007128989091143012,3079168.0,0.0,3079168.0,291.802836735,0.0,"{'path': 'media/html/render_3079168_7aabfe03516ba81dc33a.html', 'size': 4677817.0, '_type': 'html-file', 'sha256': '7aabfe03516ba81dc33ae5e44b361d5587b590193ac6720324d2b9eca05c98d9'}",0.0,0.0,2.9029966754023917e-05,1774328707.388162
10.611328125,0.0,119.96512603759766,0.0,0.0,0.0,0.0,34335.311562799805,0.0,0.0,0.0004975015763193369,3333120.0,0.0,3333120.0,303.346929517,0.0,,0.0,0.0,3.68800392607227e-05,1774328707.571597
11.048828125,0.0,119.93968200683594,0.0,0.0,0.0,0.0,34228.495275663015,0.0,0.0,0.0004765536286868155,3587072.0,0.0,3587072.0,314.68038244,0.0,,0.0,0.0,2.2777807316742837e-05,1774328718.9319293
9.619140625,0.0,125.63812255859375,0.0,0.0,0.0,0.0,34347.96255683697,0.0,0.0,0.0005925474688410759,3841024.0,0.0,3841024.0,326.024712804,0.0,,0.0,0.0,3.5779074096353725e-05,1774328730.2653024
9.078125,0.0,127.23782348632812,0.0,0.0,0.0,0.0,34295.63760868758,0.0,0.0,0.0005559819401241839,4094976.0,0.0,4094976.0,337.355788889,0.0,,0.0,0.0,2.2171134332893416e-05,1774328741.609646
8.380859375,0.0,125.6030502319336,0.0,0.0,0.0,0.0,34350.65871324205,0.0,0.0,0.0006958107114769518,4348928.0,0.0,4348928.0,374.235867814,0.0,"{'sha256': '7aabfe03516ba81dc33ae5e44b361d5587b590193ac6720324d2b9eca05c98d9', 'path': 'media/html/render_4348928_7aabfe03516ba81dc33a.html', 'size': 4677817.0, '_type': 'html-file'}",0.0,0.0,1.880988565972075e-05,1774328789.8211699
11.427734375,0.0,121.85267639160156,0.0,0.0,0.0,0.0,34333.794202542114,0.0,0.0,0.0006854679086245596,4602880.0,0.0,4602880.0,385.812144976,0.0,,0.0,0.0,1.506824901298387e-05,1774328790.0305495
9.66796875,0.0,124.59579467773438,0.0,0.0,0.0,0.0,34210.12425201719,0.0,0.0,0.0005465388530865312,4856832.0,0.0,4856832.0,397.149715553,0.0,,0.0,0.0,1.6916605090955272e-05,1774328801.3969285
9.85546875,0.0,122.0840072631836,0.0,0.0,0.0,0.0,34330.7897601184,0.0,0.0,0.0003823292499873787,5110784.0,0.0,5110784.0,408.692543567,0.0,,0.0,0.0,2.0627976482501253e-05,1774328812.7340944
10.609375,0.0,123.00007629394531,0.0,0.0,0.0,0.0,33385.17869346411,0.0,0.0,0.00031498909811489284,5364736.0,0.0,5364736.0,420.228161165,0.0,,0.0,0.0,1.0730638678069226e-05,1774328824.2773454
9.876953125,0.0,124.31732940673828,0.0,0.0,0.0,0.0,33446.03057435602,0.0,0.0,0.0005084386211819947,5618688.0,0.0,5618688.0,457.574281966,0.0,"{'path': 'media/html/render_5618688_7aabfe03516ba81dc33a.html', 'size': 4677817.0, '_type': 'html-file', 'sha256': '7aabfe03516ba81dc33ae5e44b361d5587b590193ac6720324d2b9eca05c98d9'}",0.0,0.0,9.060900083568413e-06,1774328873.1595619
