eval/episode_success_easy,eval/episode_reward,eval/episode_reward_ctrl,eval/episode_reward_dist,training/critic_loss,eval/episode_success_any,eval/episode_success_hard,eval/episode_success,_step,render,training/alpha_loss,training/actor_loss,eval/episode_reward_survive,_runtime,training/entropy,eval/episode_dist,_timestamp,training/sps,step,eval/episode_reward_near,training/log_alpha
,,,,,,,,0.0,"{'path': 'media/html/render_0_39e60b0fd64baefdfbc6.html', 'size': 4698217.0, '_type': 'html-file', 'sha256': '39e60b0fd64baefdfbc6baeb4a44cf3d4516d46a05b683f157336054416a7bdf'}",,,,59.651105816,,,1774345788.504426,,,,
,,,,,,,,1.0,"{'path': 'media/html/render_1_86478533def0afad69da.html', 'size': 4656141.0, '_type': 'html-file', 'sha256': '86478533def0afad69dac78ea7a5d822d12e7c6b938b8874aa321bfc65dd2702'}",,,,125.698943228,,,1774345854.5523117,,,,
5.326171875,0.0,0.0,0.0,0.16383415460586548,0.0,0.0,0.0,793600.0,,0.0,0.002505876589566469,0.0,137.246587691,0.0,59.623233795166016,1774345854.741985,11222.282971562545,793600.0,0.0,0.0
5.173828125,0.0,0.0,0.0,0.0005471048643812537,0.0,0.0,0.0,1047552.0,,0.0,0.07468769699335098,0.0,148.582562803,0.0,55.800819396972656,1774345866.099493,34302.50740073312,1047552.0,0.0,0.0
3.88671875,0.0,0.0,0.0,3.174956873408519e-05,0.0,0.0,0.0,1301504.0,,0.0,0.004667051136493683,0.0,159.92318893,0.0,53.037208557128906,1774345877.4355018,34337.364805686775,1301504.0,0.0,0.0
5.025390625,0.0,0.0,0.0,7.603752692375565e-06,0.0,0.0,0.0,1555456.0,,0.0,0.003785634646192193,0.0,171.256377133,0.0,56.078094482421875,1774345888.7760966,34344.6023693687,1555456.0,0.0,0.0
4.447265625,0.0,0.0,0.0,1.5852318711040425e-06,0.0,0.0,0.0,1809408.0,"{'path': 'media/html/render_1809408_7f48f3046c6648bbfc4c.html', 'size': 4783457.0, '_type': 'html-file', 'sha256': '7f48f3046c6648bbfc4cbced38eb7e1b5ddc34fc9b6e7f70a59de6213f1e1927'}",0.0,0.001180959865450859,0.0,208.178721204,0.0,58.46891784667969,1774345937.0320945,34356.94658901749,1809408.0,0.0,0.0
5.197265625,0.0,0.0,0.0,4.970594318365329e-07,0.0,0.0,0.0,2063360.0,,0.0,0.000234290084335953,0.0,219.749166763,0.0,56.30263900756836,1774345937.2228518,34324.33669003257,2063360.0,0.0,0.0
4.873046875,0.0,0.0,0.0,4.922007406094053e-07,0.0,0.0,0.0,2317312.0,,0.0,6.604049121960998e-05,0.0,231.093229661,0.0,57.32758712768555,1774345948.6021001,34175.173688855895,2317312.0,0.0,0.0
4.5078125,0.0,0.0,0.0,6.138291723800648e-07,0.0,0.0,0.0,2571264.0,,0.0,2.46254767262144e-05,0.0,242.437351169,0.0,56.562129974365234,1774345959.946252,34317.1419388173,2571264.0,0.0,0.0
4.693359375,0.0,0.0,0.0,1.231561697068173e-07,0.0,0.0,0.0,2825216.0,,0.0,4.658351826947182e-06,0.0,253.788740481,0.0,57.386741638183594,1774345971.2902615,34305.44391655233,2825216.0,0.0,0.0
4.869140625,0.0,0.0,0.0,9.338967998928638e-08,0.0,0.0,0.0,3079168.0,"{'_type': 'html-file', 'sha256': 'f26aab4b277a51601706a1e1ba86fa8f6338f516f9cd5510e6c2d5c680471314', 'path': 'media/html/render_3079168_f26aab4b277a51601706.html', 'size': 4781397.0}",0.0,8.549007179681212e-05,0.0,291.162110755,0.0,57.786338806152344,1774346020.0155137,34286.203309952616,3079168.0,0.0,0.0
4.66015625,0.0,0.0,0.0,4.96085419854353e-07,0.0,0.0,0.0,3333120.0,,0.0,1.7764702420208778e-07,0.0,302.713395567,0.0,57.299415588378906,1774346020.2054708,34306.02288268701,3333120.0,0.0,0.0
4.759765625,0.0,0.0,0.0,1.751635503310922e-10,0.0,0.0,0.0,3587072.0,,0.0,6.930756171641406e-06,0.0,314.044023685,0.0,56.7822151184082,1774346031.5663183,34250.87252212186,3587072.0,0.0,0.0
4.3359375,0.0,0.0,0.0,6.649235329003744e-11,0.0,0.0,0.0,3841024.0,,0.0,1.2108453120163176e-05,0.0,325.400292665,0.0,57.457908630371094,1774346042.8969648,34348.272692973325,3841024.0,0.0,0.0
5.236328125,0.0,0.0,0.0,6.579370381842864e-11,0.0,0.0,0.0,4094976.0,,0.0,2.4938576643762644e-06,0.0,336.739842378,0.0,56.52466583251953,1774346054.2532332,34275.71863062126,4094976.0,0.0,0.0
5.4375,0.0,0.0,0.0,7.646612509848438e-11,0.0,0.0,0.0,4348928.0,"{'path': 'media/html/render_4348928_5081afc4d2a003f01374.html', 'size': 4780877.0, '_type': 'html-file', 'sha256': '5081afc4d2a003f013743d9a59a4d78ad08f03d8e18f7983d78e530f5e07de24'}",0.0,1.5934231214487227e-06,0.0,373.265590926,0.0,56.577571868896484,1774346102.1189651,34310.24086503335,4348928.0,0.0,0.0
5.083984375,0.0,0.0,0.0,4.898481051895942e-07,0.0,0.0,0.0,4602880.0,,0.0,-6.6392858570907265e-06,0.0,384.841587491,0.0,56.95060348510742,1774346102.3317354,34333.60053017703,4602880.0,0.0,0.0
5.04296875,0.0,0.0,0.0,1.0116335547039057e-10,0.0,0.0,0.0,4856832.0,,0.0,6.048934437785647e-07,0.0,396.173042161,0.0,57.14830017089844,1774346113.6945329,34226.282364545266,4856832.0,0.0,0.0
5.8203125,0.0,0.0,0.0,9.796930271477322e-07,0.0,0.0,0.0,5110784.0,,0.0,-1.378765682602534e-05,0.0,407.725938516,0.0,54.368446350097656,1774346125.0260367,34356.87012348775,5110784.0,0.0,0.0
4.265625,0.0,0.0,0.0,1.0627777130567395e-10,0.0,0.0,0.0,5364736.0,,0.0,-3.941641352867009e-06,0.0,419.274227328,0.0,59.290130615234375,1774346136.5788555,33346.22190489912,5364736.0,0.0,0.0
5.263671875,0.0,0.0,0.0,4.837368006160858e-11,0.0,0.0,0.0,5618688.0,"{'path': 'media/html/render_5618688_5081afc4d2a003f01374.html', 'size': 4780877.0, '_type': 'html-file', 'sha256': '5081afc4d2a003f013743d9a59a4d78ad08f03d8e18f7983d78e530f5e07de24'}",0.0,2.1199787170189666e-06,0.0,456.741369919,0.0,56.06385040283203,1774346185.5947301,33388.35899235324,5618688.0,0.0,0.0
4.95703125,0.0,0.0,0.0,3.931359057740558e-11,0.0,0.0,0.0,5872640.0,,0.0,1.4634161971116555e-06,0.0,468.515061112,0.0,56.162506103515625,1774346185.790979,33367.23324423725,5872640.0,0.0,0.0
4.375,0.0,0.0,0.0,3.232642972750277e-11,0.0,0.0,0.0,6126592.0,,0.0,2.337547812203411e-06,0.0,480.070802004,0.0,58.33159637451172,1774346197.3681297,33287.69317611157,6126592.0,0.0,0.0
4.765625,0.0,0.0,0.0,3.205478243950566e-11,0.0,0.0,0.0,6380544.0,,0.0,1.0597345863061491e-06,0.0,491.631692197,0.0,56.87950897216797,1774346208.923763,33365.04459058095,6380544.0,0.0,0.0
3.98046875,0.0,0.0,0.0,3.2006473860146656e-11,0.0,0.0,0.0,6634496.0,,0.0,-1.275961807323256e-07,0.0,503.189113229,0.0,59.0198860168457,1774346220.4847019,33351.16785265608,6634496.0,0.0,0.0
4.6953125,0.0,0.0,0.0,3.2152024098675014e-11,0.0,0.0,0.0,6888448.0,"{'_type': 'html-file', 'sha256': '5081afc4d2a003f013743d9a59a4d78ad08f03d8e18f7983d78e530f5e07de24', 'path': 'media/html/render_6888448_5081afc4d2a003f01374.html', 'size': 4780877.0}",0.0,1.252119886885339e-06,0.0,540.862250593,0.0,56.068824768066406,1774346269.7156718,33343.775054211124,6888448.0,0.0,0.0
4.703125,0.0,0.0,0.0,3.224049499594983e-11,0.0,0.0,0.0,7142400.0,,0.0,1.88956647662053e-07,0.0,552.661927424,0.0,56.89254379272461,1774346269.9191244,33359.23988259097,7142400.0,0.0,0.0
5.15625,0.0,0.0,0.0,3.1938954953014687e-11,0.0,0.0,0.0,7396352.0,,0.0,1.7235321365660639e-06,0.0,564.22428695,0.0,56.277984619140625,1774346281.5144672,33209.30173721925,7396352.0,0.0,0.0
5.296875,0.0,0.0,0.0,3.20898377315082e-11,0.0,0.0,0.0,7650304.0,,0.0,1.1970977098485491e-08,0.0,575.779003388,0.0,55.998069763183594,1774346293.077314,33333.24537765891,7650304.0,0.0,0.0
4.7421875,0.0,0.0,0.0,3.2291148921448354e-11,0.0,0.0,0.0,7904256.0,,0.0,-7.248285101013607e-07,0.0,587.350235473,0.0,56.609596252441406,1774346304.631975,33346.43904892862,7904256.0,0.0,0.0
5.21484375,0.0,0.0,0.0,3.1743829786989863e-11,0.0,0.0,0.0,8158208.0,"{'path': 'media/html/render_8158208_5081afc4d2a003f01374.html', 'size': 4780877.0, '_type': 'html-file', 'sha256': '5081afc4d2a003f013743d9a59a4d78ad08f03d8e18f7983d78e530f5e07de24'}",0.0,2.7543282499209454e-07,0.0,624.369392598,0.0,56.33015441894531,1774346353.222786,33302.364656228536,8158208.0,0.0,0.0
4.421875,0.0,0.0,0.0,3.1896790764207594e-11,0.0,0.0,0.0,8412160.0,,0.0,1.2662162589549553e-06,0.0,636.156921421,0.0,57.21175003051758,1774346353.4219556,33357.37716145336,8412160.0,0.0,0.0
4.56640625,0.0,0.0,0.0,3.2265242561058116e-11,0.0,0.0,0.0,8666112.0,,0.0,9.401304055245419e-07,0.0,647.721817807,0.0,57.22468948364258,1774346365.009871,33264.05785834062,8666112.0,0.0,0.0
4.37890625,0.0,0.0,0.0,3.21977271233731e-11,0.0,0.0,0.0,8920064.0,,0.0,1.685320626165776e-06,0.0,659.280079249,0.0,58.46421813964844,1774346376.5747688,33306.106146401704,8920064.0,0.0,0.0
4.5703125,0.0,0.0,0.0,3.220783015289719e-11,0.0,0.0,0.0,9174016.0,,0.0,1.842234269133769e-06,0.0,670.834332175,0.0,57.39544677734375,1774346388.1325624,33356.162273722846,9174016.0,0.0,0.0
4.974609375,0.0,0.0,0.0,3.200541567882631e-11,0.0,0.0,0.0,9427968.0,"{'path': 'media/html/render_9427968_5081afc4d2a003f01374.html', 'size': 4780877.0, '_type': 'html-file', 'sha256': '5081afc4d2a003f013743d9a59a4d78ad08f03d8e18f7983d78e530f5e07de24'}",0.0,-2.1442134823246306e-07,0.0,708.679537628,0.0,56.796470642089844,1774346437.532816,33354.766776738405,9427968.0,0.0,0.0
4.90625,0.0,0.0,0.0,3.1906983999352434e-11,0.0,0.0,0.0,9681920.0,,0.0,-9.27516680349072e-07,0.0,720.47525745,0.0,58.12932586669922,1774346437.7279818,33347.90484510088,9681920.0,0.0,0.0
4.30859375,0.0,0.0,0.0,3.259668576727215e-11,0.0,0.0,0.0,9935872.0,,0.0,-2.2267197437031427e-06,0.0,732.083172342,0.0,57.49383544921875,1774346449.3282683,33159.866773252914,9935872.0,0.0,0.0
4.38671875,0.0,0.0,0.0,3.22202785285608e-11,0.0,0.0,0.0,10189824.0,,0.0,-1.8381686004431685e-06,0.0,743.66161222,0.0,57.37167739868164,1774346460.936203,33290.00174733523,10189824.0,0.0,0.0
4.60546875,0.0,0.0,0.0,3.210529411767915e-11,0.0,0.0,0.0,10443776.0,,0.0,-1.7176627409298817e-07,0.0,755.23100509,0.0,57.16227722167969,1774346472.5145993,33258.471001937025,10443776.0,0.0,0.0
5.076171875,0.0,0.0,0.0,3.2108305597633446e-11,0.0,0.0,0.0,10697728.0,"{'sha256': '5081afc4d2a003f013743d9a59a4d78ad08f03d8e18f7983d78e530f5e07de24', 'path': 'media/html/render_10697728_5081afc4d2a003f01374.html', 'size': 4780877.0, '_type': 'html-file'}",0.0,-1.943343022503541e-06,0.0,792.467679264,0.0,56.6562385559082,1774346521.3210812,33295.72930187155,10697728.0,0.0,0.0
4.716796875,0.0,0.0,0.0,3.197004119770419e-11,0.0,0.0,0.0,10951680.0,,0.0,1.7766183191270102e-07,0.0,804.278397577,0.0,58.0568733215332,1774346521.530767,33273.27471537054,10951680.0,0.0,0.0
5.23828125,0.0,0.0,0.0,3.190489886173431e-11,0.0,0.0,0.0,11205632.0,,0.0,6.879876082166447e-07,0.0,815.832189931,0.0,55.47829818725586,1774346533.1314003,33207.223820469124,11205632.0,0.0,0.0
4.177734375,0.0,0.0,0.0,3.26121421534431e-11,0.0,0.0,0.0,11459584.0,,0.0,1.699743052085978e-06,0.0,827.374507542,0.0,58.298316955566406,1774346544.6851077,33352.54425018218,11459584.0,0.0,0.0
4.587890625,0.0,0.0,0.0,3.304678058979604e-11,0.0,0.0,0.0,11713536.0,,0.0,3.145464233966777e-06,0.0,838.946036193,0.0,56.924468994140625,1774346556.227578,33427.86964588176,11713536.0,0.0,0.0
5.5625,0.0,0.0,0.0,3.19428025696844e-11,0.0,0.0,0.0,11967488.0,"{'size': 4780877.0, '_type': 'html-file', 'sha256': '5081afc4d2a003f013743d9a59a4d78ad08f03d8e18f7983d78e530f5e07de24', 'path': 'media/html/render_11967488_5081afc4d2a003f01374.html'}",0.0,-1.163361389444617e-06,0.0,876.939119459,0.0,56.31723403930664,1774346605.7924912,33299.140339050704,11967488.0,0.0,0.0
4.69921875,0.0,0.0,0.0,3.216082261614517e-11,0.0,0.0,0.0,12221440.0,,0.0,-2.0124775801377837e-06,0.0,888.730424729,0.0,56.40489196777344,1774346605.9916658,33389.489353093,12221440.0,0.0,0.0
4.322265625,0.0,0.0,0.0,3.217980742986626e-11,0.0,0.0,0.0,12475392.0,,0.0,-1.6255635273410007e-06,0.0,900.29736881,0.0,57.5880012512207,1774346617.583396,33234.533906824465,12475392.0,0.0,0.0
5.294921875,0.0,0.0,0.0,3.2140092670607245e-11,0.0,0.0,0.0,12729344.0,,0.0,-3.7881082448620873e-07,0.0,911.85595095,0.0,55.18487548828125,1774346629.150136,33321.91027410761,12729344.0,0.0,0.0
4.60546875,0.0,0.0,0.0,3.1741491379744247e-11,0.0,0.0,0.0,12983296.0,,0.0,-3.254217517678626e-07,0.0,923.388141443,0.0,57.81492614746094,1774346640.7088192,33337.98087430206,12983296.0,0.0,0.0
4.11328125,0.0,0.0,0.0,3.223767433557789e-11,0.0,0.0,0.0,13237248.0,"{'path': 'media/html/render_13237248_5081afc4d2a003f01374.html', 'size': 4780877.0, '_type': 'html-file', 'sha256': '5081afc4d2a003f013743d9a59a4d78ad08f03d8e18f7983d78e530f5e07de24'}",0.0,-1.908464810185251e-06,0.0,960.773330492,0.0,58.181068420410156,1774346689.6267183,33474.47983308767,13237248.0,0.0,0.0
4.3515625,0.0,0.0,0.0,3.190028449728821e-11,0.0,0.0,0.0,13491200.0,,0.0,7.117740210560441e-07,0.0,972.553959039,0.0,58.30388641357422,1774346689.8203845,33335.06889056963,13491200.0,0.0,0.0
4.501953125,0.0,0.0,0.0,3.214683033658794e-11,0.0,0.0,0.0,13745152.0,,0.0,-1.7425702480977634e-06,0.0,984.10697786,0.0,55.9673957824707,1774346701.406893,33254.18268310436,13745152.0,0.0,0.0
4.642578125,0.0,0.0,0.0,3.2036505392962766e-11,0.0,0.0,0.0,13999104.0,,0.0,-3.454618422438216e-07,0.0,995.664935717,0.0,57.190185546875,1774346712.9600148,33352.41475118811,13999104.0,0.0,0.0
