step,success_rate
1333248,0.62109375
1587200,0.58203125
1841152,0.66015625
2095104,0.7734375
2349056,0.609375
2603008,0.67578125
2856960,0.7421875
3110912,0.75390625
3364864,0.6953125
3618816,0.69140625
3872768,0.73046875
4126720,0.7421875
4380672,0.8515625
4634624,0.72265625
4888576,0.75
5142528,0.6953125
5396480,0.68359375
5650432,0.74609375
5904384,0.6640625
6158336,0.65234375
6412288,0.72265625
6666240,0.76953125
6920192,0.78125
7174144,0.81640625
7428096,0.77734375
7682048,0.76953125
7936000,0.66796875
8189952,0.8203125
8443904,0.796875
8697856,0.6875
8951808,0.8828125
9205760,0.828125
9459712,0.80078125
9713664,0.77734375
9967616,0.796875
10221568,0.859375
10475520,0.83984375
10729472,0.87109375
10983424,0.875
11237376,0.8515625
11491328,0.93359375
11745280,0.94140625
11999232,0.96484375
12253184,0.9453125
12507136,0.93359375
12761088,0.9296875
13015040,0.96484375
13268992,0.98828125
13522944,0.953125
13776896,0.90234375
14030848,0.92578125
14284800,0.99609375
14538752,0.99609375
14792704,0.98828125
15046656,0.984375
15300608,0.93359375
15554560,0.99609375
15808512,0.984375
16062464,0.94140625
16316416,0.94140625
16570368,0.90234375
16824320,0.953125
17078272,0.9140625
17332224,0.9609375
17586176,0.98828125
17840128,0.9609375
18094080,0.98828125
18348032,0.91796875
18601984,0.97265625
18855936,0.953125
19109888,0.96484375
19363840,0.96484375
19617792,0.98828125
19871744,0.98046875
20125696,0.953125
20379648,0.87890625
20633600,0.94140625
20887552,0.921875
21141504,0.96484375
21395456,0.98046875
21649408,0.96484375
21903360,0.9453125
22157312,0.9765625
22411264,0.984375
22665216,0.9921875
22919168,0.98828125
23173120,0.98828125
23427072,0.94140625
23681024,0.97265625
23934976,0.9921875
24188928,0.99609375
24442880,0.98828125
24696832,0.98828125
24950784,0.9921875
25204736,0.99609375
25458688,1.0
25712640,0.99609375
25966592,0.9921875
26220544,1.0
26474496,0.94921875
26728448,1.0
26982400,1.0
27236352,1.0
27490304,1.0
27744256,1.0
27998208,1.0
28252160,1.0
28506112,1.0
28760064,0.98046875
29014016,1.0
29267968,1.0
29521920,1.0
29775872,1.0
30029824,1.0
30283776,0.98828125
30537728,1.0
30791680,1.0
31045632,1.0
31299584,1.0
31553536,1.0
31807488,1.0
32061440,1.0
32315392,0.99609375
32569344,1.0
32823296,1.0
33077248,1.0
33331200,1.0
33585152,1.0
33839104,1.0
34093056,1.0
34347008,1.0
34600960,1.0
34854912,1.0
35108864,1.0
35362816,1.0
35616768,1.0
35870720,1.0
36124672,1.0
36378624,1.0
36632576,1.0
36886528,1.0
37140480,1.0
37394432,1.0
37648384,1.0
37902336,1.0
38156288,1.0
38410240,1.0
38664192,1.0
38918144,1.0
39172096,1.0
39426048,1.0
39680000,1.0
39933952,1.0
40187904,1.0
40441856,1.0
40695808,1.0
40949760,1.0
41203712,1.0
41457664,1.0
41711616,1.0
41965568,1.0
42219520,1.0
42473472,1.0
42727424,1.0
42981376,1.0
43235328,1.0
43489280,1.0
43743232,1.0
43997184,1.0
44251136,1.0
44505088,1.0
44759040,1.0
45012992,1.0
45266944,1.0
45520896,1.0
45774848,1.0
46028800,1.0
46282752,1.0
46536704,1.0
46790656,1.0
47044608,0.9921875
47298560,1.0
47552512,1.0
47806464,1.0
48060416,1.0
48314368,1.0
48568320,1.0
48822272,1.0
49076224,1.0
49330176,1.0
49584128,1.0
49838080,1.0
50092032,1.0
50345984,1.0
50599936,1.0
50853888,1.0
51107840,0.99609375
51361792,1.0
51615744,1.0
