step,success_rate
1333248,0.5078125
1587200,0.515625
1841152,0.5546875
2095104,0.53515625
2349056,0.546875
2603008,0.62890625
2856960,0.69140625
3110912,0.62109375
3364864,0.6875
3618816,0.6328125
3872768,0.61328125
4126720,0.55859375
4380672,0.55859375
4634624,0.46875
4888576,0.55078125
5142528,0.5546875
5396480,0.5703125
5650432,0.58203125
5904384,0.64453125
6158336,0.65625
6412288,0.62890625
6666240,0.59765625
6920192,0.65625
7174144,0.67578125
7428096,0.68359375
7682048,0.6640625
7936000,0.640625
8189952,0.66796875
8443904,0.70703125
8697856,0.73046875
8951808,0.75390625
9205760,0.70703125
9459712,0.76171875
9713664,0.7578125
9967616,0.8046875
10221568,0.80859375
10475520,0.8828125
10729472,0.890625
10983424,0.90234375
11237376,0.9140625
11491328,0.8828125
11745280,0.9140625
11999232,0.953125
12253184,0.95703125
12507136,0.97265625
12761088,0.984375
13015040,0.95703125
13268992,0.96875
13522944,1.0
13776896,0.99609375
14030848,0.98828125
14284800,0.99609375
14538752,0.96875
14792704,0.9921875
15046656,0.9921875
15300608,0.984375
15554560,0.98828125
15808512,0.9921875
16062464,0.9921875
16316416,0.99609375
16570368,1.0
16824320,0.9921875
17078272,0.99609375
17332224,1.0
17586176,0.99609375
17840128,1.0
18094080,0.99609375
18348032,1.0
18601984,1.0
18855936,1.0
19109888,0.99609375
19363840,1.0
19617792,1.0
19871744,1.0
20125696,1.0
20379648,1.0
20633600,1.0
20887552,1.0
21141504,1.0
21395456,0.984375
21649408,1.0
21903360,1.0
22157312,1.0
22411264,1.0
22665216,1.0
22919168,1.0
23173120,1.0
23427072,1.0
23681024,1.0
23934976,1.0
24188928,1.0
24442880,1.0
24696832,1.0
24950784,1.0
25204736,1.0
25458688,1.0
25712640,1.0
25966592,1.0
26220544,1.0
26474496,1.0
26728448,0.9921875
26982400,1.0
27236352,1.0
27490304,1.0
27744256,1.0
27998208,1.0
28252160,0.99609375
28506112,1.0
28760064,1.0
29014016,1.0
29267968,0.98828125
29521920,0.99609375
29775872,1.0
30029824,1.0
30283776,1.0
30537728,1.0
30791680,1.0
31045632,1.0
31299584,1.0
31553536,1.0
31807488,1.0
32061440,1.0
32315392,0.99609375
32569344,1.0
32823296,1.0
33077248,1.0
33331200,1.0
33585152,1.0
33839104,0.99609375
34093056,1.0
34347008,1.0
34600960,0.99609375
34854912,1.0
35108864,1.0
35362816,1.0
35616768,1.0
35870720,1.0
36124672,0.99609375
36378624,0.99609375
36632576,1.0
36886528,1.0
37140480,0.99609375
37394432,1.0
37648384,1.0
37902336,1.0
38156288,1.0
38410240,1.0
38664192,1.0
38918144,1.0
39172096,1.0
39426048,1.0
39680000,1.0
39933952,1.0
40187904,1.0
40441856,1.0
40695808,1.0
40949760,1.0
41203712,0.99609375
41457664,1.0
41711616,1.0
41965568,1.0
42219520,1.0
42473472,1.0
42727424,1.0
42981376,1.0
43235328,1.0
43489280,1.0
43743232,1.0
43997184,1.0
44251136,1.0
44505088,1.0
44759040,1.0
45012992,1.0
45266944,1.0
45520896,1.0
45774848,1.0
46028800,1.0
46282752,1.0
46536704,1.0
46790656,1.0
47044608,1.0
47298560,1.0
47552512,1.0
47806464,1.0
48060416,0.99609375
48314368,1.0
48568320,1.0
48822272,1.0
49076224,0.98046875
49330176,1.0
49584128,1.0
49838080,1.0
50092032,1.0
50345984,1.0
50599936,1.0
50853888,1.0
51107840,1.0
51361792,1.0
51615744,1.0
