step,success_rate
1333248,0.53515625
1587200,0.515625
1841152,0.5
2095104,0.73046875
2349056,0.7578125
2603008,0.45703125
2856960,0.60546875
3110912,0.61328125
3364864,0.578125
3618816,0.51171875
3872768,0.5078125
4126720,0.5625
4380672,0.5859375
4634624,0.59765625
4888576,0.65625
5142528,0.71484375
5396480,0.54296875
5650432,0.546875
5904384,0.6796875
6158336,0.68359375
6412288,0.77734375
6666240,0.71875
6920192,0.69921875
7174144,0.78515625
7428096,0.80859375
7682048,0.76953125
7936000,0.828125
8189952,0.80078125
8443904,0.8359375
8697856,0.80859375
8951808,0.90625
9205760,0.90234375
9459712,0.8125
9713664,0.8515625
9967616,0.8984375
10221568,0.9140625
10475520,0.87890625
10729472,0.91015625
10983424,0.90625
11237376,0.88671875
11491328,0.92578125
11745280,0.90625
11999232,0.93359375
12253184,0.92578125
12507136,0.9375
12761088,0.90625
13015040,0.9296875
13268992,0.91796875
13522944,0.90234375
13776896,0.94921875
14030848,0.96484375
14284800,0.98046875
14538752,0.96484375
14792704,0.953125
15046656,0.97265625
15300608,0.98828125
15554560,0.99609375
15808512,0.9921875
16062464,0.9921875
16316416,1.0
16570368,0.98046875
16824320,0.984375
17078272,0.99609375
17332224,0.98828125
17586176,0.984375
17840128,0.99609375
18094080,1.0
18348032,1.0
18601984,1.0
18855936,1.0
19109888,1.0
19363840,1.0
19617792,1.0
19871744,1.0
20125696,1.0
20379648,1.0
20633600,0.99609375
20887552,0.99609375
21141504,0.98828125
21395456,1.0
21649408,1.0
21903360,1.0
22157312,0.99609375
22411264,1.0
22665216,1.0
22919168,0.99609375
23173120,1.0
23427072,1.0
23681024,1.0
23934976,1.0
24188928,1.0
24442880,1.0
24696832,1.0
24950784,1.0
25204736,0.9921875
25458688,1.0
25712640,1.0
25966592,0.98828125
26220544,0.99609375
26474496,1.0
26728448,1.0
26982400,1.0
27236352,1.0
27490304,0.98828125
27744256,0.99609375
27998208,1.0
28252160,1.0
28506112,1.0
28760064,1.0
29014016,1.0
29267968,1.0
29521920,0.9921875
29775872,0.9921875
30029824,1.0
30283776,1.0
30537728,1.0
30791680,1.0
31045632,1.0
31299584,1.0
31553536,1.0
31807488,1.0
32061440,1.0
32315392,1.0
32569344,1.0
32823296,1.0
33077248,0.98828125
33331200,1.0
33585152,1.0
33839104,0.9921875
34093056,1.0
34347008,1.0
34600960,1.0
34854912,1.0
35108864,1.0
35362816,1.0
35616768,1.0
35870720,1.0
36124672,0.99609375
36378624,1.0
36632576,1.0
36886528,1.0
37140480,1.0
37394432,1.0
37648384,1.0
37902336,1.0
38156288,1.0
38410240,1.0
38664192,1.0
38918144,1.0
39172096,1.0
39426048,1.0
39680000,1.0
39933952,1.0
40187904,0.99609375
40441856,1.0
40695808,1.0
40949760,1.0
41203712,1.0
41457664,0.99609375
41711616,1.0
41965568,1.0
42219520,1.0
42473472,1.0
42727424,1.0
42981376,1.0
43235328,1.0
43489280,1.0
43743232,0.98828125
43997184,1.0
44251136,1.0
44505088,1.0
44759040,1.0
45012992,1.0
45266944,1.0
45520896,1.0
45774848,1.0
46028800,1.0
46282752,1.0
46536704,1.0
46790656,1.0
47044608,1.0
47298560,1.0
47552512,1.0
47806464,1.0
48060416,1.0
48314368,1.0
48568320,1.0
48822272,1.0
49076224,1.0
49330176,0.99609375
49584128,1.0
49838080,1.0
50092032,1.0
50345984,1.0
50599936,1.0
50853888,1.0
51107840,1.0
51361792,1.0
51615744,1.0
