eval/episode_reward_dist,training/alpha_loss,_runtime,eval/episode_reward,eval/episode_reward_ctrl,eval/episode_reward_survive,training/actor_loss,step,eval/episode_reward_near,training/log_alpha,eval/episode_success_any,training/entropy,render,eval/episode_success,_step,eval/episode_success_easy,eval/episode_success_hard,training/critic_loss,_timestamp,eval/episode_dist,training/sps
,,27.459615125,,,,,,,,,,"{'size': 941265, '_type': 'html-file', 'sha256': 'bf2fe544ff3f0df750d8a9c9688e337f2448ec6a763813623ba36af25a411230', 'path': 'media/html/render_0_bf2fe544ff3f0df750d8.html'}",,0.0,,,,1773908364.6306655,,
,,63.623632675,,,,,,,,,,"{'path': 'media/html/render_1_0d23bd6c882042ae8d88.html', 'size': 942797, '_type': 'html-file', 'sha256': '0d23bd6c882042ae8d88140fc20a4e57f2b605af8ab75ea0a57f8e00e8758e55'}",,1.0,,,,1773908400.79475,,
-149.76654052734375,0.5823542475700378,71.316728794,90.6455078125,0.0,0.0,-15.19787883758545,1333248.0,0.0,0.0,0.9765625,0.0,,90.6455078125,1333248.0,0.0,0.0,0.03433020040392876,1773908400.9470043,149.76654052734375,12387.755629900177
-85.16941833496094,0.008850925602018833,79.201654536,408.5185546875,0.0,0.0,-11.763391494750977,1587200.0,0.0,0.0,0.9013671875,0.0,,408.5185546875,1587200.0,0.0,0.0,0.03570640832185745,1773908408.4874365,85.16941833496094,37229.66647108442
-106.13993835449219,-0.00030169804813340306,87.363963303,285.0048828125,0.0,0.0,-8.516562461853027,1841152.0,0.0,0.0,0.876953125,0.0,,285.0048828125,1841152.0,0.0,0.0,0.1108134314417839,1773908416.3723207,106.13993835449219,35452.02202837595
-76.70420837402344,-0.0002887760638259351,95.480263504,481.98046875,0.0,0.0,-8.951927185058594,2095104.0,0.0,0.0,0.81640625,0.0,,481.98046875,2095104.0,0.0,0.0,0.30861979722976685,1773908424.5346146,76.70420837402344,34125.94372918514
-69.80366516113281,-0.00033533957321196795,112.736068146,442.7998046875,0.0,0.0,-12.543899536132812,2349056.0,0.0,0.0,0.71875,0.0,"{'path': 'media/html/render_2349056_cc34b8ebf1a943026f5e.html', 'size': 916257, '_type': 'html-file', 'sha256': 'cc34b8ebf1a943026f5e08c54b1377fe2867c12f36b01d7584d930bb3f738561'}",442.7998046875,2349056.0,0.0,0.0,0.6157094836235046,1773908449.9071977,69.80366516113281,34337.4301150156
-52.883262634277344,-0.00022533575247507542,120.951578664,603.447265625,0.0,0.0,-16.13055992126465,2603008.0,0.0,0.0,0.8212890625,0.0,,603.447265625,2603008.0,0.0,0.0,0.9263929724693298,1773908450.0631256,52.883262634277344,34582.051877368816
-53.58434295654297,-0.00018080345762427896,129.165630049,569.12109375,0.0,0.0,-20.849605560302734,2856960.0,0.0,0.0,0.7470703125,0.0,,569.12109375,2856960.0,0.0,0.0,1.2319331169128418,1773908458.1223164,53.58434295654297,34630.925324328455
-49.92953109741211,-0.0002901793923228979,137.312645764,616.3447265625,0.0,0.0,-25.839656829833984,3110912.0,0.0,0.0,0.787109375,0.0,,616.3447265625,3110912.0,0.0,0.0,1.5160272121429443,1773908466.3361452,49.92953109741211,33893.086328845435
-42.075843811035156,-0.00022844817431177944,145.435553177,717.9736328125,0.0,0.0,-31.00746726989746,3364864.0,0.0,0.0,0.857421875,0.0,,717.9736328125,3364864.0,0.0,0.0,1.7822389602661133,1773908474.4832718,42.075843811035156,34194.43145588051
-39.996673583984375,-9.563398634782061e-05,163.414189579,763.97265625,0.0,0.0,-38.056758880615234,3618816.0,0.0,0.0,0.884765625,0.0,"{'size': 908685, '_type': 'html-file', 'sha256': '13294dd282edead7ec0448a78dde9fd31fa14af6f91b4326102fc2000cb25c1b', 'path': 'media/html/render_3618816_13294dd282edead7ec04.html'}",763.97265625,3618816.0,0.0,0.0,2.0410659313201904,1773908500.5853372,39.996673583984375,34303.98222450439
-36.7152099609375,-2.779200076474808e-05,171.739332187,806.92578125,0.0,0.0,-41.98142623901367,3872768.0,0.0,0.0,0.91796875,0.0,,806.92578125,3872768.0,0.0,0.0,2.149899482727051,1773908500.7369528,36.7152099609375,34346.321143837034
-33.205482482910156,7.356674905167893e-05,179.915282381,844.8935546875,0.0,0.0,-46.16897201538086,4126720.0,0.0,0.0,0.953125,0.0,,844.8935546875,4126720.0,0.0,0.0,2.1525583267211914,1773908508.9100301,33.205482482910156,34094.200635508496
-30.13005828857422,-4.338096914580092e-06,188.052429404,867.7158203125,0.0,0.0,-49.60161209106445,4380672.0,0.0,0.0,0.9677734375,0.0,,867.7158203125,4380672.0,0.0,0.0,2.1465275287628174,1773908517.0856156,30.13005828857422,34058.20569188459
-27.41210174560547,7.064721285132691e-05,196.220844121,915.2666015625,0.0,0.0,-52.737892150878906,4634624.0,0.0,0.0,0.9814453125,0.0,,915.2666015625,4634624.0,0.0,0.0,2.088122606277466,1773908525.2231066,27.41210174560547,34239.905326435925
-28.461273193359375,-2.766888792393729e-05,213.265262767,905.189453125,0.0,0.0,-54.53813171386719,4888576.0,0.0,0.0,0.9794921875,0.0,"{'path': 'media/html/render_4888576_b59ad940ec903db2de90.html', 'size': 908457, '_type': 'html-file', 'sha256': 'b59ad940ec903db2de90c350dfdccd5194807aae8a2323aae87960df06461fab'}",905.189453125,4888576.0,0.0,0.0,2.0775842666625977,1773908550.4363885,28.461273193359375,34106.6559784925
-27.177410125732422,9.833603689912707e-05,221.639390991,914.63671875,0.0,0.0,-57.517154693603516,5142528.0,0.0,0.0,0.9794921875,0.0,,914.63671875,5142528.0,0.0,0.0,2.068901777267456,1773908550.5834334,27.177410125732422,33754.1540022028
-27.678363800048828,0.00021533123799599707,229.785706543,911.27734375,0.0,0.0,-60.6360969543457,5396480.0,0.0,0.0,0.9814453125,0.0,,911.27734375,5396480.0,0.0,0.0,1.8183162212371826,1773908558.8101332,27.678363800048828,33851.52326524957
-27.74489974975586,4.6815184759907424e-05,237.963471689,904.359375,0.0,0.0,-62.13486862182617,5650432.0,0.0,0.0,0.986328125,0.0,,904.359375,5650432.0,0.0,0.0,1.7507058382034302,1773908566.9564052,27.74489974975586,34189.254203354554
-23.954191207885742,8.21579887997359e-05,246.195270784,943.9072265625,0.0,0.0,-64.23834991455078,5904384.0,0.0,0.0,0.99609375,0.0,,943.9072265625,5904384.0,0.0,0.0,1.6578540802001953,1773908575.1341186,23.954191207885742,34064.41091389617
-25.288814544677734,-3.0419616450672038e-05,263.746381069,943.5029296875,0.0,0.0,-65.51934814453125,6158336.0,0.0,0.0,0.9951171875,0.0,"{'path': 'media/html/render_6158336_9b89861a3e413c518dcb.html', 'size': 908145, '_type': 'html-file', 'sha256': '9b89861a3e413c518dcb82f2e8b79c622f19aa3a9cbbe8f4b3d7b20bfadcfb7b'}",943.5029296875,6158336.0,0.0,0.0,1.5900027751922607,1773908600.9174957,25.288814544677734,33810.65765042264
-20.595935821533203,0.00010359584121033549,272.114494054,963.1689453125,0.0,0.0,-66.97777557373047,6412288.0,0.0,0.0,1.0,0.0,,963.1689453125,6412288.0,0.0,0.0,1.549891710281372,1773908601.0764306,20.595935821533203,33885.08268810808
-24.342105865478516,5.718601096305065e-05,280.298803662,943.6728515625,0.0,0.0,-68.31732940673828,6666240.0,0.0,0.0,0.9892578125,0.0,,943.6728515625,6666240.0,0.0,0.0,1.5213385820388794,1773908609.2852335,24.342105865478516,33928.74804839569
-27.179729461669922,7.103326788637787e-05,288.532183219,936.6328125,0.0,0.0,-69.7062759399414,6920192.0,0.0,0.0,0.990234375,0.0,,936.6328125,6920192.0,0.0,0.0,1.4304214715957642,1773908617.4695811,27.179729461669922,34032.86369059496
-23.343650817871094,1.6700785636203364e-05,296.795621934,962.46484375,0.0,0.0,-71.44267272949219,7174144.0,0.0,0.0,1.0,0.0,,962.46484375,7174144.0,0.0,0.0,1.3643087148666382,1773908625.7028656,23.343650817871094,33805.56590708934
-21.118167877197266,0.000133305205963552,314.326532685,966.224609375,0.0,0.0,-72.84668731689453,7428096.0,0.0,0.0,1.0,0.0,"{'path': 'media/html/render_7428096_f43693f1a68bb296ab1f.html', 'size': 909121, '_type': 'html-file', 'sha256': 'f43693f1a68bb296ab1faad942c03ab8befc780cf31008ebe2c300643040e92e'}",966.224609375,7428096.0,0.0,0.0,1.2683219909667969,1773908651.4976656,21.118167877197266,33677.223800476895
-23.082517623901367,2.987763764394913e-05,322.700067904,959.9111328125,0.0,0.0,-73.81129455566406,7682048.0,0.0,0.0,1.0,0.0,,959.9111328125,7682048.0,0.0,0.0,1.220133662223816,1773908651.6662328,23.082517623901367,34009.61921197315
-22.31009864807129,7.808303962519858e-06,330.931201248,964.5009765625,0.0,0.0,-74.76415252685547,7936000.0,0.0,0.0,1.0,0.0,,964.5009765625,7936000.0,0.0,0.0,1.211803674697876,1773908659.8705878,22.31009864807129,33967.352984923484
-23.26675033569336,-7.599442324135453e-05,339.156784206,963.8427734375,0.0,0.0,-75.35260009765625,8189952.0,0.0,0.0,1.0,0.0,,963.8427734375,8189952.0,0.0,0.0,1.2014853954315186,1773908668.101888,23.26675033569336,33814.746105025304
-21.602371215820312,0.00018373400962445885,347.355303217,967.5,0.0,0.0,-76.3881607055664,8443904.0,0.0,0.0,0.9990234375,0.0,,967.5,8443904.0,0.0,0.0,1.1300334930419922,1773908676.3267908,21.602371215820312,33850.95093173294
