eval/episode_reward,eval/episode_dist,eval/episode_success_easy,_runtime,eval/episode_success_any,step,training/entropy,eval/episode_success_hard,eval/episode_reward_ctrl,training/actor_loss,eval/episode_reward_near,eval/episode_success,_step,training/log_alpha,render,training/critic_loss,eval/episode_reward_dist,_timestamp,training/sps,training/alpha_loss,eval/episode_reward_survive
,,,27.711055663,,,,,,,,,0.0,,"{'size': 942881, '_type': 'html-file', 'sha256': '70e3164fa192071a65b327d949ef5e815440cf74e8cef19064eaeff5bcf71b6c', 'path': 'media/html/render_0_70e3164fa192071a65b3.html'}",,,1773890879.2818964,,,
,,,63.717978475,,,,,,,,,1.0,,"{'path': 'media/html/render_1_7ea1be1c0c1f5e7c230f.html', 'size': 943429, '_type': 'html-file', 'sha256': '7ea1be1c0c1f5e7c230f17b1a7092d0bbb1eb36f2d316fdd5061a6df04a0e5cd'}",,,1773890915.2888322,,,
237.5498046875,111.09700012207031,0.0,71.415980797,0.958984375,1333248.0,0.0,0.0,0.0,-14.96044921875,0.0,237.5498046875,1333248.0,0.0,,0.04712388664484024,-111.09700012207031,1773890915.4494083,12522.187143769595,0.5806722640991211,0.0
345.8974609375,91.26678466796875,0.0,79.299683178,0.7578125,1587200.0,0.0,0.0,0.0,-11.629725456237793,0.0,345.8974609375,1587200.0,0.0,,0.09933128207921982,-91.26678466796875,1773890922.9864845,37260.07980733584,0.006388988811522722,0.0
527.7763671875,65.52940368652344,0.0,87.478562872,0.87890625,1841152.0,0.0,0.0,0.0,-7.901313304901123,0.0,527.7763671875,1841152.0,0.0,,0.22849176824092865,-65.52940368652344,1773890930.870136,35466.19085288554,-0.00015415136294905096,0.0
595.58203125,62.558387756347656,0.0,95.589312847,0.8603515625,2095104.0,0.0,0.0,0.0,-6.462539196014404,0.0,595.58203125,2095104.0,0.0,,0.40057578682899475,-62.558387756347656,1773890939.0489562,34056.404564109645,-0.0002218811132479459,0.0
577.5322265625,71.4617919921875,0.0,112.92548005,0.7822265625,2349056.0,0.0,0.0,0.0,-8.253568649291992,0.0,577.5322265625,2349056.0,0.0,"{'_type': 'html-file', 'sha256': 'a7a4be4e4cf5937972fef79b348981adeacb64559e27cfa3ab005cb90716a4d1', 'path': 'media/html/render_2349056_a7a4be4e4cf5937972fe.html', 'size': 909729}",0.7568848729133606,-71.4617919921875,1773890964.4964187,34369.04794527731,-0.00039732112782076,0.0
489.4150390625,80.75670623779297,0.0,121.152755902,0.7763671875,2603008.0,0.0,0.0,0.0,-12.18114948272705,0.0,489.4150390625,2603008.0,0.0,,1.2057342529296875,-80.75670623779297,1773890964.6468337,34566.74410269967,-0.0002331930591026321,0.0
602.7470703125,61.848079681396484,0.0,129.351426835,0.828125,2856960.0,0.0,0.0,0.0,-16.689851760864258,0.0,602.7470703125,2856960.0,0.0,,1.5973730087280273,-61.848079681396484,1773890972.7232978,34562.06469472291,-0.00016052417049650103,0.0
778.1630859375,44.75920104980469,0.0,137.499935184,0.912109375,3110912.0,0.0,0.0,0.0,-22.23191261291504,0.0,778.1630859375,3110912.0,0.0,,1.9241639375686646,-44.75920104980469,1773890980.9215555,33971.43825364377,-0.0002309332339791581,0.0
815.548828125,40.967750549316406,0.0,145.601920146,0.931640625,3364864.0,0.0,0.0,0.0,-27.8485107421875,0.0,815.548828125,3364864.0,0.0,,2.201970338821411,-40.967750549316406,1773890989.0699842,34200.36137428345,-0.00016201169637497514,0.0
885.080078125,31.020736694335938,0.0,163.028875886,0.9755859375,3618816.0,0.0,0.0,0.0,-34.377079010009766,0.0,885.080078125,3618816.0,0.0,"{'sha256': '44a6a33c3564207e55c50d1dc317814fcd139b3ed353911dcbf62f178e33e74e', 'path': 'media/html/render_3618816_44a6a33c3564207e55c5.html', 'size': 908485, '_type': 'html-file'}",2.374561071395874,-31.020736694335938,1773891014.599803,34413.49446658225,-7.994954648893327e-05,0.0
925.4833984375,30.465532302856445,0.0,171.41255432,0.9921875,3872768.0,0.0,0.0,0.0,-40.12553405761719,0.0,925.4833984375,3872768.0,0.0,,2.548353672027588,-30.465532302856445,1773891014.7572227,34294.26066798656,-2.8403459509718232e-05,0.0
907.078125,28.747282028198242,0.0,179.597765694,0.9853515625,4126720.0,0.0,0.0,0.0,-45.34644317626953,0.0,907.078125,4126720.0,0.0,,2.5555453300476074,-28.747282028198242,1773891022.982902,33870.02586754047,-3.416024355828995e-06,0.0
927.533203125,29.413124084472656,0.0,187.771060243,0.9873046875,4380672.0,0.0,0.0,0.0,-47.71518325805664,0.0,927.533203125,4380672.0,0.0,,2.7101144790649414,-29.413124084472656,1773891031.1675115,34022.29536512807,2.818817119987216e-05,0.0
924.619140625,29.217845916748047,0.0,195.956611635,0.9814453125,4634624.0,0.0,0.0,0.0,-55.41769790649414,0.0,924.619140625,4634624.0,0.0,,2.588411808013916,-29.217845916748047,1773891039.3413227,34082.07609176761,6.123300408944488e-05,0.0
937.4326171875,28.94580078125,0.0,213.130085943,0.9931640625,4888576.0,0.0,0.0,0.0,-58.33454895019531,0.0,937.4326171875,4888576.0,0.0,"{'_type': 'html-file', 'sha256': 'd16aa6255251089d8033d0c11b1445b57dd8f44ae4b3ac6952fb92ee598371f7', 'path': 'media/html/render_4888576_d16aa6255251089d8033.html', 'size': 907957}",2.539654493331909,-28.94580078125,1773891064.7009108,34019.609217635334,8.337416511494666e-05,0.0
924.822265625,29.054927825927734,0.0,221.516333066,0.9931640625,5142528.0,0.0,0.0,0.0,-59.86735534667969,0.0,924.822265625,5142528.0,0.0,,2.523467540740967,-29.054927825927734,1773891064.856549,33844.028520124615,9.81651282927487e-07,0.0
939.3740234375,25.88668441772461,0.0,229.697181217,0.9931640625,5396480.0,0.0,0.0,0.0,-62.880435943603516,0.0,939.3740234375,5396480.0,0.0,,2.412569522857666,-25.88668441772461,1773891073.086612,33837.17988383462,0.00011335642193444073,0.0
942.3232421875,27.21236801147461,0.0,237.886863436,0.99609375,5650432.0,0.0,0.0,0.0,-64.83627319335938,0.0,942.3232421875,5650432.0,0.0,,2.274754047393799,-27.21236801147461,1773891081.267549,34039.33598080059,0.00011510249169077724,0.0
949.8779296875,25.878376007080078,0.0,246.133601294,0.98828125,5904384.0,0.0,0.0,0.0,-67.60514068603516,0.0,949.8779296875,5904384.0,0.0,,2.0911076068878174,-25.878376007080078,1773891089.457116,34003.89202555158,4.5184497139416635e-06,0.0
957.3974609375,24.540254592895508,0.0,263.673500186,1.0,6158336.0,0.0,0.0,0.0,-69.35244750976562,0.0,957.3974609375,6158336.0,0.0,"{'path': 'media/html/render_6158336_39506861eb7590ecc679.html', 'size': 909797, '_type': 'html-file', 'sha256': '39506861eb7590ecc679f899b2f18ef475c8b144ada152bcd0f5c54295abfb66'}",1.9654968976974487,-24.540254592895508,1773891115.244426,33757.86931596565,0.00010919869964709505,0.0
959.4853515625,24.713485717773438,0.0,272.032770082,0.9990234375,6412288.0,0.0,0.0,0.0,-69.93693542480469,0.0,959.4853515625,6412288.0,0.0,,1.9655876159667969,-24.713485717773438,1773891115.3969083,33967.13959428418,3.936549910577014e-05,0.0
950.4755859375,25.615249633789062,0.0,280.228063731,0.9921875,6666240.0,0.0,0.0,0.0,-72.408203125,0.0,950.4755859375,6666240.0,0.0,,1.8209433555603027,-25.615249633789062,1773891123.603134,33938.46242351513,0.00014358895714394748,0.0
961.484375,23.96109962463379,0.0,288.478803312,0.9990234375,6920192.0,0.0,0.0,0.0,-72.68650817871094,0.0,961.484375,6920192.0,0.0,,1.7746362686157227,-23.96109962463379,1773891131.7982523,33990.59827776168,4.688328317570267e-06,0.0
963.24609375,24.239646911621094,0.0,296.73840243,0.998046875,7174144.0,0.0,0.0,0.0,-74.271484375,0.0,963.24609375,7174144.0,0.0,,1.6485559940338135,-24.239646911621094,1773891140.0489933,33735.646322971515,0.00010750884393928573,0.0
963.208984375,23.83241844177246,0.0,313.878611609,1.0,7428096.0,0.0,0.0,0.0,-74.32864379882812,0.0,963.208984375,7428096.0,0.0,"{'path': 'media/html/render_7428096_bf1d1275f6e0a6c9d4c3.html', 'size': 908477, '_type': 'html-file', 'sha256': 'bf1d1275f6e0a6c9d4c33db57668452b6aab4dcfdb30a43623ae18fb82f2e153'}",1.664872646331787,-23.83241844177246,1773891165.449535,33689.29424376343,2.9208456908236258e-05,0.0
958.9814453125,24.255130767822266,0.0,322.226983416,0.99609375,7682048.0,0.0,0.0,0.0,-76.06877136230469,0.0,958.9814453125,7682048.0,0.0,,1.5560247898101807,-24.255130767822266,1773891165.5998764,33899.62747260529,2.15848813240882e-05,0.0
956.1650390625,23.570205688476562,0.0,330.455245027,0.9931640625,7936000.0,0.0,0.0,0.0,-76.22706604003906,0.0,956.1650390625,7936000.0,0.0,,1.5130887031555176,-23.570205688476562,1773891173.7972379,34000.506564290255,4.469028863240965e-05,0.0
