_runtime,eval/episode_success_hard,render,eval/episode_reward,eval/episode_reward_survive,_step,_timestamp,training/entropy,eval/episode_success,eval/episode_reward_dist,eval/episode_reward_ctrl,training/log_alpha,eval/episode_reward_near,step,training/alpha_loss,eval/episode_success_any,training/actor_loss,eval/episode_dist,training/sps,training/critic_loss,eval/episode_success_easy
28.108835564,,"{'size': 943117, '_type': 'html-file', 'sha256': 'cc229d5a4c68fb2bfeef786b168e1665b5f718704fc4a59d6ae13ee1c3f61f27', 'path': 'media/html/render_0_cc229d5a4c68fb2bfeef.html'}",,,0.0,1773902131.0514512,,,,,,,,,,,,,,
64.222067544,,"{'path': 'media/html/render_1_3b7817e52b20a294d9e4.html', 'size': 938737, '_type': 'html-file', 'sha256': '3b7817e52b20a294d9e4e50d87a8a739d763873e1217ba61febdcfe6903164ba'}",,,1.0,1773902167.164708,,,,,,,,,,,,,,
71.955615794,0.0,,221.212890625,0.0,1333248.0,1773902167.319342,0.0,221.212890625,-119.20532989501953,0.0,0.0,0.0,1333248.0,0.5779403448104858,0.9306640625,-14.461115837097168,119.20532989501953,12547.249140017557,0.043205857276916504,0.0
79.887012487,0.0,,319.5419921875,0.0,1587200.0,1773902174.897849,0.0,319.5419921875,-90.37398529052734,0.0,0.0,0.0,1587200.0,0.006191390100866556,0.6455078125,-11.281058311462402,90.37398529052734,37032.93446060114,0.08592212200164795,0.0
88.097042209,0.0,,428.5576171875,0.0,1841152.0,1773902182.8290768,0.0,428.5576171875,-79.02701568603516,0.0,0.0,0.0,1841152.0,-0.00013186418800614774,0.880859375,-7.985037326812744,79.02701568603516,35233.18376883553,0.21975699067115784,0.0
96.240634396,0.0,,385.015625,0.0,2095104.0,1773902191.039084,0.0,385.015625,-81.40097045898438,0.0,0.0,0.0,2095104.0,-0.0002309310802957043,0.7470703125,-7.039179801940918,81.40097045898438,33911.85033946812,0.44971418380737305,0.0
113.549823463,0.0,"{'_type': 'html-file', 'sha256': '89ad91f04e5529677f42b04b6f1e9b1d5926321c8e29c2a50b6943fd91fb44e6', 'path': 'media/html/render_2349056_89ad91f04e5529677f42.html', 'size': 915233}",481.0263671875,0.0,2349056.0,1773902216.4924977,0.0,481.0263671875,-68.10997772216797,0.0,0.0,0.0,2349056.0,-0.00029049598379060626,0.8173828125,-9.640974998474121,68.10997772216797,34215.33310648429,0.7731136679649353,0.0
121.82824293,0.0,,521.5947265625,0.0,2603008.0,1773902216.6578705,0.0,521.5947265625,-68.06417846679688,0.0,0.0,0.0,2603008.0,-0.00020703468180727214,0.8828125,-13.29721736907959,68.06417846679688,34604.55667627648,1.0622661113739014,0.0
130.082529196,0.0,,653.677734375,0.0,2856960.0,1773902224.770457,0.0,653.677734375,-56.58924102783203,0.0,0.0,0.0,2856960.0,-0.00012023245653836057,0.9599609375,-17.277647018432617,56.58924102783203,34377.134306899105,1.2290347814559937,0.0
138.272298848,0.0,,797.5634765625,0.0,3110912.0,1773902233.0245378,0.0,797.5634765625,-38.29456329345703,0.0,0.0,0.0,3110912.0,-0.00017168607155326754,0.958984375,-20.92108726501465,38.29456329345703,33712.22867924891,1.3397868871688843,0.0
146.404382028,0.0,,830.361328125,0.0,3364864.0,1773902241.214332,0.0,830.361328125,-33.888885498046875,0.0,0.0,0.0,3364864.0,-0.00021643753279931843,0.9541015625,-25.789560317993164,33.888885498046875,33999.44189521168,1.5261808633804321,0.0
163.97200518,0.0,"{'path': 'media/html/render_3618816_60a96f7dd003125ab517.html', 'size': 910509, '_type': 'html-file', 'sha256': '60a96f7dd003125ab51724ce5a7ced02eb7b25ab6392f1758360ef4fa8a41cda'}",802.5146484375,0.0,3618816.0,1773902266.9146132,0.0,802.5146484375,-35.74994659423828,0.0,0.0,0.0,3618816.0,-0.0001330027007497847,0.9091796875,-31.34177017211914,35.74994659423828,34262.06385531569,1.8396937847137451,0.0
