_runtime,eval/episode_reward_dist,_step,eval/episode_success_hard,eval/episode_reward,training/alpha_loss,training/entropy,eval/episode_success_any,training/sps,step,eval/episode_dist,eval/episode_reward_ctrl,eval/episode_success,eval/episode_success_easy,training/critic_loss,_timestamp,training/actor_loss,render,training/log_alpha,eval/episode_reward_survive,eval/episode_reward_near
146.146417673,-31.325075149536133,3364864.0,0.0,853.2353515625,-0.00018671540601644665,0.0,0.9482421875,34146.81972886675,3364864.0,31.325075149536133,0.0,853.2353515625,0.0,2.3004932403564453,1773893927.371651,-33.472328186035156,,0.0,0.0,0.0
163.709984027,-31.39681053161621,3618816.0,0.0,843.482421875,2.8308675609878264e-05,0.0,0.94921875,34351.7754048368,3618816.0,31.39681053161621,0.0,843.482421875,0.0,2.545151948928833,1773893953.0523005,-40.340328216552734,"{'sha256': '2374e2115c96e16883fb32543e3e01fb59effaad9738aa11c21dad64c37d24c8', 'path': 'media/html/render_3618816_2374e2115c96e16883fb.html', 'size': 907405, '_type': 'html-file'}",0.0,0.0,0.0
172.070496257,-31.207313537597656,3872768.0,0.0,861.251953125,4.9903006583917886e-05,0.0,0.953125,34181.18248640376,3872768.0,31.207313537597656,0.0,861.251953125,0.0,2.656970262527466,1773893953.2159812,-45.33869934082031,,0.0,0.0,0.0
180.277308062,-33.425697326660156,4126720.0,0.0,873.1240234375,1.3784812836092897e-05,0.0,0.9482421875,34000.5445506575,4126720.0,33.425697326660156,0.0,873.1240234375,0.0,2.656691312789917,1773893961.4123185,-50.01955795288086,,0.0,0.0,0.0
188.420575237,-28.95943832397461,4380672.0,0.0,891.3916015625,4.928230555378832e-05,0.0,0.962890625,33922.17405632017,4380672.0,28.95943832397461,0.0,891.3916015625,0.0,2.576963424682617,1773893969.6191988,-54.66046905517578,,0.0,0.0,0.0
196.610145551,-27.761470794677734,4634624.0,0.0,914.970703125,4.7926885599736124e-05,0.0,0.984375,34221.406611147,4634624.0,27.761470794677734,0.0,914.970703125,0.0,2.6127421855926514,1773893977.762362,-57.01786804199219,,0.0,0.0,0.0
213.783540705,-27.692790985107422,4888576.0,0.0,908.802734375,3.1764455343363807e-05,0.0,0.9775390625,34005.02428116925,4888576.0,27.692790985107422,0.0,908.802734375,0.0,2.5442895889282227,1773894003.125937,-59.341304779052734,"{'sha256': '2839f871e504e5ff80ba4b0b1cc200ddcc3b0fa852376e72fe2ca696ca4584a3', 'path': 'media/html/render_4888576_2839f871e504e5ff80ba.html', 'size': 905937, '_type': 'html-file'}",0.0,0.0,0.0
222.169681263,-27.165306091308594,5142528.0,0.0,907.669921875,0.00017482541443314403,0.0,0.9794921875,33713.40241732089,5142528.0,27.165306091308594,0.0,907.669921875,0.0,2.399876594543457,1773894003.2825558,-62.258907318115234,,0.0,0.0,0.0
230.352053898,-26.51528549194336,5396480.0,0.0,925.16015625,8.24621893116273e-05,0.0,0.990234375,33853.448040047275,5396480.0,26.51528549194336,0.0,925.16015625,0.0,2.2411348819732666,1773894011.5114965,-64.39913177490234,,0.0,0.0,0.0
238.547363907,-24.660186767578125,5650432.0,0.0,932.2275390625,-2.7226287784287706e-05,0.0,0.98046875,34033.16055073074,5650432.0,24.660186767578125,0.0,932.2275390625,0.0,2.1174545288085938,1773894019.6940317,-67.1954116821289,,0.0,0.0,0.0
246.781534605,-26.491897583007812,5904384.0,0.0,931.1748046875,0.00016650112229399383,0.0,0.9853515625,33983.961264446785,5904384.0,26.491897583007812,0.0,931.1748046875,0.0,2.0033364295959473,1773894027.8890734,-68.56060028076172,,0.0,0.0,0.0
264.444102703,-24.077167510986328,6158336.0,0.0,934.716796875,5.55295919184573e-05,0.0,0.990234375,33815.47717209331,6158336.0,24.077167510986328,0.0,934.716796875,0.0,1.8883845806121826,1773894053.786376,-69.93689727783203,"{'sha256': '6deb37e9331063f7b50a64d9e675946e2ed2cadab58574ed6754ba881063b5dd', 'path': 'media/html/render_6158336_6deb37e9331063f7b50a.html', 'size': 908221, '_type': 'html-file'}",0.0,0.0,0.0
272.817279808,-24.072265625,6412288.0,0.0,934.064453125,1.1952948852922418e-06,0.0,0.9794921875,33872.53440833137,6412288.0,24.072265625,0.0,934.064453125,0.0,1.891007900238037,1773894053.9425309,-70.02680206298828,,0.0,0.0,0.0
281.018252232,-23.984622955322266,6666240.0,0.0,939.064453125,0.00012035170948365703,0.0,0.98828125,33891.4384968449,6666240.0,23.984622955322266,0.0,939.064453125,0.0,1.762229323387146,1773894062.1590986,-72.00811004638672,,0.0,0.0,0.0
289.266349783,-25.336681365966797,6920192.0,0.0,929.6689453125,1.076647276931908e-05,0.0,0.982421875,33965.941623519066,6920192.0,25.336681365966797,0.0,929.6689453125,0.0,1.7335783243179321,1773894070.3600588,-72.66494750976562,,0.0,0.0,0.0
297.523981679,-23.904733657836914,7174144.0,0.0,942.166015625,3.702101457747631e-05,0.0,0.986328125,33743.6917610859,7174144.0,23.904733657836914,0.0,942.166015625,0.0,1.668326497077942,1773894078.6080277,-73.61856842041016,,0.0,0.0,0.0
314.819390424,-22.85486602783203,7428096.0,0.0,947.857421875,9.053723624674603e-05,0.0,0.9912109375,33701.19313712481,7428096.0,22.85486602783203,0.0,947.857421875,0.0,1.6312754154205322,1773894104.1618059,-74.2978286743164,"{'sha256': '917d605860d4313ca6caef39ef32ee58df01284d40f44b5e2bd2ad21c117af03', 'path': 'media/html/render_7428096_917d605860d4313ca6ca.html', 'size': 908209, '_type': 'html-file'}",0.0,0.0,0.0
323.194405334,-23.387874603271484,7682048.0,0.0,952.82421875,-3.5372369893593714e-05,0.0,0.9951171875,33949.69937471022,7682048.0,23.387874603271484,0.0,952.82421875,0.0,1.575929880142212,1773894104.318209,-74.86724090576172,,0.0,0.0,0.0
331.447496373,-23.015399932861328,7936000.0,0.0,945.5654296875,6.090174792916514e-05,0.0,0.9951171875,33911.788798333444,7936000.0,23.015399932861328,0.0,945.5654296875,0.0,1.5149123668670654,1773894112.5362198,-75.79051971435547,,0.0,0.0,0.0
339.684845597,-24.00521469116211,8189952.0,0.0,947.7197265625,8.566724136471748e-05,0.0,0.9990234375,33722.849716095676,8189952.0,24.00521469116211,0.0,947.7197265625,0.0,1.3753916025161743,1773894120.789446,-77.30003356933594,,0.0,0.0,0.0
347.882294164,-25.762502670288086,8443904.0,0.0,944.5078125,-1.5358395103248768e-05,0.0,0.9921875,33799.294815860885,8443904.0,25.762502670288086,0.0,944.5078125,0.0,1.3537641763687134,1773894129.026133,-78.03367614746094,,0.0,0.0,0.0
365.473662842,-22.271495819091797,8697856.0,0.0,963.9033203125,2.9592683858936653e-05,0.0,0.998046875,33976.00243648159,8697856.0,22.271495819091797,0.0,963.9033203125,0.0,1.3196247816085815,1773894154.8159683,-78.74886322021484,"{'sha256': '9440833660bc8256e5f74c8f4102273bd161162ce25c0e5461c7f00e2215443b', 'path': 'media/html/render_8697856_9440833660bc8256e5f7.html', 'size': 907721, '_type': 'html-file'}",0.0,0.0,0.0
373.886897878,-22.539749145507812,8951808.0,0.0,957.93359375,5.7149263739120215e-05,0.0,0.9970703125,33937.2297108441,8951808.0,22.539749145507812,0.0,957.93359375,0.0,1.2759888172149658,1773894154.975099,-79.30461120605469,,0.0,0.0,0.0
382.135631534,-22.376157760620117,9205760.0,0.0,963.5146484375,1.9050046830670908e-05,0.0,1.0,33734.661212882354,9205760.0,22.376157760620117,0.0,963.5146484375,0.0,1.2843660116195679,1773894163.2287586,-79.47284698486328,,0.0,0.0,0.0
390.360365431,-23.185035705566406,9459712.0,0.0,957.572265625,4.450219057616778e-05,0.0,0.994140625,33741.12744892789,9459712.0,23.185035705566406,0.0,957.572265625,0.0,1.20138418674469,1773894171.4773006,-80.26441192626953,,0.0,0.0,0.0
398.610033635,-22.51749038696289,9713664.0,0.0,963.3232421875,4.925525718135759e-05,0.0,1.0,33843.05750084612,9713664.0,22.51749038696289,0.0,963.3232421875,0.0,1.1793694496154785,1773894179.7024193,-80.81430053710938,,0.0,0.0,0.0
415.939560883,-23.092700958251953,9967616.0,0.0,964.6650390625,1.7452892279834487e-05,0.0,1.0,33729.73652529262,9967616.0,23.092700958251953,0.0,964.6650390625,0.0,1.1583133935928345,1773894205.281946,-81.28126525878906,"{'path': 'media/html/render_9967616_cfae953550aefae8f92e.html', 'size': 907569, '_type': 'html-file', 'sha256': 'cfae953550aefae8f92e814a61d39451efd49c503ebcb9214cb633b4c00812de'}",0.0,0.0,0.0
424.361558563,-24.09347915649414,10221568.0,0.0,957.123046875,3.043274955416564e-05,0.0,1.0,33724.14805265751,10221568.0,24.09347915649414,0.0,957.123046875,0.0,1.0290560722351074,1773894205.4422305,-82.37561798095703,,0.0,0.0,0.0
432.637324061,-25.128238677978516,10475520.0,0.0,957.462890625,9.852839139057323e-05,0.0,1.0,33696.771775205045,10475520.0,25.128238677978516,0.0,957.462890625,0.0,0.9801057577133179,1773894213.7031226,-83.3373794555664,,0.0,0.0,0.0
440.92948351,-25.058433532714844,10729472.0,0.0,955.78125,7.454594742739573e-05,0.0,1.0,33618.8663954879,10729472.0,25.058433532714844,0.0,955.78125,0.0,0.80596524477005,1773894221.979251,-85.42626953125,,0.0,0.0,0.0
