_timestamp,_step,eval/episode_success,eval/episode_success_easy,render,eval/episode_reward_ctrl,eval/episode_reward_near,eval/episode_reward_survive,training/alpha_loss,training/sps,eval/episode_reward,training/actor_loss,eval/episode_dist,eval/episode_reward_dist,eval/episode_success_hard,eval/episode_success_any,_runtime,step,training/entropy,training/log_alpha,training/critic_loss
1773897974.496804,0.0,,,"{'path': 'media/html/render_0_18d4eaa15d5cbd19af12.html', 'size': 942813, '_type': 'html-file', 'sha256': '18d4eaa15d5cbd19af12847874668a57a965d9feef13eea853695518caebc03e'}",,,,,,,,,,,,27.877833539,,,,
1773898010.6175265,1.0,,,"{'path': 'media/html/render_1_46840572c360b0599aaf.html', 'size': 939717, '_type': 'html-file', 'sha256': '46840572c360b0599aaf1299653b165ea8c0473a68b21a57b6fce404561cbc04'}",,,,,,,,,,,,63.998518079,,,,
1773898010.7670078,1333248.0,188.1953125,0.0,,0.0,0.0,0.0,0.5794211626052856,12473.230314864573,188.1953125,-14.44536018371582,133.64353942871094,-133.64353942871094,0.0,0.9599609375,71.65997998,1333248.0,0.0,0.0,0.04855501651763916
1773898018.2785785,1587200.0,165.41796875,0.0,,0.0,0.0,0.0,0.0067551881074905396,37392.63575463341,165.41796875,-10.716196060180664,121.97504425048828,-121.97504425048828,0.0,0.861328125,79.529014526,1587200.0,0.0,0.0,0.08457788079977036
1773898026.1474195,1841152.0,127.8759765625,0.0,,0.0,0.0,0.0,-9.829057671595365e-05,35533.91533505489,127.8759765625,-6.3132452964782715,129.37222290039062,-129.37222290039062,0.0,0.841796875,87.674766436,1841152.0,0.0,0.0,0.19994303584098816
1773898034.2932007,2095104.0,231.1044921875,0.0,,0.0,0.0,0.0,-9.150404366664588e-05,34205.09273020639,231.1044921875,-4.424940586090088,96.16786193847656,-96.16786193847656,0.0,0.8349609375,95.732860745,2095104.0,0.0,0.0,0.3103496730327606
1773898059.4938393,2349056.0,382.2216796875,0.0,"{'path': 'media/html/render_2349056_4c4d14c2464045da5e21.html', 'size': 918581, '_type': 'html-file', 'sha256': '4c4d14c2464045da5e213dc5888b5a12d000631c4968d30fcf2393270bff5352'}",0.0,0.0,0.0,-0.00021733768517151475,34607.645210776966,382.2216796875,-4.974529266357422,76.60858154296875,-76.60858154296875,0.0,0.70703125,112.874782857,2349056.0,0.0,0.0,0.4841727614402771
1773898059.6450276,2603008.0,393.1943359375,0.0,,0.0,0.0,0.0,-0.00015138383605517447,34701.330428958376,393.1943359375,-6.520320415496826,84.2377700805664,-84.2377700805664,0.0,0.6396484375,121.081899243,2603008.0,0.0,0.0,0.7600370049476624
1773898067.7004516,2856960.0,454.568359375,0.0,,0.0,0.0,0.0,-0.0001238298718817532,34658.77540017774,454.568359375,-7.557297229766846,77.49467468261719,-77.49467468261719,0.0,0.73046875,129.258092674,2856960.0,0.0,0.0,0.9784826040267944
1773898075.8764052,3110912.0,509.0419921875,0.0,,0.0,0.0,0.0,-0.00019638080266304314,34071.25594484225,509.0419921875,-9.798477172851562,68.13896179199219,-68.13896179199219,0.0,0.775390625,137.376607937,3110912.0,0.0,0.0,1.2412375211715698
1773898083.994666,3364864.0,555.875,0.0,,0.0,0.0,0.0,-0.00011836847988888621,34333.13904540473,555.875,-11.995110511779785,69.619140625,-69.619140625,0.0,0.7861328125,145.449593543,3364864.0,0.0,0.0,1.5415911674499512
1773898109.3941193,3618816.0,603.6845703125,0.0,"{'path': 'media/html/render_3618816_09a17dfa0bd30566700c.html', 'size': 913477, '_type': 'html-file', 'sha256': '09a17dfa0bd30566700cc1e0abeb797272e776b9b45bc00efb2db0a944d57f58'}",0.0,0.0,0.0,5.506910838448675e-06,34546.19532811984,603.6845703125,-16.144487380981445,60.20164489746094,-60.20164489746094,0.0,0.8076171875,162.775078384,3618816.0,0.0,0.0,1.7529199123382568
1773898109.5549302,3872768.0,632.314453125,0.0,,0.0,0.0,0.0,-6.996317824814469e-05,34399.80193086813,632.314453125,-18.017284393310547,64.10569763183594,-64.10569763183594,0.0,0.8466796875,171.128937773,3872768.0,0.0,0.0,1.7682271003723145
1773898117.7475097,4126720.0,636.884765625,0.0,,0.0,0.0,0.0,-1.6371537640225142e-05,34014.95401604076,636.884765625,-22.31525421142578,58.62311553955078,-58.62311553955078,0.0,0.767578125,179.268572632,4126720.0,0.0,0.0,1.7560621500015259
1773898125.8863306,4380672.0,706.701171875,0.0,,0.0,0.0,0.0,-1.1842061212519184e-05,34228.841756342816,706.701171875,-25.9575252532959,43.373077392578125,-43.373077392578125,0.0,0.826171875,187.407246133,4380672.0,0.0,0.0,1.7910124063491821
1773898134.0255897,4634624.0,748.2197265625,0.0,,0.0,0.0,0.0,-4.767427162732929e-05,34237.18580918336,748.2197265625,-28.917438507080078,39.75949478149414,-39.75949478149414,0.0,0.873046875,195.54309878,4634624.0,0.0,0.0,1.8742220401763916
1773898159.3377755,4888576.0,798.5869140625,0.0,"{'size': 906069, '_type': 'html-file', 'sha256': 'e547fc40229c6efcdbb784508ac03fe6fb3e100a20d97a9bf111a33f34ce3fb8', 'path': 'media/html/render_4888576_e547fc40229c6efcdbb7.html'}",0.0,0.0,0.0,-7.96170425019227e-05,34244.08064260126,798.5869140625,-32.62464141845703,37.291778564453125,-37.291778564453125,0.0,0.8984375,212.71870384,4888576.0,0.0,0.0,1.9378509521484375
1773898159.5082524,5142528.0,842.5615234375,0.0,,0.0,0.0,0.0,-2.9013959647272713e-05,34008.191306312925,842.5615234375,-34.576133728027344,32.23827362060547,-32.23827362060547,0.0,0.9580078125,221.067181379,5142528.0,0.0,0.0,2.1160178184509277
1773898167.6856875,5396480.0,827.4169921875,0.0,,0.0,0.0,0.0,-4.848509342991747e-05,34079.46009349175,827.4169921875,-37.88581466674805,36.076602935791016,-36.076602935791016,0.0,0.923828125,229.193231699,5396480.0,0.0,0.0,2.2087643146514893
1773898175.8118546,5650432.0,813.6728515625,0.0,,0.0,0.0,0.0,1.9228682504035532e-06,34291.485038649844,813.6728515625,-42.52408981323242,35.417396545410156,-35.417396545410156,0.0,0.9365234375,237.3297506,5650432.0,0.0,0.0,2.317572832107544
1773898183.9483223,5904384.0,817.1572265625,0.0,,0.0,0.0,0.0,-0.00010673003271222115,34255.76769295283,817.1572265625,-45.603599548339844,35.200439453125,-35.200439453125,0.0,0.927734375,245.521492482,5904384.0,0.0,0.0,2.367548942565918
1773898209.6076345,6158336.0,825.234375,0.0,"{'sha256': '8c54616c956ee75be8579c8586be0c96f7052bfb72e8fcc5a9554170738b6243', 'path': 'media/html/render_6158336_8c54616c956ee75be857.html', 'size': 908273, '_type': 'html-file'}",0.0,0.0,0.0,1.5716650523245335e-05,34001.96313091143,825.234375,-47.568790435791016,34.298946380615234,-34.298946380615234,0.0,0.9365234375,262.988575463,6158336.0,0.0,0.0,2.4016284942626953
1773898209.7690692,6412288.0,850.19140625,0.0,,0.0,0.0,0.0,7.019302574917674e-05,34042.48328849901,850.19140625,-50.227230072021484,32.47638702392578,-32.47638702392578,0.0,0.9423828125,271.314484011,6412288.0,0.0,0.0,2.325932741165161
