training/alpha_loss,eval/episode_success_any,eval/episode_success_easy,_runtime,eval/episode_dist,eval/episode_reward_survive,training/critic_loss,_timestamp,training/entropy,render,eval/episode_reward_dist,eval/episode_reward_ctrl,eval/episode_reward_near,_step,eval/episode_reward,training/log_alpha,eval/episode_success_hard,training/sps,eval/episode_success,step,training/actor_loss
,,,27.944130999,,,,1773888805.8581703,,"{'sha256': 'f812652e626ec3e28b16377159482a80f1c8065df7b8865c9b81f245c17e56a7', 'path': 'media/html/render_0_f812652e626ec3e28b16.html', 'size': 942061, '_type': 'html-file'}",,,,0.0,,,,,,,
,,,64.334995002,,,,1773888842.249161,,"{'sha256': '27479ac4e78fc2b9393fe1f2b89655fe3343eaf777a28800eef537d56309727e', 'path': 'media/html/render_1_27479ac4e78fc2b9393f.html', 'size': 942829, '_type': 'html-file'}",,,,1.0,,,,,,,
0.5810056924819946,0.9921875,0.0,72.000792756,139.2474365234375,0.0,0.039500389248132706,1773888842.4066463,0.0,,-139.2474365234375,0.0,0.0,1333248.0,157.587890625,0.0,0.0,12466.42739542273,157.587890625,1333248.0,-15.888489723205566
0.007739216089248657,0.9267578125,0.0,79.852796366,99.82603454589844,0.0,0.05934824422001839,1773888849.9145539,0.0,,-99.82603454589844,0.0,0.0,1587200.0,249.3779296875,0.0,0.0,37417.636798359956,249.3779296875,1587200.0,-12.053420066833496
-0.00016993435565382242,0.9931640625,0.0,87.977624968,108.48660278320312,0.0,0.16412368416786194,1773888857.7665076,0.0,,-108.48660278320312,0.0,0.0,1841152.0,316.529296875,0.0,0.0,35615.19704125056,316.529296875,1841152.0,-7.477679252624512
-0.00013153307372704148,0.9443359375,0.0,96.032027957,72.11763763427734,0.0,0.302204966545105,1773888865.8912783,0.0,,-72.11763763427734,0.0,0.0,2095104.0,519.32421875,0.0,0.0,34297.011346956824,519.32421875,2095104.0,-4.929937839508057
-0.0003195461758878082,0.736328125,0.0,113.359960896,84.0053939819336,0.0,0.531968891620636,1773888891.2739995,0.0,"{'path': 'media/html/render_2349056_aa3fa9f8b3893e1f4bd8.html', 'size': 918481, '_type': 'html-file', 'sha256': 'aa3fa9f8b3893e1f4bd8dc29a6ab545f6ee7ee1ff36dd452d48d5d70262aee33'}",-84.0053939819336,0.0,0.0,2349056.0,402.7412109375,0.0,0.0,34626.498679862,402.7412109375,2349056.0,-4.706200122833252
-0.000324476306559518,0.7490234375,0.0,121.55708026799999,68.67265319824219,0.0,0.90239018201828,1773888891.4319577,0.0,,-68.67265319824219,0.0,0.0,2603008.0,489.41015625,0.0,0.0,34733.07636287178,489.41015625,2603008.0,-6.911351680755615
-0.00022721861023455858,0.83203125,0.0,129.743378378,53.624534606933594,0.0,1.3063243627548218,1773888899.470725,0.0,,-53.624534606933594,0.0,0.0,2856960.0,634.408203125,0.0,0.0,34736.67385981795,634.408203125,2856960.0,-11.130988121032715
-0.00029579782858490944,0.9345703125,0.0,137.836015706,39.98662185668945,0.0,1.6698726415634155,1773888907.6567748,0.0,,-39.98662185668945,0.0,0.0,3110912.0,775.453125,0.0,0.0,34021.339082769206,775.453125,3110912.0,-15.970030784606934
-0.00021593082055915147,0.9296875,0.0,145.89582866,35.808101654052734,0.0,2.0241410732269287,1773888915.7493536,0.0,,-35.808101654052734,0.0,0.0,3364864.0,799.2490234375,0.0,0.0,34451.7166720946,799.2490234375,3364864.0,-21.84814453125
-2.0404104361659847e-05,0.927734375,0.0,163.130742836,34.79072952270508,0.0,2.220205783843994,1773888941.0448785,0.0,"{'path': 'media/html/render_3618816_ffe0f6ea9d352b9357a1.html', 'size': 911281, '_type': 'html-file', 'sha256': 'ffe0f6ea9d352b9357a19539214a9997013ef1465397dfda6a83dcc092b4617a'}",-34.79072952270508,0.0,0.0,3618816.0,790.923828125,0.0,0.0,34606.53993104826,790.923828125,3618816.0,-28.603395462036133
