eval/episode_success_any,training/critic_loss,training/log_alpha,eval/episode_reward_ctrl,eval/episode_success,_runtime,_timestamp,training/alpha_loss,eval/episode_success_hard,training/entropy,eval/episode_success_easy,render,training/actor_loss,eval/episode_reward_survive,eval/episode_dist,eval/episode_reward,step,training/sps,eval/episode_reward_dist,eval/episode_reward_near,_step
,,,,,27.99068388,1773904216.57911,,,,,"{'size': 947905, '_type': 'html-file', 'sha256': '69e00234131e24615c6682ee432a65ec9e86d9fb008fa69a285bc4b8f5028e1c', 'path': 'media/html/render_0_69e00234131e24615c66.html'}",,,,,,,,,0.0
,,,,,64.234259375,1773904252.8227215,,,,,"{'size': 941801, '_type': 'html-file', 'sha256': 'a4c8d0727c29618649528d11a730ead3f275f2f4349adc98f37d0aea59b1a9f4', 'path': 'media/html/render_1_a4c8d0727c2961864952.html'}",,,,,,,,,1.0
0.98046875,0.03667669743299484,0.0,0.0,89.388671875,71.911659105,1773904252.9798508,0.5775797367095947,0.0,0.0,0.0,,-12.603034019470215,0.0,158.13819885253906,89.388671875,1333248.0,12527.874095906102,-158.13819885253906,0.0,1333248.0
0.62890625,0.04540015384554863,0.0,0.0,237.4853515625,79.757466899,1773904260.4996297,0.009062757715582848,0.0,0.0,0.0,,-9.762871742248535,0.0,103.11955261230469,237.4853515625,1587200.0,37349.81255199738,-103.11955261230469,0.0,1587200.0
0.6396484375,0.10725685954093933,0.0,0.0,216.5947265625,87.883379014,1773904268.3453286,-0.00010072119039250538,0.0,0.0,0.0,,-6.424493312835693,0.0,110.14862060546875,216.5947265625,1841152.0,35657.89270841493,-110.14862060546875,0.0,1841152.0
0.53515625,0.22752799093723297,0.0,0.0,323.9873046875,95.950302036,1773904276.471428,-0.00010606346040731296,0.0,0.0,0.0,,-4.813323974609375,0.0,91.31723022460938,323.9873046875,2095104.0,34296.878827215296,-91.31723022460938,0.0,2095104.0
0.7041015625,0.5088434219360352,0.0,0.0,375.509765625,112.914352225,1773904301.5028892,-0.0002706540108192712,0.0,0.0,0.0,"{'size': 913117, '_type': 'html-file', 'sha256': '80a4843aeb811760d44dcb7874b9d466c85af51fa4d4a3089787eaa51fcb4c1c', 'path': 'media/html/render_2349056_80a4843aeb811760d44d.html'}",-5.872180938720703,0.0,91.90888977050781,375.509765625,2349056.0,34577.232506650624,-91.90888977050781,0.0,2349056.0
0.705078125,0.9423750638961792,0.0,0.0,377.82421875,121.132275595,1773904301.6460044,-0.00023203770979307592,0.0,0.0,0.0,,-7.935269832611084,0.0,92.60926818847656,377.82421875,2603008.0,34737.62319769242,-92.60926818847656,0.0,2603008.0
0.8037109375,1.202141523361206,0.0,0.0,403.1845703125,129.310598886,1773904309.720263,-2.2207726942724548e-05,0.0,0.0,0.0,,-8.971689224243164,0.0,96.3071517944336,403.1845703125,2856960.0,34572.346028468426,-96.3071517944336,0.0,2856960.0
0.923828125,1.2824734449386597,0.0,0.0,489.4169921875,137.432831463,1773904317.8986306,-4.2028386815218255e-05,0.0,0.0,0.0,,-9.852181434631348,0.0,90.19500732421875,489.4169921875,3110912.0,34063.26162812284,-90.19500732421875,0.0,3110912.0
