step,success_rate
793600,0.00390625
1047552,0.0
1301504,0.0
1555456,0.015625
1809408,0.01953125
2063360,0.03515625
2317312,0.0234375
2571264,0.03515625
2825216,0.046875
3079168,0.02734375
3333120,0.0390625
3587072,0.06640625
3841024,0.03515625
4094976,0.078125
4348928,0.05859375
4602880,0.125
4856832,0.09375
5110784,0.046875
5364736,0.1015625
5618688,0.07421875
5872640,0.1015625
6126592,0.10546875
6380544,0.1171875
6634496,0.09375
6888448,0.1484375
7142400,0.1328125
7396352,0.140625
7650304,0.12890625
7904256,0.140625
8158208,0.171875
8412160,0.1171875
8666112,0.11328125
8920064,0.1796875
9174016,0.16015625
9427968,0.140625
9681920,0.18359375
9935872,0.1953125
10189824,0.20703125
10443776,0.1875
10697728,0.17578125
10951680,0.15234375
11205632,0.19140625
11459584,0.17578125
11713536,0.19921875
11967488,0.1875
12221440,0.1484375
12475392,0.1640625
12729344,0.15234375
12983296,0.203125
13237248,0.1640625
13491200,0.1875
13745152,0.20703125
13999104,0.18359375
14253056,0.18359375
14507008,0.21484375
14760960,0.20703125
15014912,0.2421875
15268864,0.16796875
15522816,0.203125
15776768,0.18359375
16030720,0.1875
16284672,0.17578125
16538624,0.1875
16792576,0.15234375
17046528,0.2734375
17300480,0.17578125
17554432,0.203125
17808384,0.234375
18062336,0.171875
18316288,0.19921875
18570240,0.1328125
18824192,0.14453125
19078144,0.19140625
19332096,0.171875
19586048,0.1640625
19840000,0.2109375
20093952,0.15625
20347904,0.12890625
20601856,0.13671875
20855808,0.21875
21109760,0.1640625
21363712,0.15234375
21617664,0.171875
21871616,0.15234375
22125568,0.1328125
22379520,0.21484375
22633472,0.140625
22887424,0.203125
23141376,0.1484375
23395328,0.16015625
23649280,0.16015625
23903232,0.15234375
24157184,0.19140625
24411136,0.1875
24665088,0.15625
24919040,0.140625
25172992,0.17578125
25426944,0.203125
25680896,0.18359375
25934848,0.15234375
26188800,0.1875
26442752,0.2265625
26696704,0.22265625
26950656,0.1875
27204608,0.20703125
27458560,0.17578125
27712512,0.2109375
27966464,0.19921875
28220416,0.15234375
28474368,0.19921875
28728320,0.19921875
28982272,0.1953125
29236224,0.1875
29490176,0.1875
29744128,0.19140625
29998080,0.14453125
30252032,0.21875
30505984,0.16015625
30759936,0.12890625
31013888,0.16015625
31267840,0.1796875
31521792,0.25390625
31775744,0.21484375
32029696,0.20703125
32283648,0.1796875
32537600,0.23046875
32791552,0.21484375
33045504,0.18359375
33299456,0.20703125
33553408,0.234375
33807360,0.15234375
34061312,0.23046875
34315264,0.1640625
34569216,0.1328125
34823168,0.1953125
35077120,0.16796875
35331072,0.19921875
35585024,0.19140625
35838976,0.2421875
36092928,0.15234375
36346880,0.18359375
36600832,0.19140625
36854784,0.1875
37108736,0.171875
37362688,0.14453125
37616640,0.19140625
37870592,0.13671875
38124544,0.23828125
38378496,0.20703125
38632448,0.1484375
38886400,0.19921875
39140352,0.15625
39394304,0.24609375
39648256,0.15625
39902208,0.1484375
40156160,0.1953125
40410112,0.140625
40664064,0.203125
40918016,0.19140625
41171968,0.18359375
41425920,0.1640625
41679872,0.23046875
41933824,0.203125
42187776,0.140625
42441728,0.1953125
42695680,0.1875
42949632,0.13671875
43203584,0.16796875
43457536,0.17578125
43711488,0.1484375
43965440,0.18359375
44219392,0.19140625
44473344,0.21484375
44727296,0.11328125
44981248,0.17578125
45235200,0.1953125
45489152,0.23828125
45743104,0.21484375
45997056,0.1484375
46251008,0.19140625
46504960,0.1953125
46758912,0.20703125
47012864,0.171875
47266816,0.2421875
47520768,0.1953125
47774720,0.21875
48028672,0.23046875
48282624,0.23046875
48536576,0.1796875
48790528,0.15234375
49044480,0.16015625
49298432,0.18359375
49552384,0.24609375
49806336,0.203125
50060288,0.16796875
50314240,0.203125
50568192,0.21484375
50822144,0.17578125
51076096,0.2265625
51330048,0.12890625
