training/alpha_loss,eval/episode_dist,eval/episode_reward_near,eval/episode_success_any,eval/episode_reward_ctrl,eval/episode_reward_dist,step,_step,eval/episode_success_hard,render,training/actor_loss,eval/episode_success,_timestamp,training/entropy,eval/episode_success_easy,training/log_alpha,eval/episode_reward,training/critic_loss,eval/episode_reward_survive,_runtime,training/sps
,,,,,,,0.0,,"{'_type': 'html-file', 'sha256': '99f875420a00940e3852d76fabbba6824a5f95c58b0082b7d399c4a918838951', 'path': 'media/html/render_0_99f875420a00940e3852.html', 'size': 3892781.0}",,,1773551503.1541567,,,,,,,65.273503237,
,,,,,,,1.0,,"{'path': 'media/html/render_1_ec92b1f3647e50409275.html', 'size': 3859189.0, '_type': 'html-file', 'sha256': 'ec92b1f3647e50409275dfda8d77b1b68d45256244886250f7a4435904b92a2b'}",,,1773551597.2063453,,,,,,,159.325659567,
2.037736177444458,7473.7998046875,0.0,0.0,-1986.41552734375,0.0,1333248.0,1333248.0,0.0,,-33.33889389038086,0.0,1773551597.4058385,0.0,0.0,0.0,0.0,2.185581684112549,912.7333984375,182.3800692,9177.429360784197
0.009313623420894146,7076.5361328125,0.0,0.00390625,-1805.754638671875,0.0,1587200.0,1587200.0,0.0,,-23.449907302856445,0.140625,1773551620.2600658,0.0,8.287109375,0.0,0.140625,0.6900281310081482,876.2724609375,205.361133997,29077.808802642303
0.0006026479532010853,6413.662109375,0.0,0.00390625,-1479.390869140625,0.0,1841152.0,1841152.0,0.0,,-11.681039810180664,0.12109375,1773551643.2411911,0.0,10.1435546875,0.0,0.12109375,0.12083705514669418,819.474609375,228.272768368,29108.491400637507
0.00017145121819339693,7529.4951171875,0.0,0.0,-1679.473388671875,0.0,2095104.0,2095104.0,0.0,,-5.130066871643066,0.0,1773551666.152628,0.0,0.880859375,0.0,0.0,0.022897282615303993,924.0087890625,251.415229015,29134.185708352645
6.553447747137398e-05,7839.28125,0.0,0.0009765625,-1864.904052734375,0.0,2349056.0,2349056.0,0.0,"{'_type': 'html-file', 'sha256': 'bf79dc7097cac766f633b259c20891b3d7afb6ecec8519134a0d5a9774ec9385', 'path': 'media/html/render_2349056_bf79dc7097cac766f633.html', 'size': 3865173.0}",-2.236455202102661,0.3203125,1773551738.8255653,0.0,8.28515625,0.0,0.3203125,0.004667012486606836,956.283203125,300.944885008,29146.718088046546
1.0127665518666618e-05,6413.4541015625,0.0,0.0,-1672.50830078125,0.0,2603008.0,2603008.0,0.0,,-1.094421148300171,0.0,1773551739.006842,0.0,9.943359375,0.0,0.0,0.0025035778526216745,777.1904296875,324.178404642,29290.44324525051
-1.0311661753803492e-05,5702.640625,0.0,0.0,-1561.0084228515625,0.0,2856960.0,2856960.0,0.0,,-0.7885528802871704,0.0,1773551762.0584042,0.0,1.9296875,0.0,0.0,0.004965703934431076,724.298828125,347.139769839,29006.394069444043
-3.360518803674495e-06,5367.509765625,0.0,0.0,-1494.97314453125,0.0,3110912.0,3110912.0,0.0,,-0.8681485056877136,0.0,1773551785.0198028,0.0,10.2275390625,0.0,0.0,0.010317929089069366,706.6552734375,370.135907511,29271.291626270944
1.711479308141861e-05,5860.21142578125,0.0,0.0126953125,-1598.9169921875,0.0,3364864.0,3364864.0,0.0,,-0.8659812211990356,0.2060546875,1773551808.015948,0.0,12.40625,0.0,0.2060546875,0.011119416914880276,751.8515625,392.993650688,29113.775920835815
-3.6842923236690694e-06,7053.77001953125,0.0,0.0205078125,-1643.7906494140625,0.0,3618816.0,3618816.0,0.0,"{'sha256': '53f335308c12a165d28745e50f4d9c41ef9d2c70127a7ae20d32f3252234ad11', 'path': 'media/html/render_3618816_53f335308c12a165d287.html', 'size': 3858001.0, '_type': 'html-file'}",-0.7327011823654175,1.083984375,1773551880.3968313,0.0,17.9384765625,0.0,1.083984375,0.012965640053153038,852.7578125,442.516176302,29259.503866607116
5.254536063148407e-06,7713.0791015625,0.0,0.013671875,-1747.816162109375,0.0,3872768.0,3872768.0,0.0,,-0.6652846336364746,0.90234375,1773551880.586617,0.0,11.400390625,0.0,0.90234375,0.014970588497817516,865.388671875,465.618166791,29076.10381740736
1.0795398566187941e-06,7177.77734375,0.0,0.009765625,-1842.620361328125,0.0,4126720.0,4126720.0,0.0,,-0.7443255186080933,1.54296875,1773551903.4983096,0.0,24.345703125,0.0,1.54296875,0.013893377967178822,875.2265625,488.633902363,29105.442655056537
1.7120513803092763e-05,6832.47021484375,0.0,0.00390625,-1874.105224609375,0.0,4380672.0,4380672.0,0.0,,-0.7088876366615295,0.111328125,1773551926.5134919,0.0,30.9990234375,0.0,0.111328125,0.014053920283913612,888.6689453125,511.482166114,29060.97250525574
2.4490254872944206e-06,6963.95751953125,0.0,0.0205078125,-1706.623779296875,0.0,4634624.0,4634624.0,0.0,,-0.6585928201675415,2.1982421875,1773551949.3623173,0.0,31.884765625,0.0,2.1982421875,0.015268847346305847,873.0361328125,534.489939923,29295.430655488464
-5.635791239910759e-06,6877.47705078125,0.0,0.0146484375,-1710.0218505859375,0.0,4888576.0,4888576.0,0.0,"{'path': 'media/html/render_4888576_907d9cba66c687f5c0cd.html', 'size': 3856573.0, '_type': 'html-file', 'sha256': '907d9cba66c687f5c0cd0af2fe0bbe41467126c39e09f3ad83e9809875759a4f'}",-0.6440200209617615,4.55078125,1773552021.3615236,0.0,43.5048828125,0.0,4.55078125,0.016945071518421173,871.5400390625,583.480841531,29064.55836160607
1.0243159522360656e-05,7291.26220703125,0.0,0.005859375,-1504.249267578125,0.0,5142528.0,5142528.0,0.0,,-0.719347357749939,0.748046875,1773552021.5569491,0.0,7.7880859375,0.0,0.748046875,0.01939363405108452,854.10546875,606.745890027,29289.2262559361
-2.8005786134599475e-06,7704.82421875,0.0,0.0,-1930.8673095703125,0.0,5396480.0,5396480.0,0.0,,-0.6971997618675232,0.0,1773552044.625335,0.0,3.9345703125,0.0,0.0,0.018441511318087578,942.9609375,629.575284657,28918.571144337177
8.968623887994909e-07,7687.376953125,0.0,0.0087890625,-1830.7723388671875,0.0,5650432.0,5650432.0,0.0,,-0.8136405348777771,0.4169921875,1773552067.4553657,0.0,9.3466796875,0.0,0.4169921875,0.026100540533661842,909.1748046875,652.58558481,29296.56274648923
-6.573285645572469e-06,7764.3955078125,0.0,0.005859375,-2019.769775390625,0.0,5904384.0,5904384.0,0.0,,-0.7907696962356567,0.068359375,1773552090.4656222,0.0,5.150390625,0.0,0.068359375,0.02660347893834114,954.9580078125,675.396907604,29068.098299911562
-3.411355692151119e-06,7176.810546875,0.0,0.0,-1928.942138671875,0.0,6158336.0,6158336.0,0.0,"{'path': 'media/html/render_6158336_795279705692cde99f07.html', 'size': 3855241.0, '_type': 'html-file', 'sha256': '795279705692cde99f07a8bcd13440352b6b87c42a68148be3808d0b3ad48977'}",-0.8420432209968567,0.0,1773552162.8852587,0.0,0.625,0.0,0.0,0.02534034103155136,895.9013671875,725.004547029,29357.267553032336
7.97911525296513e-06,7418.4619140625,0.0,0.001953125,-2022.444091796875,0.0,6412288.0,6412288.0,0.0,,-0.7851704359054565,0.0078125,1773552163.090859,0.0,0.2763671875,0.0,0.0078125,0.025123288854956627,925.2568359375,748.092378623,29118.322047551177
1.4570439816452563e-05,6465.5166015625,0.0,0.005859375,-1673.8226318359375,0.0,6666240.0,6666240.0,0.0,,-0.682400107383728,0.8564453125,1773552185.9724033,0.0,8.75390625,0.0,0.8564453125,0.023981496691703796,816.0556640625,771.087478562,29171.839988133546
6.593796797460527e-07,7281.935546875,0.0,0.0068359375,-1843.3465576171875,0.0,6920192.0,6920192.0,0.0,,-0.7014049291610718,0.6005859375,1773552208.9676337,0.0,17.8583984375,0.0,0.6005859375,0.023794179782271385,905.2353515625,793.949304763,29108.629018880936
-1.2373033086987562e-06,6967.9375,0.0,0.0244140625,-1680.0262451171875,0.0,7174144.0,7174144.0,0.0,,-0.7183198928833008,2.240234375,1773552231.8292933,0.0,15.7724609375,0.0,2.240234375,0.02488379366695881,846.181640625,816.952975671,29207.725485434472
6.025906600370945e-07,7038.8056640625,0.0,0.021484375,-1830.05126953125,0.0,7428096.0,7428096.0,0.0,"{'_type': 'html-file', 'sha256': '6ecc09460c787d2c644b0c9d3ac29c7c309a4fd1bdaae845e563dce8c81ffd3e', 'path': 'media/html/render_7428096_6ecc09460c787d2c644b.html', 'size': 3858009.0}",-0.8182474374771118,2.5537109375,1773552303.9527981,0.0,13.927734375,0.0,2.5537109375,0.029735375195741653,883.83203125,866.072096292,29062.81528065901
-5.677659828506876e-06,6951.08447265625,0.0,0.021484375,-1774.884033203125,0.0,7682048.0,7682048.0,0.0,,-0.6337113380432129,4.5791015625,1773552304.1460311,0.0,44.7529296875,0.0,4.5791015625,0.02320820651948452,890.91796875,889.316000909,29216.037295522732
1.418960437149508e-05,6623.181640625,0.0,0.0087890625,-1769.425537109375,0.0,7936000.0,7936000.0,0.0,,-0.7121241688728333,1.01953125,1773552327.1960387,0.0,19.6865234375,0.0,1.01953125,0.02516879141330719,842.4892578125,912.163486353,28952.95281697746
-7.270713467733003e-06,6393.1083984375,0.0,0.0,-1869.262939453125,0.0,8189952.0,8189952.0,0.0,,-0.812271773815155,0.0,1773552350.0430171,0.0,0.0009765625,0.0,0.0,0.0348479188978672,814.67578125,935.15094903,29241.831187069365
-4.802143848792184e-06,6524.1318359375,0.0,0.029296875,-1726.949462890625,0.0,8443904.0,8443904.0,0.0,,-0.9011033773422241,8.705078125,1773552373.0308042,0.0,48.6318359375,0.0,8.705078125,0.03995218873023987,803.25390625,957.995037554,29110.148474420763
1.0727815606514923e-05,7341.498046875,0.0,0.0029296875,-1955.5316162109375,0.0,8697856.0,8697856.0,0.0,"{'path': 'media/html/render_8697856_b545872e75a7d38de09a.html', 'size': 3862093.0, '_type': 'html-file', 'sha256': 'b545872e75a7d38de09a39c82be0934567a7426de19e62194ce7ccb461a31f92'}",-0.8369274139404297,0.5009765625,1773552445.659763,0.0,1.5986328125,0.0,0.5009765625,0.03389889374375343,917.6767578125,1007.779056524,29237.189436092296
2.1977352844260167e-06,6273.4912109375,0.0,0.0,-1772.639892578125,0.0,8951808.0,8951808.0,0.0,,-0.8021385669708252,0.0,1773552445.8861463,0.0,0.0,0.0,0.0,0.03601612150669098,802.9052734375,1030.903680844,29071.968392113522
