eval/episode_success_easy,eval/episode_success_hard,_timestamp,_runtime,eval/episode_reward_dist,training/entropy,eval/episode_reward_near,training/sps,eval/episode_success_any,render,eval/episode_reward_survive,training/alpha_loss,training/log_alpha,eval/episode_reward_ctrl,step,eval/episode_reward,eval/episode_success,_step,eval/episode_dist,training/critic_loss,training/actor_loss
,,1773621065.0691292,66.604001208,,,,,,"{'path': 'media/html/render_0_80e43958b923217a3651.html', 'size': 3905853.0, '_type': 'html-file', 'sha256': '80e43958b923217a36515893c9b559b87a5794401f7b968d3b7b82dabdd07f8d'}",,,,,,,,0.0,,,
,,1773621159.9522207,161.487024015,,,,,,"{'path': 'media/html/render_1_367b9df86fb605e453e7.html', 'size': 3875129.0, '_type': 'html-file', 'sha256': '367b9df86fb605e453e7bbb6fe9ba3ff21d1ff0e138ed4f97a2466c7a352127d'}",,,,,,,,1.0,,,
9.873046875,0.0,1773621160.133471,184.524139538,0.0,0.0,0.0,9101.264786104806,0.005859375,,776.3408203125,2.103311538696289,0.0,-1552.49951171875,1333248.0,0.4189453125,0.4189453125,1333248.0,6297.11328125,2.537717819213867,-40.41740798950195
0.330078125,0.0,1773621182.98876,207.628668308,0.0,0.0,0.0,29196.966015548387,0.0,,901.2060546875,0.01791268214583397,0.0,-1898.2178955078125,1587200.0,0.0,0.0,1587200.0,7424.4970703125,0.6868883967399597,-25.663251876831055
34.404296875,0.0,1773621206.0926964,230.550887379,0.0,0.0,0.0,29151.467582361132,0.0224609375,,722.642578125,0.0005882873083464801,0.0,-1347.635498046875,1841152.0,1.0615234375,1.0615234375,1841152.0,5533.93359375,0.12783968448638916,-13.327391624450684
2.3515625,0.0,1773621229.0154564,253.638147602,0.0,0.0,0.0,29261.830111470026,0.0,,805.05078125,0.00013132780441083014,0.0,-1570.171142578125,2095104.0,0.0,0.0,2095104.0,6520.0205078125,0.027606846764683723,-6.340195178985596
7.703125,0.0,1773621302.0699356,303.604739624,0.0,0.0,0.0,29247.756918304844,0.0029296875,"{'size': 3874257.0, '_type': 'html-file', 'sha256': '43cf877aba1f70ea00e2f21d152ad12ba9b62fcc67a0d1af4676fe472ef5fe14', 'path': 'media/html/render_2349056_43cf877aba1f70ea00e2.html'}",693.32421875,3.1764644518261775e-05,0.0,-1250.883544921875,2349056.0,0.2958984375,0.2958984375,2349056.0,5635.01171875,0.010195269249379635,-3.086087942123413
36.1181640625,0.0,1773621302.2583554,326.823063104,0.0,0.0,0.0,29425.40379593804,0.00390625,,765.5224609375,8.44819351186743e-06,0.0,-1559.2108154296875,2603008.0,0.1806640625,0.1806640625,2603008.0,5973.494140625,0.01105672400444746,-1.8533587455749512
37.94921875,0.0,1773621325.2873473,349.725788417,0.0,0.0,0.0,29088.594211020903,0.001953125,,745.8720703125,-5.5940618040040135e-06,0.0,-1466.665771484375,2856960.0,0.0224609375,0.0224609375,2856960.0,5970.83251953125,0.01623852364718914,-1.4887802600860596
33.779296875,0.0,1773621348.1901078,372.719518127,0.0,0.0,0.0,29385.67534275709,0.017578125,,714.33984375,5.3611406656273175e-06,0.0,-1474.215576171875,3110912.0,4.462890625,4.462890625,3110912.0,5764.2568359375,0.02235030010342598,-1.4440549612045288
35.75,0.0,1773621371.1839178,395.520946704,0.0,0.0,0.0,29215.96196728416,0.017578125,,742.234375,1.7842743545770645e-05,0.0,-1361.6622314453125,3364864.0,2.8740234375,2.8740234375,3364864.0,5975.12890625,0.02768901363015175,-1.4835600852966309
