training/entropy,render,training/sps,eval/episode_reward_dist,training/alpha_loss,eval/episode_success_any,eval/episode_success_easy,eval/episode_reward_ctrl,training/critic_loss,_timestamp,eval/episode_reward,eval/episode_reward_survive,eval/episode_dist,eval/episode_reward_near,_step,eval/episode_success,_runtime,training/actor_loss,step,training/log_alpha,eval/episode_success_hard
0.0,,28870.066376451392,0.0,9.011941074277274e-06,0.0029296875,5.7431640625,-1626.0054931640625,0.02165072038769722,1773546024.2751687,1.5703125,679.099609375,5230.216796875,0.0,3364864.0,1.5703125,392.534352221,-1.331675410270691,3364864.0,0.0,0.0
0.0,"{'_type': 'html-file', 'sha256': '5f4a891741d5910aeec8625010e35d480cbf1f01c95bc268c37187ab6df61f59', 'path': 'media/html/render_3618816_5f4a891741d5910aeec8.html', 'size': 3874173.0}",29032.556456808386,0.0,-1.7091579138650559e-06,0.00390625,9.7158203125,-1072.954833984375,0.029940376058220863,1773546096.5789475,0.130859375,514.5185546875,4039.620361328125,0.0,3618816.0,0.130859375,441.925935968,-1.470835566520691,3618816.0,0.0,0.0
0.0,,28835.625111278812,0.0,1.6155601770151407e-05,0.0361328125,56.66796875,-1793.154296875,0.03974974900484085,1773546096.761243,9.0146484375,822.58984375,6019.7421875,0.0,3872768.0,9.0146484375,465.080693688,-1.5733052492141724,3872768.0,0.0,0.0
0.0,,28863.205487421757,0.0,-1.5747327779536135e-05,0.00390625,2.3447265625,-1226.430419921875,0.04686328023672104,1773546119.73302,0.7412109375,667.435546875,5928.02001953125,0.0,4126720.0,0.7412109375,488.161956212,-1.7231448888778687,4126720.0,0.0,0.0
0.0,,28809.73446806043,0.0,1.1111527783214115e-05,0.0625,84.1484375,-1627.7362060546875,0.0560343861579895,1773546142.8142,21.62890625,824.09765625,6230.126953125,0.0,4380672.0,21.62890625,511.071071547,-1.9151250123977661,4380672.0,0.0,0.0
0.0,,29042.913153432008,0.0,7.809837370587047e-06,0.044921875,107.9853515625,-1838.947998046875,0.06478031724691391,1773546165.7235136,16.9853515625,879.091796875,6460.18505859375,0.0,4634624.0,16.9853515625,534.142965498,-1.9933326244354248,4634624.0,0.0,0.0
0.0,"{'_type': 'html-file', 'sha256': '2ec1a956bc3dc76a98bef9732a7de640223e6dd851d3cc30d514a2040c8c2d3b', 'path': 'media/html/render_4888576_2ec1a956bc3dc76a98be.html', 'size': 3874017.0}",28837.08418916498,0.0,-1.8711711163632572e-05,0.0625,136.435546875,-1780.13134765625,0.07800453901290894,1773546237.609263,38.8095703125,863.298828125,5969.4755859375,0.0,4888576.0,38.8095703125,582.95622446,-2.1202285289764404,4888576.0,0.0,0.0
0.0,,29045.348441523416,0.0,-1.6902355127967894e-05,0.052734375,89.1669921875,-1674.9375,0.10188952833414078,1773546237.7963367,28.9375,879.060546875,7071.58837890625,0.0,5142528.0,28.9375,606.265257355,-2.4327352046966553,5142528.0,0.0,0.0
0.0,,28729.328437474975,0.0,-8.459778655378614e-06,0.1142578125,151.4716796875,-1582.3759765625,0.11711665987968445,1773546260.9176617,75.3056640625,741.142578125,5144.6142578125,0.0,5396480.0,75.3056640625,629.160940284,-3.018317699432373,5396480.0,0.0,0.0
0.0,,29063.37513736967,0.0,-2.224493073299527e-05,0.1259765625,132.0810546875,-1547.7117919921875,0.14154966175556183,1773546283.813234,82.7294921875,706.802734375,4853.1767578125,0.0,5650432.0,82.7294921875,652.23868051,-3.5630645751953125,5650432.0,0.0,0.0
0.0,,28815.55650996143,0.0,2.008950468734838e-05,0.1044921875,104.9248046875,-1461.91748046875,0.14484818279743195,1773546306.8908994,65.7294921875,765.369140625,5729.5732421875,0.0,5904384.0,65.7294921875,675.126278105,-3.8607122898101807,5904384.0,0.0,0.0
0.0,"{'_type': 'html-file', 'sha256': 'fe5751497a64463d0ee2dda7d63843f30b29337206e21da79b9b08c3cd6d47e9', 'path': 'media/html/render_6158336_fe5751497a64463d0ee2.html', 'size': 3866073.0}",29086.32402077445,0.0,-3.965495488955639e-05,0.1171875,119.642578125,-1395.6480712890625,0.16993987560272217,1773546379.7383478,71.458984375,696.681640625,5007.27294921875,0.0,6158336.0,71.458984375,725.085367995,-4.605734825134277,6158336.0,0.0,0.0
0.0,,28843.358579217915,0.0,4.601365162670845e-06,0.11328125,109.841796875,-1581.319580078125,0.18794670701026917,1773546379.9346437,84.36328125,814.1748046875,6248.76318359375,0.0,6412288.0,84.36328125,748.241592413,-5.452770709991455,6412288.0,0.0,0.0
