training/critic_loss,eval/episode_success,eval/episode_reward_near,eval/episode_success_easy,training/alpha_loss,training/sps,eval/episode_dist,eval/episode_success_hard,training/actor_loss,eval/episode_reward_survive,_timestamp,eval/episode_success_any,training/entropy,_runtime,step,_step,render,eval/episode_reward_dist,eval/episode_reward,eval/episode_reward_ctrl,training/log_alpha
,,,,,,,,,,1773632640.4819586,,,67.116517989,,0.0,"{'sha256': 'e9efc707462eeabd86a979f20a1495dc2b32bc35fe250d78195d8f5c2cc53a7c', 'path': 'media/html/render_0_e9efc707462eeabd86a9.html', 'size': 3868457.0, '_type': 'html-file'}",,,,
,,,,,,,,,,1773632735.795103,,,162.42951218,,1.0,"{'size': 3874313.0, '_type': 'html-file', 'sha256': 'c5755c7df04f71f6f761925b94c9b80de964570304ebee17dc1486e4cefc4bb3', 'path': 'media/html/render_1_c5755c7df04f71f6f761.html'}",,,,
0.47250813245773315,0.0,0.0,0.833984375,2.0968081951141357,8945.713931483335,5712.8828125,0.0,-32.3404426574707,724.185546875,1773632735.977022,0.0,0.0,185.562775098,1333248.0,1333248.0,,0.0,0.0,-1404.3712158203125,0.0
0.1051689013838768,0.0,0.0,0.630859375,0.02797730453312397,28883.876268922988,6366.63671875,0.0,-20.57148551940918,788.458984375,1773632758.9276628,0.0,0.0,208.748594664,1587200.0,1587200.0,,0.0,0.0,-1673.57470703125,0.0
0.023476745933294296,0.46875,0.0,14.359375,0.00018957597785629332,28879.266022697546,7172.1962890625,0.0,-9.751136779785156,891.3173828125,1773632782.1132286,0.001953125,0.0,231.768052989,1841152.0,1841152.0,,0.0,0.46875,-1898.1025390625,0.0
0.00787265319377184,0.0,0.0,7.4228515625,6.120435136836022e-05,28959.77770675563,7232.0205078125,0.0,-4.611168384552002,870.1181640625,1773632805.1329546,0.0,0.0,254.959056445,2095104.0,2095104.0,,0.0,0.0,-1897.5438232421875,0.0
0.0069204289466142654,0.0,0.0,0.1640625,1.2919956134282984e-05,28930.328548378016,7099.6708984375,0.0,-2.349933624267578,877.6005859375,1773632878.439275,0.0,0.0,305.0736858,2349056.0,2349056.0,"{'path': 'media/html/render_2349056_d73e051829dd349fb707.html', 'size': 3864801.0, '_type': 'html-file', 'sha256': 'd73e051829dd349fb70790bc01df5370c218eb8960b1af590e88c90d1c112da8'}",0.0,0.0,-1771.344970703125,0.0
0.016631128266453743,0.0,0.0,0.0673828125,-1.6869038518052548e-05,29138.109288656895,5929.85693359375,0.0,-1.6880296468734741,751.705078125,1773632878.6328034,0.0,0.0,328.381290575,2603008.0,2603008.0,,0.0,0.0,-1564.9124755859375,0.0
0.03320353850722313,0.0029296875,0.0,52.1494140625,-6.073430631658994e-05,28840.925025587592,6066.28271484375,0.0,-1.8617215156555176,779.46875,1773632901.7459946,0.0009765625,0.0,351.369637192,2856960.0,2856960.0,,0.0,0.0029296875,-1684.27001953125,0.0
0.042728669941425323,1.7998046875,0.0,42.921875,-1.628166501177475e-05,29101.52548136417,6939.07275390625,0.0,-2.015611410140991,847.638671875,1773632924.7344832,0.0078125,0.0,374.463401772,3110912.0,3110912.0,,0.0,1.7998046875,-1810.3267822265625,0.0
0.04725014418363571,8.4189453125,0.0,100.6865234375,-3.124849536106922e-05,28911.866110407493,6885.45654296875,0.0,-2.0099849700927734,918.140625,1773632947.8281841,0.0234375,0.0,397.3554262,3364864.0,3364864.0,,0.0,8.4189453125,-2032.688720703125,0.0
0.04350828006863594,1.7490234375,0.0,81.708984375,5.646534191328101e-05,29128.420608451604,7057.0771484375,0.0,-1.6879807710647583,928.1669921875,1773633020.6122842,0.0078125,0.0,447.246855634,3618816.0,3618816.0,"{'size': 3860565.0, '_type': 'html-file', 'sha256': '59ca384284d481e354316f13434e6d495c707eb8e56538866a7acb332eff299d', 'path': 'media/html/render_3618816_59ca384284d481e35431.html'}",0.0,1.7490234375,-2008.150634765625,0.0
0.04146189987659454,2.40625,0.0,67.8994140625,4.210502083878964e-05,28883.254383235893,6292.0283203125,0.0,-1.472985863685608,806.90234375,1773633020.815305,0.0068359375,0.0,470.368161427,3872768.0,3872768.0,,0.0,2.40625,-1719.571533203125,0.0
