training/actor_loss,eval/episode_reward_ctrl,_step,eval/episode_reward_near,eval/episode_success_hard,eval/episode_reward_dist,render,eval/episode_reward_survive,training/entropy,step,eval/episode_success_any,eval/episode_success,training/log_alpha,eval/episode_reward,_runtime,eval/episode_dist,eval/episode_success_easy,training/alpha_loss,training/critic_loss,_timestamp,training/sps
,,0.0,,,,"{'size': 3897909.0, '_type': 'html-file', 'sha256': '7395fe248110a962ede0fd45223ec909d455bb827499fb07a21350e1d5aaabc5', 'path': 'media/html/render_0_7395fe248110a962ede0.html'}",,,,,,,,65.936859605,,,,,1773603715.3362575,
,,1.0,,,,"{'sha256': 'd1dd640f0aed54991c198ce403136bfa7735ad6caf9b157707a7a8a64fd3c19f', 'path': 'media/html/render_1_d1dd640f0aed54991c19.html', 'size': 3870701.0, '_type': 'html-file'}",,,,,,,,161.074871472,,,,,1773603810.4743366,
-47.073768615722656,-1247.763916015625,1333248.0,0.0,0.0,0.0,,775.0751953125,0.0,1333248.0,0.0166015625,0.5859375,0.0,0.5859375,184.140156043,6311.658203125,12.2978515625,2.2597644329071045,3.737764596939087,1773603810.6599529,8945.757958395123
-28.02288055419922,-1199.688232421875,1587200.0,0.0,0.0,0.0,,618.787109375,0.0,1587200.0,0.0205078125,0.5234375,0.0,0.5234375,207.255980294,5083.0126953125,9.5859375,0.03291746601462364,1.0558464527130127,1773603833.5389462,29112.340429262975
-12.844864845275879,-1460.0418701171875,1841152.0,0.0,0.0,0.0,,688.1806640625,0.0,1841152.0,0.0146484375,1.025390625,0.0,1.025390625,230.198793293,5324.1181640625,15.9228515625,0.0002824077382683754,0.18790726363658905,1773603856.6546392,29098.467065696826
-5.830068588256836,-1451.806640625,2095104.0,0.0,0.0,0.0,,745.900390625,0.0,2095104.0,0.017578125,0.6513671875,0.0,0.6513671875,253.313581394,6234.27099609375,25.7099609375,0.00011560705752344802,0.0347207635641098,1773603879.597562,29181.07790127178
-2.605875015258789,-1440.37451171875,2349056.0,0.0,0.0,0.0,"{'path': 'media/html/render_2349056_fdb6208dbe08e85b5e22.html', 'size': 3870053.0, '_type': 'html-file', 'sha256': 'fdb6208dbe08e85b5e227473b32710521bdf83ea133dc1d40bb61a58c5d76d8f'}",741.8974609375,0.0,2349056.0,0.0126953125,0.1533203125,0.0,0.1533203125,303.057090305,6147.8818359375,6.2197265625,4.0346050809603184e-05,0.008678105659782887,1773603952.456582,29152.595754892558
-1.2842603921890259,-912.163818359375,2603008.0,0.0,0.0,0.0,,514.1162109375,0.0,2603008.0,0.009765625,0.56640625,0.0,0.56640625,326.304762344,4374.83056640625,5.8818359375,8.280007932626177e-06,0.006896079517900944,1773603952.643206,29343.611703560928
-1.0172206163406372,-1081.896728515625,2856960.0,0.0,0.0,0.0,,613.068359375,0.0,2856960.0,0.015625,1.529296875,0.0,1.529296875,349.220457676,4965.6435546875,29.205078125,-2.6066356440423988e-05,0.010545261204242706,1773603975.7033966,29001.980740911007
-1.154208779335022,-1350.51806640625,3110912.0,0.0,0.0,0.0,,700.3466796875,0.0,3110912.0,0.009765625,0.443359375,0.0,0.443359375,372.244206073,5455.7138671875,11.8857421875,1.18797743198229e-05,0.01641724817454815,1773603998.6191132,29316.430066573485
