training/actor_loss,_runtime,_timestamp,eval/episode_reward_survive,_step,render,training/alpha_loss,training/sps,eval/episode_reward,eval/episode_reward_ctrl,training/entropy,eval/episode_success_hard,step,eval/episode_success_any,eval/episode_reward_dist,eval/episode_success_easy,training/log_alpha,training/critic_loss,eval/episode_reward_near,eval/episode_success,eval/episode_dist
,66.365524599,1773597930.802387,,0.0,"{'sha256': 'e5202e561af2f5737da8ff4e4caa5b9f940ae1d8ada5d05cb650eac09b2bce53', 'path': 'media/html/render_0_e5202e561af2f5737da8.html', 'size': 3898209.0, '_type': 'html-file'}",,,,,,,,,,,,,,,
,161.691924409,1773598026.1288815,,1.0,"{'path': 'media/html/render_1_5d425a7267d1fa0e052a.html', 'size': 3876589.0, '_type': 'html-file', 'sha256': '5d425a7267d1fa0e052ac60b67b609273da2f2a887aba4667fc46f926f3b6ba6'}",,,,,,,,,,,,,,,
-48.34830093383789,184.802067173,1773598026.3249342,866.3271484375,1333248.0,,2.2577428817749023,8911.757338519834,1.146484375,-1333.233642578125,0.0,0.0,1333248.0,0.03125,0.0,19.7314453125,0.0,2.3362388610839844,0.0,1.146484375,6853.32421875
-31.267080307006836,207.957084176,1773598049.2383692,897.8525390625,1587200.0,,0.03604388236999512,29003.59254004362,0.26953125,-1937.117919921875,0.0,0.0,1587200.0,0.00390625,0.0,2.4658203125,0.0,0.7186784744262695,0.0,0.26953125,7095.94775390625
-14.718342781066895,230.930204509,1773598072.3927283,933.0205078125,1841152.0,,0.00020120921544730663,28985.18084494802,0.921875,-1873.93603515625,0.0,0.0,1841152.0,0.0146484375,0.0,12.9521484375,0.0,0.12364000827074051,0.0,0.921875,7340.1142578125
-6.979366779327393,254.07840765,1773598095.3665557,838.6826171875,2095104.0,,0.00014072877820581198,29098.603794233746,0.0673828125,-1747.406494140625,0.0,0.0,2095104.0,0.00390625,0.0,5.7265625,0.0,0.024189205840229988,0.0,0.0673828125,6761.04638671875
-3.2649667263031006,304.057304596,1773598168.494327,778.5390625,2349056.0,"{'path': 'media/html/render_2349056_29524bbb51b0a5cfcf04.html', 'size': 3878757.0, '_type': 'html-file', 'sha256': '29524bbb51b0a5cfcf04161c593c5dae8051af7caa9f258936104bdc9974388f'}",5.001053068554029e-05,29052.85803511054,1.76953125,-1443.69384765625,0.0,0.0,2349056.0,0.005859375,0.0,15.2197265625,0.0,0.006500507704913616,0.0,1.76953125,6293.6591796875
-1.678338646888733,327.320933231,1773598168.6777825,817.4169921875,2603008.0,,3.9856545299699064e-06,29264.58446487557,0.0,-1625.180908203125,0.0,0.0,2603008.0,0.0,0.0,0.728515625,0.0,0.00507074361667037,0.0,0.0,6587.451171875
-1.104219675064087,350.268066358,1773598191.757235,769.5341796875,2856960.0,,-1.6295650766551262e-06,28929.63394478237,0.0,-1556.4420166015625,0.0,0.0,2856960.0,0.0,0.0,1.0986328125,0.0,0.007433746941387653,0.0,0.0,6348.7626953125
-1.0944523811340332,373.311794656,1773598214.704472,821.0029296875,3110912.0,,-1.96553191926796e-05,29226.413865096994,0.0,-1671.091552734375,0.0,0.0,3110912.0,0.0,0.0,5.55078125,0.0,0.010043242946267128,0.0,0.0,6553.2724609375
