eval/episode_dist,eval/episode_reward_near,training/sps,step,eval/episode_reward_dist,training/alpha_loss,eval/episode_reward_ctrl,eval/episode_success_hard,eval/episode_success_any,eval/episode_reward_survive,training/log_alpha,render,eval/episode_success,_runtime,training/critic_loss,_timestamp,_step,training/actor_loss,eval/episode_success_easy,training/entropy,eval/episode_reward
,,,,,,,,,,,"{'sha256': 'a42c4383b94ba708679e1116fe37f56b7e6d341c76733e7fb0a19f0575085dc9', 'path': 'media/html/render_0_a42c4383b94ba708679e.html', 'size': 3854765.0, '_type': 'html-file'}",,65.541567323,,1773592152.5535815,0.0,,,,
,,,,,,,,,,,"{'path': 'media/html/render_1_954f0cc4cf68131792f5.html', 'size': 3876729.0, '_type': 'html-file', 'sha256': '954f0cc4cf68131792f5d8ca6178672995e3a676b383dec5e762ebd8c7f7ba73'}",,160.67397223,,1773592247.6860702,1.0,,,,
6633.8662109375,0.0,8983.772529579323,1333248.0,0.0,2.105295181274414,-1381.34228515625,0.0,0.029296875,839.6318359375,0.0,,1.2783203125,183.752003755,0.26199495792388916,1773592247.8820283,1333248.0,-31.496179580688477,17.5263671875,0.0,1.2783203125
4866.8896484375,0.0,29102.86051001706,1587200.0,0.0,0.04214678332209587,-1320.5615234375,0.0,0.0205078125,610.6513671875,0.0,,0.58984375,206.883528551,0.0579245388507843,1773592270.7632966,1587200.0,-19.244781494140625,9.9189453125,0.0,0.58984375
6250.57275390625,0.0,29056.93808718528,1841152.0,0.0,0.000163603326654993,-1408.5693359375,0.0,0.00390625,700.30859375,0.0,,0.169921875,229.830769435,0.015107279643416405,1773592293.8942378,1841152.0,-8.487791061401367,8.146484375,0.0,0.169921875
7058.384765625,0.0,29161.043067648134,2095104.0,0.0,5.471827898873016e-05,-1810.19091796875,0.0,0.0068359375,862.7353515625,0.0,,0.6064453125,252.956683975,0.00472518103197217,1773592316.8421342,2095104.0,-3.793405532836914,24.0234375,0.0,0.6064453125
5759.52099609375,0.0,29133.32350713008,2349056.0,0.0,1.8521008314564824e-05,-1578.5693359375,0.0,0.0009765625,708.5244140625,0.0,"{'path': 'media/html/render_2349056_9da4e0f384a534438de7.html', 'size': 3853561.0, '_type': 'html-file', 'sha256': '9da4e0f384a534438de7e5a5469a3b1a90b6f6ba7fbf5bcafd4c679265f55194'}",0.0595703125,302.658619574,0.003635099157691002,1773592389.670717,2349056.0,-1.7698302268981934,14.9794921875,0.0,0.0595703125
6033.66455078125,0.0,29315.3295193244,2603008.0,0.0,-1.9481669369270094e-05,-1789.8641357421875,0.0,0.001953125,786.0888671875,0.0,,0.060546875,325.904910797,0.004375355783849955,1773592389.855919,2603008.0,-1.0477434396743774,2.578125,0.0,0.060546875
6123.39208984375,0.0,28976.005831589355,2856960.0,0.0,8.003367838682607e-06,-1738.16748046875,0.0,0.001953125,750.8427734375,0.0,,1.0205078125,348.832798081,0.005521869752556086,1773592412.9161916,2856960.0,-0.8407106995582581,14.7578125,0.0,1.0205078125
5914.5751953125,0.0,29294.69907311313,3110912.0,0.0,-4.090678885404486e-06,-1560.57470703125,0.0,0.001953125,731.732421875,0.0,,0.0126953125,371.85438475,0.006355721037834883,1773592435.8440053,3110912.0,-0.7726576924324036,12.64453125,0.0,0.0126953125
4828.923828125,0.0,29118.011605085067,3364864.0,0.0,-1.4849980516373762e-06,-1384.755126953125,0.0,0.001953125,621.6220703125,0.0,,0.7255859375,394.687224205,0.008465164341032505,1773592458.8658342,3364864.0,-0.7877386212348938,32.841796875,0.0,0.7255859375
6392.44140625,0.0,29310.035299329735,3618816.0,0.0,-1.0856134622372338e-06,-1795.900634765625,0.0,0.00390625,813.3505859375,0.0,"{'path': 'media/html/render_3618816_07769333b39413b52f94.html', 'size': 3855637.0, '_type': 'html-file', 'sha256': '07769333b39413b52f94e802e0cea00d8b0e932d7fc5e50cd913aa1151b3d728'}",0.9423828125,444.370015879,0.011545883491635323,1773592531.3821023,3618816.0,-0.8341078162193298,45.42578125,0.0,0.9423828125
5946.775390625,0.0,29120.83846781711,3872768.0,0.0,1.6535936083528213e-05,-1550.4468994140625,0.0,0.0029296875,767.3818359375,0.0,,0.146484375,467.422395004,0.013935646042227745,1773592531.5812092,3872768.0,-0.8826419115066528,2.314453125,0.0,0.146484375
7006.89013671875,0.0,29211.99656417177,4126720.0,0.0,1.3718125046580099e-05,-1650.48046875,0.0,0.01953125,867.99609375,0.0,,3.021484375,490.443889589,0.01261070091277361,1773592554.4337893,4126720.0,-0.8805449604988098,47.8369140625,0.0,3.021484375
5612.49609375,0.0,29109.509647346902,4380672.0,0.0,-4.859136311097245e-07,-1437.496337890625,0.0,0.0341796875,718.76171875,0.0,,7.2578125,513.26989254,0.01415286771953106,1773592577.4553332,4380672.0,-0.8807657957077026,82.013671875,0.0,7.2578125
6950.7001953125,0.0,29287.80320742877,4634624.0,0.0,3.0415995411203767e-07,-1747.650634765625,0.0,0.0380859375,881.62109375,0.0,,2.0751953125,536.289379509,0.018351495265960693,1773592600.2810183,4634624.0,-0.9167616963386536,53.5859375,0.0,2.0751953125
