eval/episode_reward_survive,eval/episode_reward_ctrl,eval/episode_success,training/entropy,step,_step,training/critic_loss,eval/episode_dist,_timestamp,render,eval/episode_success_easy,eval/episode_reward,training/sps,training/log_alpha,training/actor_loss,eval/episode_success_hard,eval/episode_reward_near,eval/episode_reward_dist,_runtime,eval/episode_success_any,training/alpha_loss
,,,,,0.0,,,1774854569.9043236,"{'path': 'media/html/render_0_6e432a4ddae0f584a6d8.html', 'size': 3729957.0, '_type': 'html-file', 'sha256': '6e432a4ddae0f584a6d81b5f2cdf9c06c6b9ab27f788989406d9b122fdc588f8'}",,,,,,,,,111.891624488,,
640.33203125,-2073.1513671875,1.5087890625,4.902125358581543,1333248.0,1333248.0,3.9084668159484863,5400.302734375,1774854570.080579,,26.4951171875,1.5087890625,10218.920514429035,-1.8921843767166138,2.4652059078216553,0.0,0.0,0.0,135.492077273,0.0068359375,2.3121941089630127
621.615234375,-2338.88671875,1.810546875,-2.193549871444702,1587200.0,1587200.0,3.9318342208862305,4964.197265625,1774854593.5042384,,18.626953125,1.810546875,27622.461421021475,-4.704684734344482,3.575252056121826,0.0,0.0,0.0,158.955527658,0.0166015625,0.029592126607894897
612.353515625,-2303.9033203125,0.39453125,-4.009395122528076,1841152.0,1841152.0,3.973407506942749,4723.447265625,1774854616.967688,,16.7001953125,0.39453125,27786.99532337207,-5.105388641357422,3.6300160884857178,0.0,0.0,0.0,182.315101966,0.0087890625,-5.573118323809467e-05
883.6044921875,-3174.29833984375,5.0224609375,-4.00398063659668,2095104.0,2095104.0,4.008110046386719,7050.14794921875,1774854640.3272822,,37.490234375,5.0224609375,27868.787586474133,-5.003565788269043,3.646432399749756,0.0,0.0,0.0,205.648592941,0.013671875,-2.4401080736424774e-05
503.0322265625,-1851.7596435546875,3.07421875,-4.000396251678467,2349056.0,2349056.0,4.041964054107666,4566.806640625,1774854713.798683,"{'path': 'media/html/render_2349056_71c2118949ecb86a2598.html', 'size': 3646897.0, '_type': 'html-file', 'sha256': '71c2118949ecb86a259877ea46bec17942a3b3ae8ecf3949b938f27e8bc57e5d'}",23.375,3.07421875,27832.153803477933,-4.987467288970947,3.6977083683013916,0.0,0.0,0.0,255.785883059,0.01953125,-9.555070619171602e-07
760.783203125,-2756.37109375,4.6884765625,-4.003087997436523,2603008.0,2603008.0,4.0467095375061035,6248.17041015625,1774854713.9848576,,36.271484375,4.6884765625,27882.550768860987,-4.9707136154174805,3.7211198806762695,0.0,0.0,0.0,279.205118805,0.02734375,-1.9869676179951057e-05
600.6640625,-1985.81640625,26.1650390625,-4.002685070037842,2856960.0,2856960.0,4.059975624084473,4448.12353515625,1774854737.2172894,,82.1484375,26.1650390625,27817.014210273584,-4.939115524291992,3.743429660797119,0.0,0.0,0.0,302.633510293,0.0712890625,-1.8136008293367922e-05
730.3203125,-2474.400390625,27.36328125,-3.9978346824645996,3110912.0,3110912.0,4.047222137451172,5732.2880859375,1774854760.6456213,,77.4013671875,27.36328125,27897.11443561211,-4.9404683113098145,3.7372331619262695,0.0,0.0,0.0,326.032997453,0.07421875,1.6845247955643572e-05
773.490234375,-2536.51220703125,15.97265625,-3.9979357719421387,3364864.0,3364864.0,4.042334079742432,5741.361328125,1774854784.0452547,,90.365234375,15.97265625,27828.153064263104,-4.954916954040527,3.734945774078369,0.0,0.0,0.0,349.288132409,0.033203125,1.5567386071779765e-05
786.0068359375,-2482.77294921875,36.357421875,-3.999878406524658,3618816.0,3618816.0,4.02952241897583,5953.28515625,1774854856.740163,"{'sha256': '06bd256842bfecaf743665761d52d9b19f7520600bdb970428f1ff8cfedef3ee', 'path': 'media/html/render_3618816_06bd256842bfecaf7436.html', 'size': 3727445.0, '_type': 'html-file'}",96.8505859375,36.357421875,27891.518809662317,-4.967566967010498,3.7355024814605713,0.0,0.0,0.0,398.727382386,0.087890625,1.9609867649705848e-06
867.2900390625,-2814.947265625,35.736328125,-4.00061559677124,3872768.0,3872768.0,4.0054779052734375,6489.8544921875,1774854856.9275632,,87.896484375,35.736328125,27804.360015795846,-4.962409496307373,3.7118353843688965,0.0,0.0,0.0,422.275520814,0.087890625,-3.1692934499005787e-06
891.3525390625,-2730.3203125,19.3857421875,-4.002407550811768,4126720.0,4126720.0,3.990445375442505,6590.15869140625,1774854880.287635,,64.2275390625,19.3857421875,27585.252416667383,-4.964725494384766,3.7010304927825928,0.0,0.0,0.0,445.618834576,0.0498046875,-1.6051706552389078e-05
888.0576171875,-2745.279296875,45.58984375,-3.9957780838012695,4380672.0,4380672.0,3.9496328830718994,6594.796875,1774854903.6310945,,107.12109375,45.58984375,27904.949160712626,-4.972411632537842,3.669102191925049,0.0,0.0,0.0,468.884577837,0.0869140625,3.060753442696296e-05
798.650390625,-2616.9013671875,28.818359375,-4.002575397491455,4634624.0,4634624.0,3.933549642562866,5994.55126953125,1774854926.896647,,97.5498046875,28.818359375,27866.303549645127,-4.959109306335449,3.6484508514404297,0.0,0.0,0.0,492.379612601,0.091796875,-1.6903670257306658e-05
800.1083984375,-2470.47314453125,20.796875,-4.001883506774902,4888576.0,4888576.0,3.90695858001709,5620.203125,1774855000.2427099,"{'path': 'media/html/render_4888576_9b5603892401f6e2937d.html', 'size': 3719281.0, '_type': 'html-file', 'sha256': '9b5603892401f6e2937dae01aa0d555926666508d8496dff7fe7f1d95fa96fc6'}",73.9453125,20.796875,27816.465746596117,-4.946413993835449,3.623887062072754,0.0,0.0,0.0,542.229929685,0.0576171875,-1.254663038707804e-05
874.244140625,-2657.35791015625,23.9248046875,-4.00031042098999,5142528.0,5142528.0,3.8878800868988037,6533.84619140625,1774855000.44497,,97.9443359375,23.9248046875,27990.416223780398,-4.936334133148193,3.602529287338257,0.0,0.0,0.0,565.684043238,0.0771484375,-1.247867771780875e-06
802.0810546875,-2483.168212890625,14.5947265625,-4.001163482666016,5396480.0,5396480.0,3.8550140857696533,5679.1435546875,1774855023.6962025,,132.1552734375,14.5947265625,27904.340934981206,-4.932013988494873,3.5797770023345947,0.0,0.0,0.0,589.069839031,0.037109375,-7.650421139260288e-06
834.4453125,-2555.887939453125,35.5244140625,-3.999521493911743,5650432.0,5650432.0,3.8688747882843018,5923.4189453125,1774855047.0820901,,123.3447265625,35.5244140625,27790.99366260017,-4.930474281311035,3.5840089321136475,0.0,0.0,0.0,612.399263168,0.1103515625,4.4446719584811945e-06
887.435546875,-2594.468505859375,35.515625,-4.000771999359131,5904384.0,5904384.0,3.8408641815185547,6290.9833984375,1774855070.4114501,,134.7939453125,35.515625,27735.021751910273,-4.926919460296631,3.5501906871795654,0.0,0.0,0.0,635.719094348,0.1259765625,-4.818160050490405e-06
792.42578125,-2139.24462890625,24.2880859375,-4.000319480895996,6158336.0,6158336.0,3.841980457305908,5736.50390625,1774855143.6374521,"{'path': 'media/html/render_6158336_c8e0828551c8c475d83b.html', 'size': 3733461.0, '_type': 'html-file', 'sha256': 'c8e0828551c8c475d83be3be2987f115ad3d010bbfa8ccee46887a136ba4a5a6'}",111.6845703125,24.2880859375,28003.594502255954,-4.914849281311035,3.5584206581115723,0.0,0.0,0.0,685.624673694,0.07421875,-1.4656798157375306e-06
838.12890625,-2341.782958984375,48.0888671875,-4.000927925109863,6412288.0,6412288.0,3.812356472015381,5966.6025390625,1774855143.8375802,,144.080078125,48.0888671875,27839.902597968106,-4.908280849456787,3.53267502784729,0.0,0.0,0.0,709.226859723,0.111328125,-6.1053610806993674e-06
772.443359375,-2302.26171875,34.68359375,-4.000287055969238,6666240.0,6666240.0,3.816615104675293,5711.49755859375,1774855167.2390172,,115.6416015625,34.68359375,27737.36181265128,-4.908531665802002,3.5413031578063965,0.0,0.0,0.0,732.56269461,0.111328125,-1.2333152881183196e-06
821.9638671875,-2402.85302734375,46.767578125,-3.9985523223876953,6920192.0,6920192.0,3.8167924880981445,5958.4482421875,1774855190.5749345,,120.7509765625,46.767578125,27770.125801014776,-4.910131454467773,3.5462746620178223,0.0,0.0,0.0,756.172015252,0.13671875,1.1716149856511038e-05
840.2109375,-2271.219482421875,23.31640625,-4.0006279945373535,7174144.0,7174144.0,3.82022762298584,6357.5107421875,1774855214.184175,,103.7353515625,23.31640625,27758.238314874783,-4.911921977996826,3.5514943599700928,0.0,0.0,0.0,779.599450742,0.0654296875,-3.821962764050113e-06
719.90234375,-1863.928466796875,63.3828125,-3.998532295227051,7428096.0,7428096.0,3.824960231781006,4859.82958984375,1774855287.7357888,"{'_type': 'html-file', 'sha256': 'd378c0c8af1b2ddbf81bf94b457c47f5013a292bc7a40df51d6a79d082412b31', 'path': 'media/html/render_7428096_d378c0c8af1b2ddbf81b.html', 'size': 3720293.0}",146.029296875,63.3828125,27852.58990077838,-4.910211086273193,3.561739444732666,0.0,0.0,0.0,829.723006398,0.1181640625,1.1861944585689344e-05
888.5,-2610.23779296875,41.2919921875,-4.000189304351807,7682048.0,7682048.0,3.817688226699829,6146.466796875,1774855287.933753,,150.673828125,41.2919921875,27775.52433971543,-4.902071952819824,3.5485739707946777,0.0,0.0,0.0,853.338422529,0.1279296875,-5.399498945735104e-07
837.4296875,-2611.8994140625,60.8212890625,-4.002265453338623,7936000.0,7936000.0,3.8067760467529297,6029.9716796875,1774855311.3506129,,142.765625,60.8212890625,27896.827294679886,-4.886880874633789,3.5354549884796143,0.0,0.0,0.0,876.702130363,0.1416015625,-1.62990309036104e-05
871.685546875,-2564.955322265625,50.0859375,-3.999746561050415,8189952.0,8189952.0,3.808105945587158,6485.166015625,1774855334.7142563,,140.166015625,50.0859375,27814.351276497975,-4.8893022537231445,3.54067063331604,0.0,0.0,0.0,900.044477688,0.1162109375,2.843928996298928e-06
862.79296875,-2665.645751953125,67.310546875,-3.9993791580200195,8443904.0,8443904.0,3.7984747886657715,6416.49951171875,1774855358.0566852,,103.8857421875,67.310546875,27733.20775430726,-4.879813194274902,3.5291874408721924,0.0,0.0,0.0,923.453315955,0.1474609375,5.555623374675633e-06
866.6357421875,-2542.4599609375,45.6875,-4.00343656539917,8697856.0,8697856.0,3.8070883750915527,6668.103515625,1774855431.2399147,"{'path': 'media/html/render_8697856_6b093c3f58cbfb035e8e.html', 'size': 3822113.0, '_type': 'html-file', 'sha256': '6b093c3f58cbfb035e8e956cc4ee4cd99f2ea416d93f85054b1eab5716e24c8b'}",114.068359375,45.6875,27779.530245703725,-4.859530448913574,3.540087938308716,0.0,0.0,0.0,973.227165814,0.1171875,-2.5744444428710267e-05
915.4677734375,-2542.532470703125,59.4755859375,-3.9979474544525146,8951808.0,8951808.0,3.787398099899292,6990.04296875,1774855431.436026,,122.2802734375,59.4755859375,27761.075738877516,-4.877365589141846,3.527118682861328,0.0,0.0,0.0,996.847434,0.115234375,1.6960668290266767e-05
