eval/episode_reward_ctrl,training/actor_loss,training/alpha_loss,eval/episode_success_hard,_timestamp,eval/episode_reward_survive,eval/episode_reward_near,step,training/entropy,eval/episode_dist,training/log_alpha,eval/episode_success_easy,training/critic_loss,eval/episode_success,_runtime,training/sps,_step,render,eval/episode_reward,eval/episode_reward_dist,eval/episode_success_any
-2188.448974609375,3.1532418727874756,-1.4497662050416693e-05,0.0,1774878971.9288118,884.6416015625,0.0,9967616.0,-4.001479148864746,5995.5107421875,-4.553886890411377,194.5390625,3.3743844032287598,131.4169921875,1116.739688842,27728.612441191835,9967616.0,"{'sha256': 'a0924a3a31d43a05127d9f1f352b6fe4cc2fb8cb2c0660220368d831eacbc3eb', 'path': 'media/html/render_9967616_a0924a3a31d43a05127d.html', 'size': 3727177.0, '_type': 'html-file'}",131.4169921875,0.0,0.2275390625
-2129.91259765625,3.16723895072937,8.524219083483331e-06,0.0,1774878972.1684895,871.3798828125,0.0,10221568.0,-3.999290943145752,5884.36328125,-4.547868251800537,192.9130859375,3.387960195541382,132.0615234375,1140.4010162,27832.669431332655,10221568.0,,132.0615234375,0.0,0.2353515625
-1899.7427978515625,3.166295051574707,1.4127788745099679e-05,0.0,1774878995.589484,838.1787109375,0.0,10475520.0,-3.9987401962280273,5534.5498046875,-4.551883220672607,199.474609375,3.386178970336914,142.4345703125,1163.636487124,27658.282773273684,10475520.0,,142.4345703125,0.0,0.2294921875
-1965.769775390625,3.1860170364379883,-4.390640970086679e-05,0.0,1774879018.8250396,805.40625,0.0,10729472.0,-4.004242420196533,5461.580078125,-4.548300266265869,154.86328125,3.408656358718872,93.3466796875,1187.139334499,27895.812485160364,10729472.0,,93.3466796875,0.0,0.1669921875
-2095.51318359375,3.171264886856079,1.097676249628421e-05,0.0,1774879042.3278253,838.578125,0.0,10983424.0,-3.9990932941436768,6100.0087890625,-4.545503616333008,142.2470703125,3.3953840732574463,85.533203125,1210.706154311,27571.378576009094,10983424.0,,85.533203125,0.0,0.1455078125
-1965.3223876953125,3.175441026687622,4.079691734659718e-06,0.0,1774879116.4223113,829.4033203125,0.0,11237376.0,-3.9997293949127197,5518.0654296875,-4.5230207443237305,144.1572265625,3.3957698345184326,96.318359375,1261.233140491,27784.882432005936,11237376.0,"{'sha256': 'bec037e7aafe92555b0eaa32fc27c8e16a9c5502398d58728b8be72fe1ccff78', 'path': 'media/html/render_11237376_bec037e7aafe92555b0e.html', 'size': 3750329.0, '_type': 'html-file'}",96.318359375,0.0,0.1875
-1879.1688232421875,3.165379285812378,-3.0193288694135845e-05,0.0,1774879116.6310163,858.916015625,0.0,11491328.0,-4.002866744995117,5698.23486328125,-4.5175042152404785,170.8486328125,3.3766188621520996,103.8515625,1284.90639688,27643.80519704692,11491328.0,,103.8515625,0.0,0.1982421875
-1899.1085205078125,3.1927459239959717,4.655492739402689e-05,0.0,1774879140.0949636,834.3291015625,0.0,11745280.0,-3.9958417415618896,5836.0712890625,-4.525206089019775,130.30078125,3.404597043991089,77.421875,1308.446600189,27595.234788437167,11745280.0,,77.421875,0.0,0.158203125
-1755.78955078125,3.169517993927002,-4.359750164439902e-05,0.0,1774879163.6350272,780.708984375,0.0,11999232.0,-4.004114627838135,5301.2314453125,-4.515478610992432,130.7294921875,3.3806192874908447,78.537109375,1331.667108622,27674.711768264795,11999232.0,,78.537109375,0.0,0.16796875
-1834.790771484375,3.172501564025879,2.415665949229151e-05,0.0,1774879186.8557227,813.59375,0.0,12253184.0,-3.9979238510131836,5094.42431640625,-4.513986587524414,186.306640625,3.384300470352173,123.818359375,1355.202841518,27771.39504734817,12253184.0,,123.818359375,0.0,0.197265625
-1937.5582275390625,3.1940627098083496,-2.6808678740053438e-05,0.0,1774879260.1271145,757.18359375,0.0,12507136.0,-4.002540588378906,4630.49853515625,-4.50525426864624,178.3876953125,3.4052860736846924,108.7587890625,1404.937996109,27647.36055733284,12507136.0,"{'sha256': '845f7bae33b3c51fe05e561ff7ef4d070e68eb66e63d7d0388bef929699c8075', 'path': 'media/html/render_12507136_845f7bae33b3c51fe05e.html', 'size': 3786281.0, '_type': 'html-file'}",108.7587890625,0.0,0.2119140625
