eval/episode_reward_ctrl,render,training/critic_loss,eval/episode_success,step,training/actor_loss,training/alpha_loss,eval/episode_success_easy,training/entropy,eval/episode_success_any,eval/episode_success_hard,_timestamp,eval/episode_dist,_step,training/log_alpha,eval/episode_reward_survive,_runtime,eval/episode_reward,eval/episode_reward_near,eval/episode_reward_dist,training/sps
,"{'_type': 'html-file', 'sha256': 'b2174b4aef008e2dc2fc65d4e6ad70e8efae4c90bad297dfea1658516675cb94', 'path': 'media/html/render_0_b2174b4aef008e2dc2fc.html', 'size': 3764361.0}",,,,,,,,,,1774872116.6982968,,0.0,,,111.728430715,,,,
-3281.1083984375,,3.798191785812378,0.0,1333248.0,2.359954595565796,2.307708501815796,0.0,4.826992988586426,0.0,0.0,1774872116.8787694,7106.05078125,1333248.0,-1.8904467821121216,923.3662109375,135.341041081,0.0,0.0,0.0,10172.371704172694
-3710.87744140625,,3.761079788208008,0.0,1587200.0,3.3607075214385986,0.025625403970479965,1.05859375,-2.582188129425049,0.0,0.0,1774872140.3103836,7585.806640625,1587200.0,-4.477283000946045,952.0908203125,158.794901973,0.0,0.0,0.0,27636.43907671132
-3385.078369140625,,3.7303695678710938,1.29296875,1841152.0,3.326323986053467,9.579654033586849e-06,13.9130859375,-3.999298334121704,0.0029296875,0.0,1774872163.7643018,7331.32421875,1841152.0,-4.577414035797119,910.6953125,182.158524486,1.29296875,0.0,0.0,27821.881592434278
-3298.35888671875,,3.7114222049713135,0.56640625,2095104.0,3.362879991531372,-8.330966920766514e-06,20.70703125,-4.0010600090026855,0.0009765625,0.0,1774872187.12785,7564.29833984375,2095104.0,-4.573834419250488,912.5654296875,205.482713143,0.56640625,0.0,0.0,27893.67716963073
-2708.79736328125,"{'sha256': '8873312d7eab2521990536ecc6138bad5b2f959a8658ce44b55b5c831a3a0e97', 'path': 'media/html/render_2349056_8873312d7eab25219905.html', 'size': 3724433.0, '_type': 'html-file'}",3.7126057147979736,1.01171875,2349056.0,3.3988797664642334,-2.759910557870171e-06,36.056640625,-4.0004472732543945,0.005859375,0.0,1774872260.5087235,6285.2421875,2349056.0,-4.5590715408325195,830.314453125,255.538783895,1.01171875,0.0,0.0,27874.97882609739
-3368.26025390625,,3.6972930431365967,0.0,2603008.0,3.4105777740478516,1.68203564498981e-06,0.0,-4.0000104904174805,0.0,0.0,1774872260.7089102,7794.291015625,2603008.0,-4.5851240158081055,963.7333984375,278.969484514,0.0,0.0,0.0,27910.994113821154
-2158.216064453125,,3.692455530166626,3.802734375,2856960.0,3.4259095191955566,2.629704431456048e-05,42.966796875,-3.997579336166382,0.0283203125,0.0,1774872283.9388623,4990.66455078125,2856960.0,-4.593238353729248,692.1728515625,302.402658304,3.802734375,0.0,0.0,27871.09266128206
-1687.108642578125,,3.6832327842712402,5.7958984375,3110912.0,3.432809829711914,6.183264486026019e-05,59.66015625,-3.993741750717163,0.017578125,0.0,1774872307.3719056,4266.1689453125,3110912.0,-4.63015604019165,660.0546875,325.79981265,5.7958984375,0.0,0.0,27922.54874150571
-2275.578125,,3.686429738998413,16.9404296875,3364864.0,3.452711582183838,1.4299329450295772e-05,115.89453125,-3.998588800430298,0.0537109375,0.0,1774872330.7691686,5532.6640625,3364864.0,-4.698548793792725,798.30859375,349.057430353,16.9404296875,0.0,0.0,27855.319166839374
-2308.093505859375,"{'path': 'media/html/render_3618816_d721d67ae4ee7f81e5f0.html', 'size': 3831357.0, '_type': 'html-file', 'sha256': 'd721d67ae4ee7f81e5f04ab70c8d428d34ddd6f88ed3ce60acb3f8512e68189f'}",3.673231601715088,10.9609375,3618816.0,3.4440510272979736,2.551651959947776e-05,71.5673828125,-3.9973011016845703,0.0390625,0.0,1774872403.7050388,5803.296875,3618816.0,-4.7089080810546875,807.96875,398.735197554,10.9609375,0.0,0.0,27914.017206839002
-1686.4171142578125,,3.6600565910339355,17.7392578125,3872768.0,3.4332144260406494,1.3612697330245283e-05,83.634765625,-3.9985761642456055,0.064453125,0.0,1774872403.8939471,3924.65380859375,3872768.0,-4.73732328414917,602.294921875,422.27968866,17.7392578125,0.0,0.0,27825.32008486636
-2540.21875,,3.6503119468688965,5.4599609375,4126720.0,3.4264729022979736,-3.0606656764575746e-06,14.3125,-4.000491142272949,0.009765625,0.0,1774872427.2490494,6702.3427734375,4126720.0,-4.7482428550720215,863.05078125,445.629350783,5.4599609375,0.0,0.0,27641.466548487053
-2110.52490234375,,3.6376307010650635,17.25,4380672.0,3.4055304527282715,2.2828357032267377e-05,97.478515625,-3.997471570968628,0.046875,0.0,1774872450.5986116,5433.1162109375,4380672.0,-4.755784511566162,790.4033203125,468.896491637,17.25,0.0,0.0,27931.869943738027
-2691.6201171875,,3.610774278640747,32.2763671875,4634624.0,3.381845235824585,-1.9522472939570434e-05,135.4208984375,-4.002405643463135,0.0771484375,0.0,1774872473.8656788,6634.958984375,4634624.0,-4.7534332275390625,918.0625,492.394564645,32.2763671875,0.0,0.0,27907.002118324115
-2517.035888671875,"{'sha256': '2348b84ac9d787bf2578bb17f49a586b9f0bdc21184fc1fabe399a7a297d88c2', 'path': 'media/html/render_4888576_2348b84ac9d787bf2578.html', 'size': 3739569.0, '_type': 'html-file'}",3.601759910583496,9.72265625,4888576.0,3.3758275508880615,-1.3283408407005481e-05,123.6865234375,-4.001624584197998,0.0380859375,0.0,1774872547.1709123,6696.224609375,4888576.0,-4.750824928283691,942.26953125,542.201011832,9.72265625,0.0,0.0,27829.677019763672
-2531.2060546875,,3.5857768058776855,17.275390625,5142528.0,3.3604912757873535,-7.084488515829435e-07,138.5263671875,-4.00020694732666,0.080078125,0.0,1774872547.3952706,6838.89404296875,5142528.0,-4.740334510803223,907.25390625,565.686234001,17.275390625,0.0,0.0,28022.465851286222
-2497.73095703125,,3.5826008319854736,28.140625,5396480.0,3.355314016342163,5.256770691630663e-06,202.62890625,-3.999537229537964,0.10546875,0.0,1774872570.6555097,5965.240234375,5396480.0,-4.73873233795166,871.1591796875,589.07835848,28.140625,0.0,0.0,27919.10813261221
-2390.21484375,,3.5883734226226807,42.162109375,5650432.0,3.3507847785949707,-8.724413191885105e-07,186.15234375,-4.000217437744141,0.1591796875,0.0,1774872594.047717,5644.98779296875,5650432.0,-4.724924564361572,865.609375,612.40257114,42.162109375,0.0,0.0,27829.577404978485
-1889.0704345703125,,3.578460454940796,59.9423828125,5904384.0,3.348409414291382,2.554074171712273e-06,173.76953125,-3.9998247623443604,0.1533203125,0.0,1774872617.371844,4640.81005859375,5904384.0,-4.724205493927002,715.6328125,635.727575037,59.9423828125,0.0,0.0,27761.145922191627
-2669.715576171875,"{'path': 'media/html/render_6158336_0aa47ca065415d796288.html', 'size': 3750437.0, '_type': 'html-file', 'sha256': '0aa47ca065415d796288f1fd97737dc179a8818b69d6e3c5567814e34578951a'}",3.5712623596191406,55.275390625,6158336.0,3.3297808170318604,-5.144459009898128e-06,164.5634765625,-4.00067663192749,0.142578125,0.0,1774872690.3806014,6779.2021484375,6158336.0,-4.724214553833008,937.662109375,685.410785189,55.275390625,0.0,0.0,28028.931347883827
-2460.94287109375,,3.5636534690856934,36.263671875,6412288.0,3.3229901790618896,1.3875073818780947e-05,144.1396484375,-3.998582124710083,0.1474609375,0.0,1774872690.5845494,6328.6533203125,6412288.0,-4.694982528686523,878.2548828125,709.017773945,36.263671875,0.0,0.0,27856.747018425853
-2091.568115234375,,3.5727906227111816,58.8642578125,6666240.0,3.3321056365966797,-1.4770313100598287e-05,196.181640625,-4.0017547607421875,0.1396484375,0.0,1774872713.9870958,5452.5087890625,6666240.0,-4.693975925445557,828.6220703125,732.355234544,58.8642578125,0.0,0.0,27770.724569626233
-2082.2998046875,,3.5654945373535156,72.3935546875,6920192.0,3.328486680984497,-1.6643545563965745e-07,174.2919921875,-4.000130653381348,0.17578125,0.0,1774872737.3244848,5000.3212890625,6920192.0,-4.701952934265137,788.681640625,755.97662974,72.3935546875,0.0,0.0,27795.307939264247
-2072.48583984375,,3.575862169265747,63.0029296875,7174144.0,3.3383994102478027,-5.68798850508756e-06,165.80078125,-4.0007219314575195,0.1435546875,0.0,1774872760.9458983,5304.0078125,7174144.0,-4.697285175323486,793.4208984375,779.403357801,63.0029296875,0.0,0.0,27776.0248337014
-2165.42578125,"{'sha256': '537f13262ba79b004298faa0c5b30c78e18e50f0a00f0ac77f7cdc9de2dd332e', 'path': 'media/html/render_7428096_537f13262ba79b004298.html', 'size': 3797605.0, '_type': 'html-file'}",3.5681135654449463,57.994140625,7428096.0,3.331388473510742,2.1806139557156712e-05,180.71484375,-3.9977164268493652,0.1416015625,0.0,1774872834.443956,5880.00732421875,7428096.0,-4.704339981079102,856.978515625,829.474155431,57.994140625,0.0,0.0,27881.99533869045
-2109.572509765625,,3.5762393474578857,60.388671875,7682048.0,3.3435451984405518,1.5264644389390014e-05,188.7333984375,-3.998389959335327,0.166015625,0.0,1774872834.6445146,5362.6416015625,7682048.0,-4.714339733123779,841.8525390625,853.110061042,60.388671875,0.0,0.0,27787.829695903358
-2174.642333984375,,3.5710065364837646,75.7490234375,7936000.0,3.3377773761749268,-1.6943955415626988e-05,155.2265625,-4.002011775970459,0.16015625,0.0,1774872858.0793214,5858.5439453125,7936000.0,-4.718402862548828,829.2744140625,876.491637177,75.7490234375,0.0,0.0,27872.75844458168
-1959.8209228515625,,3.5689198970794678,88.0283203125,8189952.0,3.334604263305664,-5.7185993682651315e-06,219.6142578125,-4.000734329223633,0.20703125,0.0,1774872881.46071,5106.0439453125,8189952.0,-4.695409297943115,820.0771484375,899.838603068,88.0283203125,0.0,0.0,27828.29774561535
-1878.765380859375,,3.571157455444336,63.4404296875,8443904.0,3.3381786346435547,-1.0965471119561698e-05,164.4755859375,-4.001300811767578,0.1494140625,0.0,1774872904.8079329,5244.765625,8443904.0,-4.699089527130127,775.8984375,923.256239975,63.4404296875,0.0,0.0,27757.193779606056
-1668.25,"{'path': 'media/html/render_8697856_c82293be8d76b8078afd.html', 'size': 3839897.0, '_type': 'html-file', 'sha256': 'c82293be8d76b8078afd2551debbd6ec17f8e74926c0aa0e26fbcdcbd5856b79'}",3.574028253555298,79.8837890625,8697856.0,3.337368965148926,1.966799572983291e-05,178.6689453125,-3.997966766357422,0.1904296875,0.0,1774872978.2410223,4241.64404296875,8697856.0,-4.694821834564209,660.6015625,973.271137525,79.8837890625,0.0,0.0,27797.639322857336
-1789.4879150390625,,3.5949814319610596,73.9013671875,8951808.0,3.359419345855713,-2.2998581698630005e-05,206.4169921875,-4.002613067626953,0.1875,0.0,1774872978.4381206,4191.9921875,8951808.0,-4.683470249176025,714.0439453125,996.907005576,73.9013671875,0.0,0.0,27790.89432455188
-1822.9951171875,,3.5877389907836914,83.5380859375,9205760.0,3.3546364307403564,4.134950813750038e-06,214.009765625,-3.9996755123138428,0.1904296875,0.0,1774873001.8762355,4769.33349609375,9205760.0,-4.674421310424805,779.431640625,1020.324448029,83.5380859375,0.0,0.0,27703.191407919127
-1617.6693115234375,,3.576655626296997,76.248046875,9459712.0,3.34261155128479,-1.157729002443375e-06,171.60546875,-4.000237464904785,0.1826171875,0.0,1774873025.2936714,4427.421875,9459712.0,-4.677124977111816,681.046875,1043.722510537,76.248046875,0.0,0.0,27767.811336155304
-1871.045166015625,,3.5787980556488037,57.24609375,9713664.0,3.336984872817993,-1.168367907666834e-05,186.0166015625,-4.001345634460449,0.1533203125,0.0,1774873048.6918054,4910.51611328125,9713664.0,-4.657142162322998,797.7197265625,1067.154053356,57.24609375,0.0,0.0,27801.518816817068
-1577.799560546875,"{'sha256': '2cc9c314005effb08b3551dfe485bbf94bf7e783e530e265b35c3566cd388c99', 'path': 'media/html/render_9967616_2cc9c314005effb08b35.html', 'size': 3829137.0, '_type': 'html-file'}",3.575018882751465,64.4599609375,9967616.0,3.3363964557647705,-2.7315887564327568e-05,179.857421875,-4.002915382385254,0.18359375,0.0,1774873121.5100827,3789.125244140625,9967616.0,-4.655526638031006,654.9287109375,1116.540281482,64.4599609375,0.0,0.0,27762.82246827957
-1861.20703125,,3.561358690261841,75.9755859375,10221568.0,3.3208158016204834,1.1151127182529308e-05,201.49609375,-3.998973846435547,0.185546875,0.0,1774873121.6991382,4486.7939453125,10221568.0,-4.633994102478027,744.478515625,1140.136737163,75.9755859375,0.0,0.0,27877.657030128572
-1845.040771484375,,3.587376356124878,109.1220703125,10475520.0,3.3435497283935547,-1.1796212675108109e-05,210.939453125,-4.001308917999268,0.21484375,0.0,1774873145.1060066,4656.7197265625,10475520.0,-4.639838695526123,779.56640625,1163.387600075,109.1220703125,0.0,0.0,27724.328223604985
-1596.7733154296875,,3.6228721141815186,89.7060546875,10729472.0,3.373885154724121,-2.431751227049972e-06,181.505859375,-4.00034761428833,0.1806640625,0.0,1774873168.3568347,4294.84521484375,10729472.0,-4.608275413513184,702.1240234375,1186.889600821,89.7060546875,0.0,0.0,27902.582200628207
-2089.033203125,,3.6265528202056885,98.5,10983424.0,3.373314619064331,1.1070703294535633e-05,224.5693359375,-3.9989988803863525,0.2060546875,0.0,1774873191.8589125,5416.4599609375,10983424.0,-4.600811958312988,846.3154296875,1210.469031594,98.5,0.0,0.0,27594.00947222959
-1554.59423828125,"{'path': 'media/html/render_11237376_e4a1da4cb83cb4f526a1.html', 'size': 3762013.0, '_type': 'html-file', 'sha256': 'e4a1da4cb83cb4f526a1280f378f92b9895ff216d7ed2984d88d47eda5b15e1d'}",3.6381454467773438,107.6005859375,11237376.0,3.374741315841675,-2.3633941964362748e-05,213.71875,-4.002457618713379,0.2138671875,0.0,1774873265.5191126,3198.40380859375,11237376.0,-4.594008445739746,629.33984375,1260.549209114,107.6005859375,0.0,0.0,27790.99076220913
-1881.8585205078125,,3.6266965866088867,94.5986328125,11491328.0,3.3699960708618164,-1.4707930859003682e-05,220.3466796875,-4.001539707183838,0.1943359375,0.0,1774873265.71927,5235.32275390625,11491328.0,-4.579626560211182,820.439453125,1284.224250321,94.5986328125,0.0,0.0,27671.5397155709
-2134.26611328125,,3.621640205383301,57.908203125,11745280.0,3.3580760955810547,7.83393898018403e-06,156.662109375,-3.999357223510742,0.119140625,0.0,1774873289.1935499,6128.814453125,11745280.0,-4.58032751083374,912.9970703125,1307.779364482,57.908203125,0.0,0.0,27605.80032583676
-1748.6513671875,,3.6211695671081543,99.044921875,11999232.0,3.356870412826538,-2.338290141778998e-05,216.32421875,-4.002340793609619,0.2119140625,0.0,1774873312.7486432,4564.3505859375,11999232.0,-4.563104152679443,774.861328125,1331.013416142,99.044921875,0.0,0.0,27670.069688446452
-2118.7919921875,,3.605640411376953,88.962890625,12253184.0,3.3398406505584717,2.4469154595863074e-05,223.857421875,-3.997776746749878,0.1865234375,0.0,1774873335.9825437,5855.265625,12253184.0,-4.574542045593262,918.6552734375,1354.563470562,88.962890625,0.0,0.0,27783.0169761849
-1713.681396484375,"{'sha256': 'f81e8c919b05f149f17f14e35e1358bf23173334ba073813a8d0576bfb325b20', 'path': 'media/html/render_12507136_f81e8c919b05f149f17f.html', 'size': 3841573.0, '_type': 'html-file'}",3.577902317047119,87.826171875,12507136.0,3.316218376159668,-3.173412551404908e-05,226.388671875,-4.003121852874756,0.1552734375,0.0,1774873408.9898257,4331.650390625,12507136.0,-4.548303127288818,767.7587890625,1404.019929266,87.826171875,0.0,0.0,27647.155318933113
