eval/episode_reward_dist,render,training/log_alpha,eval/episode_success_hard,training/sps,eval/episode_success,training/entropy,eval/episode_reward_near,training/actor_loss,eval/episode_reward,eval/episode_success_any,training/alpha_loss,eval/episode_reward_ctrl,training/critic_loss,step,_runtime,eval/episode_reward_survive,_timestamp,eval/episode_dist,eval/episode_success_easy,_step
,"{'path': 'media/html/render_0_b7e50fc3369656218ab0.html', 'size': 3714189.0, '_type': 'html-file', 'sha256': 'b7e50fc3369656218ab0b1de61e614c0fca26809d2964f973dcb963b39577bbe'}",,,,,,,,,,,,,,110.858528002,,1774822355.8599334,,,0.0
0.0,,-1.8781843185424805,0.0,10245.466271703994,0.0,4.3944501876831055,0.0,1.9722039699554443,0.0,0.0,2.2838146686553955,-2434.342041015625,3.450572967529297,1333248.0,134.470848476,663.8955078125,1774822356.0369155,5699.572265625,0.0771484375,1333248.0
0.0,,-4.409379959106445,0.0,27623.89200634735,0.0,-2.846250295639038,0.0,2.943181276321411,0.0,0.0,0.02201496809720993,-2526.291015625,3.4771392345428467,1587200.0,157.93141427,640.55859375,1774822379.4718363,6002.85546875,0.0,1587200.0
0.0,,-4.500382423400879,0.0,27797.01545445032,0.8388671875,-4.017391681671143,0.0,3.0061726570129395,0.8388671875,0.0009765625,-0.00018476782133802772,-3272.38916015625,3.427027463912964,1841152.0,181.297441078,916.45703125,1774822402.9321923,7532.48681640625,6.279296875,1841152.0
0.0,,-4.4365739822387695,0.0,27875.23341938181,13.0458984375,-3.999610185623169,0.0,3.047476053237915,13.0458984375,0.0322265625,6.984419542277465e-06,-3097.953857421875,3.3895986080169678,2095104.0,204.632972582,904.046875,1774822426.2984035,7146.38818359375,67.7744140625,2095104.0
0.0,"{'path': 'media/html/render_2349056_41ab2fcc64c316d7309f.html', 'size': 3737797.0, '_type': 'html-file', 'sha256': '41ab2fcc64c316d7309f0ce9a1504997f721727e065db913ca48d9c214b27c38'}",-4.461170196533203,0.0,27833.946583428642,3.888671875,-3.998486280441284,0.0,3.1190810203552246,3.888671875,0.0087890625,1.984582922887057e-05,-2417.619873046875,3.411592721939087,2349056.0,254.435679312,799.3701171875,1774822499.437162,5866.57080078125,58.0068359375,2349056.0
0.0,,-4.494603157043457,0.0,27889.598843938053,9.0498046875,-3.9956541061401367,0.0,3.1639420986175537,9.0498046875,0.0185546875,5.0933562306454405e-05,-2835.58837890625,3.419342279434204,2603008.0,277.847092044,846.0634765625,1774822499.6124213,6974.70703125,56.4521484375,2603008.0
0.0,,-4.515588760375977,0.0,27835.67848997742,21.609375,-3.997838020324707,0.0,3.194525957107544,21.609375,0.0537109375,2.522746035538148e-05,-2348.28271484375,3.441112518310547,2856960.0,301.289618243,756.880859375,1774822522.8479707,5535.6396484375,98.484375,2856960.0
0.0,,-4.546665668487549,0.0,27877.82849356873,33.328125,-3.999420642852783,0.0,3.2041327953338623,33.328125,0.0751953125,8.104477274173405e-06,-2631.36572265625,3.43170166015625,3110912.0,324.696778101,865.9873046875,1774822546.2904243,6393.22314453125,92.8369140625,3110912.0
0.0,,-4.60006856918335,0.0,27817.78718123436,66.228515625,-3.994380474090576,0.0,3.231545925140381,66.228515625,0.119140625,5.846701969858259e-05,-2484.767333984375,3.445488452911377,3364864.0,347.956529806,834.8466796875,1774822569.6976721,5670.92236328125,141.716796875,3364864.0
0.0,"{'path': 'media/html/render_3618816_1da64d4b99d6a7abccf2.html', 'size': 3689365.0, '_type': 'html-file', 'sha256': '1da64d4b99d6a7abccf2abd01c8dcd7189c4526d689987bc80f742eb48d6f8c3'}",-4.634830951690674,0.0,27881.204199101103,57.51171875,-4.000332355499268,0.0,3.216303586959839,57.51171875,0.08984375,-1.6527218349438044e-06,-2497.97412109375,3.4217309951782227,3618816.0,397.289880428,862.8955078125,1774822642.2913587,6157.00390625,106.115234375,3618816.0
0.0,,-4.658016204833984,0.0,27774.760233904708,33.373046875,-3.9972214698791504,0.0,3.2338266372680664,33.373046875,0.076171875,2.8090933483326808e-05,-2678.326904296875,3.4307949542999268,3872768.0,420.869597648,847.3310546875,1774822642.4962392,6158.5927734375,87.8447265625,3872768.0
0.0,,-4.660699844360352,0.0,27571.89671968655,43.857421875,-3.9994328022003174,0.0,3.228886365890503,43.857421875,0.1064453125,6.5414360506110825e-06,-2332.92041015625,3.4198315143585205,4126720.0,444.226897475,818.9501953125,1774822665.8704402,5204.412109375,141.3798828125,4126720.0
