training/alpha_loss,eval/episode_reward,training/critic_loss,eval/episode_success_hard,training/log_alpha,training/sps,_timestamp,eval/episode_reward_ctrl,training/entropy,eval/episode_reward_survive,training/actor_loss,eval/episode_success_any,_step,eval/episode_dist,render,eval/episode_success,step,eval/episode_reward_near,_runtime,eval/episode_success_easy,eval/episode_reward_dist
,,,,,,1774848715.799854,,,,,,0.0,,"{'path': 'media/html/render_0_4eda20cebccaa52d8e76.html', 'size': 3845161.0, '_type': 'html-file', 'sha256': '4eda20cebccaa52d8e7608c83b11ae3e31e6abfc694e8515275c8bb5540c797d'}",,,,111.483308502,,
2.3304147720336914,2.3857421875,3.8138158321380615,0.0,-1.9006726741790771,10214.275386195586,1774848715.9818017,-1496.1353759765625,5.258056640625,461.2294921875,2.4088032245635986,0.0048828125,1333248.0,3390.19140625,,2.3857421875,1333248.0,0.0,135.108710255,15.8916015625,0.0
0.036772068589925766,6.8857421875,3.8250012397766113,0.0,-4.856423377990723,27598.106200609673,1774848739.4247327,-3095.06298828125,-1.4703936576843262,809.5,3.572843074798584,0.03515625,1587200.0,6761.330078125,,6.8857421875,1587200.0,0.0,158.573165356,16.9755859375,0.0
-7.048573024803773e-05,3.5009765625,3.857205867767334,0.0,-5.215706825256348,27768.649624500165,1774848762.8892825,-2372.240234375,-4.0134477615356445,655.9072265625,3.5819098949432373,0.0224609375,1841152.0,5718.0234375,,3.5009765625,1841152.0,0.0,181.940714845,18.1103515625,0.0
-4.561996320262551e-05,13.4033203125,3.9158546924591064,0.0,-5.097670078277588,27858.058439650722,1774848786.25676,-2670.824462890625,-4.007852077484131,749.44921875,3.638753890991211,0.0361328125,2095104.0,6163.740234375,,13.4033203125,2095104.0,0.0,205.27814058,24.99609375,0.0
-7.06773698766483e-06,21.609375,3.97629714012146,0.0,-5.05857515335083,27824.03790969135,1774848859.5754027,-2328.0009765625,-4.001338481903076,753.2705078125,3.7015790939331055,0.046875,2349056.0,6144.349609375,"{'path': 'media/html/render_2349056_f1cb733a4d0bc8e46a10.html', 'size': 3784217.0, '_type': 'html-file', 'sha256': 'f1cb733a4d0bc8e46a10b2695aa8a37fe9cf63960197489bec8eaaa1120f695b'}",21.609375,2349056.0,0.0,255.25878463,49.3857421875,0.0
-1.8240607460029423e-05,18.8291015625,4.019822120666504,0.0,-5.035414218902588,27862.008020445966,1774848859.760533,-2138.933349609375,-4.002986907958984,692.21484375,3.7548015117645264,0.048828125,2603008.0,5648.96240234375,,18.8291015625,2603008.0,0.0,278.685750761,61.3779296875,0.0
-5.3191447477729525e-06,16.3525390625,4.025069713592529,0.0,-5.030196189880371,27797.924425533416,1774848883.0017412,-2470.02978515625,-4.000941276550293,866.4482421875,3.765017509460449,0.0400390625,2856960.0,6803.8232421875,,16.3525390625,2856960.0,0.0,302.125865795,65.7265625,0.0
-4.244419869792182e-06,48.7392578125,4.036752223968506,0.0,-5.010383129119873,27872.808041882905,1774848906.441826,-2276.74658203125,-4.0007829666137695,810.6630859375,3.787587881088257,0.091796875,3110912.0,6574.40087890625,,48.7392578125,3110912.0,0.0,325.530104925,98.04296875,0.0
4.469956706998346e-07,53.462890625,4.032692909240723,0.0,-4.998506546020508,27802.716186205485,1774848929.846092,-1920.9505615234375,-4.000081539154053,696.48828125,3.7844104766845703,0.1064453125,3364864.0,4954.75927734375,,53.462890625,3364864.0,0.0,348.789944318,122.0185546875,0.0
