_runtime,training/alpha_loss,eval/episode_reward_survive,eval/episode_reward,eval/episode_reward_dist,render,eval/episode_success,training/sps,eval/episode_reward_near,step,eval/episode_success_hard,eval/episode_dist,eval/episode_reward_ctrl,_timestamp,_step,training/actor_loss,training/log_alpha,eval/episode_success_easy,eval/episode_success_any,training/entropy,training/critic_loss
111.866969926,,,,,"{'size': 3772681.0, '_type': 'html-file', 'sha256': '1decd5199dee5c47896968a5ab8cc95fab24bfa908cf7a190b756b90965b0e20', 'path': 'media/html/render_0_1decd5199dee5c478969.html'}",,,,,,,,1774842864.780214,0.0,,,,,,
135.510072209,2.299741744995117,936.2685546875,0.0,0.0,,0.0,10197.248209819601,0.0,1333248.0,0.0,7591.955078125,-3506.88037109375,1774842864.9625535,1333248.0,2.5290613174438477,-1.886434555053711,0.0,0.0,4.688679218292236,4.020527362823486
158.992772761,0.02645277790725231,761.6064453125,0.0,0.0,,0.0,27536.596914081445,0.0,1587200.0,0.0,6563.0029296875,-2878.62109375,1774842888.4228597,1587200.0,3.5734362602233887,-4.5493645668029785,0.1171875,0.0,-2.5041751861572266,3.984156370162964
182.382016912,5.827669519931078e-05,826.4833984375,0.0,0.0,,0.0,27706.701521877265,0.0,1841152.0,0.0,6430.22265625,-3071.938720703125,1774842911.9054434,1841152.0,3.5546443462371826,-4.841985702514648,0.0,0.0,-3.992884635925293,3.971614122390747
205.73819398,-1.3602675608126447e-05,568.033203125,1.7109375,0.0,,1.7109375,27768.837124242793,0.0,2095104.0,0.0,4573.4658203125,-1907.781494140625,1774842935.2947037,2095104.0,3.627161741256714,-4.874038219451904,14.0947265625,0.0078125,-4.00200891494751,3.9851839542388916
256.114320578,-1.3097834198561031e-05,571.5205078125,3.2109375,0.0,"{'path': 'media/html/render_2349056_ae4ad668778de988edaa.html', 'size': 3769369.0, '_type': 'html-file', 'sha256': 'ae4ad668778de988edaadf5fd90fc8a6442f55ce07bd7dd57dc0185ec89087e5'}",3.2109375,27756.428512111623,0.0,2349056.0,0.0,4682.0361328125,-1686.068603515625,1774843009.0275488,2349056.0,3.7173590660095215,-4.873812198638916,25.0322265625,0.0234375,-4.001856327056885,4.036645412445068
279.56128995,5.989029523334466e-05,852.7041015625,0.2548828125,0.0,,0.2548828125,27785.69130888647,0.0,2603008.0,0.0,6674.63671875,-2938.681884765625,1774843009.2181923,2603008.0,3.7387704849243164,-4.880857944488525,6.828125,0.0029296875,-3.992356538772583,4.042952060699463
303.01692007,1.5847679605940357e-05,656.7607421875,0.890625,0.0,,0.890625,27746.632766106315,0.0,2856960.0,0.0,5326.41015625,-2119.245361328125,1774843032.4738925,2856960.0,3.7715299129486084,-4.931140899658203,17.75390625,0.0087890625,-3.9979562759399414,4.063518047332764
326.444051261,-1.601517215021886e-05,777.7919921875,6.654296875,0.0,,6.654296875,27806.2806033139,0.0,3110912.0,0.0,6114.1640625,-2414.96826171875,1774843055.9295087,3110912.0,3.768601655960083,-4.938820838928223,18.7568359375,0.015625,-4.002391338348389,4.05120325088501
349.725863597,1.4469151210505515e-05,680.98828125,0.5185546875,0.0,,0.5185546875,27729.83169319799,0.0,3364864.0,0.0,5224.455078125,-2151.75927734375,1774843079.356682,3364864.0,3.761334180831909,-4.947114944458008,6.126953125,0.005859375,-3.998166561126709,4.038148880004883
399.115899256,1.595532194187399e-05,849.01953125,7.513671875,0.0,"{'_type': 'html-file', 'sha256': '29c55582424886fbf2d3eaac9dc49bca6c9c7e1ae8dffcdd39228712c8b33b49', 'path': 'media/html/render_3618816_29c55582424886fbf2d3.html', 'size': 3820001.0}",7.513671875,27797.510194307422,0.0,3618816.0,0.0,6770.79248046875,-2798.690673828125,1774843152.029158,3618816.0,3.7595767974853516,-4.960944175720215,17.283203125,0.0185546875,-3.997882127761841,4.029716491699219
422.676617015,3.608440920288558e-06,850.423828125,9.3671875,0.0,,9.3671875,27694.02434157811,0.0,3872768.0,0.0,6532.21923828125,-2681.53662109375,1774843152.215409,3872768.0,3.761087656021118,-4.982211589813232,31.1796875,0.0244140625,-3.999643325805664,4.023514747619629
446.052223313,7.693861334701069e-06,888.8095703125,8.611328125,0.0,,8.611328125,27558.87908971074,0.0,4126720.0,0.0,6690.5185546875,-2783.463623046875,1774843175.5891457,4126720.0,3.754861831665039,-4.990224838256836,18.1513671875,0.021484375,-3.9990384578704834,4.010061740875244
469.344207213,-8.606803021393716e-06,847.6748046875,62.01953125,0.0,,62.01953125,27818.704050230543,0.0,4380672.0,0.0,6192.09521484375,-2515.028564453125,1774843198.9648714,4380672.0,3.721372127532959,-4.966211318969727,114.7646484375,0.1123046875,-4.001396179199219,3.9807610511779785
492.856597028,-1.0408720299892593e-05,734.888671875,73.4609375,0.0,,73.4609375,27787.730380472745,0.0,4634624.0,0.0,5050.9501953125,-2062.530029296875,1774843222.2567906,4634624.0,3.688952684402466,-4.937460422515869,128.830078125,0.119140625,-4.001603603363037,3.9459526538848877
542.520304174,-9.33925184654072e-06,899.49609375,26.8427734375,0.0,"{'path': 'media/html/render_4888576_c7e96461dd9005e48689.html', 'size': 3759605.0, '_type': 'html-file', 'sha256': 'c7e96461dd9005e486895dc3e41447a853a2cdda5d5f3d1dffc37a8b59c3f7a6'}",26.8427734375,27748.585145307214,0.0,4888576.0,0.0,6747.02490234375,-2627.70458984375,1774843295.4335744,4888576.0,3.6557016372680664,-4.93607759475708,124.98046875,0.060546875,-4.00142765045166,3.903573989868164
566.017457947,-1.545043232908938e-05,698.6064453125,63.65234375,0.0,,63.65234375,27886.26710030043,0.0,5142528.0,0.0,4432.419921875,-1915.523681640625,1774843295.6319497,5142528.0,3.6296188831329346,-4.915627479553223,152.8740234375,0.1318359375,-4.002223014831543,3.87166166305542
