training/alpha_loss,eval/episode_success_any,training/actor_loss,training/sps,_step,eval/episode_reward_dist,_timestamp,eval/episode_success,eval/episode_reward,eval/episode_success_easy,_runtime,render,eval/episode_success_hard,eval/episode_reward_survive,step,training/log_alpha,eval/episode_dist,eval/episode_reward_ctrl,training/entropy,training/critic_loss,eval/episode_reward_near
,,,,0.0,,1774883825.0642529,,,,111.887724553,"{'path': 'media/html/render_0_4737a0dbdc2b7c9ea390.html', 'size': 3735129.0, '_type': 'html-file', 'sha256': '4737a0dbdc2b7c9ea390f783cb9535ab1bddcb2d209bb01ad3ac0f9986085bad'}",,,,,,,,,
2.307300090789795,0.0,2.2744967937469482,10136.820804071203,1333248.0,0.0,1774883825.2422442,0.0,0.0,9.3642578125,135.525413975,,0.0,590.9736328125,1333248.0,-1.8924676179885864,4699.26708984375,-1953.4166259765625,4.882055282592773,3.747349500656128,0.0
0.03062724508345127,0.0087890625,3.3789358139038086,27534.0258305747,1587200.0,0.0,1774883848.7014117,1.0810546875,1.0810546875,21.2021484375,159.017621432,,0.0,803.6923828125,1587200.0,-4.716903209686279,6053.005859375,-3119.748779296875,-2.0813069343566895,3.7081410884857178,0.0
-2.5946468667825684e-05,0.001953125,3.404386281967163,27663.487751705088,1841152.0,0.0,1774883872.1935947,0.029296875,0.029296875,1.724609375,182.417077062,,0.0,862.51171875,1841152.0,-4.968024730682373,7025.13818359375,-3148.85546875,-4.004110336303711,3.7323429584503174,0.0
-5.171060820430284e-06,0.0,3.4830572605133057,27737.580671855798,2095104.0,0.0,1774883895.5930595,0.0,0.0,28.03515625,205.773639672,,0.0,916.6533203125,2095104.0,-4.945937156677246,7061.42578125,-3461.46630859375,-4.000983715057373,3.7786238193511963,0.0
4.046824687975459e-05,0.0126953125,3.5723438262939453,27738.34056627,2349056.0,0.0,1774883969.15044,2.3369140625,2.3369140625,19.3857421875,255.973823809,"{'sha256': 'd5c4aed235461fd6af4c09e8c5307ec4559e74ffb589e3b91749352e9ce19b8d', 'path': 'media/html/render_2349056_d5c4aed235461fd6af4c.html', 'size': 3677113.0, '_type': 'html-file'}",0.0,911.3173828125,2349056.0,-4.976240634918213,7146.8115234375,-2950.48486328125,-3.994267225265503,3.859778881072998,0.0
1.759459451022849e-06,0.0,3.6191816329956055,27767.11569660548,2603008.0,0.0,1774883969.3550227,0.0,0.0,2.15234375,279.442612563,,0.0,978.8916015625,2603008.0,-5.01663064956665,7697.2763671875,-3568.6533203125,-3.9999423027038574,3.891366958618164,0.0
2.0645948097808287e-05,0.0166015625,3.6663401126861572,27713.398498527862,2856960.0,0.0,1774883992.6186273,6.2021484375,6.2021484375,15.7734375,302.921943834,,0.0,847.3447265625,2856960.0,-5.040494441986084,6753.8251953125,-2844.69189453125,-3.9970014095306396,3.9321212768554688,0.0
1.3531768672692124e-05,0.041015625,3.6837213039398193,27745.560194877864,3110912.0,0.0,1774884016.0979168,11.32421875,11.32421875,34.3544921875,326.356572634,,0.0,671.388671875,3110912.0,-5.062994956970215,5545.69677734375,-2126.77734375,-3.998037576675415,3.9431333541870117,0.0
-1.0448057764733676e-05,0.0615234375,3.7192065715789795,27719.611774871504,3364864.0,0.0,1774884039.5326443,16.4345703125,16.4345703125,59.5986328125,349.656373354,,0.0,574.3046875,3364864.0,-5.051568984985352,4642.72802734375,-1762.084228515625,-4.001835823059082,3.9731781482696533,0.0
-2.5038498279172927e-05,0.0576171875,3.716172218322754,27765.584833258334,3618816.0,0.0,1774884112.7166433,19.5986328125,19.5986328125,57.40625,399.540041101,"{'path': 'media/html/render_3618816_af0e5e23ce47fd4e75e0.html', 'size': 3773633.0, '_type': 'html-file', 'sha256': 'af0e5e23ce47fd4e75e04fdb11210a058ee2071ed8b768624d5d2a3c77284879'}",0.0,609.466796875,3618816.0,-5.034522533416748,4847.2431640625,-1833.818603515625,-4.004021167755127,3.9667866230010986,0.0
-1.1043242921005003e-05,0.0654296875,3.728990077972412,27665.221503268564,3872768.0,0.0,1774884112.944831,20.9912109375,20.9912109375,70.05078125,423.165619326,,0.0,777.0078125,3872768.0,-4.990602493286133,5944.09912109375,-2481.50048828125,-4.001776695251465,3.9732391834259033,0.0
3.470519459369825e-06,0.0654296875,3.710617780685425,27495.98414288769,4126720.0,0.0,1774884136.3416045,16.8916015625,16.8916015625,53.64453125,446.555925883,,0.0,452.8515625,4126720.0,-4.990353584289551,3102.572265625,-1341.855712890625,-3.9996249675750732,3.94670033454895,0.0
-2.5135786927421577e-05,0.0888671875,3.7081642150878906,27791.22352051493,4380672.0,0.0,1774884159.731928,38.59375,38.59375,81.9912109375,469.863608245,,0.0,652.0634765625,4380672.0,-4.967310905456543,4389.841796875,-2051.08642578125,-4.003769874572754,3.9404289722442627,0.0
-7.469981483154697e-06,0.0732421875,3.7154781818389893,27761.281225046103,4634624.0,0.0,1774884183.0395336,15.6123046875,15.6123046875,55.7275390625,493.395974771,,0.0,499.359375,4634624.0,-4.929059028625488,3467.019287109375,-1441.5322265625,-4.0011725425720215,3.9366421699523926,0.0
