eval/episode_reward_ctrl,step,_step,eval/episode_reward_near,render,training/log_alpha,eval/episode_success,eval/episode_reward_survive,_runtime,eval/episode_success_hard,eval/episode_dist,training/alpha_loss,training/critic_loss,training/entropy,eval/episode_success_easy,eval/episode_reward,_timestamp,training/actor_loss,eval/episode_reward_dist,eval/episode_success_any,training/sps
,,0.0,,"{'path': 'media/html/render_0_e423e8ceb526fa98d11e.html', 'size': 3687661.0, '_type': 'html-file', 'sha256': 'e423e8ceb526fa98d11e677da71010ae5d099a752596ea592b5fa7969d9e010b'}",,,,111.723788259,,,,,,,,1774831536.131759,,,,
-2486.91162109375,1333248.0,1333248.0,0.0,,-1.8706704378128052,0.0,715.7099609375,135.367824396,0.0,5656.5546875,2.254361867904663,3.640691041946411,4.125378608703613,0.0078125,0.0,1774831536.307736,2.0586695671081543,0.0,0.0,10180.451972728957
-3532.57861328125,1587200.0,1587200.0,0.0,,-4.173584461212158,0.0,947.390625,158.866318454,0.0,7926.7607421875,0.016404110938310623,3.665544271469116,-3.24943208694458,0.0,0.0,1774831559.7752316,3.0357041358947754,0.0,0.0,27502.20042795584
-3181.44189453125,1841152.0,1841152.0,0.0,,-4.262045383453369,0.0,885.2080078125,182.273136213,0.0,7324.0166015625,-1.5656829418730922e-05,3.672966241836548,-4.001241683959961,2.75,0.0,1774831583.273708,3.0690524578094482,0.0,0.0,27635.849669858366
-3204.346923828125,2095104.0,2095104.0,0.0,,-4.234932899475098,0.0,908.833984375,205.64664675,0.0,7533.76171875,1.6374415281461552e-05,3.720808506011963,-3.999007225036621,0.0,0.0,1774831606.6804981,3.125458002090454,0.0,0.0,27715.582744443836
-2539.74169921875,2349056.0,2349056.0,0.0,"{'_type': 'html-file', 'sha256': '74227488ff46ccc94a6a890d2086a03619ac9c63948c3a27329a26083430e6fc', 'path': 'media/html/render_2349056_74227488ff46ccc94a6a.html', 'size': 3691961.0}",-4.299042224884033,0.0,769.7666015625,255.569862711,0.0,6376.9033203125,0.00010450322588440031,3.778874397277832,-3.9923956394195557,2.9453125,0.0,1774831679.9778595,3.2442073822021484,0.0,0.0,27690.296442223713
-2771.50439453125,2603008.0,2603008.0,0.0,,-4.3958353996276855,0.0224609375,800.57421875,279.031067432,0.0,6643.0068359375,3.4948174288729206e-05,3.81965970993042,-3.9973387718200684,0.2744140625,0.0224609375,1774831680.1587481,3.3540704250335693,0.0,0.0009765625,27737.037502887237
-2922.501708984375,2856960.0,2856960.0,0.0,,-4.432175159454346,0.859375,900.271484375,302.504514623,0.0,7370.50439453125,4.269074634066783e-05,3.8609023094177246,-3.996582269668579,23.8935546875,0.859375,1774831703.4384706,3.4389944076538086,0.0,0.0048828125,27667.797024839776
-2695.098388671875,3110912.0,3110912.0,0.0,,-4.489085674285889,3.2783203125,830.6025390625,325.945003377,0.0,6542.45068359375,6.82345635141246e-05,3.9055278301239014,-3.9940593242645264,35.171875,3.2783203125,1774831726.911785,3.5199501514434814,0.0,0.015625,27746.50194266848
-2989.02685546875,3364864.0,3364864.0,0.0,,-4.559728145599365,5.1552734375,886.0341796875,349.249382456,0.0,6955.18505859375,4.865122173214331e-05,3.9196321964263916,-3.9954757690429688,73.439453125,5.1552734375,1774831750.352405,3.56295108795166,0.0,0.021484375,27677.189092044555
