eval/episode_reward_ctrl,eval/episode_success,eval/episode_success_easy,_step,training/actor_loss,eval/episode_reward_near,eval/episode_reward,eval/episode_dist,eval/episode_reward_dist,training/critic_loss,training/entropy,render,_runtime,eval/episode_success_hard,eval/episode_reward_survive,_timestamp,training/log_alpha,training/alpha_loss,eval/episode_success_any,step,training/sps
,,,0.0,,,,,,,,"{'_type': 'html-file', 'sha256': '9115edaed64f371ce39fd87a74ae585b71f57fcf411366966100df35fd0ef850', 'path': 'media/html/render_0_9115edaed64f371ce39f.html', 'size': 3741137.0}",112.235820677,,,1774866267.14968,,,,,
-2773.500732421875,0.0,2.962890625,1333248.0,2.1102747917175293,0.0,0.0,7296.884765625,0.0,3.5597453117370605,4.93142032623291,,135.837021408,0.0,899.0576171875,1774866267.3231351,-1.8921915292739868,2.3106093406677246,0.0,1333248.0,10143.021051185546
-2612.736083984375,6.8623046875,25.3603515625,1587200.0,3.1931233406066895,0.0,6.8623046875,6406.09765625,0.0,3.516047716140747,-2.30002498626709,,159.288629245,0.0,767.6181640625,1774866290.7504532,-4.604171276092529,0.028931938111782074,0.0234375,1587200.0,27627.485241323186
-2827.27880859375,2.7119140625,23.15234375,1841152.0,3.2154488563537598,0.0,2.7119140625,7054.6103515625,0.0,3.555753469467163,-3.9977238178253174,,182.640493541,0.0,779.9248046875,1774866314.2018962,-4.959718227386475,1.9168464859831147e-05,0.0263671875,1841152.0,27792.947938680958
-2265.064453125,0.6728515625,3.83203125,2095104.0,3.330754280090332,0.0,0.6728515625,4977.9033203125,0.0,3.6445279121398926,-3.9989001750946045,,205.958322749,0.0,645.0478515625,1774866337.5539334,-4.942711353302002,1.0237387868983205e-05,0.0009765625,2095104.0,27881.651581563365
-3067.77734375,16.140625,53.7509765625,2349056.0,3.4358105659484863,0.0,16.140625,7020.67138671875,0.0,3.737955093383789,-4.003451824188232,"{'size': 3699325.0, '_type': 'html-file', 'sha256': '98b0642f2dc8dc36f77aee344678cb1b0f11f09783a93cb978ede19810a57f76', 'path': 'media/html/render_2349056_98b0642f2dc8dc36f77a.html'}",256.292623273,0.0,897.208984375,1774866411.206566,-4.9403815269470215,-2.3496930225519463e-05,0.0361328125,2349056.0,27852.322611509047
-2314.24853515625,32.505859375,81.6748046875,2603008.0,3.5006232261657715,0.0,32.505859375,5150.14892578125,0.0,3.7920758724212646,-3.9964535236358643,,279.706832731,0.0,689.4033203125,1774866411.402189,-4.925638675689697,2.7376641810406e-05,0.0771484375,2603008.0,27907.543921402394
-1946.1298828125,34.3984375,88.1845703125,2856960.0,3.567563056945801,0.0,34.3984375,4228.5908203125,0.0,3.8368773460388184,-3.997391700744629,,303.128509386,0.0,622.8447265625,1774866434.6202157,-4.954603672027588,1.977229658223223e-05,0.08203125,2856960.0,27857.06757665649
-1664.2032470703125,26.7978515625,92.7119140625,3110912.0,3.6192433834075928,0.0,26.7978515625,3763.744140625,0.0,3.866816997528076,-3.999660015106201,,326.519865987,0.0,581.0810546875,1774866458.0418534,-4.990482330322266,3.4322602004976943e-06,0.0703125,3110912.0,27910.8909905748
-2725.24169921875,28.5107421875,85.318359375,3364864.0,3.622999906539917,0.0,28.5107421875,6190.54248046875,0.0,3.8628203868865967,-3.996554136276245,,349.768734458,0.0,803.58203125,1774866481.4330475,-5.000669479370117,2.4297323761857115e-05,0.0908203125,3364864.0,27843.391400039513
-2568.6376953125,34.3134765625,86.8203125,3618816.0,3.6304776668548584,0.0,34.3134765625,6001.826171875,0.0,3.862887382507324,-4.004987716674805,"{'_type': 'html-file', 'sha256': '5768f38ae5ebdc3af4443980ede469050267d987be0032f7d29aeb09c5bb4452', 'path': 'media/html/render_3618816_5768f38ae5ebdc3af444.html', 'size': 3778865.0}",399.702957707,0.0,811.2373046875,1774866554.616789,-4.998244762420654,-3.281049430370331e-05,0.1123046875,3618816.0,27902.48571787678
-2477.58984375,36.5556640625,72.9677734375,3872768.0,3.6447556018829346,0.0,36.5556640625,6252.19384765625,0.0,3.8656039237976074,-3.9960482120513916,,423.284363821,0.0,792.419921875,1774866554.8428752,-5.021144866943359,2.801929622364696e-05,0.1435546875,3872768.0,27791.899339309854
-2961.051513671875,44.7197265625,95.0107421875,4126720.0,3.656010866165161,0.0,44.7197265625,6602.49462890625,0.0,3.870025634765625,-4.00095272064209,,446.624768818,0.0,881.1162109375,1774866578.1976595,-5.019338607788086,-5.498985956364777e-06,0.1103515625,4126720.0,27597.29533792435
-2812.614990234375,52.544921875,119.4365234375,4380672.0,3.634371042251587,0.0,52.544921875,6357.1640625,0.0,3.8445065021514893,-3.9988527297973633,,469.887987171,0.0,889.0068359375,1774866601.5381656,-5.011453151702881,8.52905577630736e-06,0.12109375,4380672.0,27927.428965780302
-2730.4521484375,68.7353515625,92.0185546875,4634624.0,3.6296796798706055,0.0,68.7353515625,6416.06982421875,0.0,3.837002754211426,-4.005951881408691,,493.377057636,0.0,861.9072265625,1774866624.8013606,-4.98807954788208,-4.0340397390536964e-05,0.1123046875,4634624.0,27880.616712127405
-2691.984375,56.7119140625,88.1064453125,4888576.0,3.6296608448028564,0.0,56.7119140625,7133.2607421875,0.0,3.8338003158569336,-3.9976425170898438,"{'size': 3737829.0, '_type': 'html-file', 'sha256': 'c2a404c3fa4e6987855659ce51904ed053eb70399c43775ab470c452a0e6c6b9', 'path': 'media/html/render_4888576_c2a404c3fa4e69878556.html'}",543.179041988,0.0,941.4921875,1774866698.092906,-4.9705023765563965,1.7632166418479756e-05,0.1162109375,4888576.0,27830.7881001546
-2904.282470703125,88.33203125,139.2509765625,5142528.0,3.617600917816162,0.0,88.33203125,6528.5908203125,0.0,3.8233964443206787,-4.0008463859558105,,566.612865711,0.0,916.185546875,1774866698.2834978,-4.973108768463135,-5.035615231463453e-06,0.1494140625,5142528.0,27998.004655364795
