step,training/entropy,eval/episode_reward_dist,training/alpha_loss,eval/episode_success_any,eval/episode_success_hard,training/log_alpha,eval/episode_reward,_runtime,_step,eval/episode_dist,training/sps,training/critic_loss,eval/episode_success,training/actor_loss,eval/episode_success_easy,eval/episode_reward_survive,render,_timestamp,eval/episode_reward_ctrl,eval/episode_reward_near
,,,,,,,,64.225593525,0.0,,,,,,,,"{'_type': 'html-file', 'sha256': 'a42c4383b94ba708679e1116fe37f56b7e6d341c76733e7fb0a19f0575085dc9', 'path': 'media/html/render_0_a42c4383b94ba708679e.html', 'size': 3854765.0}",1773893944.367134,,
,,,,,,,,160.386238399,1.0,,,,,,,,"{'sha256': 'd015a4c653d7d54eb75ca4fd736eed1ba14e6baa76c21a9bdf6f895f55eeee97', 'path': 'media/html/render_1_d015a4c653d7d54eb75c.html', 'size': 3870985.0, '_type': 'html-file'}",1773894040.5278132,,
1333248.0,0.0,0.0,1.9742637872695923,0.01953125,0.0,0.0,2.4609375,185.78402709,1333248.0,7717.5458984375,8395.463563532072,0.30221325159072876,2.4609375,-26.85365867614746,21.9541015625,935.6279296875,,1773894040.7136083,-1646.69921875,0.0
1587200.0,0.0,0.0,0.009526890702545643,0.013671875,0.0,0.0,0.60546875,211.409373408,1587200.0,5884.107421875,23031.624796415414,0.23955631256103516,0.60546875,-26.12790298461914,8.68359375,750.009765625,,1773894065.924939,-1397.0179443359375,0.0
1841152.0,0.0,0.0,-0.00029791868291795254,0.0009765625,0.0,0.0,0.03125,237.022291149,1841152.0,6685.548828125,22660.79947150212,0.40759655833244324,0.03125,-31.655357360839844,4.900390625,838.1064453125,,1773894091.5502448,-1673.357666015625,0.0
2095104.0,0.0,0.0,0.000663688697386533,0.0146484375,0.0,0.0,1.3134765625,262.836999292,2095104.0,5382.455078125,22392.10231559133,0.49760884046554565,1.3134765625,-34.593223571777344,17.2265625,650.9248046875,,1773894117.1632085,-1253.065673828125,0.0
2349056.0,0.0,0.0,0.00039515274693258107,0.03125,0.0,0.0,2.021484375,314.81357336,2349056.0,5435.18310546875,22314.979720000556,0.6047771573066711,2.021484375,-35.443931579589844,28.126953125,711.7763671875,"{'sha256': '935ea91d482811623dadd27515ebd961570695447b983cc7e8938afc2292aa5c', 'path': 'media/html/render_2349056_935ea91d482811623dad.html', 'size': 3884681.0, '_type': 'html-file'}",1773894194.9551013,-1326.68994140625,0.0
2603008.0,0.0,0.0,0.0006157364114187658,0.021484375,0.0,0.0,2.111328125,340.782165263,2603008.0,5129.44775390625,22402.66592425214,0.6128300428390503,2.111328125,-34.71165084838867,21.3154296875,638.365234375,,1773894195.152546,-1189.3590087890625,0.0
2856960.0,0.0,0.0,0.00026156255626119673,0.0419921875,0.0,0.0,6.0361328125,366.479250073,2856960.0,6447.95751953125,22182.795940090084,0.6333689093589783,6.0361328125,-31.287500381469727,32.087890625,807.50390625,,1773894220.9232032,-1401.33349609375,0.0
3110912.0,0.0,0.0,0.00014474829367827624,0.0068359375,0.0,0.0,0.755859375,392.288051333,3110912.0,6284.1943359375,22253.231176555484,0.6651651859283447,0.755859375,-27.85036849975586,6.841796875,748.2880859375,,1773894246.620101,-1273.961669921875,0.0
3364864.0,0.0,0.0,8.906039875000715e-05,0.037109375,0.0,0.0,5.84765625,417.913216621,3364864.0,4633.607421875,22120.576238545513,0.676999032497406,5.84765625,-25.547391891479492,21.3857421875,588.60546875,,1773894272.4289355,-1016.1806640625,0.0
